T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 2.833714114681927165e-12 1.566973078178368292e-13 1.836546809084171317e-14 9.008635103444246764e-17 1.226908022756642874e-17 7.245442114471707250e-12 4.155079745686139569e-13 1.977497676737621067e-15 2.275238387222584208e-16 1.066065308612408480e-11 3.128950752411540406e-14 3.259758322563274383e-15 5.515026342708352505e-13 4.789893036801469410e-14 7.339689415414245816e-13
2.000000000000000000e+00 2.928329642325058509e-12 1.950798465759892035e-13 2.308554537407893295e-14 1.778723052284692280e-16 2.296643215251100991e-17 8.917346168734924728e-12 5.226525870391625333e-13 3.971627641557470805e-15 4.261412050124385993e-16 1.365682522976879938e-11 6.346504374437933217e-14 6.109192230565871001e-15 1.133695497775809614e-12 8.905787210994654138e-14 1.321946886951840431e-12
3.000000000000000000e+00 2.944881744859980119e-12 2.132054751939743033e-13 2.547735846325017140e-14 2.233329603937717358e-16 2.816250630395222783e-17 9.427401738346102157e-12 5.717438139492326762e-13 4.995593146793154017e-15 5.213468148516958880e-16 1.479238827564742832e-11 7.979853682756481612e-14 7.458502529719432493e-15 1.423414829219432198e-12 1.080129589824978673e-13 1.563146350124243065e-12
4.000000000000000000e+00 3.009294958260235719e-12 2.222672056292293734e-13 2.672031195717893810e-14 2.481163576886695373e-16 3.078312397378725660e-17 9.597255911074937346e-12 5.961918580540607901e-13 5.536966669724138821e-15 5.685339119181212832e-16 1.527080644900300947e-11 8.825187278595958215e-14 8.117788646928121957e-15 1.568192019044666493e-12 1.171024408055986563e-13 1.668895442587683893e-12
5.000000000000000000e+00 3.102533129265197991e-12 2.273042652493076464e-13 2.737060719839835575e-14 2.632564070857406097e-16 3.228521911819830175e-17 9.644580728240751974e-12 6.083816316349122324e-13 5.853902391088668566e-15 5.949448208980558993e-16 1.544806273766623006e-11 9.306740356271409345e-14 8.478713865630734691e-15 1.646203286068352987e-12 1.219628097649304350e-13 1.719729064259415635e-12
6.000000000000000000e+00 3.204745736422217604e-12 2.305893623441384178e-13 2.765557240479691901e-14 2.737089240541055939e-16 3.328901183698013993e-17 9.649833387322931475e-12 6.130675250757028961e-13 6.062212784894268030e-15 6.121026800096871501e-16 1.545103563521255427e-11 9.613482813182647467e-14 8.706118334500929375e-15 1.692012082730611863e-12 1.249297091845981970e-13 1.746834417003690931e-12
7.000000000000000000e+00 3.305416892877404718e-12 2.331697148211871312e-13 2.767822427550194307e-14 2.818137154287737681e-16 3.407091138266247397e-17 9.645902829419585159e-12 6.123434672554242573e-13 6.216127553380466139e-15 6.251162746991105726e-16 1.533363091796998109e-11 9.833056986166592663e-14 8.872893649427663106e-15 1.721538727928285632e-12 1.270286847745626053e-13 1.763373730743910182e-12
8.000000000000000000e+00 3.400777211090703533e-12 2.355388866744590953e-13 2.750128014534406507e-14 2.887521580972422174e-16 3.476244988923374099e-17 9.646454319368940142e-12 6.074825414841520772e-13 6.342745413861671355e-15 6.364056585278105358e-16 1.512719261030910853e-11 1.000878141762410132e-13 9.013482432325721535e-15 1.742598361342217683e-12 1.287417753393876559e-13 1.775336927958118462e-12
9.000000000000000000e+00 3.490526841715424547e-12 2.379223315480290678e-13 2.717306311959565520e-14 2.951572393303742884e-16 3.542982725183607241e-17 9.656534763886461107e-12 5.994790665603635098e-13 6.456419196107564901e-15 6.471845987326218450e-16 1.485515929616670437e-11 1.016330841846593296e-13 9.145094692592743230e-15 1.759247596545228704e-12 1.303083461942866308e-13 1.785600904309221533e-12
1.000000000000000000e+01 3.575756044595066415e-12 2.404059455478843452e-13 2.673374680263486245e-14 3.013849497113142559e-16 3.610780569653666514e-17 9.677014947622794204e-12 5.891698259126188204e-13 6.565118465866289135e-15 6.580895254708721563e-16 1.453665600839004700e-11 1.030901946995446936e-13 9.276695834233217940e-15 1.773685088907052680e-12 1.318519092465862483e-13 1.795591139832081121e-12
1.100000000000000000e+01 3.657873161421906438e-12 2.429998729107350909e-13 2.621657774522330850e-14 3.076432788546423073e-16 3.681516918335983292e-17 9.706677786185626092e-12 5.772525018994298579e-13 6.673433146804276626e-15 6.694651295125279388e-16 1.418728612331329109e-11 1.045290078793100110e-13 9.413085667689768057e-15 1.787139097795369274e-12 1.334375272760441473e-13 1.806017601684524682e-12
1.200000000000000000e+01 3.738124809642587959e-12 2.456739239463652109e-13 2.564838182098202231e-14 3.140573437744954173e-16 3.756221287760738020e-17 9.743323376352222255e-12 5.642922153318495723e-13 6.784078784499280606e-15 6.815020526196870174e-16 1.381946964315996403e-11 1.059897092570859637e-13 9.556864987092270081e-15 1.800307560980442998e-12 1.350994489854139158e-13 1.817222507896775476e-12
1.300000000000000000e+01 3.817423473006532782e-12 2.483789445128898311e-13 2.505024405796811345e-14 3.207040652938951322e-16 3.835456300770392817e-17 9.784406334631866148e-12 5.507337901237258064e-13 6.898691541855821122e-15 6.943067311429290258e-16 1.344282423832330794e-11 1.074955436716875931e-13 9.709433464677963953e-15 1.813587912356506132e-12 1.368551193731333902e-13 1.829353554871844709e-12
1.400000000000000000e+01 3.896323972321240184e-12 2.510600763910960363e-13 2.443835862197237633e-14 3.276315009633274410e-16 3.919521198772479078e-17 9.827412671723616712e-12 5.369187581775187273e-13 7.018267518343296650e-15 7.079383837105277838e-16 1.306460752685942870e-11 1.090598036304724995e-13 9.871518272097837758e-15 1.827202515653479436e-12 1.387125964881522362e-13 1.842453951960051261e-12
1.500000000000000000e+01 3.975066266907199126e-12 2.536647577635356652e-13 2.382490967489739454e-14 3.348700550439979244e-16 4.008564345406605147e-17 9.870072987105910917e-12 5.231036048528394633e-13 7.143415032086722211e-15 7.224293320547365425e-16 1.269016145471281282e-11 1.106898121936171769e-13 1.004346442170611849e-14 1.841269711790754143e-12 1.406746217205368824e-13 1.856510829634307861e-12
1.600000000000000000e+01 4.053642442731204371e-12 2.561471514934858998e-13 2.321888354176468193e-14 3.424391943769931518e-16 4.102647363994636464e-17 9.910467669248494201e-12 5.094768439650302669e-13 7.274504190193805977e-15 7.377965197960834136e-16 1.232331513946933333e-11 1.123892653945043920e-13 1.022539910453122279e-14 1.855845312327087479e-12 1.427409208320127495e-13 1.871481954038246812e-12
1.700000000000000000e+01 4.131866752781903300e-12 2.584701693820866570e-13 2.262676668262044966e-14 3.503515795190832503e-16 4.201782616276952971e-17 9.947061605094636433e-12 4.961738009799887685e-13 7.411757872025221253e-15 7.540482141508873994e-16 1.196672708175261317e-11 1.141596451381817707e-13 1.041732699022558716e-14 1.870947437847119351e-12 1.449095358813496332e-13 1.887310741149064847e-12
1.800000000000000000e+01 4.209438691504190236e-12 2.606059460152722437e-13 2.205311985359924387e-14 3.586156587219526326e-16 4.305955505841859250e-17 9.978695168460435611e-12 4.832888222772024163e-13 7.555308182731723186e-15 7.711879855764615680e-16 1.162216406586846782e-11 1.160010882040175716e-13 1.061918649868154318e-14 1.886571673086118800e-12 1.471776097130765956e-13 1.903934775622648772e-12
1.900000000000000000e+01 4.285995088360912562e-12 2.625353797715857756e-13 2.150103733356809449e-14 3.672373215783757929e-16 4.415137894454557142e-17 1.000455044267896294e-11 4.708850615438405064e-13 7.705231985584730931e-15 7.892171036095842007e-16 1.129072237999703517e-11 1.179129282367618987e-13 1.083088338916676722e-14 1.902700441746561301e-12 1.495418528163583817e-13 1.921290636746416803e-12
2.000000000000000000e+01 4.361150433954004852e-12 2.642471716157149692e-13 2.097250747826122211e-14 3.762209638683015766e-16 4.529296182158687057e-17 1.002410559761444955e-11 4.590021718628036346e-13 7.861573465682554635e-15 8.081359857681864251e-16 1.097300011371410390e-11 1.198940366640872302e-13 1.105231083865891572e-14 1.919308854351739819e-12 1.519988215939387651e-13 1.939316584575220125e-12
2.100000000000000000e+01 4.434526301497792225e-12 2.657366478393624583e-13 2.046869227827301830e-14 3.855701766891243923e-16 4.648396110208905573e-17 1.003708577129022135e-11 4.476622723033525133e-13 8.024358505338543177e-15 8.279450651262592337e-16 1.066922966529850829e-11 1.219430377255672355e-13 1.128336129162910916e-14 1.936368365424815752e-12 1.545450824389049635e-13 1.957953988842027875e-12
2.200000000000000000e+01 4.505771458534310887e-12 2.670045462387573234e-13 1.999014223470224193e-14 3.952881921724981237e-16 4.772405507170584675e-17 1.004341549323074712e-11 4.368745337034283758e-13 8.193603814078237888e-15 8.486452910384322921e-16 1.037937872032498987e-11 1.240584435733988716e-13 1.152393319232774995e-14 1.953849050913144042e-12 1.571773055148528764e-13 1.977148013116618693e-12
2.300000000000000000e+01 4.574574471195420863e-12 2.680558700942971961e-13 1.953696047637596922e-14 4.053781695341936851e-16 4.901295713993799627e-17 1.004317539702563401e-11 4.266386796803444967e-13 8.369322660934055881e-15 8.702383910916887412e-16 1.010322666454345484e-11 1.262387381010443354e-13 1.177393446681525018e-14 1.971721007668454382e-12 1.598923146592472095e-13 1.996847857165803739e-12
2.400000000000000000e+01 4.640670527217397942e-12 2.688988638045361184e-13 1.910892749456198491e-14 4.158433752440912664e-16 5.035042138044469482e-17 1.003656446364141751e-11 4.169476455688668789e-13 8.551528387111085495e-15 8.927269719952634878e-16 9.840422067372894500e-12 1.284824276557238504e-13 1.203328389421245635e-14 1.989955190606149011e-12 1.626871095885545010e-13 2.017006739206910055e-12
2.500000000000000000e+01 4.703843992175288797e-12 2.695441316508649751e-13 1.870559554732417365e-14 4.266872921973152852e-16 5.173624215436983482e-17 1.002386809907411983e-11 4.077895887948839359e-13 8.740236458630511486e-15 9.161145074628953233e-16 9.590525687221334912e-12 1.307880702823274844e-13 1.230191107455487040e-14 2.008523888701535810e-12 1.655588704702888999e-13 2.037581728224884054e-12
2.600000000000000000e+01 4.763927953839437882e-12 2.700039015456729947e-13 1.832635981828223792e-14 4.379136806148905781e-16 5.317024959061463768e-17 1.000543180484255193e-11 3.991494023097399258e-13 8.935465552219771004e-15 9.404052437275128289e-16 9.353042459406170133e-12 1.331542910390275458e-13 1.257975544241029503e-14 2.027400969357038264e-12 1.685049512268759797e-13 2.058533493682852474e-12
2.700000000000000000e+01 4.820801751211892316e-12 2.702914245973783864e-13 1.797051181645148028e-14 4.495266054856213430e-16 5.465230209485560482e-17 9.981639914925217842e-12 3.910098485816624047e-13 9.137237995798591221e-15 9.656040432859642216e-16 9.127445130488483376e-12 1.355797882945770720e-13 1.286676462140259785e-14 2.046561975182485863e-12 1.715228656756042265e-13 2.079826013987371468e-12
2.800000000000000000e+01 4.874387252299849901e-12 2.704204958862667395e-13 1.763727923770586179e-14 4.615304401686931193e-16 5.618227671158856499e-17 9.952898752784267137e-12 3.833524045516733003e-13 9.345579772929315004e-15 9.917161818742094307e-16 8.913191576182745098e-12 1.380633342140249938e-13 1.316289232372697884e-14 2.065984127976944271e-12 1.746102692193330140e-13 2.101426269190839940e-12
2.900000000000000000e+01 4.924644447900360394e-12 2.704050798720614359e-13 1.732585552080179062e-14 4.739298523780111597e-16 5.776005796871778266e-17 9.919623541504771627e-12 3.761578868090749033e-13 9.560520227457712867e-15 1.018747110694991354e-15 8.709737354371300660e-12 1.406037715286443547e-13 1.346809594544204414e-14 2.085646275703687529e-12 1.777649379434684089e-13 2.123303933642871648e-12
3.000000000000000000e+01 4.971566769095801019e-12 2.702590239218890637e-13 1.703542156813784171e-14 4.867297765749622407e-16 5.938552572709493955e-17 9.882228435265384394e-12 3.694069098954463210e-13 9.782091557032878854e-15 1.046702194393754505e-15 8.516544671866463591e-12 1.432000079591685437e-13 1.378233397705299249e-14 2.105528805824141867e-12 1.809847464378145395e-13 2.145431078257156839e-12
3.100000000000000000e+01 5.015176410945650476e-12 2.699958446250385287e-13 1.676516151599331332e-14 4.999353754206184050e-16 6.105854249630539836e-17 9.841119103456244802e-12 3.630802180963976439e-13 1.001032815374190869e-14 1.075586434459948034e-15 8.333088658905463246e-12 1.458510091869395806e-13 1.410556332979026533e-14 2.125613540191215048e-12 1.842676453185485161e-13 2.167781888293992977e-12
3.200000000000000000e+01 5.055519849274472296e-12 2.696285732613460902e-13 1.651427399139214633e-14 5.135519921204716909e-16 6.277894063696683501e-17 9.796687372595688913e-12 3.571589214839862602e-13 1.024526583109604580e-14 1.105404187159851274e-15 8.158861628825586298e-12 1.485557909598822773e-13 1.443773666494947740e-14 2.145883621325991898e-12 1.876116391961554863e-13 2.190332400184612526e-12
3.300000000000000000e+01 5.092663666288714524e-12 2.691696486570825779e-13 1.628197995130284438e-14 5.275850950519986103e-16 6.454650983368086448e-17 9.749307505705377661e-12 3.516246596516295976e-13 1.048694096523908855e-14 1.136158884520691772e-15 7.993375835974374044e-12 1.513134107230640674e-13 1.477879980310023232e-14 2.166323396363721243e-12 1.910147656711600108e-13 2.213060259397349337e-12
3.400000000000000000e+01 5.126690749060466882e-12 2.686308474914123990e-13 1.606752793974519928e-14 5.420402158666436642e-16 6.636098518374773395e-17 9.699333768507239843e-12 3.464597110046288619e-13 1.073538957187226548e-14 1.167852766156990469e-15 7.836165120224462700e-12 1.541229590393583100e-13 1.512868927996163951e-14 2.186918302634089981e-12 1.944750758121800170e-13 2.235944500334494023e-12
3.500000000000000000e+01 5.157696888354267895e-12 2.680232437999805179e-13 1.587019740027345575e-14 5.569228822077615069e-16 6.822203620188228810e-17 9.647098994094380558e-12 3.416470612200255305e-13 1.099064633714758733e-14 1.200486628822180304e-15 7.686785731918052111e-12 1.569835509889557975e-13 1.548733010542584204e-14 2.207654757326338387e-12 1.979906164641183115e-13 2.258965348551322564e-12
3.600000000000000000e+01 5.185787780216388540e-12 2.673571909118647901e-13 1.568930053045052030e-14 5.722385462154654162e-16 7.012925699054608711e-17 9.592913911717584886e-12 3.371704412522661118e-13 1.125274361937211962e-14 1.234059599500926412e-15 7.544816559363365237e-12 1.598943176898631149e-13 1.585463377140075224e-14 2.228520052708661792e-12 2.015594146399366319e-13 2.282104045085831108e-12
3.700000000000000000e+01 5.211076416266098798e-12 2.666423203394414193e-13 1.552418305001580167e-14 5.879925100490272685e-16 7.208215777090855203e-17 9.537067051120959166e-12 3.330143427938315620e-13 1.152171043788772152e-14 1.268568936679912052e-15 7.409858926602871129e-12 1.628543980533854977e-13 1.623049654302614892e-14 2.249502257740988558e-12 2.051794641638692915e-13 2.305342692310330201e-12
3.800000000000000000e+01 5.233680838419864473e-12 2.658875532249624769e-13 1.537422416686565053e-14 6.041898497141042746e-16 7.408015791336380113e-17 9.479825072077545845e-12 3.291640172181473139e-13 1.179757146533935560e-14 1.304009863208636993e-15 7.281536087874263537e-12 1.658629308710674839e-13 1.661479805675442948e-14 2.270590126518159548e-12 2.088487146561465366e-13 2.328664120425468114e-12
3.900000000000000000e+01 5.253722228065104457e-12 2.651011208503750938e-13 1.523883595815844018e-14 6.208353385147051737e-16 7.612258055153323223e-17 9.421433400274260574e-12 3.256054625956368704e-13 1.208034603933725891e-14 1.340375432947903127e-15 7.159492513817176131e-12 1.689190473175508227e-13 1.700740023818025189e-14 2.291773013725334145e-12 2.125650628795613956e-13 2.352051773492226725e-12
4.000000000000000000e+01 5.271323297133481203e-12 2.642905914598557777e-13 1.511746233284338336e-14 6.379333714472826530e-16 7.820864881205911009e-17 9.362117076397945357e-12 3.223254022762657615e-13 1.237004720903687619e-14 1.377656432255216498e-15 7.043393040643746040e-12 1.720218639441164884e-13 1.740814654271592277e-14 2.313040797125134654e-12 2.163263464072167263e-13 2.375489613726551921e-12
4.100000000000000000e+01 5.286606948100232386e-12 2.634629012502272312e-13 1.500957770290895067e-14 6.554878918127384752e-16 8.033748364601090035e-17 9.302081746071758936e-12 3.193112576925913740e-13 1.266668083130675047e-14 1.415841316314281620e-15 6.932921935375676812e-12 1.751704762284533507e-13 1.781686151352337652e-14 2.334383806991088368e-12 2.201303395191097676e-13 2.398962042657586304e-12
4.200000000000000000e+01 5.299695170918647810e-12 2.626243878742491986e-13 1.491468546077551201e-14 6.735023212428045775e-16 8.250810320759291587e-17 9.241514734999425917e-12 3.165511173947756771e-13 1.297024472991551995e-14 1.454916179408523217e-15 6.827781916483045202e-12 1.783639527365143722e-13 1.823335064371581041e-14 2.355792762331970437e-12 2.239747511931868739e-13 2.422453837669467655e-12
4.300000000000000000e+01 5.310708146753698827e-12 2.617808251950804732e-13 1.483231633733349341e-14 6.919794942250701291e-16 8.471942369271603144e-17 9.180586167010541127e-12 3.140337038366400739e-13 1.328072792958554622e-14 1.494864757481856326e-15 6.727693158801315802e-12 1.816013299418510599e-13 1.865740052382331271e-14 2.377258713702417258e-12 2.278572250240545415e-13 2.445950102404193332e-12
4.400000000000000000e+01 5.319763530727603699e-12 2.609374583439087080e-13 1.476202669749239379e-14 7.109215980727145273e-16 8.697026152405438396e-17 9.119450093279730187e-12 3.117483390541573200e-13 1.359810997490643833e-14 1.535668460728994098e-15 6.632392303664830459e-12 1.848816077366222438e-13 1.908877925088600860e-14 2.398772992358247009e-12 2.317753408792614910e-13 2.469436229495039065e-12
4.500000000000000000e+01 5.326975888468515846e-12 2.600990383813164859e-13 1.470339681649788084e-14 7.303301191285467928e-16 8.925933675024385761e-17 9.058245609334777626e-12 3.096849100877985135e-13 1.392236034206581690e-14 1.577306433508915072e-15 6.541631489178842536e-12 1.882037456568082875e-13 1.952723707223684379e-14 2.420327165485532751e-12 2.357266180882571389e-13 2.492897874122022496e-12
