   ENERGY (CM-1)    JTOTL  JSTEP  JTOTU      F    I         SIG(F,I)
  5.0000000000E-02      0      1      5      1    1          23.6293      
  0.1000000000          0      1      5      1    1          38.2150      
  0.1500000000          0      1      5      1    1          50.8955      
  0.2000000000          0      1      6      1    1          60.7410      
  0.2500000000          0      1      6      1    1          68.0778      
  0.3000000000          0      1      6      1    1          73.7322      
  0.3500000000          0      1      6      1    1          78.3810      
  0.4000000000          0      1      6      1    1          82.4148      
  0.4500000000          0      1      6      1    1          86.0100      
  0.5000000000          0      1      7      1    1          85.1038      
  0.5500000000          0      1      7      1    1          92.0852      
  0.6000000000          0      1      7      1    1          94.6851      
  0.6500000000          0      1      7      1    1          97.0148      
  0.7000000000          0      1      7      1    1          99.1125      
  0.7500000000          0      1      7      1    1          101.015      
  0.8000000000          0      1      7      1    1          102.757      
  0.8500000000          0      1      7      1    1          104.369      
  0.9000000000          0      1      7      1    1          105.877      
  0.9500000000          0      1      7      1    1          107.305      
   1.000000000          0      1      7      1    1          108.680      
   1.050000000          0      1      7      1    1          110.033      
   1.100000000          0      1      9      1    1          111.412      
   1.150000000          0      1      9      1    1          112.898      
   1.200000000          0      1      9      1    1          114.660      
   1.250000000          0      1      9      1    1          117.102      
   1.300000000          0      1      9      1    1          121.373      
   1.350000000          0      1      9      1    1          131.760      
   1.400000000          0      1      9      1    1          173.526      
   1.450000000          0      1      9      1    1          501.209      
   1.500000000          0      1      9      1    1          253.474      
   1.550000000          0      1      9      1    1          162.190      
   1.600000000          0      1      9      1    1          142.130      
   1.650000000          0      1      9      1    1          135.094      
   1.700000000          0      1      9      1    1          132.056      
   1.750000000          0      1      9      1    1          130.657      
   1.800000000          0      1      9      1    1          130.060      
   1.850000000          0      1      9      1    1          129.907      
   1.900000000          0      1      9      1    1          130.023      
   1.950000000          0      1      9      1    1          130.314      
   2.000000000          0      1      9      1    1          130.726      
   2.050000000          0      1     10      1    1          131.228      
   2.100000000          0      1     10      1    1          131.798      
   2.150000000          0      1     10      1    1          132.425      
   2.200000000          0      1     10      1    1          133.101      
   2.250000000          0      1     10      1    1          133.822      
   2.300000000          0      1     10      1    1          134.582      
   2.350000000          0      1     10      1    1          135.389      
   2.400000000          0      1     10      1    1          136.240      
   2.450000000          0      1     10      1    1          137.136      
   2.500000000          0      1     10      1    1          138.082      
   2.550000000          0      1     10      1    1          139.076      
   2.600000000          0      1     10      1    1          140.137      
   2.650000000          0      1     10      1    1          141.267      
   2.700000000          0      1     10      1    1          142.475      
   2.750000000          0      1     10      1    1          143.773      
