T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 4.219367145021766151e-12 2.017550338262878946e-13 2.030960289599966070e-14 1.230367111881517510e-16 1.441592074617562617e-17 7.391782750515906859e-12 4.261638819854148519e-13 2.761593225303937639e-15 3.143115260539817664e-16 1.156853577578486100e-11 4.304134684135017896e-14 4.678403629024052637e-15 7.799316248734691531e-13 6.910008455624132475e-14 9.814123528457754511e-13
2.000000000000000000e+00 5.357797282407009487e-12 2.418696971396195764e-13 2.481173660079420639e-14 1.867112170412711797e-16 2.028736945208121810e-17 8.948037032406322171e-12 5.265525287870103130e-13 4.219621638910828645e-15 4.416550546940570759e-16 1.445194202473266705e-11 6.641379529213113081e-14 6.571758427601194294e-15 1.243055727884609938e-12 9.769109105820022391e-14 1.421003641857009877e-12
3.000000000000000000e+00 5.845705152638529415e-12 2.469241297241395300e-13 2.603984762676530991e-14 2.165526422028340322e-16 2.277712646574011494e-17 9.162887103087698709e-12 5.548032078530579041e-13 4.899990536461003602e-15 4.948039743655344068e-16 1.514741813662683031e-11 7.731600258219494158e-14 7.330429383738498991e-15 1.462367167593157964e-12 1.089280519498135968e-13 1.593397007941440913e-12
4.000000000000000000e+00 6.159836186422811271e-12 2.458762662578596838e-13 2.642849509828876851e-14 2.320675172381700107e-16 2.402525570895879572e-17 9.137330125138628154e-12 5.642440635909550495e-13 5.250285156937939808e-15 5.211524359118693207e-16 1.528883943625911497e-11 8.287683801290266960e-14 7.688848011221458673e-15 1.571456695524563089e-12 1.140955022040282360e-13 1.670734838363979301e-12
5.000000000000000000e+00 6.371368925378929427e-12 2.437546833542909052e-13 2.650394767238131381e-14 2.411562278395363308e-16 2.476871553060090437e-17 9.070626087853462048e-12 5.665149565342281339e-13 5.452821625278197150e-15 5.366938841163972360e-16 1.522878144383556057e-11 8.603522179825202372e-14 7.887277516621830474e-15 1.629610612044516621e-12 1.168330378811882972e-13 1.709147785363836338e-12
6.000000000000000000e+00 6.507588616406112196e-12 2.418511838673304719e-13 2.640307220245687150e-14 2.472575104283367328e-16 2.530133550383128166e-17 9.013300905712912085e-12 5.647284910829771441e-13 5.586794787532842385e-15 5.477435104671395268e-16 1.506501384072032443e-11 8.806877475023461847e-14 8.019180736139664337e-15 1.663126506474019135e-12 1.185459817497793931e-13 1.730428922777526358e-12
7.000000000000000000e+00 6.587696496542161977e-12 2.405287650691862063e-13 2.616691684074743327e-14 2.519662990829278055e-16 2.575161951101760723e-17 8.978667307225014519e-12 5.598709068705162558e-13 5.688807739040495713e-15 5.570454392737523477e-16 1.483032774515317942e-11 8.956769791108116536e-14 8.124823458375877710e-15 1.684280621992114743e-12 1.198375729172038592e-13 1.744007060150187158e-12
8.000000000000000000e+00 6.627612491882964394e-12 2.398576583927124321e-13 2.581853376092918308e-14 2.560722101989193968e-16 2.618001922415833228e-17 8.968504721779988939e-12 5.525017600310288702e-13 5.776884248511758023e-15 5.658815167430731308e-16 1.454194946157748636e-11 9.082224266521436578e-14 8.222875240284605321e-15 1.699160207960601953e-12 1.209865785938423928e-13 1.754284136959751538e-12
9.000000000000000000e+00 6.640237456486314689e-12 2.398007887164308852e-13 2.538016695388022826e-14 2.599882191635298456e-16 2.661656981223873835e-17 8.980575612580902121e-12 5.431380503790275773e-13 5.860373767627404115e-15 5.748819936681298669e-16 1.421364617674655545e-11 9.198258672135132921e-14 8.322432433364015468e-15 1.710940623687604586e-12 1.221280743377636950e-13 1.763421166973378250e-12
1.000000000000000000e+01 6.635522070236576206e-12 2.402770237261736749e-13 2.487425179931352093e-14 2.639397472854456125e-16 2.707678937914353759e-17 9.011172453324667955e-12 5.322852376115367269e-13 5.944317525088487292e-15 5.843669081211309649e-16 1.385771449570900875e-11 9.312930732530087544e-14 8.428051788968086935e-15 1.721341553316347113e-12 1.233289718520901190e-13 1.772507577164895545e-12
1.100000000000000000e+01 6.620808429109849536e-12 2.411870422473812466e-13 2.432164538479895440e-14 2.680537310819594689e-16 2.756890143444345528e-17 9.056123920128410085e-12 5.204053189439276324e-13 6.031503283687295707e-15 5.945009750485722551e-16 1.348483043426340246e-11 9.430654865255704438e-14 8.542025357029641027e-15 1.731316459693221000e-12 1.246221354589642514e-13 1.782092500611229081e-12
1.200000000000000000e+01 6.601299056532932336e-12 2.424267736637258331e-13 2.374035458878303618e-14 2.724031150038769359e-16 2.809731310818546667e-17 9.111279032591996715e-12 5.078932878726971193e-13 6.123490199842224266e-15 6.053681988716458449e-16 1.310380670307809799e-11 9.553856661630300504e-14 8.665472963827487079e-15 1.741398196000525599e-12 1.260227745321173465e-13 1.792441841704456499e-12
1.300000000000000000e+01 6.580523448521330531e-12 2.438957440606212818e-13 2.314510191861659296e-14 2.770302380599540734e-16 2.866437158054425827e-17 9.172779546967941354e-12 4.950701068576495746e-13 6.221146218584390306e-15 6.170095907768191569e-16 1.272159392843321713e-11 9.683840566661045925e-14 8.798892862382340961e-15 1.751881013838243311e-12 1.275367167802908116e-13 1.803669066254081855e-12
1.400000000000000000e+01 6.560745238058265696e-12 2.455024125408121475e-13 2.254744628639539147e-14 2.819596725805337351e-16 2.927128703970601116e-17 9.237216008195135820e-12 4.821866842141338612e-13 6.324942020886929149e-15 6.294429998620260392e-16 1.234346360124244189e-11 9.821264601694580082e-14 8.942450278038699248e-15 1.762920505828735063e-12 1.291647515578009319e-13 1.815804483858375484e-12
1.500000000000000000e+01 6.543295901361011248e-12 2.471672334223784016e-13 2.195617070763707941e-14 2.872055339183813765e-16 2.991863472847793471e-17 9.301703296614901197e-12 4.694330298802151417e-13 6.435117502132073289e-15 6.426738830255818712e-16 1.197327030033739690e-11 9.966409337623692492e-14 9.096133391704631324e-15 1.774590431358875892e-12 1.309049827023791084e-13 1.828833147920342120e-12
1.600000000000000000e+01 6.528838907742236906e-12 2.488239446059816325e-13 2.137775296573551437e-14 2.927757680511830008e-16 3.060663650131421149e-17 9.363897536236771115e-12 4.569488608219109863e-13 6.551778696567416502e-15 6.567013093585333792e-16 1.161372423836175331e-11 1.011933460856240727e-13 9.259839721826577704e-15 1.786915957224229043e-12 1.327541341613351719e-13 1.842716109560083201e-12
1.700000000000000000e+01 6.517573970989439779e-12 2.504195616273110314e-13 2.081682291751771739e-14 2.986747263732391212e-16 3.133532295010224539e-17 9.421972648877933946e-12 4.448337209263784406e-13 6.674955379357240022e-15 6.715213746312868692e-16 1.126663911589077654e-11 1.027997276655773126e-13 9.433424766649738588e-15 1.799893541140831770e-12 1.347082865090271849e-13 1.857402546699358312e-12
1.800000000000000000e+01 6.509391916963256849e-12 2.519135194146120013e-13 2.027656473124545184e-14 3.049047391990877840e-16 3.210462873683878526e-17 9.474572113019226778e-12 4.331557994616457683e-13 6.804635764569886254e-15 6.871291659847720829e-16 1.093314206455469279e-11 1.044818497658119816e-13 9.616729598955965910e-15 1.813503023697527008e-12 1.367632954502534901e-13 1.872836749781432939e-12
1.900000000000000000e+01 6.503989849331980924e-12 2.532763270877825163e-13 1.975905193680961252e-14 3.114670884893464455e-16 3.291444938150919473e-17 9.520748165646084472e-12 4.219592354078767763e-13 6.940787532676167404e-15 7.035198926173155095e-16 1.061384409499308088e-11 1.062379545155112988e-13 9.809596428449080274e-15 1.827715061489400759e-12 1.389150283581750762e-13 1.888962139956090769e-12
2.000000000000000000e+01 6.500954990371746654e-12 2.544880087931525249e-13 1.926551745081425630e-14 3.183626122725731101e-16 3.376467509678578375e-17 9.559897233247465792e-12 4.112699825285724900e-13 7.083370540223642525e-15 7.206895240624602799e-16 1.030897476613860613e-11 1.080661226272614280e-13 1.001187713304651871e-14 1.842495717661837065e-12 1.411594946251014633e-13 1.905723542606451387e-12
2.100000000000000000e+01 6.499824218917978125e-12 2.555365167498759151e-13 1.879656659877859629e-14 3.255920793066528463e-16 3.465521050148031809e-17 9.591697330482951428e-12 4.011004244896846136e-13 7.232344395399511795e-15 7.386351298808624761e-16 1.001848663741004626e-11 1.099643986109924068e-13 1.022343759821937130e-14 1.857809290046990615e-12 1.434929130703095461e-13 1.923068420639396336e-12
2.200000000000000000e+01 6.500125064326882574e-12 2.564162318530109076e-13 1.835234273651532670e-14 3.331564183871151365e-16 3.558598533031062837e-17 9.616050771775792597e-12 3.914529564729312872e-13 7.387672833599977668e-15 7.573550326850633678e-16 9.742135211305990221e-12 1.119308643039031779e-13 1.044415950657556406e-14 1.873620033433654697e-12 1.459117415999951742e-13 1.940947482052459387e-12
2.300000000000000000e+01 6.501402791837689228e-12 2.571266146804551622e-13 1.793265467034104583e-14 3.410568546401980153e-16 3.655695916214093016e-17 9.633033821471873534e-12 3.823227370282585995e-13 7.549326087599182161e-15 7.768488399181713630e-16 9.479539488595011357e-12 1.139636800088072167e-13 1.067394054126897817e-14 1.889893182351400433e-12 1.484126840524724447e-13 1.959314910120155401e-12
2.400000000000000000e+01 6.503237246000528921e-12 2.576710336841897777e-13 1.753707389155224012e-14 3.492949856673283943e-16 3.756812198330607745e-17 9.642853764108369502e-12 3.736997860404950840e-13 7.717281998870644126e-15 7.971173929984957996e-16 9.230227436807639402e-12 1.160611053260162535e-13 1.091269357522547812e-14 1.906595529682805375e-12 1.509926832048089137e-13 1.978128367186170059e-12
