T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 4.388234019172399972e-12 1.960290759310183810e-13 2.047041535406290452e-14 8.685854943687208417e-17 1.120556941508050422e-17 7.260406815123225938e-12 4.283080006189130296e-13 1.970254720342866121e-15 2.454973492029340829e-16 1.165091922197414238e-11 3.111228704572675574e-14 3.701347347363473587e-15 5.817291811963341517e-13 5.557703109429863991e-14 8.187042799621725641e-13
2.000000000000000000e+00 5.523930447366706596e-12 2.381792988291589127e-13 2.507584314240183480e-14 1.699129955045937066e-16 1.935548833074720746e-17 8.880606690856753217e-12 5.308964132103016063e-13 3.863087933674301699e-15 4.222435519369562337e-16 1.459534962796893195e-11 6.127607160781726357e-14 6.319103022716997017e-15 1.170635566025275155e-12 9.472377309678792718e-14 1.405486030461510511e-12
3.000000000000000000e+00 5.972527716696744145e-12 2.444785458350766053e-13 2.625910377139620055e-14 2.092742040668889055e-16 2.262125225685759458e-17 9.122328507636288984e-12 5.584871511398815886e-13 4.753442881311875351e-15 4.919725978897764798e-16 1.526755215451607973e-11 7.538588830453314173e-14 7.311967055786793408e-15 1.446296086369303243e-12 1.092143795162900341e-13 1.618387216853265105e-12
4.000000000000000000e+00 6.257360838089176340e-12 2.441288164494901689e-13 2.660314441825620741e-14 2.289536650174532849e-16 2.413475802615949440e-17 9.109958189384891224e-12 5.672023617902687321e-13 5.194037210735430564e-15 5.239045477327259606e-16 1.538490407010860713e-11 8.229199684726253970e-14 7.745863643310152006e-15 1.577189994518469231e-12 1.153553798117640797e-13 1.705095521594131201e-12
5.000000000000000000e+00 6.448588830139344049e-12 2.424324050358277883e-13 2.664498145256149907e-14 2.399934847812767222e-16 2.497031111823941784e-17 9.050690566137040049e-12 5.689141817119603153e-13 5.437950152697216324e-15 5.413356989711238471e-16 1.530652324748891670e-11 8.604588237843670154e-14 7.967838925072699757e-15 1.643773491654324963e-12 1.183465781378909609e-13 1.743888867773384552e-12
6.000000000000000000e+00 6.570426791763934373e-12 2.408077567259424559e-13 2.651933219687061773e-14 2.470665336539213490e-16 2.553007562684293391e-17 8.997995465586557040e-12 5.667117005456124391e-13 5.591910326100231131e-15 5.529050387161221230e-16 1.512918662962840687e-11 8.835276871145522629e-14 8.104587486812841684e-15 1.680275691546529913e-12 1.200663559821777637e-13 1.762919473013199435e-12
7.000000000000000000e+00 6.640004848451184630e-12 2.396790496428694673e-13 2.626462727261965074e-14 2.522780106157487249e-16 2.598159806477819907e-17 8.966456699762536820e-12 5.615409326997687036e-13 5.703808216366016207e-15 5.621877384411473311e-16 1.488431146752349215e-11 8.997607354923308882e-14 8.208024157214077411e-15 1.702083612175600220e-12 1.212791044393203226e-13 1.773626980051895385e-12
8.000000000000000000e+00 6.671967394855529114e-12 2.391486253117975729e-13 2.590203864720881071e-14 2.566468348872598127e-16 2.640081600825885641e-17 8.958473757929639350e-12 5.539311040657561600e-13 5.796693998646241321e-15 5.707926528623003132e-16 1.458811533396883016e-11 9.128216616496195233e-14 8.301301410222961238e-15 1.716596357770303736e-12 1.223233709261469511e-13 1.781077857892597625e-12
9.000000000000000000e+00 6.678421648994325156e-12 2.391975580918040006e-13 2.545255163347001719e-14 2.606969722404812087e-16 2.682432826861245231e-17 8.972141713744091713e-12 5.443785198463873123e-13 5.882325418182817403e-15 5.794873108096061390e-16 1.425368349347190788e-11 9.245713575150503084e-14 8.395344419793832439e-15 1.727576394693133052e-12 1.233573527148645038e-13 1.787640893730723981e-12
1.000000000000000000e+01 6.668809276403539425e-12 2.397556266949376846e-13 2.493775917268885776e-14 2.647109604487242884e-16 2.727053915881496046e-17 9.003945415186363144e-12 5.333746506911571995e-13 5.966968656567166311e-15 5.886513313777375516e-16 1.389285349520317732e-11 9.359949226230811858e-14 8.495471130712180240e-15 1.737016985875867300e-12 1.244567650484733719e-13 1.794450452560539959e-12
1.100000000000000000e+01 6.650134840616238192e-12 2.407304114226242233e-13 2.437794411442937384e-14 2.688466214609753145e-16 2.774894440543602252e-17 9.049831750503362245e-12 5.213719002419005641e-13 6.054064914462014524e-15 5.984751633720728106e-16 1.351598728332796726e-11 9.476273364076952278e-14 8.604279689640071480e-15 1.746001472698012169e-12 1.256574080200911174e-13 1.802042912144882567e-12
1.200000000000000000e+01 6.627369869005850424e-12 2.420223944644793051e-13 2.379071274719080468e-14 2.731942753646140518e-16 2.826448359064555728e-17 9.105726023353439176e-12 5.087585409669768931e-13 6.145535042526762671e-15 6.090531757164014936e-16 1.313167796566640344e-11 9.597615065150200582e-14 8.722995209604499871e-15 1.755123760293164368e-12 1.269749818551662358e-13 1.810653216410072659e-12
1.300000000000000000e+01 6.603881209337154790e-12 2.435342124304217932e-13 2.319050149465495123e-14 2.778063435356537614e-16 2.881968908067908972e-17 9.167821208545047038e-12 4.958507194210582120e-13 6.242452713942558583e-15 6.204296197587314038e-16 1.274671914320035478e-11 9.725555088196526064e-14 8.852131909256250289e-15 1.764705161150184315e-12 1.284148146726321935e-13 1.820360692530753475e-12
1.400000000000000000e+01 6.581815051296439901e-12 2.451765131520509951e-13 2.258866040971941918e-14 2.827133848945607476e-16 2.941579315421906740e-17 9.232743369051994254e-12 4.828958180003338463e-13 6.345407695483093211e-15 6.326223005012410289e-16 1.236626761902417404e-11 9.860903970557241395e-14 8.991832458051801861e-15 1.774911262070382139e-12 1.299768411633384841e-13 1.831163816905047181e-12
1.500000000000000000e+01 6.562416170850337824e-12 2.468713301696202282e-13 2.199381694664078913e-14 2.879331241815759468e-16 3.005331919976425326e-17 9.297632678860688365e-12 4.700812138340529464e-13 6.454709295880373946e-15 6.456351879104861919e-16 1.199409256308461364e-11 1.000402543813556453e-13 9.142047625903587268e-15 1.785817254677248533e-12 1.316582339708469511e-13 1.843019794425944328e-12
1.600000000000000000e+01 6.546282775445265344e-12 2.485535656971743606e-13 2.141233093626678560e-14 2.934756990028687454e-16 3.073240718255270210e-17 9.360163678244362784e-12 4.575446230131818725e-13 6.570503761006574571e-15 6.594653170366534756e-16 1.163283946003065426e-11 1.015502282596389417e-13 9.302633719948103581e-15 1.797445556605859359e-12 1.334548274519474472e-13 1.855865992343287035e-12
