   ENERGY (CM-1)    JTOTL  JSTEP  JTOTU      F    I         SIG(F,I)
  5.0000000000E-02      0      1      5      1    1          24.2275      
  0.1000000000          0      1      5      1    1          38.7387      
  0.1500000000          0      1      5      1    1          51.3499      
  0.2000000000          0      1      6      1    1          61.1431      
  0.2500000000          0      1      6      1    1          68.4465      
  0.3000000000          0      1      6      1    1          74.0809      
  0.3500000000          0      1      6      1    1          78.7168      
  0.4000000000          0      1      6      1    1          82.7409      
  0.4500000000          0      1      6      1    1          86.3281      
  0.5000000000          0      1      7      1    1          86.2299      
  0.5500000000          0      1      7      1    1          92.3912      
  0.6000000000          0      1      7      1    1          94.9847      
  0.6500000000          0      1      7      1    1          97.3084      
  0.7000000000          0      1      7      1    1          99.4009      
  0.7500000000          0      1      7      1    1          101.299      
  0.8000000000          0      1      7      1    1          103.036      
  0.8500000000          0      1      7      1    1          104.643      
  0.9000000000          0      1      7      1    1          106.146      
  0.9500000000          0      1      7      1    1          107.570      
   1.000000000          0      1      7      1    1          108.941      
   1.050000000          0      1      7      1    1          110.289      
   1.100000000          0      1      9      1    1          111.663      
   1.150000000          0      1      9      1    1          113.142      
   1.200000000          0      1      9      1    1          114.894      
   1.250000000          0      1      9      1    1          117.316      
   1.300000000          0      1      9      1    1          121.532      
   1.350000000          0      1      9      1    1          131.696      
   1.400000000          0      1      9      1    1          171.897      
   1.450000000          0      1      9      1    1          486.443      
   1.500000000          0      1      9      1    1          260.813      
   1.550000000          0      1      9      1    1          163.798      
   1.600000000          0      1      9      1    1          142.862      
   1.650000000          0      1      9      1    1          135.574      
   1.700000000          0      1      9      1    1          132.432      
   1.750000000          0      1      9      1    1          130.979      
   1.800000000          0      1      9      1    1          130.349      
   1.850000000          0      1      9      1    1          130.175      
   1.900000000          0      1      9      1    1          130.275      
   1.950000000          0      1      9      1    1          130.552      
   2.000000000          0      1      9      1    1          130.954      
   2.050000000          0      1     10      1    1          131.447      
   2.100000000          0      1     10      1    1          132.009      
   2.150000000          0      1     10      1    1          132.628      
   2.200000000          0      1     10      1    1          133.297      
   2.250000000          0      1     10      1    1          134.011      
   2.300000000          0      1     10      1    1          134.765      
   2.350000000          0      1     10      1    1          135.566      
   2.400000000          0      1     10      1    1          136.411      
   2.450000000          0      1     10      1    1          137.301      
   2.500000000          0      1     10      1    1          138.241      
   2.550000000          0      1     10      1    1          139.230      
   2.600000000          0      1     10      1    1          140.285      
   2.650000000          0      1     10      1    1          141.409      
   2.700000000          0      1     10      1    1          142.612      
   2.750000000          0      1     10      1    1          143.905      
   2.800000000          0      1     10      1    1          145.303      
   2.850000000          0      1     10      1    1          146.826      
   2.900000000          0      1     10      1    1          148.499      
   2.950000000          0      1     10      1    1          150.348      
   3.000000000          0      1     10      1    1          152.406      
   3.050000000          0      1     11      1    1          154.722      
   3.100000000          0      1     11      1    1          157.348      
   3.150000000          0      1     11      1    1          160.351      
   3.200000000          0      1     11      1    1          163.816      
   3.250000000          0      1     11      1    1          167.856      
   3.300000000          0      1     11      1    1          172.602      
   3.350000000          0      1     11      1    1          178.220      
   3.400000000          0      1     11      1    1          184.919      
   3.450000000          0      1     11      1    1          192.954      
   3.500000000          0      1     11      1    1          202.619      
   3.550000000          0      1     11      1    1          214.237      
   3.600000000          0      1     11      1    1          228.133      
   3.650000000          0      1     11      1    1          244.533      
   3.700000000          0      1     11      1    1          263.433      
   3.750000000          0      1     11      1    1          284.361      
   3.800000000          0      1     11      1    1          306.151      
   3.850000000          0      1     11      1    1          326.827      
   3.900000000          0      1     11      1    1          343.864      
   3.950000000          0      1     11      1    1          354.900      
   4.000000000          0      1     11      1    1          358.678      
   4.050000000          0      1     11      1    1          355.501      
   4.100000000          0      1     11      1    1          346.938      
   4.150000000          0      1     11      1    1          335.069      
   4.200000000          0      1     11      1    1          321.784      
   4.250000000          0      1     11      1    1          308.458      
   4.300000000          0      1     12      1    1          295.918      
   4.350000000          0      1     12      1    1          284.568      
   4.400000000          0      1     12      1    1          274.554      
   4.450000000          0      1     12      1    1          265.850      
   4.500000000          0      1     12      1    1          258.359      
   4.550000000          0      1     12      1    1          251.961      
   4.600000000          0      1     12      1    1          246.523      
   4.650000000          0      1     12      1    1          241.923      
   4.700000000          0      1     12      1    1          238.052      
   4.750000000          0      1     12      1    1          234.821      
   4.800000000          0      1     12      1    1          232.154      
   4.850000000          0      1     12      1    1          229.991      
   4.900000000          0      1     12      1    1          228.295      
   4.950000000          0      1     12      1    1          227.059      
   5.000000000          0      1     12      1    1          226.335      
   5.050000000          0      1     12      1    1          226.363      
   5.100000000          0      1     12      1    1          226.046      
   5.150000000          0      1     12      1    1          213.647      
   5.200000000          0      1     12      1    1          219.971      
   5.250000000          0      1     12      1    1          221.486      
   5.300000000          0      1     12      1    1          222.598      
   5.350000000          0      1     12      1    1          224.004      
   5.400000000          0      1     12      1    1          226.742      
   5.450000000          0      1     12      1    1          238.993      
   5.500000000          0      1     12      1    1          235.071      
   5.550000000          0      1     12      1    1          223.826      
   5.600000000          0      1     12      1    1          193.641      
   5.650000000          0      1     12      1    1          235.304      
   5.700000000          0      1     12      1    1          234.782      
   5.750000000          0      1     13      1    1          236.162      
   5.800000000          0      1     13      1    1          238.153      
   5.850000000          0      1     13      1    1          240.504      
   5.900000000          0      1     13      1    1          243.125      
   5.950000000          0      1     13      1    1          245.968      
   6.000000000          0      1     13      1    1          248.974      
   6.050000000          0      1     13      1    1          252.032      
   6.100000000          0      1     13      1    1          254.847      
   6.150000000          0      1     13      1    1          256.491      
   6.200000000          0      1     13      1    1          256.039      
   6.250000000          0      1     13      1    1          263.254      
   6.300000000          0      1     13      1    1          271.754      
   6.350000000          0      1     13      1    1          277.836      
   6.400000000          0      1     13      1    1          283.227      
   6.450000000          0      1     13      1    1          288.451      
   6.500000000          0      1     13      1    1          293.634      
   6.550000000          0      1     13      1    1          298.700      
   6.600000000          0      1     13      1    1          301.456      
   6.650000000          0      1     13      1    1          319.029      
   6.700000000          0      1     13      1    1          295.373      
   6.750000000          0      1     13      1    1          307.915      
   6.800000000          0      1     13      1    1          315.111      
   6.850000000          0      1     13      1    1          319.721      
   6.900000000          0      1     13      1    1          323.305      
   6.950000000          0      1     13      1    1          326.188      
   7.000000000          0      1     13      1    1          328.473      
   7.050000000          0      1     13      1    1          330.206      
   7.100000000          0      1     13      1    1          331.417      
   7.150000000          0      1     13      1    1          332.137      
   7.200000000          0      1     13      1    1          332.400      
   7.250000000          0      1     13      1    1          332.243      
   7.300000000          0      1     13      1    1          331.708      
   7.350000000          0      1     13      1    1          330.836      
   7.400000000          0      1     13      1    1          329.673      
   7.450000000          0      1     14      1    1          328.258      
   7.500000000          0      1     14      1    1          326.628      
   7.550000000          0      1     14      1    1          324.815      
   7.600000000          0      1     14      1    1          322.840      
   7.650000000          0      1     14      1    1          320.708      
   7.700000000          0      1     14      1    1          318.395      
   7.750000000          0      1     14      1    1          315.818      
   7.800000000          0      1     14      1    1          312.752      
   7.850000000          0      1     14      1    1          308.573      
   7.900000000          0      1     14      1    1          303.159      
   7.950000000          0      1     14      1    1          323.684      
   8.000000000          0      1     14      1    1          319.540      
   8.050000000          0      1     14      1    1          315.206      
   8.100000000          0      1     14      1    1          312.593      
   8.150000000          0      1     14      1    1          311.058      
   8.200000000          0      1     14      1    1          310.959      
   8.250000000          0      1     14      1    1          260.240      
   8.300000000          0      1     14      1    1          299.400      
   8.350000000          0      1     14      1    1          300.692      
   8.400000000          0      1     14      1    1          300.473      
   8.450000000          0      1     14      1    1          299.985      
   8.500000000          0      1     14      1    1          299.465      
   8.550000000          0      1     14      1    1          298.988      
   8.600000000          0      1     14      1    1          298.582      
   8.650000000          0      1     14      1    1          298.261      
   8.700000000          0      1     14      1    1          298.028      
   8.750000000          0      1     14      1    1          297.888      
   8.800000000          0      1     14      1    1          297.839      
   8.850000000          0      1     14      1    1          297.881      
   8.900000000          0      1     14      1    1          298.012      
   8.950000000          0      1     14      1    1          298.229      
   9.000000000          0      1     14      1    1          298.531      
   9.050000000          0      1     14      1    1          298.914      
   9.100000000          0      1     14      1    1          299.375      
   9.150000000          0      1     14      1    1          299.911      
   9.200000000          0      1     14      1    1          300.518      
   9.250000000          0      1     14      1    1          301.191      
   9.300000000          0      1     14      1    1          301.926      
   9.350000000          0      1     14      1    1          302.718      
   9.400000000          0      1     15      1    1          303.563      
   9.450000000          0      1     15      1    1          304.452      
   9.500000000          0      1     15      1    1          305.380      
   9.550000000          0      1     15      1    1          306.340      
   9.600000000          0      1     15      1    1          307.324      
   9.650000000          0      1     15      1    1          308.323      
   9.700000000          0      1     15      1    1          309.335      
   9.750000000          0      1     15      1    1          310.383      
   9.800000000          0      1     15      1    1          311.649      
   9.850000000          0      1     15      1    1          314.792      
   9.900000000          0      1     15      1    1          341.211      
   9.950000000          0      1     15      1    1          325.522      
   10.00000000          0      1     15      1    1          318.871      
   10.05000000          0      1     15      1    1          293.134      
   10.10000000          0      1     15      1    1          324.740      
   10.15000000          0      1     15      1    1          323.642      
   10.20000000          0      1     15      1    1          322.626      
   10.25000000          0      1     15      1    1          322.580      
   10.30000000          0      1     15      1    1          324.814      
   10.35000000          0      1     15      1    1          325.729      
   10.40000000          0      1     15      1    1          326.522      
   10.45000000          0      1     15      1    1          327.258      
   10.50000000          0      1     15      1    1          327.945      
   10.55000000          0      1     15      1    1          328.581      
   10.60000000          0      1     15      1    1          329.160      
   10.65000000          0      1     15      1    1          329.682      
   10.70000000          0      1     15      1    1          330.144      
   10.75000000          0      1     15      1    1          330.544      
   10.80000000          0      1     15      1    1          330.881      
   10.85000000          0      1     15      1    1          331.156      
   10.90000000          0      1     15      1    1          331.367      
   10.95000000          0      1     15      1    1          331.503      
   10.95000000          0      1     15      2    1         3.921536E-02  
   10.95000000          0      1     15      1    2          2.92114      
   10.95000000          0      1     15      2    2          174.680      
   11.00000000          0      1     15      1    1          331.576      
   11.00000000          0      1     15      2    1         7.863395E-02  
   11.00000000          0      1     15      1    2          2.17877      
   11.00000000          0      1     15      2    2          37.8652      
   11.05000000          0      1     15      1    1          331.579      
   11.05000000          0      1     15      2    1         0.116646      
   11.05000000          0      1     15      1    2          1.99217      
   11.05000000          0      1     15      2    2          44.7514      
   11.10000000          0      1     15      1    1          331.524      
   11.10000000          0      1     15      2    1         0.151880      
   11.10000000          0      1     15      1    2          1.87945      
   11.10000000          0      1     15      2    2          287.207      
   11.15000000          0      1     15      1    1          331.418      
   11.15000000          0      1     15      2    1         0.183392      
   11.15000000          0      1     15      1    2          1.78275      
   11.15000000          0      1     15      2    2          64.3591      
   11.20000000          0      1     15      1    1          331.267      
   11.20000000          0      1     15      2    1         0.211799      
   11.20000000          0      1     15      1    2          1.69803      
   11.20000000          0      1     15      2    2          75.2465      
   11.25000000          0      1     15      1    1          331.074      
   11.25000000          0      1     15      2    1         0.238176      
   11.25000000          0      1     15      1    2          1.62688      
   11.25000000          0      1     15      2    2          78.4908      
