      R       THETA       E_CP
    2.5000   0.0000   -78.694939683682
    2.5000   5.0000   -78.695307921005
    2.5000   10.0000   -78.696146626809
    2.5000   15.0000   -78.696973294353
    2.5000   20.0000   -78.697603282616
    2.5000   25.0000   -78.698114675844
    2.5000   30.0000   -78.698566903600
    2.5000   35.0000   -78.699036460076
    2.5000   40.0000   -78.699568179014
    2.5000   45.0000   -78.700133532405
    2.5000   50.0000   -78.700717048182
    2.5000   55.0000   -78.701255795819
    2.5000   60.0000   -78.701776754933
    2.5000   65.0000   -78.702236093203
    2.5000   70.0000   -78.702612518853
    2.5000   75.0000   -78.702916231290
    2.5000   80.0000   -78.703133558409
    2.5000   85.0000   -78.703270375467
    2.5000   90.0000   -78.703302993049
    2.6000   0.0000   -78.698359126351
    2.6000   5.0000   -78.698503798483
    2.6000   10.0000   -78.698878731576
    2.6000   15.0000   -78.699337235460
    2.6000   20.0000   -78.699798762451
    2.6000   25.0000   -78.700238721928
    2.6000   30.0000   -78.700680622237
    2.6000   35.0000   -78.701137120773
    2.6000   40.0000   -78.701598112005
    2.6000   45.0000   -78.702061260231
    2.6000   50.0000   -78.702509527099
    2.6000   55.0000   -78.702933571038
    2.6000   60.0000   -78.703325790093
    2.6000   65.0000   -78.703654968236
    2.6000   70.0000   -78.703934538280
    2.6000   75.0000   -78.704158735351
    2.6000   80.0000   -78.704322352998
    2.6000   85.0000   -78.704401380479
    2.6000   90.0000   -78.704431920711
    2.7000   0.0000   -78.700915295207
    2.7000   5.0000   -78.700988001207
    2.7000   10.0000   -78.701182933666
    2.7000   15.0000   -78.701447500782
    2.7000   20.0000   -78.701757646030
    2.7000   25.0000   -78.702087861576
    2.7000   30.0000   -78.702432814978
    2.7000   35.0000   -78.702788861932
    2.7000   40.0000   -78.703148019815
    2.7000   45.0000   -78.703500873205
    2.7000   50.0000   -78.703835255311
    2.7000   55.0000   -78.704144809999
    2.7000   60.0000   -78.704433425444
    2.7000   65.0000   -78.704670171251
    2.7000   70.0000   -78.704874067565
    2.7000   75.0000   -78.705030432297
    2.7000   80.0000   -78.705138103517
    2.7000   85.0000   -78.705200859769
    2.7000   90.0000   -78.705221839549
    2.8000   0.0000   -78.702782449249
    2.8000   5.0000   -78.702820504060
    2.8000   10.0000   -78.702931855082
    2.8000   15.0000   -78.703091161120
    2.8000   20.0000   -78.703290075457
    2.8000   25.0000   -78.703519414210
    2.8000   30.0000   -78.703767656248
    2.8000   35.0000   -78.704034418684
    2.8000   40.0000   -78.704297929617
    2.8000   45.0000   -78.704550712584
    2.8000   50.0000   -78.704791399094
    2.8000   55.0000   -78.705015536022
    2.8000   60.0000   -78.705212801649
    2.8000   65.0000   -78.705388872249
    2.8000   70.0000   -78.705530851151
    2.8000   75.0000   -78.705635011099
    2.8000   80.0000   -78.705710049726
    2.8000   85.0000   -78.705754371013
    2.8000   90.0000   -78.705769398185
    2.9000   0.0000   -78.704126047183
    2.9000   5.0000   -78.704137384025
    2.9000   10.0000   -78.704197358734
    2.9000   15.0000   -78.704294298097
    2.9000   20.0000   -78.704422367539
    2.9000   25.0000   -78.704575467283
    2.9000   30.0000   -78.704748682451
    2.9000   35.0000   -78.704935700464
    2.9000   40.0000   -78.705124174115
    2.9000   45.0000   -78.705304337741
    2.9000   50.0000   -78.705472412731
    2.9000   55.0000   -78.705629086171
    2.9000   60.0000   -78.705761704039
    2.9000   65.0000   -78.705885179001
    2.9000   70.0000   -78.705982812463
    2.9000   75.0000   -78.706053037621
    2.9000   80.0000   -78.706103796133
    2.9000   85.0000   -78.706134509689
    2.9000   90.0000   -78.706144565213
    3.0000   0.0000   -78.705053985499
