R,theta,E_cm
2.5,0.0,2592.7884123703093
2.6,0.0,1842.3074977854762
2.7,0.0,1281.2932838966544
2.8,0.0,871.5003413750429
2.9,0.0,576.6146819425138
3.0,0.0,372.95576337327134
3.1,0.0,232.78899785261538
3.2,0.0,139.00897144528537
3.3,0.0,76.29153245816967
3.4,0.0,35.22122146068118
3.5,0.0,7.932558682879516
3.6,0.0,-7.869643867761572
3.7,0.0,-15.537616668092488
3.8,0.0,-19.953293908467252
3.9,0.0,-21.334645718936347
4.0,0.0,-21.400050697038054
4.1,0.0,-20.87430075437716
4.2,0.0,-19.93047425268608
4.3,0.0,-18.05821782686835
4.4,0.0,-16.1166625079908
4.5,0.0,-14.215007019716879
4.6,0.0,-12.425251107514564
4.7,0.0,-10.793654982359389
4.8,0.0,-9.344205456815688
4.9,0.0,-8.081295323666208
5.0,0.0,-6.995073679606069
5.1,0.0,-6.067445939119627
5.2,0.0,-5.2801318441408585
5.3,0.0,-4.605658210457749
5.4,0.0,-4.028709889323552
5.5,0.0,-3.533453095795501
5.6,0.0,-3.106958363339835
5.7,0.0,-2.7383019979749843
5.8,0.0,-2.4187256485630564
5.9,0.0,-2.1409284892761016
6.0,0.0,-1.8988648701693656
6.2,0.0,-1.5026784875943466
6.4,0.0,-1.1980896192132222
6.6,0.0,-0.9618864141499516
6.8,0.0,-0.7775604271886708
7.0,0.0,-0.631770013766978
7.2,0.0,-0.5162131085716856
7.4,0.0,-0.42385555049381296
7.6,0.0,-0.3492444937516996
7.8,0.0,-0.28883366156125845
8.0,0.0,-0.239454721878286
8.2,0.0,-0.1990463728618677
8.4,0.0,-0.16569895778157004
8.6,0.0,-0.13803593725819696
8.8,0.0,-0.11497441842644107
9.0,0.0,-0.0957453686688882
9.5,0.0,-0.05947148147604935
10.0,0.0,-0.034945628727450495
10.5,0.0,-0.018237684779622895
11.0,0.0,-0.006576337655691163
11.5,0.0,0.0013934439368729556
12.0,0.0,0.006991144935645082
12.5,0.0,0.010767644953111671
13.0,0.0,0.013361175252470617
13.5,0.0,0.015087782445993554
14.0,0.0,0.016273166209791582
14.5,0.0,0.01693356365221632
15.0,0.0,0.01741465114530513
16.0,0.0,0.017465130899179684
17.0,0.0,0.017159623124618408
18.0,0.0,0.016569675894150322
19.0,0.0,0.01582872917007194
20.0,0.0,0.015125752203402811
21.0,0.0,0.01434947121107328
22.0,0.0,0.013563091149046755
23.0,0.0,0.013022744136426496
24.0,0.0,0.012323279076020129
25.0,0.0,0.011709409713193822
50.0,0.0,0.003972708286635225
100.0,0.0,0.0
2.5,5.0,2511.969611235838
2.6,5.0,1810.55558422502
2.7,5.0,1265.3361105320369
2.8,5.0,863.1482248946587
2.9,5.0,574.1264818211724
3.0,5.0,371.2031258931018
3.1,5.0,232.17306732518074
3.2,5.0,138.89379028287095
