R,theta,E_cm
2.5,0.0,2620.8299549928265
2.6,0.0,1859.783635092451
2.7,0.0,1292.5800568904388
2.8,0.0,879.1881955040196
2.9,0.0,582.1337097224531
3.0,0.0,376.9236458702903
3.1,0.0,235.64396707645173
3.2,0.0,140.9928552993907
3.3,0.0,77.71028055296398
3.4,0.0,36.265071771664736
3.5,0.0,8.780830322781311
3.6,0.0,-7.204614230333021
3.7,0.0,-15.067479183330844
3.8,0.0,-19.587036399642255
3.9,0.0,-21.02970086614571
4.0,0.0,-21.18696804576368
4.1,0.0,-20.687677965125424
4.2,0.0,-19.772711937949968
4.3,0.0,-17.94227091606149
4.4,0.0,-16.03734569334868
4.5,0.0,-14.16831554602849
4.6,0.0,-12.407042615845615
4.7,0.0,-10.799133287901993
4.8,0.0,-9.368255050162578
4.9,0.0,-8.119062298118552
5.0,0.0,-7.0423746343339175
5.1,0.0,-6.120899865901023
5.2,0.0,-5.338665069644167
5.3,0.0,-4.665615170869177
5.4,0.0,-4.088611099002788
5.5,0.0,-3.592299292653909
5.6,0.0,-3.1641433568007504
5.7,0.0,-2.7935424464430723
5.8,0.0,-2.4719357348972695
5.9,0.0,-2.1921347710979564
6.0,0.0,-1.9481204658408164
6.2,0.0,-1.5481733837075913
6.4,0.0,-1.2399816207498509
6.6,0.0,-1.00035351175526
6.8,0.0,-0.8127540601242825
7.0,0.0,-0.6638719091468415
7.2,0.0,-0.5452932799586663
7.4,0.0,-0.45000090665168685
7.6,0.0,-0.37253426153915814
7.8,0.0,-0.309359368865679
8.0,0.0,-0.25741389315395524
8.2,0.0,-0.21458144304236257
8.4,0.0,-0.17900043686541792
8.6,0.0,-0.1493158339738268
8.8,0.0,-0.12447240322221476
9.0,0.0,-0.10372788170138535
9.5,0.0,-0.06469760969274888
10.0,0.0,-0.03864048472161315
10.5,0.0,-0.02115208666371217
11.0,0.0,-0.009108418952218074
11.5,0.0,-0.0009130145363431552
12.0,0.0,0.004841830232538058
12.5,0.0,0.008744964724321277
13.0,0.0,0.011446918111968216
13.5,0.0,0.013269875046405134
14.0,0.0,0.014541949249433514
14.5,0.0,0.015281579788393885
15.0,0.0,0.015834655122025084
16.0,0.0,0.016012430561697356
17.0,0.0,0.015816219173606642
18.0,0.0,0.015321523823480164
19.0,0.0,0.014663977075837095
20.0,0.0,0.01403562031994639
21.0,0.0,0.013325840984219468
22.0,0.0,0.012599818302296768
23.0,0.0,0.012114339366918471
24.0,0.0,0.011464695967827652
25.0,0.0,0.010896475148573045
50.0,0.0,0.0037020981312338107
100.0,0.0,0.0
2.5,5.0,2545.1174154838745
2.6,5.0,1829.4293857977352
2.7,5.0,1277.0690941000357
2.8,5.0,870.9172271320907
2.9,5.0,579.5548218078724
3.0,5.0,375.09022504272167
3.1,5.0,234.9388475444269
3.2,5.0,140.841789815627
3.3,5.0,78.00739542984432
3.4,5.0,36.723127397514006
3.5,5.0,8.874925023771496
3.6,5.0,-7.060804575708433
3.7,5.0,-14.770217916723732
3.8,5.0,-19.271488945898245
3.9,5.0,-20.948902158055432
4.0,5.0,-20.89839687580365
4.1,5.0,-20.429124339870164
4.2,5.0,-19.54051326353532
4.3,5.0,-17.741673300519
4.4,5.0,-15.869239320705068
4.5,5.0,-14.031645403462921
4.6,5.0,-12.298965843308686
4.7,5.0,-10.71578669805593
4.8,5.0,-9.305129317938933
4.9,5.0,-8.07185023267
5.0,5.0,-7.007152466380191
5.1,5.0,-6.099413518120089
5.2,5.0,-5.31850456628293
5.3,5.0,-4.649960262345579
5.4,5.0,-4.076221536594711
5.5,5.0,-3.582242306572551
5.6,5.0,-3.155861916919282
5.7,5.0,-2.7865864143322105
5.8,5.0,-2.4661437999070057
5.9,5.0,-2.187178155176086
6.0,5.0,-1.9439614206733977
6.2,5.0,-1.5450449894606297
6.4,5.0,-1.2379914240945298
6.6,5.0,-0.998573352669613
6.8,5.0,-0.8111907440962896
7.0,5.0,-0.6628002132118035
7.2,5.0,-0.5444377658698011
7.4,5.0,-0.44936925631407904
7.6,5.0,-0.3720830221303807
7.8,5.0,-0.30892722349787904
8.0,5.0,-0.25706580585514954
8.2,5.0,-0.21429875953958713
8.4,5.0,-0.17871160596722163
8.6,5.0,-0.1491722980607554
8.8,5.0,-0.12434225372271328
9.0,5.0,-0.10361068196636254
9.5,5.0,-0.0645819475863118
10.0,5.0,-0.0386281930496935
10.5,5.0,-0.021155380245429286
11.0,5.0,-0.009126851781714436
11.5,5.0,-0.0009428626206545233
12.0,5.0,0.004789594525532124
12.5,5.0,0.008757477839708656
13.0,5.0,0.011411362400249345
13.5,5.0,0.013242441007784152
14.0,5.0,0.014505517120609995
14.5,5.0,0.01524295193842562
