   ENERGY (CM-1)    JTOTL  JSTEP  JTOTU      F    I         SIG(F,I)
  5.0000000000E-02      0      1      6      1    1          365.306      
  0.1000000000          0      1      7      1    1          273.825      
  0.1500000000          0      1      7      1    1          223.486      
  0.2000000000          0      1      7      1    1          195.813      
  0.2500000000          0      1      8      1    1          179.398      
  0.3000000000          0      1      8      1    1          168.196      
  0.3500000000          0      1      8      1    1          160.096      
  0.4000000000          0      1      9      1    1          154.116      
  0.4500000000          0      1      9      1    1          149.656      
  0.5000000000          0      1      9      1    1          146.856      
  0.5500000000          0      1      9      1    1          143.783      
  0.6000000000          0      1     10      1    1          141.862      
  0.6500000000          0      1     10      1    1          140.396      
  0.7000000000          0      1     10      1    1          139.278      
  0.7500000000          0      1     10      1    1          138.433      
  0.8000000000          0      1     10      1    1          137.811      
  0.8500000000          0      1     11      1    1          137.374      
  0.9000000000          0      1     11      1    1          137.100      
  0.9500000000          0      1     11      1    1          136.976      
   1.000000000          0      1     11      1    1          137.002      
   1.050000000          0      1     11      1    1          137.190      
   1.100000000          0      1     11      1    1          137.566      
   1.150000000          0      1     12      1    1          138.173      
   1.200000000          0      1     12      1    1          139.073      
   1.250000000          0      1     12      1    1          140.359      
   1.300000000          0      1     12      1    1          142.168      
   1.350000000          0      1     12      1    1          144.718      
   1.400000000          0      1     12      1    1          148.368      
   1.450000000          0      1     12      1    1          153.755      
   1.500000000          0      1     13      1    1          162.210      
   1.550000000          0      1     13      1    1          176.228      
   1.600000000          0      1     13      1    1          201.819      
   1.650000000          0      1     13      1    1          254.009      
   1.700000000          0      1     13      1    1          366.671      
   1.750000000          0      1     13      1    1          513.375      
   1.800000000          0      1     13      1    1          428.462      
   1.850000000          0      1     13      1    1          286.679      
   1.900000000          0      1     13      1    1          218.527      
   1.950000000          0      1     14      1    1          187.691      
   2.000000000          0      1     14      1    1          172.434      
   2.050000000          0      1     14      1    1          164.285      
   2.100000000          0      1     14      1    1          159.740      
   2.150000000          0      1     14      1    1          157.196      
   2.200000000          0      1     14      1    1          155.848      
   2.250000000          0      1     14      1    1          155.259      
   2.300000000          0      1     14      1    1          155.177      
   2.350000000          0      1     14      1    1          155.461      
   2.400000000          0      1     14      1    1          156.012      
   2.450000000          0      1     15      1    1          156.774      
   2.500000000          0      1     15      1    1          157.710      
   2.550000000          0      1     15      1    1          158.795      
   2.600000000          0      1     15      1    1          160.017      
   2.650000000          0      1     15      1    1          161.376      
   2.700000000          0      1     15      1    1          162.867      
   2.750000000          0      1     15      1    1          164.494      
   2.800000000          0      1     15      1    1          166.262      
   2.850000000          0      1     15      1    1          168.182      
