T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 2.658785721460894601e-12 8.243445422100314539e-14 6.281540076631450234e-15 4.145538620117890688e-17 4.655121346455478122e-18 4.479850448070537807e-12 2.679827412291850604e-13 2.088645498255453189e-15 2.129857348315286607e-16 8.744918657035291763e-12 4.718674821773605810e-14 4.925098275190604389e-15 1.029350398819778944e-12 8.378535529032103208e-14 1.389906524199355704e-12
2.000000000000000000e+00 4.092041569740768399e-12 1.036423650778928682e-13 7.927495164907545126e-15 6.096984484420445640e-17 6.679845223635492341e-18 5.618160391146686906e-12 3.374894333467853024e-13 3.066358474431752204e-15 2.844291290171933300e-16 1.116480579659058160e-11 6.946187437027630641e-14 6.566427288870401063e-15 1.534151459191594121e-12 1.120767370852637102e-13 1.876683220741348545e-12
3.000000000000000000e+00 4.651700486186615244e-12 1.071398707492647796e-13 8.314495479237226467e-15 6.584160005198588073e-17 7.130633461770458005e-18 5.810847317780642359e-12 3.517368276326590705e-13 3.261622643588106862e-15 2.919759159855890191e-16 1.158682149338701509e-11 7.356144773015801895e-14 6.702398894511527476e-15 1.616388701264619003e-12 1.138098893060135696e-13 1.894076676301678193e-12
4.000000000000000000e+00 4.956691481794452261e-12 1.073908120872253374e-13 8.420427430285612524e-15 6.737232664838909068e-17 7.281033603679392336e-18 5.824017526001631552e-12 3.538287763630081776e-13 3.285913003785280851e-15 2.891563244214792113e-16 1.156647254828963399e-11 7.374352211489118538e-14 6.599451023038455741e-15 1.609025273594976134e-12 1.114669704629151598e-13 1.842190433382265123e-12
5.000000000000000000e+00 5.138559342326599974e-12 1.072275740876495865e-13 8.445080822312080520e-15 6.812838869933166511e-17 7.379083140798960548e-18 5.811364040763583649e-12 3.525772896336452396e-13 3.273269517386001835e-15 2.854277443503830998e-16 1.142762569117866220e-11 7.309772615914663371e-14 6.477866077568657722e-15 1.583285040391316303e-12 1.088765320957583535e-13 1.787465632029072223e-12
6.000000000000000000e+00 5.243715624545908232e-12 1.073263460195966904e-13 8.428588153227201857e-15 6.881812273362158343e-17 7.484731766902245684e-18 5.809325059935684185e-12 3.498008075213238877e-13 3.258586943724893241e-15 2.827212537075304484e-16 1.124250985933708656e-11 7.241122784294448076e-14 6.381084792186839841e-15 1.556782481486107533e-12 1.067564261420555386e-13 1.741579331645939365e-12
7.000000000000000000e+00 5.297312291761173549e-12 1.078480026435457049e-13 8.377216443565164490e-15 6.966258054972143029e-17 7.614144195091286384e-18 5.826102043244431645e-12 3.458167874529187598e-13 3.251779513879218223e-15 2.813688973064232723e-16 1.102715385348420724e-11 7.189938528306011004e-14 6.315669934556910580e-15 1.534096923035002706e-12 1.051938241684967991e-13 1.705501495044657623e-12
8.000000000000000000e+00 5.316441920191176839e-12 1.088045565780882659e-13 8.293396898936193451e-15 7.073178336657758793e-17 7.771374362708360824e-18 5.861860571098969535e-12 3.407363312156010931e-13 3.255388897169466918e-15 2.813226488898030835e-16 1.078720226274668644e-11 7.161182468668006477e-14 6.279702539609425695e-15 1.516132926123187271e-12 1.041382402631405340e-13 1.678028676393703722e-12
9.000000000000000000e+00 5.313467055477553959e-12 1.101576206149424267e-13 8.181372897005801252e-15 7.204424061041096307e-17 7.956897131221784927e-18 5.914242706716853990e-12 3.347188391806468247e-13 3.269608005337379497e-15 2.824545551677549720e-16 1.052783555336666625e-11 7.154673452837458177e-14 6.269639657897560963e-15 1.502701106652958209e-12 1.035170352012400270e-13 1.657704121882149530e-12
1.000000000000000000e+01 5.297313225499040746e-12 1.118485184943642732e-13 8.046883264388247557e-15 7.360039163188763216e-17 8.170217283614897287e-18 5.980068868122154099e-12 3.279726409292236650e-13 3.293898365531874909e-15 2.846362873549792175e-16 1.025480463966072999e-11 7.168706725904768360e-14 6.282073509780194261e-15 1.493315352039645116e-12 1.032634904948541336e-13 1.643249577139260970e-12
