	0	1	2
1130	3.0000000000	75.0000000000	98.5545099924
5	3.0000000000	0.0000000000	390.9627466079
457	3.2000000000	30.0000000000	109.1058649788
7	3.2000000000	0.0000000000	148.6312556501
756	3.1000000000	50.0000000000	111.3761564222
6	3.1000000000	0.0000000000	246.4423962895
1354	2.9000000000	90.0000000000	142.0598053142
4	2.9000000000	0.0000000000	599.4577557260
1353	2.8000000000	90.0000000000	225.3922098816
3	2.8000000000	0.0000000000	896.0830803743
1352	2.7000000000	90.0000000000	347.6580315604
2	2.7000000000	0.0000000000	1308.6289658252
1351	2.6000000000	90.0000000000	523.8749832213
1	2.6000000000	0.0000000000	1876.1067205172
1350	2.5000000000	90.0000000000	774.8621183675
0	2.5000000000	0.0000000000	2643.2261494584
1125	2.5000000000	75.0000000000	859.9772080355
1055	3.0000000000	70.0000000000	109.0800789069
1050	2.5000000000	70.0000000000	926.1777655816
450	2.5000000000	30.0000000000	1858.4301563370
750	2.5000000000	50.0000000000	1356.0965281620
382	3.2000000000	25.0000000000	119.8740672677
375	2.5000000000	25.0000000000	1968.6530490803
980	3.0000000000	65.0000000000	123.0559937763
975	2.5000000000	65.0000000000	1010.8410680396
681	3.1000000000	45.0000000000	128.6121129878
675	2.5000000000	45.0000000000	1487.4884249518
307	3.2000000000	20.0000000000	129.1442189131
300	2.5000000000	20.0000000000	2083.8013820328
232	3.2000000000	15.0000000000	137.3247584684
225	2.5000000000	15.0000000000	2226.2145674004
905	3.0000000000	60.0000000000	140.1479100180
900	2.5000000000	60.0000000000	1112.8867921337
157	3.2000000000	10.0000000000	143.5748770944
150	2.5000000000	10.0000000000	2397.5754833144
1279	2.9000000000	85.0000000000	144.2726740742
1275	2.5000000000	85.0000000000	784.2937401334
606	3.1000000000	40.0000000000	146.6515468600
600	2.5000000000	40.0000000000	1618.7099738713
82	3.2000000000	5.0000000000	148.0281964276
75	2.5000000000	5.0000000000	2567.8824941271
1204	2.9000000000	80.0000000000	150.9402060111
1200	2.5000000000	80.0000000000	812.3111306717
830	3.0000000000	55.0000000000	160.3852874946
825	2.5000000000	55.0000000000	1228.4009642758
531	3.1000000000	35.0000000000	164.9295274860
525	2.5000000000	35.0000000000	1743.4477918577
