	0	1	2
15	4.0000000000	0.0000000000	-19.6033157101
90	4.0000000000	5.0000000000	-19.5409552865
165	4.0000000000	10.0000000000	-19.3575416560
164	3.9000000000	10.0000000000	-19.1310308881
240	4.0000000000	15.0000000000	-19.0640020182
239	3.9000000000	15.0000000000	-18.9193844786
16	4.1000000000	0.0000000000	-18.8534442030
91	4.1000000000	5.0000000000	-18.7893268875
315	4.0000000000	20.0000000000	-18.6993095845
166	4.1000000000	10.0000000000	-18.6007883003
241	4.1000000000	15.0000000000	-18.2990892567
390	4.0000000000	25.0000000000	-18.2488251794
389	3.9000000000	25.0000000000	-18.2462031141
14	3.9000000000	0.0000000000	-18.2420653587
89	3.9000000000	5.0000000000	-18.1802900542
314	3.9000000000	20.0000000000	-17.9193522782
316	4.1000000000	20.0000000000	-17.9110780835
465	4.0000000000	30.0000000000	-17.7518505585
464	3.9000000000	30.0000000000	-17.7082694797
17	4.2000000000	0.0000000000	-17.5577320482
92	4.2000000000	5.0000000000	-17.4968866597
391	4.1000000000	25.0000000000	-17.4439010952
539	3.9000000000	35.0000000000	-17.4154409406
167	4.2000000000	10.0000000000	-17.3178989543
540	4.0000000000	35.0000000000	-17.2343559378
388	3.8000000000	25.0000000000	-17.0809635823
242	4.2000000000	15.0000000000	-17.0316899904
614	3.9000000000	40.0000000000	-16.9975575146
466	4.1000000000	30.0000000000	-16.9277088366
615	4.0000000000	40.0000000000	-16.7188179293
13	3.8000000000	0.0000000000	-16.7015553724
88	3.8000000000	5.0000000000	-16.6643399388
317	4.2000000000	20.0000000000	-16.6553436731
689	3.9000000000	45.0000000000	-16.5984602389
163	3.8000000000	10.0000000000	-16.5654804449
463	3.8000000000	30.0000000000	-16.4307925957
541	4.1000000000	35.0000000000	-16.3876430042
238	3.8000000000	15.0000000000	-16.3532359665
538	3.8000000000	35.0000000000	-16.2250041831
764	3.9000000000	50.0000000000	-16.2245904736
690	4.0000000000	45.0000000000	-16.2214061166
392	4.2000000000	25.0000000000	-16.2074999845
313	3.8000000000	20.0000000000	-16.1216061741
613	3.8000000000	40.0000000000	-16.0421614057
18	4.3000000000	0.0000000000	-16.0108915358
93	4.3000000000	5.0000000000	-15.9559568197
763	3.8000000000	50.0000000000	-15.8880566353
688	3.8000000000	45.0000000000	-15.8848604264
839	3.9000000000	55.0000000000	-15.8781111413
616	4.1000000000	40.0000000000	-15.8458251079
168	4.3000000000	10.0000000000	-15.7941337838
765	4.0000000000	50.0000000000	-15.7519290324
838	3.8000000000	55.0000000000	-15.7267757024
467	4.2000000000	30.0000000000	-15.7110538587
913	3.8000000000	60.0000000000	-15.5738205417
914	3.9000000000	60.0000000000	-15.5603849646
243	4.3000000000	15.0000000000	-15.5341507223
988	3.8000000000	65.0000000000	-15.4292120002
691	4.1000000000	45.0000000000	-15.3191279143
840	4.0000000000	55.0000000000	-15.3160932406
1063	3.8000000000	70.0000000000	-15.2966523973
