T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 1.018375618433815506e-12 1.007604828041927447e-13 7.918167906711665878e-15 7.599133028820887518e-17 6.024065187185832413e-17 6.075142001974082935e-12 3.451393596036348269e-13 1.920772624456248996e-15 4.108793065154990849e-16 1.000831354828290252e-11 3.882731516558363409e-14 4.538281976467258108e-15 8.043746083420373789e-13 7.085182517128316142e-14 1.161596329288777306e-12
2.000000000000000000e+00 1.109935631553363761e-12 1.173949422169431850e-13 9.210059863366420960e-15 1.121775305996866679e-16 8.572734136690603088e-17 7.254238734943133506e-12 4.094483809808125497e-13 2.846691145985033955e-15 5.536307942990782911e-16 1.229900020834643990e-11 5.834533556116479966e-14 6.132248413291940709e-15 1.223684016961940245e-12 9.680266804724432506e-14 1.591647851432433634e-12
3.000000000000000000e+00 1.224928106631384818e-12 1.196524390316685840e-13 9.518843148264635480e-15 1.280157823999939610e-16 9.930322301648768880e-17 7.342925559073859057e-12 4.233752494106314849e-13 3.235968136514519797e-15 6.081351173899388650e-16 1.273939840034951724e-11 6.638703500544267855e-14 6.617582886307125969e-15 1.367930815186901615e-12 1.034857761472277734e-13 1.665901437271907392e-12
4.000000000000000000e+00 1.365938003933745645e-12 1.195888435943915065e-13 9.615021777365390222e-15 1.367895443208772969e-16 1.072570605811622138e-16 7.256027162911316881e-12 4.263226172420045494e-13 3.433033764994308967e-15 6.397860002204411839e-16 1.276849552495620447e-11 7.025970043525762589e-14 6.812242054158305193e-15 1.425392701957966996e-12 1.054481545324291716e-13 1.667741670437508099e-12
5.000000000000000000e+00 1.516178541146385888e-12 1.193389405041649056e-13 9.645326217215747754e-15 1.427980543151811740e-16 1.128230565476243701e-16 7.153585497236664468e-12 4.258387233562211252e-13 3.552704970908267444e-15 6.649158392553691695e-16 1.267314783505118505e-11 7.242611494454611952e-14 6.917884969259185657e-15 1.450868684574639924e-12 1.060500423844343404e-13 1.654085123126989136e-12
6.000000000000000000e+00 1.663019123123705990e-12 1.194159125662045123e-13 9.634866016040967673e-15 1.477571092075230171e-16 1.174691611557844606e-16 7.070907637795253858e-12 4.234407324121118478e-13 3.640403818904453495e-15 6.881732264017093010e-16 1.251803122559143982e-11 7.385733213213254921e-14 6.998430042354963978e-15 1.463658186192913682e-12 1.062972195683501504e-13 1.639215678396575538e-12
7.000000000000000000e+00 1.800712924674540760e-12 1.199423601525346708e-13 9.584889833175619788e-15 1.524597688299345444e-16 1.218328306765900318e-16 7.014834511320778598e-12 4.193855442800337950e-13 3.716091195883785114e-15 7.111093536345760913e-16 1.231872229026061871e-11 7.497526025249528634e-14 7.076970200815118398e-15 1.471498660771814496e-12 1.065363016641272001e-13 1.627048538607067536e-12
8.000000000000000000e+00 1.928090637292980362e-12 1.209226197458273619e-13 9.496588131107397712e-15 1.573225859152877854e-16 1.262078759425883714e-16 6.984422701221271776e-12 4.138122078200076768e-13 3.789289847671085113e-15 7.344491721709604800e-16 1.208252754271456032e-11 7.597658408133974274e-14 7.162421385667794307e-15 1.477756972180652854e-12 1.068922544523589550e-13 1.618491838881006259e-12
9.000000000000000000e+00 2.046178747706949275e-12 1.223174452820314325e-13 9.374587891718056550e-15 1.625861540771432527e-16 1.307434021239157001e-16 6.976429381787605842e-12 4.069452747131450287e-13 3.864843079976915703e-15 7.586624249835545605e-16 1.181689105649805417e-11 7.695754012535698613e-14 7.258295306912898244e-15 1.483963268249969258e-12 1.074069818333819941e-13 1.613510057911107402e-12
1.000000000000000000e+01 2.156744639679825900e-12 1.240677527086351105e-13 9.225634961515523958e-15 1.683957270511748419e-16 1.355246753030160456e-16 6.986958575718621571e-12 3.990690214905227514e-13 3.945328423240859946e-15 7.841012102232990503e-16 1.152981730707585230e-11 7.796654160162610018e-14 7.365916652287779654e-15 1.490815081260568455e-12 1.080894517699177053e-13 1.611782457750843520e-12
1.100000000000000000e+01 2.261572535549277769e-12 1.261046332923984314e-13 9.056971892086474558e-15 1.748382779492161391e-16 1.406080607979002013e-16 7.012035373532484490e-12 3.904751779227797974e-13 4.032149805518507121e-15 8.110400736139608851e-16 1.122898723450452881e-11 7.902802797022909031e-14 7.485691565285641875e-15 1.498612043032929104e-12 1.089354659101461900e-13 1.612928002175760399e-12
1.200000000000000000e+01 2.362159091086403490e-12 1.283557337164568026e-13 8.875329426637892868e-15 1.819630144774396057e-16 1.460370025148826744e-16 7.047866442246430917e-12 3.814287754620596076e-13 4.126068989904983869e-15 8.396967579263341661e-16 1.092111233949519582e-11 8.015392833986768665e-14 7.617636096607703631e-15 1.507457314768923689e-12 1.099358881959925850e-13 1.616582291998996448e-12
1.300000000000000000e+01 2.459622700535030677e-12 1.307502368174278494e-13 8.686474440599214908e-15 1.897947570950266481e-16 1.518495165174226445e-16 7.090990613381121240e-12 3.721532011289746257e-13 4.227482638888125141e-15 8.702479049716606386e-16 1.061168066069401093e-11 8.134945166832083173e-14 7.761606126471438801e-15 1.517355944717327536e-12 1.110801589075652753e-13 1.622420898838182402e-12
1.400000000000000000e+01 2.554713986179543483e-12 1.332226210775325700e-13 8.495100685591203329e-15 1.983433993436692687e-16 1.580816508883387756e-16 7.138368652196072472e-12 3.628274680975344153e-13 4.336575880112535648e-15 9.028413612806370355e-16 1.030496335168777971e-11 8.261613703716451244e-14 7.917400804817225151e-15 1.528264835210835572e-12 1.123577860716881148e-13 1.630162975142328272e-12
1.500000000000000000e+01 2.647869517509477104e-12 1.357151255347320674e-13 8.304893499612476125e-15 2.076106710868019475e-16 1.647689764136110584e-16 7.187425456551952229e-12 3.535896913131196407e-13 4.453411785906996371e-15 9.376053827421695573e-16 1.000414988262092956e-11 8.395351745278560114e-14 8.084810278148651205e-15 1.540118834599419935e-12 1.137589430451594032e-13 1.639567954475779862e-12
1.600000000000000000e+01 2.739279310735198474e-12 1.381790095358227191e-13 8.118665760020071598e-15 2.175948537839400900e-16 1.719471223586343646e-16 7.236053820926177323e-12 3.445430194498253327e-13 4.577985522658454233e-15 9.746552756751087482e-16 9.711527674366194050e-12 8.536005245437411722e-14 8.263638087716087402e-15 1.552844560935290011e-12 1.152746670047685788e-13 1.650430293611743540e-12
1.700000000000000000e+01 2.828953372821131451e-12 1.405748420136560026e-13 7.938510438509247354e-15 2.282939359639409307e-16 1.796518682478089579e-16 7.282590028889068395e-12 3.357620163556712709e-13 4.710257994425715285e-15 1.014098111061667738e-15 9.428661730520342208e-12 8.683366094300391412e-14 8.453711667144262343e-15 1.566367713327730126e-12 1.168968816269526561e-13 1.662574132637201491e-12
1.800000000000000000e+01 2.916780380858121605e-12 1.428721042072736203e-13 7.765944000827558673e-15 2.397076188213292358e-16 1.879190481583845476e-16 7.325771531536773653e-12 3.272985533191284468e-13 4.850177072317926556e-15 1.056036056265256982e-15 9.156554526801989924e-12 8.837202864078423565e-14 8.654886972938191585e-15 1.580616841034863831e-12 1.186183462856567936e-13 1.675848517877280556e-12
1.900000000000000000e+01 3.002575877961308165e-12 1.450483684384261102e-13 7.602030589946735408e-15 2.518385069073485614e-16 1.967843923454972902e-16 7.364685456779798072e-12 3.191868588979015497e-13 4.997691045653348773e-15 1.100568722108991318e-15 8.895779823291268398e-12 8.997278529699433350e-14 8.867049996010969021e-15 1.595525155530409210e-12 1.204325786762562749e-13 1.690123341913673160e-12
2.000000000000000000e+01 3.086119713986144694e-12 1.470882619306745045e-13 7.447484800799965701e-15 2.646927421775120517e-16 2.062833625684901682e-16 7.398714512033522505e-12 3.114476666414262648e-13 5.152757059121333860e-15 1.147794794908715565e-15 8.646590597760083918e-12 9.163360516444658578e-14 9.090116442782359875e-15 1.611031255684502266e-12 1.223337719456415486e-13 1.705285969231022078e-12
