T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 2.825248489027205468e-12 8.319945245682727935e-14 5.649515983434644648e-15 8.847440724455158542e-17 4.007315700038143706e-17 4.984264610039108845e-12 3.019960551049262353e-13 1.892397795885163612e-15 4.089129479134346879e-16 9.498879445037152702e-12 4.547737288496152994e-14 5.280694941584658386e-15 9.800918417626272614e-13 8.816021896695192034e-14 1.450587275527008384e-12
2.000000000000000000e+00 4.237581736377200059e-12 1.026960871272185108e-13 6.981191699709098703e-15 1.407085832483975981e-16 5.254091899617928681e-17 6.137112224016507658e-12 3.758475942323043909e-13 2.759185706625950161e-15 5.068948221087378676e-16 1.186058580439259770e-11 6.663503079088158109e-14 6.928949282124691971e-15 1.456688153777687478e-12 1.173420371781017585e-13 1.945016280733730448e-12
3.000000000000000000e+00 4.771598712924519802e-12 1.057172318819205067e-13 7.304864466478942348e-15 1.535958538137816013e-16 5.461527082602181453e-17 6.296472080041775809e-12 3.864063549360881026e-13 2.967911334020536394e-15 5.111930878820538818e-16 1.222549925427678461e-11 7.133918322962308771e-14 7.023715107545328898e-15 1.553063191848225211e-12 1.186041713008052163e-13 1.952566948768451141e-12
4.000000000000000000e+00 5.060299394278988474e-12 1.058662643743436416e-13 7.413275454991300110e-15 1.558248312429738167e-16 5.534413071467185165e-17 6.278907603004598046e-12 3.847937155461621685e-13 3.025829845549918617e-15 5.053566942412436985e-16 1.217015250315886789e-11 7.225075219658094278e-14 6.893937064717154609e-15 1.562693600269258938e-12 1.157721877159744356e-13 1.892238259643802526e-12
5.000000000000000000e+00 5.232433205941363670e-12 1.057347721206301170e-13 7.460869906056964061e-15 1.555828881896531203e-16 5.644747812894746804e-17 6.241800970275484500e-12 3.807403426880797244e-13 3.047703752563752896e-15 5.023139094758612484e-16 1.200876975614155088e-11 7.222279994034663621e-14 6.758109805073041139e-15 1.551167177395670684e-12 1.128116347627996264e-13 1.831628702546718660e-12
6.000000000000000000e+00 5.332023710084233416e-12 1.059216525980845358e-13 7.474219417464359166e-15 1.551891243676369431e-16 5.836318446924155823e-17 6.220553853544766582e-12 3.758870693426179100e-13 3.065124415652499190e-15 5.043570058870910702e-16 1.180692396474918507e-11 7.203636157760750818e-14 6.655189005857922677e-15 1.535999507419935941e-12 1.104233186847244943e-13 1.781764945950502680e-12
7.000000000000000000e+00 5.382717792773155887e-12 1.065591773193381573e-13 7.455014716043361202e-15 1.553239432632617108e-16 6.116786981485343827e-17 6.222123193106187086e-12 3.703071291150742780e-13 3.087938445451251438e-15 5.116311324438668138e-16 1.157710264481825946e-11 7.193131287961302232e-14 6.589518531293514261e-15 1.522383135537810876e-12 1.086659197949391245e-13 1.743006939142667111e-12
8.000000000000000000e+00 5.400693432812062575e-12 1.076476416259669117e-13 7.403969413800295201e-15 1.561832205034977626e-16 6.479578406163201397e-17 6.245709223787478438e-12 3.639382403102649020e-13 3.119304159902316599e-15 5.236863881622724898e-16 1.132327345584959233e-11 7.198007674153237979e-14 6.558117169297705411e-15 1.511782637981709270e-12 1.074669166697876607e-13 1.713732015012601662e-12
9.000000000000000000e+00 5.397749506156270112e-12 1.091433017640112769e-13 7.324576777507972801e-15 1.578160205545447571e-16 6.913095696052973060e-17 6.288241220206412592e-12 3.568316187173336669e-13 3.160115966255390187e-15 5.399077432545866179e-16 1.104994418212371423e-11 7.219799842505874571e-14 6.556804842868662986e-15 1.504427392874742536e-12 1.067381918215259681e-13 1.692208097756888763e-12
1.000000000000000000e+01 5.382452385606539267e-12 1.109845189506683984e-13 7.222184978033727152e-15 1.602269187295911133e-16 7.405454211335058625e-17 6.346006368458904784e-12 3.491307324879741010e-13 3.210459345699250476e-15 5.596893652943938623e-16 1.076269177914201712e-11 7.258039355386809285e-14 6.581708427449489335e-15 1.500132527651678141e-12 1.064022251787699448e-13 1.676975106905124209e-12
