T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 8.489168753168854964e-13 1.006111202856760816e-13 7.749059619554344676e-15 3.829410157582341384e-17 9.718065600758844367e-18 5.489340714021198597e-12 3.182678445549207836e-13 1.321504707006336976e-15 1.759021132554189200e-16 9.400332002741409569e-12 2.824627731260862657e-14 3.473804231448012756e-15 6.638257934563602782e-13 6.312785583735538424e-14 1.096805516880254844e-12
2.000000000000000000e+00 9.427749447898323265e-13 1.198490210104519981e-13 9.191125398818373889e-15 7.161679215354640744e-17 1.582432884478344126e-17 6.683745286085899782e-12 3.846484667004600090e-13 2.488849524816117598e-15 2.863239050173201050e-16 1.175878838701111414e-11 5.291464984593644427e-14 5.614930687172635527e-15 1.199040065302128189e-12 9.914690639840563077e-14 1.677199718199300066e-12
3.000000000000000000e+00 1.063993270645855213e-12 1.227576028063775442e-13 9.566533792854478764e-15 8.623223630127565283e-17 1.790016612698069749e-17 6.820596283322822841e-12 3.991538364710334273e-13 2.990397927860070646e-15 3.218913527460832793e-16 1.222813667203378095e-11 6.304004160328776481e-14 6.247212278353645303e-15 1.373866727938152815e-12 1.071398550084733814e-13 1.759035717078160038e-12
4.000000000000000000e+00 1.209619415691344303e-12 1.228635021375566741e-13 9.704295216612772093e-15 9.352465910934756581e-17 1.879825131452324366e-17 6.773046078406066684e-12 4.023571500800482376e-13 3.229543207406956449e-15 3.358046621926591033e-16 1.227265900516013700e-11 6.765563503995994078e-14 6.466291208600781026e-15 1.435560402443131478e-12 1.086802659243398204e-13 1.745304135909723069e-12
5.000000000000000000e+00 1.363382140767099690e-12 1.225962471573137613e-13 9.764359278951667065e-15 9.786947850262259618e-17 1.931223574093134464e-17 6.700857972894769833e-12 4.020700977666811898e-13 3.361933027582204463e-15 3.425992287981356776e-16 1.218780222100837765e-11 7.007404913554956051e-14 6.555849502587736236e-15 1.458196810340201698e-12 1.086018234550290994e-13 1.715046432163619580e-12
6.000000000000000000e+00 1.513253889435305630e-12 1.225628404001923971e-13 9.776412713211641424e-15 1.009875213725204946e-16 1.970576685607261854e-17 6.641587920600479757e-12 3.998930284355534667e-13 3.448687019041695106e-15 3.470351292862257393e-16 1.204176955563755741e-11 7.156109403337067670e-14 6.604721826263381480e-15 1.466489031672566499e-12 1.082138560964104907e-13 1.686171042656467099e-12
7.000000000000000000e+00 1.653758481671809146e-12 1.229242436167341265e-13 9.743633009403634148e-15 1.036212839054051779e-16 2.007907322222292339e-17 6.603879894724086019e-12 3.961150135847615767e-13 3.516089147531763941e-15 3.509072067148300531e-16 1.185169073507946958e-11 7.265086844631939414e-14 6.645019344388429440e-15 1.469775729219098308e-12 1.079165110525135359e-13 1.662714694939446315e-12
8.000000000000000000e+00 1.783799372351021110e-12 1.237035264355253366e-13 9.668230412514897685e-15 1.061183927682299939e-16 2.047363278856716084e-17 6.588074514191047571e-12 3.908836911775302004e-13 3.576378568543165017e-15 3.549541415211105124e-16 1.162544817025346121e-11 7.358772518148943370e-14 6.689314996163894564e-15 1.471881593902638952e-12 1.078314019593344283e-13 1.645096578001964024e-12
9.000000000000000000e+00 1.904396748956601308e-12 1.248721594960369725e-13 9.555535633030923364e-15 1.086523521100982459e-16 2.090752174335719996e-17 6.591845709552165361e-12 3.844193269250255923e-13 3.635609991102241349e-15 3.594937235782035189e-16 1.137057100289049567e-11 7.449009148604161036e-14 6.742634306822774831e-15 1.474429678424403359e-12 1.079858119372450538e-13 1.632782447057938722e-12
1.000000000000000000e+01 2.017292286833126715e-12 1.263782220593206409e-13 9.412868360694199717e-15 1.113139987488260745e-16 2.138883129658869094e-17 6.611968272027971524e-12 3.769957356206505680e-13 3.696908244180155671e-15 3.646627100765599846e-16 1.109492886735489145e-11 7.541740388243786028e-14 6.806862722872265271e-15 1.478094156353808331e-12 1.083740573313240082e-13 1.625051642105282383e-12
