T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 2.684603360510163736e-12 8.488565486548447166e-14 5.773263309953813433e-15 4.369337069264054358e-17 6.564812770195625967e-18 4.579364692241295740e-12 2.654840527942206137e-13 1.650028968910905833e-15 2.005056849800521640e-16 8.860539590424268340e-12 4.047039921269785934e-14 4.489151801838761068e-15 9.299481954563795544e-13 8.134038439452094193e-14 1.392247007475879788e-12
2.000000000000000000e+00 4.135170074225793764e-12 1.067750577081526475e-13 7.200416661354107524e-15 7.448423269010510617e-17 9.996175752194538533e-18 5.743837571129614344e-12 3.323867454633806413e-13 2.791206450955815524e-15 2.985692387644365757e-16 1.126148524778847568e-11 6.808034583792577499e-14 6.647658519079470222e-15 1.557057184559577924e-12 1.198514166163689197e-13 2.038233533803216663e-12
3.000000000000000000e+00 4.687721233497808229e-12 1.097887298847585477e-13 7.552053003367457455e-15 8.200757017203656766e-17 1.053246789588154036e-17 5.926223599007607250e-12 3.461947805372245100e-13 3.042658451412568560e-15 3.084455725253211741e-16 1.166519300042099536e-11 7.356688690362504734e-14 6.812012042133873931e-15 1.663112597134027846e-12 1.218757441811066771e-13 2.049030522963704792e-12
4.000000000000000000e+00 4.982353982516805445e-12 1.095029700940067955e-13 7.671940947268210585e-15 8.392837330651518060e-17 1.057428120359260828e-17 5.927818622929194628e-12 3.486442646080086549e-13 3.086530037938842215e-15 3.039616686670695263e-16 1.163835290709912942e-11 7.403041467473833150e-14 6.661549922131688691e-15 1.655564939177949088e-12 1.183900236718690117e-13 1.970537721305080030e-12
5.000000000000000000e+00 5.154522533801643960e-12 1.088794561751264228e-13 7.725515508457897010e-15 8.449732905322641510e-17 1.056661601824428387e-17 5.905540092343984154e-12 3.479997376160151418e-13 3.082678802278413359e-15 2.982923116355528481e-16 1.149866992162372286e-11 7.338974823742964953e-14 6.489831416336292240e-15 1.624916851152043384e-12 1.146674799640692204e-13 1.891991406656450323e-12
6.000000000000000000e+00 5.251555428896614489e-12 1.085978698433909321e-13 7.742382308777576975e-15 8.487488281790905409e-17 1.060279170408818526e-17 5.895746813715351648e-12 3.458750831369638927e-13 3.073244676458846552e-15 2.939975130141087860e-16 1.131487022705996928e-11 7.264657575402382604e-14 6.351353524183904766e-15 1.593249610634932366e-12 1.116290989725482255e-13 1.827436773104096677e-12
7.000000000000000000e+00 5.298689127016375339e-12 1.088055244602513439e-13 7.725052392916824175e-15 8.541468962157683938e-17 1.070096891763659985e-17 5.906229253756024343e-12 3.425078910287082300e-13 3.070375463117899795e-15 2.914544812026239373e-16 1.110132563454320475e-11 7.207519991543214215e-14 6.252624853030932318e-15 1.566127352513499966e-12 1.093497256820981251e-13 1.777036842517743089e-12
8.000000000000000000e+00 5.312845687906776426e-12 1.095011342896930476e-13 7.674454708789731015e-15 8.622495048088372343e-17 1.086131257479238487e-17 5.936799974293218083e-12 3.379805931542407628e-13 3.077355412463682434e-15 2.905532119015738855e-16 1.086296220835634258e-11 7.174061496679741435e-14 6.189955254448184868e-15 1.544561963000606189e-12 1.077361493113552545e-13 1.738523780592118893e-12
9.000000000000000000e+00 5.306157455411080154e-12 1.106357583232868009e-13 7.594186450038194572e-15 8.733202346447370498e-17 1.108000578327639733e-17 5.984838973612900494e-12 3.324462567294820495e-13 3.094631384374249601e-15 2.910964261250824848e-16 1.060469865627217199e-11 7.164338934694078647e-14 6.158132947370304564e-15 1.528258229640856011e-12 1.066773647080438355e-13 1.709588391863689607e-12
1.000000000000000000e+01 5.287328024013675088e-12 1.121426741624488898e-13 7.489709437209868475e-15 8.873429311528146075e-17 1.135296113222705625e-17 6.046976523605992016e-12 3.261164806943247791e-13 3.121747607073615089e-15 2.928984784181678931e-16 1.033223738675127484e-11 7.176507777467254404e-14 6.152459725762199615e-15 1.516591491635301815e-12 1.060773038314453844e-13 1.688329603762869353e-12
