T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 3.518376015445055623e-13 3.953810838031281742e-15 2.500533257837487251e-16 1.375771392789012112e-18 1.121259618468521051e-19 2.622314393043796039e-13 9.272396263068737198e-15 4.668210076275905001e-17 3.183736351012500187e-18 2.792501939940032430e-13 9.727759935412363763e-16 5.875960458370804423e-17 2.233442915666982890e-14 9.768505225051987826e-16 1.941168366926293022e-14
2.000000000000000000e+00 5.965027387785701020e-13 6.786418603423929862e-15 4.247860758027178512e-16 2.546091316806274950e-18 1.962995277163164539e-19 4.469058055785359495e-13 1.578269000719816494e-14 8.627494793036753258e-17 5.577116565579692434e-18 4.727392792779766327e-13 1.797243538892723423e-15 1.029911003976978132e-16 4.100196286363584615e-14 1.711208636870932438e-15 3.380919097708262243e-14
3.000000000000000000e+00 8.322175473870257682e-13 9.650732812014697919e-15 5.975904025679159345e-16 3.653949389102554836e-18 2.804259286386228161e-19 6.261969192076287235e-13 2.219354576412484350e-14 1.233964596901706786e-16 7.939925798951729411e-18 6.584974546233724656e-13 2.565711142734054858e-15 1.463508729215834812e-16 5.798639101554304686e-14 2.425804541337803241e-15 4.751594960499581766e-14
4.000000000000000000e+00 1.062287147312355774e-12 1.268106799468189219e-14 7.737108711762414509e-16 4.806938117293218270e-18 3.705021293073024495e-19 8.071253904047658678e-13 2.867930972436176523e-14 1.615808469765439014e-16 1.043354123507852907e-17 8.413864972521319670e-13 3.349232731386226314e-15 1.916924017323738756e-16 7.484687464615236927e-14 3.165969283522996972e-15 6.137444060906978954e-14
5.000000000000000000e+00 1.280303098766985595e-12 1.593250309461373848e-14 9.474748112874317583e-16 6.038418153159368366e-18 4.688600742388019638e-19 9.919249316620751858e-13 3.502896987397693274e-14 2.018429170790854007e-16 1.311387581481611214e-17 1.016124633667628164e-12 4.166685835046466894e-15 2.399199773564318667e-16 9.195532936145106405e-14 3.944785376820675188e-15 7.559404001837633295e-14
6.000000000000000000e+00 1.481283903232560396e-12 1.943401422949216966e-14 1.109378138077276610e-15 7.366752092228874917e-18 5.771011867650664747e-19 1.181375083200087936e-12 4.090283119957655470e-14 2.446821099058992762e-16 1.601471136802396014e-17 1.174405618648314074e-12 5.026223112025734147e-15 2.915218741625515340e-16 1.094440871478182218e-13 4.768421113636910757e-15 9.025161559430646251e-14
7.000000000000000000e+00 1.664555107281397218e-12 2.320131913148082036e-14 1.252370576800708896e-15 8.805460701077285812e-18 6.966028828609908868e-19 1.375634537045839736e-12 4.605374216802268227e-14 2.904250384003127260e-16 1.916207267911622054e-17 1.310497307567369520e-12 5.932340448835531250e-15 3.468342242290131899e-16 1.273663498301840256e-13 5.640478629683082971e-15 1.053767298823450153e-13
8.000000000000000000e+00 1.832265950842022922e-12 2.723768173119402160e-14 1.373603411930197537e-15 1.036620705744463928e-17 8.286830470521593993e-19 1.574413502880233355e-12 5.038578652605914129e-14 3.393256067117282119e-16 2.257882492183856191e-17 1.422573251496428418e-12 6.887939167163298598e-15 4.061248086622724081e-16 1.457424607330142023e-13 6.563370002871478144e-15 1.209782408182618085e-13
9.000000000000000000e+00 1.987602355599020651e-12 3.153106169300151687e-14 1.473503984041248091e-15 1.205993549655407112e-17 9.746697325142134041e-19 1.776951762352633638e-12 5.391922452907621679e-14 3.916029406567839515e-16 2.628656898071119351e-17 1.511709240605736641e-12 7.895108631670777486e-15 4.696271818727861757e-16 1.645772043891356839e-13 7.538876493454441413e-15 1.370549174372081189e-13
1.000000000000000000e+01 2.133723246081499003e-12 3.605268202897434195e-14 1.554352069387578610e-15 1.389737476237870759e-17 1.135935903876896188e-18 1.982014647287362773e-12 5.673898883105782503e-14 4.474579890477318284e-16 3.030654520517485064e-17 1.580527735846599885e-12 8.955472074897513533e-15 5.375566492641920752e-16 1.838673326334240340e-13 8.568410581345387113e-15 1.536003025896839578e-13
1.100000000000000000e+01 2.273289986623511156e-12 4.075898916023417202e-14 1.619191090982140297e-15 1.588927796710149178e-17 1.313918795083293353e-18 2.187980841716519863e-12 5.895579597643824723e-14 5.070813814656854143e-16 3.466010336750432753e-17 1.632203381106405793e-12 1.007035454079715421e-14 6.101183928580129212e-16 2.036051746399902314e-13 9.653150337848775740e-15 1.706051436454413623e-13
1.200000000000000000e+01 2.408326700390427847e-12 4.559629089919587765e-14 1.671173961714929545e-15 1.804653972574608983e-17 1.510131511893620807e-18 2.393001359531120323e-12 6.068301640363512113e-14 5.706572720569030278e-16 3.936895619574612437e-17 1.669886986815114793e-12 1.124086977155937371e-14 6.875117627612071117e-16 2.237804918320759682e-13 1.079411223744535618e-14 1.880586761159291503e-13
1.300000000000000000e+01 2.540238724398157199e-12 5.050634835670869429e-14 1.713230296978932306e-15 2.038025218319257471e-17 1.726170310189161073e-18 2.595176965909922544e-12 6.202506408975235979e-14 6.383652267187548851e-16 4.445531457844397801e-17 1.696427587243535734e-12 1.246796770559154959e-14 7.699325362690479404e-16 2.443814871401814470e-13 1.199219186308548683e-14 2.059493241542949997e-13
