T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 3.514966450035715165e-13 3.932127305631068954e-15 2.492739495442037464e-16 9.973967578812737939e-19 8.368335069063671484e-20 2.608057637510345963e-13 9.243485134802653760e-15 3.385884040893074159e-17 2.385434134177434567e-18 2.783816226100424146e-13 7.057629462685740418e-16 4.410303508552172969e-17 1.619546550567443632e-14 7.337440354949216984e-16 1.457597162028723271e-14
2.000000000000000000e+00 5.963805411907046390e-13 6.778309142219885796e-15 4.245037746521826046e-16 2.316905351543640305e-18 1.810763527965327938e-19 4.463726032327640881e-13 1.577221848206922003e-14 7.850209030012624775e-17 5.152924486491571399e-18 4.724246848349295846e-13 1.635447351667306101e-15 9.521852162128334302e-17 3.728325454635001879e-14 1.582448223013573527e-15 3.124878546414183561e-14
3.000000000000000000e+00 8.321507892030710698e-13 9.646234828202207768e-15 5.974358078745233175e-16 3.505452882711669285e-18 2.709299462027290215e-19 6.259011709849316068e-13 2.218781101191775807e-14 1.183562541352253564e-16 7.676413638278359372e-18 6.583251132109868677e-13 2.460819774722668120e-15 1.415271425072576446e-16 5.557601777946495251e-14 2.345950012740339280e-15 4.592826576988721923e-14
4.000000000000000000e+00 1.062243940452990132e-12 1.267811884329930229e-14 7.736124376235087148e-16 4.701681979307763720e-18 3.638910137742174105e-19 8.069314838319650402e-13 2.867565558767135699e-14 1.580063716622303499e-16 1.025053647888407113e-17 8.412763540827672493e-13 3.274855029731268061e-15 1.883443095525734356e-16 7.313788920708229801e-14 3.110565717100264417e-15 6.027297919684204309e-14
5.000000000000000000e+00 1.280272548654230876e-12 1.593038089814849510e-14 9.474098971552306733e-16 5.959027252567255966e-18 4.639252293939543604e-19 9.917854044498915417e-13 3.502655462266643380e-14 1.991458343117142278e-16 1.297749140737005970e-17 1.016051110748582714e-12 4.110570191535856982e-15 2.374257457245888786e-16 9.066605188139850937e-14 3.903522044911573031e-15 7.477373390144439127e-14
6.000000000000000000e+00 1.481261071619201872e-12 1.943239386901133828e-14 1.109336586189665965e-15 7.304187009166602428e-18 5.732385875530912616e-19 1.181268553652056168e-12 4.090127932709859128e-14 2.425560858871319271e-16 1.590807941992994261e-17 1.174357422436298472e-12 4.981991877370070251e-15 2.895722805314774566e-16 1.084279140611175683e-13 4.736173754345994786e-15 8.961056387787929153e-14
7.000000000000000000e+00 1.664537334120080616e-12 2.320003066588453860e-14 1.252345740774406513e-15 8.754538456062468638e-18 6.934741239141897073e-19 1.375549808888599949e-12 4.605281091279237554e-14 2.886943178050940012e-16 1.907576959190884370e-17 1.310467403629442025e-12 5.896335138111698886e-15 3.452566227050450456e-16 1.265391941907310322e-13 5.614387593395014904e-15 1.048580709024851495e-13
8.000000000000000000e+00 1.832251648184699373e-12 2.723662777263292957e-14 1.373590062393394017e-15 1.032372624610421494e-17 8.260822355009965413e-19 1.574344116989017990e-12 5.038528633092541766e-14 3.378815773074183374e-16 2.250712902348630498e-17 1.422556314012131033e-12 6.857899213553407987e-15 4.048144231808095496e-16 1.450523707708387408e-13 6.541700401057463021e-15 1.205474802585154243e-13
9.000000000000000000e+00 1.987590517305170846e-12 3.153018330252157269e-14 1.473497938237930426e-15 1.202380154063015839e-17 9.724635852557763381e-19 1.776893748440331627e-12 5.391900400066142673e-14 3.903745144041166554e-16 2.622578220138333375e-17 1.511701071138141233e-12 7.869554605606791226e-15 4.685163169313381198e-16 1.639901830661107238e-13 7.520507702849887049e-15 1.366897755865635896e-13
1.000000000000000000e+01 2.133713213196623844e-12 3.605194231277946682e-14 1.554350103490658708e-15 1.386615341538499956e-17 1.134033876351156876e-18 1.981965456088450867e-12 5.673893099071704754e-14 4.463964746688024285e-16 3.025415838139847593e-17 1.580525090401682262e-12 8.933390722918054535e-15 5.365993859899772408e-16 1.833600971814368618e-13 8.552582612926099028e-15 1.532856704946761506e-13
1.100000000000000000e+01 2.273281321221623684e-12 4.075836429177438555e-14 1.619190829747083933e-15 1.586195031605502374e-17 1.312256956363079101e-18 2.187938776627858896e-12 5.895581416788882821e-14 5.061521797142762098e-16 3.461434659705835392e-17 1.632203834746639511e-12 1.005102589933063604e-14 6.092823485894510122e-16 2.031611825480582401e-13 9.639327316513665592e-15 1.703303683320080296e-13
1.200000000000000000e+01 2.408319111481499008e-12 4.559576476719978983e-14 1.671173731479205326e-15 1.802235962020876121e-17 1.508663274287052175e-18 2.392965247910213541e-12 6.068304905045970872e-14 5.698350410381747854e-16 3.932854076111648889e-17 1.669888786756433265e-12 1.122376653057477706e-14 6.867733631310909933e-16 2.233876277716226659e-13 1.078190409571280957e-14 1.878160034938569365e-13
1.300000000000000000e+01 2.540232021023154246e-12 5.050590927011421803e-14 1.713228973013029597e-15 2.035865914956559878e-17 1.724860819415617815e-18 2.595145959683874505e-12 6.202506928892973471e-14 6.376309277699562876e-16 4.441927698802730347e-17 1.696429508523392812e-12 1.245269372287983389e-14 7.692741589291730064e-16 2.440306498433176262e-13 1.198130704465729868e-14 2.057329585820242092e-13
1.400000000000000000e+01 2.669891894689809784e-12 5.543111267849708613e-14 1.747926579612705199e-15 2.288229394205387727e-17 1.962541905934340622e-18 2.792684789859783626e-12 6.307270963925473567e-14 7.097201586663042190e-16 4.990955842766143731e-17 1.714272482117844884e-12 1.373871344161338909e-14 8.569822251960656270e-16 2.650795905433429083e-13 1.323840274722713440e-14 2.240706019597590350e-13
1.500000000000000000e+01 2.797743753815574438e-12 6.031808823790658311e-14 1.777446416153796613e-15 2.560490482849858302e-17 2.223487558992008123e-18 2.983996954220268280e-12 6.390232980776788297e-14 7.862785887109065055e-16 5.582291701627330832e-17 1.725453017109485174e-12 1.508258768644872810e-14 9.500919394719419020e-16 2.865225826035596516e-13 1.455395410971468933e-14 2.428177137306171168e-13
1.600000000000000000e+01 2.923912000298648301e-12 6.512037731693210673e-14 1.803600217011973096e-15 2.853834241263562708e-17 2.509570482451384980e-18 3.167770582192103458e-12 6.457675071430161500e-14 8.674782311725421125e-16 6.218343944264687236e-17 1.731630323939561270e-12 1.648495552369778902e-14 1.048795111427503461e-15 3.083469783332434929e-13 1.592863489121798482e-14 2.619627395590886643e-13
1.700000000000000000e+01 3.048295568809932136e-12 6.979953059297486461e-14 1.827875103364533697e-15 3.169467344522405752e-17 2.822757161288569661e-18 3.342988908588325744e-12 6.514691990612431964e-14 9.534876402581129899e-16 6.901577278997772009e-17 1.734138502729705374e-12 1.794634850047100962e-14 1.153281206722755324e-15 3.305396410074429654e-13 1.736303907107256525e-14 2.814939475286434328e-13
1.800000000000000000e+01 3.170647695410699281e-12 7.432534385198281234e-14 1.851482641526390809e-15 3.508618313403344087e-17 3.165109377481457948e-18 3.508923995848297145e-12 6.565374544648188465e-14 1.044472168564685523e-15 7.634511833411127539e-17 1.734039671054013410e-12 1.946720277656341579e-14 1.263737397190834344e-15 3.530871527232240638e-13 1.885768734075693200e-14 3.013995294187077905e-13
1.900000000000000000e+01 3.290639400032543033e-12 7.867545922556375947e-14 1.875405782974406166e-15 3.872537512781188203e-17 3.538785210244827627e-18 3.665112457944025025e-12 6.612983226097174408e-14 1.140594156224911366e-15 8.419721744702206198e-17 1.732172940950077397e-12 2.104786918682607764e-14 1.380348512984187745e-15 3.759759683623009162e-13 2.041303195382048802e-14 3.216676693023277900e-13
2.000000000000000000e+01 3.407907676748807678e-12 8.283459284275992648e-14 1.900440493850364291e-15 4.262496997120737360e-17 3.946039411470776330e-18 3.811321613577189574e-12 6.660101281010324667e-14 1.242013079187549076e-15 9.259833032867211280e-17 1.729196898863788033e-12 2.268862187068827752e-14 1.503296927738998973e-15 3.991925326347147197e-13 2.202946054720324465e-14 3.422865920090809186e-13
2.100000000000000000e+01 3.522090336465215414e-12 8.679358381069884108e-14 1.927231171045075972e-15 4.679790232430887350e-17 4.389222885892984190e-18 3.947512126970084133e-12 6.708764423477189938e-14 1.348885668967727685e-15 1.015752058673826568e-16 1.725625200340723535e-12 2.438966581087531941e-14 1.632762378541564702e-15 4.227233703888109122e-13 2.370729917480730834e-14 3.632445981052521371e-13
2.200000000000000000e+01 3.632849799245016039e-12 9.054839768122769586e-14 1.956300036503121060e-15 5.125731694140162946e-17 4.870780872126172224e-18 4.073801098021821494e-12 6.760568203292547304e-14 1.461366008246391640e-15 1.111550391655785036e-16 1.721855780326073268e-12 2.615114347189420506e-14 1.768921703504201440e-15 4.465551566422082109e-13 2.544681457257998437e-14 3.845300886874903984e-13
2.300000000000000000e+01 3.739888122416209126e-12 9.409916785872037235e-14 1.988071162566606846e-15 5.601656318465379592e-17 5.393249333514482436e-18 4.190427937657238602e-12 6.816755590969300808e-14 1.579605602109384525e-15 1.213654122019098517e-16 1.718194515117242021e-12 2.797314064853077248e-14 1.911948469014304608e-15 4.706747706631936109e-13 2.724821555333624271e-14 4.061315814260275191e-13
2.400000000000000000e+01 3.842955338896524979e-12 9.744932188100748865e-14 2.022889920010526989e-15 6.108918765271305192e-17 5.959249043841136436e-18 4.297724207971515722e-12 6.878287775453907329e-14 1.703753421611395030e-15 1.322342128107659228e-16 1.714874234278487110e-12 2.985569158871921756e-14 2.062012455352436729e-15 4.950693371580151924e-13 2.911165338178459015e-14 4.280377183521006370e-13
2.500000000000000000e+01 3.941852877479167585e-12 1.006048144404286287e-13 2.061038624987456235e-15 6.648892431690280338e-17 6.571476901022358416e-18 4.396087840788889165e-12 6.945901068395288383e-14 1.833955913928960661e-15 1.437895276677859338e-16 1.712069919282714561e-12 3.179878342595690539e-14 2.219278972653512165e-15 5.197262568067468839e-13 3.103722098815821460e-14 4.502372655251692812e-13
2.600000000000000000e+01 4.036433512240125141e-12 1.035734728525014450e-13 2.102749079867014882e-15 7.222968138979428799e-17 7.232694118507066946e-18 4.485961675871693834e-12 7.020152485853913058e-14 1.970356971434915589e-15 1.560595061946586029e-16 1.709910816977189378e-12 3.380235993625347838e-14 2.383907987973461778e-15 5.446332278389541569e-13 3.302495092777554889e-14 4.727191047251273952e-13
2.700000000000000000e+01 4.126598981397285631e-12 1.063644509671127809e-13 2.148212600885769094e-15 7.832552402567466641e-17 7.945711114533345152e-18 4.567815994145088328e-12 7.101456190735989005e-14 2.113097850688942949e-15 1.690721940582701559e-16 1.708490077862807240e-12 3.586632462081956195e-14 2.556053056889825588e-15 5.697782599491824204e-13 3.507481206926005686e-14 4.954722175424095822e-13
2.800000000000000000e+01 4.212296146480684892e-12 1.089877822280970164e-13 2.197588024221757005e-15 8.479065189467171269e-17 8.713369121413959313e-18 4.642134592956543313e-12 7.190112601330056172e-14 2.262317031796787883e-15 1.828553369937279579e-16 1.707872418750730906e-12 3.799054310792832748e-14 2.735860067665717031e-15 5.951496815702508312e-13 3.718670508169462197e-14 5.184856625707990321e-13
2.900000000000000000e+01 4.293512337485549467e-12 1.114540201921789771e-13 2.251008090919139920e-15 9.163937070042820358e-17 9.538518745749987440e-18 4.709403908897044744e-12 7.286331634373277378e-14 2.418150009010662773e-15 1.974361577668033941e-16 1.708100213187767038e-12 4.017484486584211706e-14 2.923465820589365591e-15 6.207361413223261126e-13 3.936045687756815836e-14 5.417485467568252115e-13
3.000000000000000000e+01 4.370270348319108731e-12 1.137739542244780183e-13 2.308584533121930549e-15 9.888605683252306772e-17 1.042399590287289521e-17 4.770104703776330647e-12 7.390251264626594881e-14 2.580729004883830579e-15 2.128411109746467653e-16 1.709198332512355035e-12 4.241902422335446336e-14 3.118996477982135062e-15 6.465266043210697743e-13 4.159581424335446708e-14 5.652499922628491515e-13
