R	Gamma	E
2.50	0	2924.289685
2.50	5	2977.188367
2.50	10	3093.21785
2.50	15	3192.09549
2.50	20	3218.900618
2.50	25	3156.77099
2.50	30	3014.793437
2.50	35	2814.69028
2.50	40	2581.319112
2.50	45	2337.179433
2.50	50	2099.767284
2.50	55	1881.122978
2.50	60	1688.477138
2.50	65	1525.467502
2.50	70	1393.272499
2.50	75	1291.772228
2.50	80	1220.231087
2.50	85	1177.707154
2.50	90	1163.595901
2.60	0	2234.89498
2.60	5	2251.516695
2.60	10	2287.393318
2.60	15	2312.436385
2.60	20	2300.538782
2.60	25	2240.107581
2.60	30	2133.455354
2.60	35	1991.59184
2.60	40	1828.842262
2.60	45	1659.059705
2.60	50	1493.543746
2.60	55	1340.415241
2.60	60	1204.757665
2.60	65	1089.377567
2.60	70	995.41003
2.60	75	923.031265
2.60	80	871.839688
2.60	85	841.387994
2.60	90	831.27622
2.70	0	1671.139229
2.70	5	1674.905729
2.70	10	1680.856366
2.70	15	1676.537961
2.70	20	1650.16392
2.70	25	1595.750848
2.70	30	1514.348854
2.70	35	1411.97634
2.70	40	1297.008669
2.70	45	1177.940425
2.70	50	1061.91014
2.70	55	954.301099
2.70	60	858.64348
2.70	65	777.002301
2.70	70	710.250079
2.70	75	658.679873
2.70	80	622.164906
2.70	85	600.394282
2.70	90	593.168356
2.80	0	1229.579005
2.80	5	1228.806795
2.80	10	1224.183031
2.80	15	1210.417812
2.80	20	1182.233483
2.80	25	1136.965371
2.80	30	1075.511401
2.80	35	1001.460875
2.80	40	919.88505
2.80	45	836.026925
2.80	50	754.474317
2.80	55	678.740828
2.80	60	611.267786
2.80	65	553.466555
2.80	70	506.110902
2.80	75	469.452983
2.80	80	443.425057
2.80	85	427.906322
2.80	90	422.751732
2.90	0	893.725604
2.90	5	891.589487
2.90	10	884.202462
2.90	15	869.247029
2.90	20	844.465327
2.90	25	808.850896
2.90	30	763.195492
2.90	35	709.864129
2.90	40	651.992478
2.90	45	592.920788
2.90	50	535.535259
2.90	55	482.207315
2.90	60	434.593505
2.90	65	393.752866
2.90	70	360.187304
2.90	75	334.149154
2.90	80	315.65037
2.90	85	304.60918
2.90	90	300.941468
3.00	0	643.495836
3.00	5	641.24526
3.00	10	634.069487
3.00	15	620.979407
3.00	20	601.062234
3.00	25	574.087364
3.00	30	540.732299
3.00	35	502.57347
3.00	40	461.618442
3.00	45	419.998805
3.00	50	379.646807
3.00	55	342.149218
3.00	60	308.588726
3.00	65	279.735146
3.00	70	255.998383
3.00	75	237.556466
3.00	80	224.439064
3.00	85	216.605593
3.00	90	214.002119
3.10	0	459.860152
3.10	5	457.92206
3.10	10	451.93291
3.10	15	441.489252
3.10	20	426.27906
3.10	25	406.369254
3.10	30	382.341154
3.10	35	355.232343
3.10	40	326.35884
3.10	45	297.112832
3.10	50	268.775307
3.10	55	242.408906
3.10	60	218.799352
3.10	65	198.470268
3.10	70	181.722008
3.10	75	168.693355
3.10	80	159.418967
3.10	85	153.877519
3.10	90	152.035865
3.20	0	326.635301
3.20	5	325.10666
3.20	10	320.450734
3.20	15	312.527272
3.20	20	301.277038
3.20	25	286.862303
3.20	30	269.736491
3.20	35	250.603872
3.20	40	230.334307
3.20	45	209.841313
3.20	50	189.987955
3.20	55	171.497049
3.20	60	154.91992
3.20	65	140.625944
3.20	70	128.835651
3.20	75	119.654874
3.20	80	113.116085
3.20	85	109.208408
3.20	90	107.909344
3.30	0	230.839402
3.30	5	229.687819
3.30	10	226.21258
3.30	15	220.384784
3.30	20	212.240899
3.30	25	201.956076
3.30	30	189.866966
3.30	35	176.452054
3.30	40	162.283663
3.30	45	147.970715
3.30	50	134.093414
3.30	55	121.152588
3.30	60	109.532781
3.30	65	99.499462
3.30	70	91.21399
3.30	75	84.758224
3.30	80	80.158494
3.30	85	77.409663
3.30	90	76.496068
3.40	0	162.430028
3.40	5	161.588214
3.40	10	159.061883
3.40	15	154.865834
3.40	20	149.067676
3.40	25	141.81697
3.40	30	133.355822
3.40	35	124.005885
3.40	40	114.145261
3.40	45	104.178738
3.40	50	94.501022
3.40	55	85.458197
3.40	60	77.322524
3.40	65	70.2858
3.40	70	64.468455
3.40	75	59.933858
3.40	80	56.687663
3.40	85	54.756102
3.40	90	54.08431
3.50	0	113.836487
3.50	5	113.211498
3.50	10	111.436053
3.50	15	108.469424
3.50	20	104.400182
3.50	25	99.344526
3.50	30	93.470161
3.50	35	86.990666
3.50	40	80.154739
3.50	45	73.23314
3.50	50	66.49474
3.50	55	60.18092
3.50	60	54.48571
3.50	65	49.550515
3.50	70	45.450528
3.50	75	42.264704
3.50	80	39.923304
3.50	85	38.590618
3.50	90	38.17357
3.60	0	79.465132
3.60	5	78.973555
3.60	10	77.789626
3.60	15	75.729043
3.60	20	72.914918
3.60	25	69.428751
3.60	30	65.382731
3.60	35	60.916122
3.60	40	56.193113
3.60	45	51.395629
3.60	50	46.708135
3.60	55	42.300244
3.60	60	38.312255
3.60	65	34.831102
3.60	70	31.884805
3.60	75	29.685449
3.60	80	28.119004
3.60	85	27.184239
3.60	90	26.876545
3.70	0	55.246035
3.70	5	54.922784
3.70	10	54.081281
3.70	15	52.699303
3.70	20	50.782973
3.70	25	48.406598
3.70	30	45.641239
3.70	35	42.576978
3.70	40	39.323235
3.70	45	36.003082
3.70	50	32.744745
3.70	55	29.650082
3.70	60	26.762431
3.70	65	24.373056
3.70	70	22.39041
3.70	75	20.84638
3.70	80	19.750847
3.70	85	19.099344
3.70	90	18.884808
3.80	0	38.247669
3.80	5	38.038399
3.80	10	37.420591
3.80	15	36.421129
3.80	20	35.249677
3.80	25	33.665853
3.80	30	31.789486
3.80	35	29.696721
3.80	40	27.444111
3.80	45	25.148785
3.80	50	22.787239
3.80	55	20.677455
3.80	60	18.753603
3.80	65	17.075935
3.80	70	15.687123
3.80	75	14.610079
3.80	80	13.849639
3.80	85	13.399375
3.80	90	13.251265
3.90	0	26.369289
3.90	5	26.236849
3.90	10	25.843364
3.90	15	25.200021
3.90	20	24.323664
3.90	25	23.236021
3.90	30	21.965294
3.90	35	20.548688
3.90	40	19.032972
3.90	45	17.473267
3.90	50	15.928653
3.90	55	14.458182
3.90	60	13.115787
3.90	65	11.946212
3.90	70	10.981065
3.90	75	10.236218
3.90	80	9.713381
3.90	85	9.405416
3.90	90	9.304261
4.00	0	18.108337
4.00	5	18.026638
4.00	10	17.781866
4.00	15	17.375313
4.00	20	16.810481
4.00	25	16.095398
4.00	30	15.245479
4.00	35	14.285553
4.00	40	13.249377
4.00	45	12.177099
4.00	50	11.111625
4.00	55	10.095409
4.00	60	9.167389
4.00	65	8.360006
