T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 3.572010335825970957e-13 8.384839467466069520e-14 7.673085027892132419e-15 1.938336017479355211e-17 2.457575649124681200e-18 4.847059511659662721e-12 2.533192864817723897e-13 8.735842994566951281e-16 1.187688145870946435e-16 9.204025232533651615e-12 1.831055114571496426e-14 2.778168009544098648e-15 5.469339141619567159e-13 5.116211199849446669e-14 8.865913898494058487e-13
2.000000000000000000e+00 4.515875530754129340e-13 7.828670085817762175e-14 7.619259575149774668e-15 3.223762519222545025e-17 3.261812675593156246e-18 4.420980175716852682e-12 2.472081086529219971e-13 1.444897878147564338e-15 1.533240310438705306e-16 8.974806254624591978e-12 2.908532678197339967e-14 3.316641834521748595e-15 7.589045409928777968e-13 5.713192406677610310e-14 9.892268113732325776e-13
3.000000000000000000e+00 5.706877628879309310e-13 7.409965041258539312e-14 7.423164401905911322e-15 3.757188465348600568e-17 3.548602962238057979e-18 4.073353531604957039e-12 2.377984887224262216e-13 1.681202672649596916e-15 1.652195965354239018e-16 8.539871024521281567e-12 3.340799458374306721e-14 3.467286433245972741e-15 8.304691398174914864e-13 5.800857903133979720e-14 1.002828139021030872e-12
4.000000000000000000e+00 6.987381391710856262e-13 7.142191378574407440e-14 7.274643832687682546e-15 4.039000486470128967e-17 3.691626884005830459e-18 3.858963989756997266e-12 2.310848841689317129e-13 1.803471420844786250e-15 1.710002262585570223e-16 8.214632403181340148e-12 3.558692875884987910e-14 3.532394894612106149e-15 8.623163085561193605e-13 5.815002666738314660e-14 1.002737303804353365e-12
5.000000000000000000e+00 8.250830523243262243e-13 6.979565889131337811e-14 7.169826466904063941e-15 4.227128355608274616e-17 3.789540911022312126e-18 3.729535665185821723e-12 2.263517550332443738e-13 1.881888241313759306e-15 1.748869903447134481e-16 7.972225747520390222e-12 3.694571388610532100e-14 3.576505270254718724e-15 8.801125717001973529e-13 5.825050786392256782e-14 1.001180736205673784e-12
6.000000000000000000e+00 9.434918169766391617e-13 6.893801926075325577e-14 7.084058355576720116e-15 4.379952448485799966e-17 3.876005685682081830e-18 3.656480112191155730e-12 2.225654405556933549e-13 1.942513882192882423e-15 1.783004640710994698e-16 7.773542417057186990e-12 3.796996267923252207e-14 3.619389200327692796e-15 8.925956338057045125e-13 5.847797937564314155e-14 1.001159859166568426e-12
7.000000000000000000e+00 1.051948670483708581e-12 6.867105328207840126e-14 6.997913507788455579e-15 4.522343468876975402e-17 3.964306699097398805e-18 3.623175390493989193e-12 2.189997102748223171e-13 1.996436983717975112e-15 1.817906155497028857e-16 7.591875081902955238e-12 3.886394837896273967e-14 3.667903737504199915e-15 9.032259812763817119e-13 5.887074535630942866e-14 1.003372632346404980e-12
8.000000000000000000e+00 1.150978030729057850e-12 6.887474857594304720e-14 6.901374136645930283e-15 4.666090496565860466e-17 4.060228427832761187e-18 3.619211082869054489e-12 2.152781496779226427e-13 2.048859448483240204e-15 1.855883369283752439e-16 7.413113036363937950e-12 3.972202125159046417e-14 3.724449868706537934e-15 9.134941871202430894e-13 5.942912838937052023e-14 1.007833982653643947e-12
9.000000000000000000e+00 1.242177007927066033e-12 6.945988564613201451e-14 6.791513405292720218e-15 4.817289533927706809e-17 4.166499370876630456e-18 3.637456108444378198e-12 2.112689004996845797e-13 2.102402982045608092e-15 1.897950563189036477e-16 7.231612566871190292e-12 4.059061192367261210e-14 3.789747264250856861e-15 9.240662862098244237e-13 6.014241784802547009e-14 1.014356384389315076e-12
1.000000000000000000e+01 1.327363668143394699e-12 7.035298066707395029e-14 6.669411417130470513e-15 4.979352657329518933e-17 4.284523705237515591e-18 3.672570103902583229e-12 2.069763833479193588e-13 2.158463034430919508e-15 1.944563249131989519e-16 7.046408831994725482e-12 4.149349967221462713e-14 3.863862634723524718e-15 9.352355662037191908e-13 6.099766089831007721e-14 1.022708107171151146e-12
1.100000000000000000e+01 1.408176575383420434e-12 7.148897406178366360e-14 6.537925458474814894e-15 5.154349267901031479e-17 4.415115607975155220e-18 3.720262028040545993e-12 2.024670823101765762e-13 2.217815251001475764e-15 1.995928757210864679e-16 6.858715137004441771e-12 4.244307966731971833e-14 3.946619967316464243e-15 9.471179704576678719e-13 6.198255937252367614e-14 1.032666207403755307e-12
1.200000000000000000e+01 1.485925232229744731e-12 7.280858404725335865e-14 6.400391527565380770e-15 5.343647972469065448e-17 4.558830018470808271e-18 3.776941649559088503e-12 1.978269763247667548e-13 2.280906996350620953e-15 2.052145149987236588e-16 6.670509115990110790e-12 4.344575356938541398e-14 4.037770358016828208e-15 9.597425792264833587e-13 6.308630197289780248e-14 1.044032396131533070e-12
1.300000000000000000e+01 1.561564887748899834e-12 7.425801071145389326e-14 6.259973047575638822e-15 5.548242105930547862e-17 4.716118113022111367e-18 3.839566429414746054e-12 1.931400987934819317e-13 2.348005772793718196e-15 2.113265744914913610e-16 6.483820650085984076e-12 4.450465944110148349e-14 4.137062283288643378e-15 9.730957215193351748e-13 6.429965994051839765e-14 1.056635503756067275e-12
1.400000000000000000e+01 1.635728327800751342e-12 7.578946936102002142e-14 6.119389612484312610e-15 5.768922919372988099e-17 4.887402530152562802e-18 3.905573769934755526e-12 1.884793318201698945e-13 2.419278441592017177e-15 2.179329680593174751e-16 6.300419922791075853e-12 4.562112011161226213e-14 4.244269064750905345e-15 9.871433156762772896e-13 6.561483615250968147e-14 1.070329332481535982e-12
1.500000000000000000e+01 1.708780397151567557e-12 7.736173295252445271e-14 5.980846574717636678e-15 6.006375378423023844e-17 5.073114379295447877e-18 3.972842195396856537e-12 1.839036542122225312e-13 2.494835167050736822e-15 2.250376394415168357e-16 6.121715272233355894e-12 4.679544112110044241e-14 4.359197680881619842e-15 1.001842475487117207e-12 6.702525237740724042e-14 1.084989239597032068e-12
1.600000000000000000e+01 1.780877852196007766e-12 7.894035327785329050e-14 5.846060312600738053e-15 6.261232761702279028e-17 5.273711493678559892e-18 4.039656596832317732e-12 1.794584928678063873e-13 2.574754533013351482e-15 2.326452280820787832e-16 5.948752169141755557e-12 4.802736337390325031e-14 4.481689576118069656e-15 1.017147609102724591e-12 6.852534220840615084e-14 1.100508697639778638e-12
1.700000000000000000e+01 1.852025777157759718e-12 8.049750851751859527e-14 5.716322171901547013e-15 6.534108414836802209e-17 5.489687255116693404e-18 4.104669457048790311e-12 1.751773684610027006e-13 2.659098205660882903e-15 2.407613491473659472e-16 5.782255108103243478e-12 4.931632527760928808e-14 4.611618246706313339e-15 1.033013602169093461e-12 7.011037112724265185e-14 1.116796248637648378e-12
1.800000000000000000e+01 1.922126470561182018e-12 8.201154976193190859e-14 5.592572212863855854e-15 6.825614392805967729e-17 5.721574574214583137e-18 4.166857672561867927e-12 1.710839168400082894e-13 2.747919594979549929e-15 2.493926821801225294e-16 5.622682941529969527e-12 5.066161630652363169e-14 4.748885743539083758e-15 1.049397421032315585e-12 7.177628729437438117e-14 1.133772943972328425e-12
1.900000000000000000e+01 1.991019362259326558e-12 8.346635455164296838e-14 5.475469344947767081e-15 7.136372361744177088e-17 5.969947305913888339e-18 4.225477318868870612e-12 1.671938542978573360e-13 2.841268975997933013e-15 2.585469651069553735e-16 5.470283762418421072e-12 5.206246704561925684e-14 4.893419021103912155e-15 1.066258847813775863e-12 7.351960024861587068e-14 1.151370240635955102e-12
2.000000000000000000e+01 2.058512029273204379e-12 8.485058767354703667e-14 5.365452514213289517e-15 7.467019829509772820e-17 6.235420220415296792e-18 4.280019057885144455e-12 1.635167094802344363e-13 2.939196477315044419e-15 2.682329415235944994e-16 5.325143549747565011e-12 5.351810132680614340e-14 5.045166500484312214e-15 1.083560737135541416e-12 7.533728290344621539e-14 1.169528287432000530e-12
2.100000000000000000e+01 2.124403180296927723e-12 8.615694591806248488e-14 5.262791618859164519e-15 7.818213509674059435e-17 6.518648042461787713e-18 4.330166309761609502e-12 1.600572716219537597e-13 3.041753765384771528e-15 2.784602841478304834e-16 5.187226825242105916e-12 5.502776543328074631e-14 5.204094954950317164e-15 1.101269012516886568e-12 7.722669220727007762e-14 1.188194530399344502e-12
2.200000000000000000e+01 2.188498833468548230e-12 8.738143818735427149e-14 5.167628668652448239e-15 8.190630901246667723e-17 6.820323743752093927e-18 4.375757521942682812e-12 1.568167637762128428e-13 3.148994923439324506e-15 2.892395042178135805e-16 5.056409449680965914e-12 5.659074333207605354e-14 5.370186709585741135e-15 1.119352526171856752e-12 7.918550441398323775e-14 1.207322574217608129e-12
2.300000000000000000e+01 2.250622992127291629e-12 8.852273101494058858e-14 5.080010427859543679e-15 8.584970737929583390e-17 7.141176096171072529e-18 4.416753168377003894e-12 1.537937736594369167e-13 3.260976830258141092e-15 3.005818497570582121e-16 4.932504459701142699e-12 5.820636338945997621e-14 5.543437097740411016e-15 1.137782852893637578e-12 8.121166161929487437e-14 1.226871246889103283e-12
2.400000000000000000e+01 2.310624046888102530e-12 8.958157372531107471e-14 4.999913956845904250e-15 9.001952696984883176e-17 7.481966407468701330e-18 4.453207593500613314e-12 1.509849813957043779e-13 3.377759226863644472e-15 3.124991922621584835e-16 4.815282072825717432e-12 5.987399992701368092e-14 5.723852102395057171e-15 1.156534058272892038e-12 8.330332688825460546e-14 1.246803825248736083e-12
2.500000000000000000e+01 2.368377978555164610e-12 9.056030673778879085e-14 4.927266393261754414e-15 9.442316590175626705e-17 7.843484335790239957e-18 4.485245477547906028e-12 1.483857221210435616e-13 3.499404586627651173e-15 3.250039000879050323e-16 4.704484962709889205e-12 6.159307169397819408e-14 5.911446113403165818e-15 1.175582463768913773e-12 8.545884588285765396e-14 1.267087387741524937e-12
2.600000000000000000e+01 2.423789255338217844e-12 9.146244985684342658e-14 4.861960141970145201e-15 9.906821150404293147e-17 8.226542696872985624e-18 4.513042506845140251e-12 1.459904168637340719e-13 3.625977858434957743e-15 3.381086968217390932e-16 4.599839778066271479e-12 6.336303853364764363e-14 6.106239743776989935e-15 1.194906420732657777e-12 8.767671339228466596e-14 1.287692268242699416e-12
2.700000000000000000e+01 2.476790138979740156e-12 9.229236367964469159e-14 4.803864448019324798e-15 1.039624245712602850e-16 8.631971223800755827e-18 4.536809744189481691e-12 1.437928996953260090e-13 3.757546123364154521e-15 3.518265037498147440e-16 4.501065720933942284e-12 6.518339701965756204e-14 6.308257665027686753e-15 1.214486099344890906e-12 8.995554358130336240e-14 1.308591590611370897e-12
2.800000000000000000e+01 2.527338953138113836e-12 9.305497554360615664e-14 4.752834142778643822e-15 1.091137199983062247e-16 9.060609301504651338e-18 4.556781174731618432e-12 1.417866639260010247e-13 3.894178186906201948e-15 3.661702667492872675e-16 4.407880846743214315e-12 6.705367552143725074e-14 6.517526439967981588e-15 1.234303294848845208e-12 9.229404311425975090e-14 1.329760868380459765e-12
2.900000000000000000e+01 2.575417730127429928e-12 9.375556100742788307e-14 4.708716192953463298e-15 1.145301435502056749e-16 9.513297765539209376e-18 4.573203924847763815e-12 1.399650455292601711e-13 4.035944117486098212e-15 3.811527693066609652e-16 4.320006613660736702e-12 6.897342896034240002e-14 6.734072349107819377e-15 1.254341251411973071e-12 9.469098659028570554e-14 1.351177657701655087e-12
3.000000000000000000e+01 2.621029539998006615e-12 9.439957219094867477e-14 4.671354548613004677e-15 1.202198444359932584e-16 9.990869917696563014e-18 4.586330696180536645e-12 1.383213581401449952e-13 4.182914735731559527e-15 3.967864346397438257e-16 4.237171095745683324e-12 7.094223339783326457e-14 6.957919222210889389e-15 1.274584502842269709e-12 9.714519394542746284e-14 1.372821254563138533e-12
