T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 3.772569818260447256e-12 7.978429590095361442e-14 6.574523275053653970e-15 1.889946699875272711e-17 1.554825776527327401e-18 3.723738198971981525e-12 2.396202714194930313e-13 1.254323833014689278e-15 1.073497768692968805e-16 9.526936780106788486e-12 2.813150103243065901e-14 2.733076891096432248e-15 7.809873991748375596e-13 4.793271743435589001e-14 8.755898379380630336e-13
2.000000000000000000e+00 3.936419616465345207e-12 7.510142808567342296e-14 6.402662087107662209e-15 2.443575526076591882e-17 1.881967529627881259e-18 3.608186678852752733e-12 2.297264127470063299e-13 1.563992822348799112e-15 1.249847848093452002e-16 9.063135406792805032e-12 3.423362506069406210e-14 3.092078690721124757e-15 9.166422638898099561e-13 5.381386990527147834e-14 9.894799147919703483e-13
3.000000000000000000e+00 3.966160952734996640e-12 6.951385874582513322e-14 6.074161822818794613e-15 2.617556064231511067e-17 1.985658874787157397e-18 3.408459722180170414e-12 2.154413747280773235e-13 1.636565371244008140e-15 1.288836851146035064e-16 8.401884334295166891e-12 3.538671183149286084e-14 3.144152998051757198e-15 9.300079628319395701e-13 5.448184535690872630e-14 1.004211713691808732e-12
4.000000000000000000e+00 3.983142363005472463e-12 6.591379643606306477e-14 5.859465403971783485e-15 2.713159457116639490e-17 2.043004782169341558e-18 3.288477277574230678e-12 2.059897521973799485e-13 1.664338335212856806e-15 1.303918080221301759e-16 7.941724631680809899e-12 3.569648064493078896e-14 3.151504907278743781e-15 9.260880798775767517e-13 5.441074479848889929e-14 1.002613700542408764e-12
5.000000000000000000e+00 3.985201414722188434e-12 6.373480908459196143e-14 5.724065804063782944e-15 2.792135652244471402e-17 2.091843697898096988e-18 3.229887790511409603e-12 1.997501485140911913e-13 1.683312459136269572e-15 1.316326786707339418e-16 7.616931714671240174e-12 3.587040598188265971e-14 3.157709811943370499e-15 9.205470345736783979e-13 5.432385124561885108e-14 9.989919727857084815e-13
6.000000000000000000e+00 3.971670884595179065e-12 6.253867306851808225e-14 5.628217835895622352e-15 2.872939247544575410e-17 2.143635734728137993e-18 3.214551245121091832e-12 1.951729132458343418e-13 1.703314175907995370e-15 1.331718368008779806e-16 7.366564091463731964e-12 3.608741383877033556e-14 3.173037471605977276e-15 9.167879834468495556e-13 5.438585185101428231e-14 9.968796791738292771e-13
7.000000000000000000e+00 3.945410912548571788e-12 6.205572337988241507e-14 5.545716291056721379e-15 2.962204332693682069e-17 2.202422463285771096e-18 3.230455373924537275e-12 1.912768787654611582e-13 1.727417370949071509e-15 1.351704312185991271e-16 7.152655117419760034e-12 3.639703971437521775e-14 3.199697678866040780e-15 9.154932779443371139e-13 5.462821553866104987e-14 9.971046834286327186e-13
8.000000000000000000e+00 3.910678901260714761e-12 6.211453239315333535e-14 5.462756275815118460e-15 3.062610509905155366e-17 2.269771100891068834e-18 3.269578055779459215e-12 1.875424144943807284e-13 1.756561865955551503e-15 1.376659105570026535e-16 6.954729861312672415e-12 3.681006092925526152e-14 3.237639427675732565e-15 9.166186659366915130e-13 5.504581696318289451e-14 9.997006952422353073e-13
9.000000000000000000e+00 3.871633088778413996e-12 6.259672732677292811e-14 5.373748858031073006e-15 3.175364249902599900e-17 2.346357915982610592e-18 3.326177866481788821e-12 1.837445823095909014e-13 1.790947306623027014e-15 1.406564745246861552e-16 6.763173593073891732e-12 3.732478880337705815e-14 3.286204518605428822e-15 9.199293926176730980e-13 5.562417298153749960e-14 1.004468861660453088e-12
1.000000000000000000e+01 3.831689623922352480e-12 6.341211283319056169e-14 5.277687800340025455e-15 3.301098193498235282e-17 2.432540667911933945e-18 3.395796877577192213e-12 1.798215294602489487e-13 1.830514805509016602e-15 1.441294358354976867e-16 6.574360650639369255e-12 3.793576265455877479e-14 3.344644373709513739e-15 9.251616664090219392e-13 5.634780625975540413e-14 1.011160038144560829e-12
1.100000000000000000e+01 3.793376420748523180e-12 6.448607493224154804e-14 5.175760477057265846e-15 3.440226822330538723e-17 2.528581088124827121e-18 3.474744355787170723e-12 1.757906421833518976e-13 1.875126372369985097e-15 1.480711437487746517e-16 6.387642252406363842e-12 3.863679908295550404e-14 3.412279598585805481e-15 9.320713770457148645e-13 5.720273741651822156e-14 1.019534834660144124e-12
