   ENERGY (CM-1)    JTOTL  JSTEP  JTOTU      F    I         SIG(F,I)
  5.0000000000E-02      0      1      6      1    1          59.1783      
  0.1000000000          0      1      6      1    1          111.449      
  0.1500000000          0      1      7      1    1          132.311      
  0.2000000000          0      1      7      1    1          143.878      
  0.2500000000          0      1      8      1    1          151.225      
  0.3000000000          0      1      8      1    1          156.060      
  0.3500000000          0      1      8      1    1          159.575      
  0.4000000000          0      1      8      1    1          162.576      
  0.4500000000          0      1      9      1    1          165.605      
  0.5000000000          0      1      9      1    1          168.544      
  0.5500000000          0      1      9      1    1          173.365      
  0.6000000000          0      1      9      1    1          179.176      
  0.6500000000          0      1     10      1    1          187.759      
  0.7000000000          0      1     10      1    1          202.348      
  0.7500000000          0      1     10      1    1          232.778      
  0.8000000000          0      1     10      1    1          317.429      
  0.8500000000          0      1     10      1    1          616.216      
  0.9000000000          0      1     10      1    1          702.259      
  0.9500000000          0      1     11      1    1          381.500      
   1.000000000          0      1     11      1    1          280.602      
   1.050000000          0      1     11      1    1          246.028      
   1.100000000          0      1     11      1    1          231.707      
   1.150000000          0      1     11      1    1          225.302      
   1.200000000          0      1     11      1    1          222.613      
   1.250000000          0      1     11      1    1          221.919      
   1.300000000          0      1     12      1    1          222.414      
   1.350000000          0      1     12      1    1          223.685      
   1.400000000          0      1     12      1    1          225.501      
   1.450000000          0      1     12      1    1          227.733      
   1.500000000          0      1     12      1    1          229.879      
   1.550000000          0      1     12      1    1          232.776      
   1.600000000          0      1     12      1    1          235.964      
   1.650000000          0      1     12      1    1          239.430      
   1.700000000          0      1     13      1    1          243.204      
   1.750000000          0      1     13      1    1          247.325      
   1.800000000          0      1     13      1    1          251.857      
   1.850000000          0      1     13      1    1          256.886      
   1.900000000          0      1     13      1    1          262.523      
   1.950000000          0      1     13      1    1          268.915      
   2.000000000          0      1     13      1    1          276.238      
   2.050000000          0      1     13      1    1          284.706      
   2.100000000          0      1     13      1    1          294.583      
   2.150000000          0      1     13      1    1          306.153      
   2.200000000          0      1     13      1    1          319.714      
   2.250000000          0      1     14      1    1          335.538      
   2.300000000          0      1     14      1    1          353.805      
   2.350000000          0      1     14      1    1          374.479      
   2.400000000          0      1     14      1    1          397.185      
   2.450000000          0      1     14      1    1          421.049      
   2.500000000          0      1     14      1    1          444.664      
   2.550000000          0      1     14      1    1          466.180      
   2.600000000          0      1     14      1    1          483.675      
   2.650000000          0      1     14      1    1          495.654      
   2.700000000          0      1     14      1    1          501.474      
   2.750000000          0      1     14      1    1          501.445      
   2.800000000          0      1     14      1    1          496.612      
   2.850000000          0      1     14      1    1          488.368      
   2.900000000          0      1     14      1    1          478.073      
   2.950000000          0      1     14      1    1          466.868      
   3.000000000          0      1     14      1    1          455.572      
   3.050000000          0      1     14      1    1          444.725      
   3.100000000          0      1     14      1    1          434.639      
   3.150000000          0      1     14      1    1          425.469      
   3.200000000          0      1     14      1    1          417.277      
   3.250000000          0      1     14      1    1          410.048      
   3.300000000          0      1     14      1    1          403.738      
   3.350000000          0      1     14      1    1          398.290      
   3.400000000          0      1     14      1    1          393.643      
   3.450000000          0      1     14      1    1          389.728      
   3.500000000          0      1     14      1    1          386.490      
   3.550000000          0      1     14      1    1          383.878      
   3.600000000          0      1     14      1    1          381.845      
   3.650000000          0      1     14      1    1          380.352      
   3.700000000          0      1     14      1    1          379.370      
   3.750000000          0      1     15      1    1          378.902      
   3.800000000          0      1     15      1    1          378.864      
   3.850000000          0      1     15      1    1          379.268      
   3.900000000          0      1     15      1    1          380.092      
   3.950000000          0      1     15      1    1          381.325      
   4.000000000          0      1     15      1    1          382.948      
   4.050000000          0      1     15      1    1          384.944      
   4.100000000          0      1     15      1    1          387.295      
   4.150000000          0      1     15      1    1          389.976      
   4.200000000          0      1     15      1    1          392.961      
   4.250000000          0      1     15      1    1          396.221      
   4.300000000          0      1     15      1    1          399.717      
   4.350000000          0      1     15      1    1          403.409      
   4.400000000          0      1     15      1    1          407.249      
   4.450000000          0      1     15      1    1          411.184      
