T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 2.471953501983763472e-12 1.490493333152258276e-12 8.089556215889405982e-14 5.611784347385612263e-15 1.035068070069491888e-14 2.821077322665580799e-12 1.565949087341814719e-12 1.307082945642504048e-14 3.221958939075189204e-14 4.526177311809136238e-12 5.233131643964915803e-14 2.669557504141692426e-14 1.739994284026974804e-13 1.662869005108209030e-13 2.209747234811414432e-13
2.000000000000000000e+00 2.303193160343137268e-12 1.485820524266325253e-12 1.650184093177611143e-13 2.136919342057508100e-14 1.921004744134221399e-14 3.161403811046277348e-12 2.247287515044564264e-12 5.426472575577489422e-14 5.811686245609278713e-14 4.836426985820448237e-12 1.138361658349702670e-13 4.292275662121898648e-14 2.933955463178726994e-13 2.273810699654196278e-13 3.531878577139223841e-13
3.000000000000000000e+00 2.347850313309933933e-12 1.488430664986612892e-12 2.000924229812215843e-13 2.961058617129972694e-14 2.082392559701154871e-14 3.419780810651495143e-12 2.529665772912936526e-12 7.735151963039769868e-14 6.391951593515735577e-14 4.913146934898446868e-12 1.477612262558164464e-13 4.667953819067173000e-14 3.503407148788949103e-13 2.352424685892338095e-13 4.004424657307741737e-13
4.000000000000000000e+00 2.493569538340820996e-12 1.505285331437985954e-12 2.138609754774726581e-13 3.226960088537335470e-14 2.054758514675596962e-14 3.630721404914976845e-12 2.667595073258503342e-12 8.609348491108549269e-14 6.453445338449590789e-14 4.931470350472912231e-12 1.692776458745375865e-13 4.796835717803654300e-14 3.852128185567974811e-13 2.361631231647304389e-13 4.248004517536931510e-13
5.000000000000000000e+00 2.664311575781916389e-12 1.527710865970948657e-12 2.210273764992830786e-13 3.284986083841693912e-14 1.997561892859409087e-14 3.820367132671433513e-12 2.753296591467169164e-12 8.925078677696138222e-14 6.431547025955672542e-14 4.948551913287454381e-12 1.861003628814912576e-13 4.897229213950843164e-14 4.113988567321302677e-13 2.376545639385121808e-13 4.419162580636716055e-13
6.000000000000000000e+00 2.824261395008807859e-12 1.554483420420760859e-12 2.257382649030592017e-13 3.283919834614417681e-14 1.948291568460720786e-14 4.003700092558720420e-12 2.809531074763991659e-12 9.061000385635165167e-14 6.429689050174021703e-14 4.960843418647189536e-12 2.009173365832186917e-13 5.012289717791676127e-14 4.336334556083842787e-13 2.405637379062672270e-13 4.564496743768899064e-13
7.000000000000000000e+00 2.960917450368294909e-12 1.585669737740912615e-12 2.289218426812470572e-13 3.276598957539240372e-14 1.913914839077852810e-14 4.188007315645082969e-12 2.842110476266770729e-12 9.156435619343101781e-14 6.467672542221085027e-14 4.958584143524454575e-12 2.146989034837919201e-13 5.149622671712436771e-14 4.538444608290608456e-13 2.447126116233324570e-13 4.701118126028416524e-13
8.000000000000000000e+00 3.072804998727090662e-12 1.620848724454845341e-12 2.307498942559127710e-13 3.279429057113529761e-14 1.893764765580264784e-14 4.375728301445866276e-12 2.853958317990170516e-12 9.259660884075444400e-14 6.544212653179861914e-14 4.936912233396356469e-12 2.278520680494715901e-13 5.309063492601117387e-14 4.729438418772698581e-13 2.498360985879479604e-13 4.836230085360130135e-13
9.000000000000000000e+00 3.162849452835620461e-12 1.659139178420104930e-12 2.313106892346861918e-13 3.295849484429880477e-14 1.885546862684709153e-14 4.566618794342372081e-12 2.848082059225267581e-12 9.385566292084258724e-14 6.653364498312793291e-14 4.895644963785258499e-12 2.405828141398347023e-13 5.488653519270267606e-14 4.914161846801556914e-13 2.557226550731173365e-13 4.973044330901896365e-13
1.000000000000000000e+01 3.235222182751089937e-12 1.699474344250210728e-12 2.307398277823545535e-13 3.325041163993933222e-14 1.886969290035488113e-14 4.759076875174456114e-12 2.827736792065818462e-12 9.536926119558845836e-14 6.788979664013866309e-14 4.837240485157816259e-12 2.530147322189352611e-13 5.686066868048347362e-14 5.095392842322741441e-13 2.622181654188511511e-13 5.112969968537531465e-13
1.100000000000000000e+01 3.293984040574967968e-12 1.740788069328918379e-12 2.292125684823782016e-13 3.365071615384752012e-14 1.896128971768775733e-14 4.950900217023420579e-12 2.796105757260593435e-12 9.712284047955316413e-14 6.945800884076804777e-14 4.765188949252617289e-12 2.652311742171373089e-13 5.899000225546048343e-14 5.274797422831716296e-13 2.692112535024491549e-13 5.256549230665662948e-13
1.200000000000000000e+01 3.342586030245235795e-12 1.782109831760345265e-12 2.269154685077328046e-13 3.413969861743792573e-14 1.911533908963667875e-14 5.139730932720039580e-12 2.756052444347699538e-12 9.908904955171650416e-14 7.119583022666230133e-14 4.683077350657074190e-12 2.772919888236909882e-13 6.125302138511612237e-14 5.453399359105312969e-13 2.766202281852328417e-13 5.403895058472741136e-13
1.300000000000000000e+01 3.383755974317668297e-12 1.822606572954841664e-12 2.240254068808183954e-13 3.470039064328821728e-14 1.932031688887080055e-14 5.323326097761183839e-12 2.710009807539433383e-12 1.012386747793403181e-13 7.306955057021854145e-14 4.594140359320984820e-12 2.892412120882726481e-13 6.363023934261800890e-14 5.631833191405160130e-13 2.843837906158574056e-13 5.554907133614566024e-13
1.400000000000000000e+01 3.419546844452144569e-12 1.861596246301136199e-12 2.206986630276012745e-13 3.531899759515959233e-14 1.956728430840606585e-14 5.499717288308871936e-12 2.659965770773958897e-12 1.035444345516562022e-13 7.505241967994388294e-14 4.501095522844589182e-12 3.011112654899642189e-13 6.610438386982137510e-14 5.810489411762486571e-13 2.924547204690873796e-13 5.709382201194218089e-13
