T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 9.624700798396387084e-18 2.554726559393659459e-33 2.571179518027976532e-59 8.704806595517234341e-95 1.210751689154677909e-137 4.257522806947047079e-33 4.305819157847357037e-58 1.643142723497171165e-94 4.336642529160130164e-137 2.078700979722140643e-57 9.577488297061708893e-94 4.583969863653658497e-137 4.416484506894539048e-93 4.211541159169591926e-136 4.635689818632294608e-136
2.000000000000000000e+00 1.351487691308758559e-14 3.199047755041120985e-22 1.251788174372946451e-35 1.148730318904877037e-53 5.320638931790600004e-75 5.610977722535299163e-22 2.010147505161482467e-34 2.539490477423371535e-53 1.741844281905761552e-74 7.700595386797377576e-34 9.585394537697668292e-53 1.568103457661574265e-74 3.511528230350985661e-52 1.193054660934586997e-73 1.460581451288779078e-73
3.000000000000000000e+00 1.302369745973643630e-13 1.350848142419285206e-18 9.369918623651049185e-28 5.667905646870997517e-40 3.487028130637729153e-54 2.481327278058738377e-18 1.405439146240733433e-26 1.339621431499177465e-39 1.118926778898905104e-53 4.657161796317018042e-26 4.094793908935811700e-39 9.466111834648934920e-54 1.304520978753593383e-38 6.544177063671693187e-53 8.622659726838117425e-53
4.000000000000000000e+00 3.824570017541932543e-13 8.111799036208460822e-17 7.678472036904643071e-24 3.706438014571040706e-33 8.163907502463163879e-44 1.548013454573389793e-16 1.104881155845134467e-22 9.071575573846671764e-33 2.613297567615663808e-43 3.330477007455840078e-22 2.543438463483618794e-32 2.152137283498919173e-43 7.429891104544527412e-32 1.404416740062528883e-42 1.950002541631865319e-42
5.000000000000000000e+00 7.125932524308820273e-13 9.052333227613946939e-16 1.646995299563785140e-21 4.330522921842051052e-29 1.288946410764862953e-37 1.784003088413590892e-15 2.310245751973516206e-20 1.084590277175882080e-28 4.139959013504274065e-37 6.511933898517660185e-20 2.935007469235282866e-28 3.367734792843693030e-37 8.079267208114227872e-28 2.112433987112119456e-36 3.049735535510487452e-36
6.000000000000000000e+00 1.065337207452224812e-12 4.394272613910163251e-15 5.747556074973636111e-20 2.157005439136305861e-26 1.687840532241337915e-33 8.906572303560749574e-15 7.925096844120791071e-19 5.496004009494562662e-26 5.452187132695006600e-33 2.123897731712125619e-18 1.468476185744635753e-25 4.411416963424957322e-33 3.868072021027306305e-25 2.686629751271145224e-32 3.997502491096157123e-32
7.000000000000000000e+00 1.408108509400776080e-12 1.332620988754099994e-14 7.131380603449571801e-19 1.781138007993197404e-24 1.437683246821392517e-30 2.769793107437797905e-14 9.710110539101281217e-18 4.601082163150703679e-24 4.675478493841651109e-30 2.501362974484610944e-17 1.227159593162188810e-23 3.776296113004830450e-30 3.122489334892066284e-23 2.246748612890724518e-29 3.424501872629437796e-29
8.000000000000000000e+00 1.725032617723062811e-12 3.021934783513958210e-14 4.646020000362130324e-18 4.802016824376569088e-23 2.227623412154061035e-28 6.426705087324265649e-14 6.263603838551818721e-17 1.254721145283954198e-22 7.296762269734381505e-28 1.562900475805334173e-16 3.358842978700007711e-22 5.895091934699154881e-28 8.307939483738566745e-22 3.440214176028024530e-27 5.348155482537758061e-27
9.000000000000000000e+00 2.010007934716295159e-12 5.658165730858448394e-14 1.972469146420330847e-17 6.154307260660975091e-22 1.110791367889590413e-26 1.229095418323835896e-13 2.637526167137405296e-16 1.623848525830161301e-21 3.665482004130747847e-26 6.410706661671212482e-16 4.375160366340064318e-21 2.965892414907990325e-26 1.056648536271381789e-20 1.702358270263978246e-25 2.690605585443151171e-25
1.000000000000000000e+01 2.262225619696762575e-12 9.279087679589851157e-14 6.210180616445716446e-17 4.694756873104834668e-21 2.508899330303562364e-25 2.055861612772703342e-13 8.246329162207942181e-16 1.249363267519467449e-20 8.340939437279137984e-25 1.960788169807849252e-15 3.392577555130594753e-20 6.764898900512780395e-25 8.026548029518803392e-20 3.826500626014556373e-24 6.133633976730958636e-24
1.100000000000000000e+01 2.483547552681190496e-12 1.383378186116406354e-13 1.574045440914144137e-16 2.458727784299981084e-20 3.189529236833235859e-24 3.122228274715589950e-13 2.077488422437644143e-15 6.593084895676680519e-20 1.068266767030474465e-23 4.848600737339544316e-15 1.805391437346863706e-19 8.689605280758738361e-24 4.195011577526018526e-19 4.850650274384072519e-23 7.870466780563827443e-23
1.200000000000000000e+01 2.677016412405793283e-12 1.921587551022476212e-13 3.392184583898666058e-16 9.720582903507967860e-20 2.637313057658682980e-23 4.412986762844554258e-13 4.453250964582171300e-15 2.624560936497920435e-19 8.898229632909861907e-23 1.022848051185659677e-14 7.248389098737471733e-19 7.262476683322109857e-23 1.657445016991570210e-18 4.005014792076500347e-22 6.567835838009024291e-22
1.300000000000000000e+01 2.846030716093662895e-12 2.529195165889351357e-13 6.455015065237687163e-16 3.097614729065004195e-19 1.567484069276614909e-22 5.904147354264436070e-13 8.433841816603779724e-15 8.416412576012274686e-19 5.327063754376040548e-22 1.910475807177878865e-14 2.344058662523345399e-18 4.363888205935032146e-22 5.283380191330168030e-18 2.379396630419356551e-21 3.938745104943027812e-21
1.400000000000000000e+01 2.993908073444368731e-12 3.192142129876222827e-13 1.114232712430391178e-15 8.336863591341996613e-19 7.191463104129788667e-22 7.567335053415942824e-13 1.449595878456801267e-14 2.278426735522552134e-18 2.461443449565434759e-21 3.244158508674759784e-14 6.397776243425982580e-18 2.024385760736058289e-21 1.423334579707583842e-17 1.092047975223379049e-20 1.822858307789267093e-20
1.500000000000000000e+01 3.123673601929932948e-12 3.896868191270804704e-13 1.779467774809014120e-15 1.960926049370975039e-18 2.683367877763110504e-21 9.372810414007242791e-13 2.306133154084131866e-14 5.388400923763278080e-18 9.248670874058730179e-21 5.106279120163371967e-14 1.525005906880968844e-17 7.638186173951306549e-21 3.352590446777502567e-17 4.078724211905285237e-20 6.859207213520127661e-20
