   ENERGY (CM-1)    JTOTL  JSTEP  JTOTU      F    I         SIG(F,I)
  5.0000000000E-02      0      1      5      1    1          2290.97      
  0.1000000000          0      1      6      1    1          1124.23      
  0.1500000000          0      1      6      1    1          823.084      
  0.2000000000          0      1      6      1    1          648.579      
  0.2500000000          0      1      7      1    1          561.646      
  0.3000000000          0      1      7      1    1          489.740      
  0.3500000000          0      1      7      1    1          427.373      
  0.4000000000          0      1      7      1    1          382.986      
  0.4500000000          0      1      7      1    1          360.585      
  0.5000000000          0      1      8      1    1          341.447      
  0.5500000000          0      1      8      1    1          309.069      
  0.6000000000          0      1      8      1    1          294.207      
  0.6500000000          0      1      8      1    1          265.391      
  0.7000000000          0      1      8      1    1          256.979      
  0.7500000000          0      1      8      1    1          249.930      
  0.8000000000          0      1      8      1    1          227.487      
  0.8500000000          0      1      9      1    1          332.089      
  0.9000000000          0      1      9      1    1          201.803      
  0.9500000000          0      1      9      1    1          203.187      
   1.000000000          0      1      9      1    1          193.827      
   1.050000000          0      1      9      1    1          185.041      
   1.100000000          0      1      9      1    1          177.671      
   1.150000000          0      1      9      1    1          171.031      
   1.200000000          0      1      9      1    1          169.072      
   1.250000000          0      1      9      1    1          160.123      
   1.300000000          0      1     10      1    1          158.275      
   1.350000000          0      1     10      1    1          137.748      
   1.400000000          0      1     10      1    1          150.811      
   1.450000000          0      1     10      1    1          152.109      
   1.500000000          0      1     10      1    1          137.041      
   1.550000000          0      1     10      1    1          141.004      
   1.600000000          0      1     10      1    1          138.411      
   1.650000000          0      1     10      1    1          137.054      
   1.700000000          0      1     10      1    1          133.821      
   1.750000000          0      1     10      1    1          134.841      
   1.800000000          0      1     10      1    1          120.700      
   1.850000000          0      1     11      1    1          130.425      
   1.900000000          0      1     11      1    1          129.063      
   1.950000000          0      1     11      1    1          125.245      
   2.000000000          0      1     11      1    1          84.9609      
   2.050000000          0      1     11      1    1          129.926      
   2.100000000          0      1     11      1    1          128.368      
   2.150000000          0      1     11      1    1          118.918      
   2.200000000          0      1     11      1    1          121.348      
   2.250000000          0      1     11      1    1          119.957      
   2.300000000          0      1     11      1    1          117.070      
   2.350000000          0      1     11      1    1          105.718      
   2.400000000          0      1     11      1    1          109.283      
   2.450000000          0      1     11      1    1          108.245      
   2.500000000          0      1     11      1    1          110.168      
   2.550000000          0      1     12      1    1          109.446      
   2.600000000          0      1     12      1    1          108.416      
   2.650000000          0      1     12      1    1          109.253      
   2.700000000          0      1     12      1    1          108.241      
   2.750000000          0      1     12      1    1          105.874      
   2.800000000          0      1     12      1    1          103.369      
   2.850000000          0      1     12      1    1          102.510      
   2.900000000          0      1     12      1    1          103.527      
   2.950000000          0      1     12      1    1          98.3508      
   3.000000000          0      1     12      1    1          97.7317      
   3.050000000          0      1     12      1    1          99.8811      
   3.100000000          0      1     12      1    1          99.1666      
   3.150000000          0      1     12      1    1          96.9015      
   3.200000000          0      1     12      1    1          96.9073      
   3.250000000          0      1     12      1    1          96.6527      
   3.300000000          0      1     12      1    1          95.1372      
   3.350000000          0      1     12      1    1          94.5508      
   3.400000000          0      1     12      1    1          96.2575      
   3.450000000          0      1     12      1    1          94.8988      
   3.500000000          0      1     12      1    1          94.3399      
   3.550000000          0      1     13      1    1          96.6319      
   3.600000000          0      1     13      1    1          96.0610      
   3.650000000          0      1     13      1    1          92.8894      
   3.700000000          0      1     13      1    1          92.3943      
   3.750000000          0      1     13      1    1          93.2356      
   3.800000000          0      1     13      1    1          92.7438      
   3.850000000          0      1     13      1    1          92.0557      
   3.900000000          0      1     13      1    1          99.0862      
   3.950000000          0      1     13      1    1          100.844      
   4.000000000          0      1     13      1    1          89.5357      
   4.050000000          0      1     13      1    1          89.1548      
   4.100000000          0      1     13      1    1          89.3815      
   4.150000000          0      1     13      1    1          89.0092      
   4.200000000          0      1     13      1    1          89.0293      
   4.250000000          0      1     13      1    1          88.6446      
   4.300000000          0      1     13      1    1          87.9673      
   4.350000000          0      1     13      1    1          87.6160      
   4.400000000          0      1     13      1    1          87.3129      
   4.450000000          0      1     13      1    1          86.9781      
   4.500000000          0      1     13      1    1          84.4290      
   4.550000000          0      1     13      1    1          84.1486      
   4.600000000          0      1     13      1    1          85.6222      
   4.650000000          0      1     13      1    1          85.3233      
   4.700000000          0      1     13      1    1          86.4853      
   4.750000000          0      1     13      1    1          86.1773      
   4.800000000          0      1     13      1    1          86.9513      
   4.850000000          0      1     13      1    1          86.6339      
   4.900000000          0      1     13      1    1          83.7273      
   4.950000000          0      1     13      1    1          83.4637      
   5.000000000          0      1     13      1    1          83.2635      
   5.050000000          0      1     13      1    1          83.0054      
   5.100000000          0      1     13      1    1          82.9932      
   5.150000000          0      1     13      1    1          82.7393      
   5.200000000          0      1     13      1    1          82.4893      
   5.250000000          0      1     13      1    1          120.237      
   5.300000000          0      1     13      1    1          119.114      
   5.350000000          0      1     13      1    1          81.7709      
   5.400000000          0      1     13      1    1          81.5368      
   5.450000000          0      1     13      1    1          82.1358      
   5.500000000          0      1     13      1    1          81.8961      
   5.550000000          0      1     13      1    1          80.2426      
   5.600000000          0      1     13      1    1          80.0323      
   5.650000000          0      1     13      1    1          80.2896      
   5.700000000          0      1     13      1    1          80.0782      
   5.750000000          0      1     13      1    1          79.8699      
   5.800000000          0      1     13      1    1          79.3348      
   5.850000000          0      1     13      1    1          79.1287      
   5.900000000          0      1     13      1    1          79.6776      
   5.950000000          0      1     13      1    1          79.4725      
   6.000000000          0      1     13      1    1          78.7588      
   6.050000000          0      1     13      1    1          78.5719      
   6.100000000          0      1     13      1    1          78.3880      
   6.150000000          0      1     13      1    1          78.0236      
   6.200000000          0      1     13      1    1          77.8515      
   6.250000000          0      1     13      1    1          78.2410      
   6.300000000          0      1     13      1    1          78.0619      
   6.350000000          0      1     13      1    1          92.4722      
   6.400000000          0      1     13      1    1          92.2742      
   6.450000000          0      1     13      1    1          92.0829      
   6.500000000          0      1     13      1    1          77.2328      
   6.550000000          0      1     13      1    1          77.0699      
   6.600000000          0      1     13      1    1          75.5175      
   6.650000000          0      1     13      1    1          75.3790      
   6.700000000          0      1     13      1    1          75.2429      
   6.750000000          0      1     14      1    1          76.2133      
   6.800000000          0      1     14      1    1          76.0701      
   6.850000000          0      1     14      1    1          76.1399      
   6.900000000          0      1     14      1    1          75.9982      
   6.950000000          0      1     14      1    1          75.8587      
   7.000000000          0      1     14      1    1          76.6699      
   7.050000000          0      1     14      1    1          74.8065      
   7.100000000          0      1     14      1    1          75.4483      
   7.150000000          0      1     14      1    1          75.3179      
   7.200000000          0      1     14      1    1          75.1895      
   7.250000000          0      1     14      1    1          74.8605      
   7.300000000          0      1     14      1    1          74.7390      
   7.350000000          0      1     14      1    1          74.8373      
   7.400000000          0      1     14      1    1          74.7148      
   7.450000000          0      1     14      1    1          74.5940      
   7.500000000          0      1     14      1    1          74.5488      
   7.550000000          0      1     14      1    1          74.4287      
   7.600000000          0      1     14      1    1          74.1560      
   7.650000000          0      1     14      1    1          74.0217      
   7.700000000          0      1     14      1    1          73.8890      
   7.750000000          0      1     14      1    1          73.6725      
   7.800000000          0      1     14      1    1          73.5650      
   7.850000000          0      1     14      1    1          73.4588      
   7.900000000          0      1     14      1    1          73.2225      
   7.950000000          0      1     14      1    1          73.1215      
   8.000000000          0      1     14      1    1          73.7199      
   8.050000000          0      1     14      1    1          73.6143      
   8.100000000          0      1     14      1    1          73.5097      
   8.150000000          0      1     14      1    1          73.0422      
   8.200000000          0      1     14      1    1          72.9421      
   8.250000000          0      1     14      1    1          72.8430      
   8.300000000          0      1     14      1    1          72.6860      
   8.350000000          0      1     14      1    1          72.5877      
   8.400000000          0      1     14      1    1          66.2814      
   8.450000000          0      1     14      1    1          66.5813      
   8.500000000          0      1     14      1    1          66.8727      
   8.550000000          0      1     14      1    1          72.3556      
   8.600000000          0      1     14      1    1          72.2631      
   8.650000000          0      1     14      1    1          72.1715      
   8.700000000          0      1     14      1    1          72.1169      
   8.750000000          0      1     14      1    1          72.0268      
   8.800000000          0      1     14      1    1          71.9376      
   8.850000000          0      1     14      1    1          72.1153      
   8.900000000          0      1     14      1    1          72.0280      
   8.950000000          0      1     14      1    1          71.6424      
   9.000000000          0      1     14      1    1          71.5516      
