   ENERGY (CM-1)    JTOTL  JSTEP  JTOTU      F    I         SIG(F,I)
   121.7560000          0      1      5      1    1          1618.22      
   121.8060000          0      1      6      1    1          1641.28      
   121.8560000          0      1      6      1    1          1323.90      
   121.9060000          0      1      6      1    1          1383.28      
   121.9560000          0      1      7      1    1          1070.55      
   122.0060000          0      1      7      1    1          783.234      
   122.0560000          0      1      7      1    1          1072.20      
   122.1060000          0      1      7      1    1          724.482      
   122.1560000          0      1      7      1    1          656.840      
   122.2060000          0      1      7      1    1          782.929      
   122.2560000          0      1      8      1    1          606.571      
   122.3060000          0      1      8      1    1          459.866      
   122.3560000          0      1      8      1    1          527.509      
   122.4060000          0      1      8      1    1          327.237      
   122.4560000          0      1      8      1    1          401.875      
   122.5060000          0      1      8      1    1          556.124      
   122.5560000          0      1      8      1    1          507.989      
   122.6060000          0      1      9      1    1          389.656      
   122.6560000          0      1      9      1    1          351.269      
   122.7060000          0      1      9      1    1          335.934      
   122.7560000          0      1      9      1    1          210.782      
   122.8060000          0      1      9      1    1          272.309      
   122.8560000          0      1      9      1    1          300.746      
   122.9060000          0      1      9      1    1          292.969      
   122.9560000          0      1      9      1    1          289.432      
   123.0060000          0      1      9      1    1          242.490      
   123.0560000          0      1      9      1    1          359.112      
   123.1060000          0      1     10      1    1          333.483      
   123.1560000          0      1     10      1    1          252.873      
   123.2060000          0      1     10      1    1          255.123      
   123.2560000          0      1     10      1    1          251.201      
   123.3060000          0      1     10      1    1          246.064      
   123.3560000          0      1     10      1    1          244.354      
   123.4060000          0      1     10      1    1          299.004      
   123.4560000          0      1     10      1    1          211.989      
   123.5060000          0      1     10      1    1          220.702      
   123.5560000          0      1     10      1    1          229.978      
   123.6060000          0      1     10      1    1          225.969      
   123.6560000          0      1     10      1    1          210.024      
   123.7060000          0      1     10      1    1          184.270      
   123.7560000          0      1     11      1    1          209.006      
   123.8060000          0      1     11      1    1          205.685      
   123.8560000          0      1     11      1    1          183.485      
   123.9060000          0      1     11      1    1          202.027      
   123.9560000          0      1     11      1    1          198.921      
   124.0060000          0      1     11      1    1          283.802      
   124.0560000          0      1     11      1    1          180.182      
   124.1060000          0      1     11      1    1          190.328      
   124.1560000          0      1     11      1    1          187.566      
   124.2060000          0      1     11      1    1          187.482      
   124.2560000          0      1     11      1    1          173.681      
   124.3060000          0      1     11      1    1          171.361      
   124.3560000          0      1     11      1    1          199.929      
   124.4060000          0      1     11      1    1          197.068      
   124.4560000          0      1     11      1    1          168.129      
   124.5060000          0      1     11      1    1          182.793      
   124.5560000          0      1     11      1    1          180.407      
   124.6060000          0      1     11      1    1          168.949      
   124.6560000          0      1     12      1    1          248.274      
   124.7060000          0      1     12      1    1          244.192      
   124.7560000          0      1     12      1    1          152.707      
   124.8060000          0      1     12      1    1          151.106      
   124.8560000          0      1     12      1    1          154.679      
   124.9060000          0      1     12      1    1          186.719      
   124.9560000          0      1     12      1    1          186.752      
   125.0060000          0      1     12      1    1          129.013      
   125.0560000          0      1     12      1    1          127.821      
   125.1060000          0      1     12      1    1          153.475      
   125.1560000          0      1     12      1    1          135.832      
   125.2060000          0      1     12      1    1          134.701      
   125.2560000          0      1     12      1    1          145.533      
   125.3060000          0      1     12      1    1          144.288      
   125.3560000          0      1     12      1    1          150.701      
   125.4060000          0      1     12      1    1          152.576      
   125.4560000          0      1     12      1    1          128.676      
   125.5060000          0      1     12      1    1          127.830      
   125.5560000          0      1     12      1    1          132.214      
   125.6060000          0      1     12      1    1          135.573      
   125.6560000          0      1     12      1    1          134.596      
   125.7060000          0      1     12      1    1          138.833      
   125.7560000          0      1     12      1    1          137.809      
   125.8060000          0      1     12      1    1          127.362      
   125.8560000          0      1     12      1    1          126.528      
   125.9060000          0      1     12      1    1          133.473      
   125.9560000          0      1     12      1    1          132.546      
   126.0060000          0      1     12      1    1          136.736      
   126.0560000          0      1     12      1    1          136.981      
   126.1060000          0      1     12      1    1          124.103      
   126.1560000          0      1     12      1    1          123.369      
   126.2060000          0      1     12      1    1          125.673      
   126.2560000          0      1     12      1    1          124.949      
   126.3060000          0      1     12      1    1          111.307      
   126.3560000          0      1     12      1    1          110.974      
   126.4060000          0      1     12      1    1          118.547      
   126.4560000          0      1     12      1    1          117.919      
   126.5060000          0      1     12      1    1          120.304      
   126.5560000          0      1     12      1    1          119.653      
   126.6060000          0      1     12      1    1          121.549      
   126.6560000          0      1     12      1    1          120.880      
   126.7060000          0      1     12      1    1          125.716      
   126.7560000          0      1     12      1    1          125.471      
   126.8060000          0      1     12      1    1          116.670      
   126.8560000          0      1     12      1    1          116.072      
   126.9060000          0      1     12      1    1          115.482      
   126.9560000          0      1     12      1    1          129.882      
   127.0060000          0      1     12      1    1          129.071      
   127.0560000          0      1     12      1    1          109.162      
   127.1060000          0      1     12      1    1          108.661      
   127.1560000          0      1     12      1    1          112.415      
   127.2060000          0      1     12      1    1          111.884      
   127.2560000          0      1     12      1    1          112.657      
   127.3060000          0      1     12      1    1          112.297      
   127.3560000          0      1     12      1    1          105.047      
   127.4060000          0      1     12      1    1          104.635      
   127.4560000          0      1     12      1    1          104.237      
   127.5060000          0      1     12      1    1          108.037      
   127.5560000          0      1     12      1    1          107.594      
   127.6060000          0      1     12      1    1          108.617      
   127.6560000          0      1     12      1    1          108.146      
   127.7060000          0      1     12      1    1          109.541      
   127.7560000          0      1     12      1    1          109.060      
   127.8060000          0      1     12      1    1          108.590      
   127.8560000          0      1     12      1    1          170.225      
   127.9060000          0      1     12      1    1          169.526      
   127.9560000          0      1     12      1    1          104.820      
   128.0060000          0      1     12      1    1          104.397      
   128.0560000          0      1     12      1    1          88.7296      
   128.1060000          0      1     12      1    1          88.6261      
   128.1560000          0      1     12      1    1          88.5246      
   128.2060000          0      1     12      1    1          100.765      
   128.2560000          0      1     12      1    1          103.398      
   128.3060000          0      1     12      1    1          102.577      
   128.3560000          0      1     12      1    1          102.196      
   128.4060000          0      1     12      1    1          101.821      
   128.4560000          0      1     12      1    1          103.322      
   128.5060000          0      1     12      1    1          102.919      
   128.5560000          0      1     12      1    1          86.0060      
   128.6060000          0      1     12      1    1          85.8228      
   128.6560000          0      1     12      1    1          85.6478      
   128.7060000          0      1     12      1    1          120.579      
   128.7560000          0      1     12      1    1          120.127      
   128.8060000          0      1     12      1    1          98.5066      
   128.8560000          0      1     12      1    1          98.1895      
   128.9060000          0      1     12      1    1          97.8756      
   128.9560000          0      1     12      1    1          99.5192      
   129.0060000          0      1     12      1    1          99.1702      
   129.0560000          0      1     12      1    1          176.813      
   129.1060000          0      1     12      1    1          176.263      
   129.1560000          0      1     12      1    1          175.715      
   129.2060000          0      1     12      1    1          93.9821      
   129.2560000          0      1     12      1    1          93.7645      
   129.3060000          0      1     12      1    1          93.2409      
   129.3560000          0      1     12      1    1          92.9899      
   129.4060000          0      1     12      1    1          92.7426      
   129.4560000          0      1     12      1    1          99.3906      
   129.5060000          0      1     12      1    1          98.8186      
   129.5560000          0      1     12      1    1          98.2741      
   129.6060000          0      1     12      1    1          94.2586      
   129.6560000          0      1     12      1    1          93.9900      
   129.7060000          0      1     12      1    1          94.5696      
   129.7560000          0      1     12      1    1          94.2455      
   129.8060000          0      1     12      1    1          93.9235      
   129.8560000          0      1     12      1    1          82.5346      
   129.9060000          0      1     12      1    1          82.3846      
   129.9560000          0      1     12      1    1          82.2377      
   130.0060000          0      1     12      1    1          91.6152      
   130.0560000          0      1     12      1    1          91.3602      
   130.1060000          0      1     12      1    1          102.903      
   130.1560000          0      1     12      1    1          105.416      
   130.2060000          0      1     12      1    1          108.870      
   130.2560000          0      1     12      1    1          90.9607      
   130.3060000          0      1     12      1    1          90.7046      
   130.3560000          0      1     12      1    1          90.4486      
   130.4060000          0      1     12      1    1          95.8531      
   130.4560000          0      1     12      1    1          95.7656      
   130.5060000          0      1     12      1    1          95.6924      
   130.5560000          0      1     12      1    1          86.6676      
   130.6060000          0      1     12      1    1          86.4978      
   130.6560000          0      1     12      1    1          88.6001      
   130.7060000          0      1     12      1    1          88.3910      
   130.7560000          0      1     12      1    1          88.1838      
   130.8060000          0      1     12      1    1          88.3695      
   130.8560000          0      1     12      1    1          88.1497      
   130.9060000          0      1     12      1    1          87.9314      
   130.9560000          0      1     12      1    1          86.7589      
   131.0060000          0      1     12      1    1          86.5470      
   131.0560000          0      1     12      1    1          86.3367      
   131.1060000          0      1     12      1    1          84.1788      
   131.1560000          0      1     12      1    1          83.7509      
   131.2060000          0      1     12      1    1          83.3155      
   131.2560000          0      1     12      1    1          79.3520      
   131.3060000          0      1     12      1    1          77.8342      
   131.3560000          0      1     12      1    1          74.3152      
   131.4060000          0      1     12      1    1          84.7696      
   131.4560000          0      1     12      1    1          84.5479      
   131.5060000          0      1     12      1    1          84.3325      
   131.5560000          0      1     12      1    1          74.5656      
   131.6060000          0      1     12      1    1          74.5581      
   131.6560000          0      1     12      1    1          74.5527      
   131.7060000          0      1     12      1    1          84.7790      
   131.7560000          0      1     12      1    1          85.0077      
   131.8060000          0      1     12      1    1          83.0430      
   131.8560000          0      1     12      1    1          86.5337      
   131.9060000          0      1     12      1    1          86.3859      
   131.9560000          0      1     12      1    1          86.2041      
   132.0060000          0      1     12      1    1          107.881      
   132.0560000          0      1     12      1    1          107.484      
   132.1060000          0      1     12      1    1          107.109      
   132.1560000          0      1     12      1    1          83.3587      
   132.2060000          0      1     12      1    1          83.2921      
   132.2560000          0      1     12      1    1          83.1206      
   132.3060000          0      1     12      1    1          79.1322      
   132.3560000          0      1     12      1    1          76.9290      
   132.4060000          0      1     12      1    1          73.9643      
   132.4560000          0      1     12      1    1          69.0463      
   132.5060000          0      1     12      1    1          67.6562      
   132.5560000          0      1     12      1    1          66.4374      
   132.6060000          0      1     12      1    1          70.7092      
   132.6560000          0      1     12      1    1          72.5988      
   132.6560000          0      1     12      2    1          2.21366      
   132.6560000          0      1     12      1    2          164.895      
   132.6560000          0      1     12      2    2          1292.66      
   132.7060000          0      1     12      1    1          74.3081      
   132.7060000          0      1     12      2    1          4.32616      
   132.7060000          0      1     12      1    2          119.868      
   132.7060000          0      1     12      2    2          554.211      
   132.7560000          0      1     12      1    1          123.071      
   132.7560000          0      1     12      2    1          2.04571      
   132.7560000          0      1     12      1    2          34.9383      
   132.7560000          0      1     12      2    2          753.290      
   132.8060000          0      1     12      1    1          123.524      
   132.8060000          0      1     12      2    1          2.36007      
   132.8060000          0      1     12      1    2          29.2049      
   132.8060000          0      1     12      2    2          654.161      
   132.8560000          0      1     12      1    1          124.225      
   132.8560000          0      1     12      2    1          2.50645      
   132.8560000          0      1     12      1    2          24.3653      
   132.8560000          0      1     12      2    2          584.599      
   132.9060000          0      1     12      1    1          67.5802      
   132.9060000          0      1     12      2    1          6.86714      
   132.9060000          0      1     12      1    2          55.0551      
   132.9060000          0      1     12      2    2          425.351      
   132.9560000          0      1     12      1    1          67.9828      
   132.9560000          0      1     12      2    1          6.90109      
   132.9560000          0      1     12      1    2          47.1386      
   132.9560000          0      1     12      2    2          424.761      
   133.0060000          0      1     12      1    1          68.2854      
   133.0060000          0      1     12      2    1          6.95192      
   133.0060000          0      1     12      1    2          41.4110      
   133.0060000          0      1     12      2    2          484.340      
   133.0560000          0      1     12      1    1          68.5360      
   133.0560000          0      1     12      2    1          7.02527      
   133.0560000          0      1     12      1    2          37.1387      
   133.0560000          0      1     12      2    2          382.693      
   133.1060000          0      1     12      1    1          66.8192      
   133.1060000          0      1     12      2    1          5.05211      
   133.1060000          0      1     12      1    2          24.0275      
   133.1060000          0      1     12      2    2          380.595      
   133.1560000          0      1     12      1    1          67.0008      
   133.1560000          0      1     12      2    1          5.07277      
   133.1560000          0      1     12      1    2          21.9430      
   133.1560000          0      1     12      2    2          400.183      
   133.2060000          0      1     12      1    1          67.1522      
   133.2060000          0      1     12      2    1          5.11090      
   133.2060000          0      1     12      1    2          20.2884      
   133.2060000          0      1     12      2    2          370.856      
   133.2560000          0      1     12      1    1          69.7111      
   133.2560000          0      1     12      2    1          7.12709      
   133.2560000          0      1     12      1    2          26.1576      
   133.2560000          0      1     12      2    2          370.680      
