T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 7.979702118532775250e-12 1.745877740224281921e-12 7.067720188162495290e-14 1.391056296918905970e-15 7.278178432095031306e-15 3.522525963045755863e-12 2.304902270629402315e-12 1.734772153729598668e-14 2.217836418546852991e-14 4.279859699454750783e-12 1.207600910920181355e-13 2.553274687417183920e-14 3.260776467569975306e-13 1.783585940375064082e-13 3.552944978373088905e-13
2.000000000000000000e+00 5.080453293354351101e-12 1.522934853648815282e-12 7.360687463044680218e-14 4.270122095909613098e-15 5.509887565003847794e-15 3.461309945414368261e-12 2.336769098154034416e-12 2.236042328369134364e-14 2.109789792126702372e-14 4.232559521659303080e-12 1.816135020503525334e-13 2.945393346775843943e-14 3.895964648596557379e-13 2.082460045917358829e-13 4.106379510868077704e-13
3.000000000000000000e+00 4.238979196195928963e-12 1.502469641770741330e-12 7.680698645429154331e-14 6.557263247394221037e-15 4.821708012585060478e-15 3.622116977670532604e-12 2.379896794445787288e-12 2.523511658747115052e-14 2.240281027576799792e-14 4.460490820180557149e-12 2.003163090495955468e-13 3.167954719503262800e-14 4.178840137598813219e-13 2.114712044755247397e-13 4.199091881641800992e-13
4.000000000000000000e+00 3.956454138502639570e-12 1.518040712231929534e-12 7.897238973168443951e-14 8.264952566335707033e-15 4.657210607249643246e-15 3.799820898564168719e-12 2.424290677096700853e-12 2.822501594830600286e-14 2.435202084283119407e-14 4.687500676399243411e-12 2.096388019188369206e-13 3.386590577161705331e-14 4.384102562887993281e-13 2.152823011293491829e-13 4.282344931348281947e-13
5.000000000000000000e+00 3.872080897473512842e-12 1.544123028383772952e-12 8.064526108685842323e-14 9.707810316431354398e-15 4.691554833074574531e-15 3.973697201830871713e-12 2.468161724956047591e-12 3.142238904573807874e-14 2.631197152058201723e-14 4.879977149099781867e-12 2.169440556658025327e-13 3.605747573556946362e-14 4.567684399271044153e-13 2.210515450467234821e-13 4.398498867492444587e-13
6.000000000000000000e+00 3.858973133326534393e-12 1.575466186585162851e-12 8.189203963301931053e-14 1.101019495496941333e-14 4.811529547937473852e-15 4.144581359923909232e-12 2.505130770787607664e-12 3.469036684970510197e-14 2.816362128036167503e-14 5.030336183244075747e-12 2.241699124910190955e-13 3.818941837509852313e-14 4.749950988731513943e-13 2.281392157475796212e-13 4.542083934801536024e-13
7.000000000000000000e+00 3.868488721876064649e-12 1.610521892649863286e-12 8.267360554183694189e-14 1.221493223710147996e-14 4.969213055475930417e-15 4.314801616601244552e-12 2.530171657724572084e-12 3.792086602369641559e-14 2.990316881648360335e-14 5.135912126386275632e-12 2.318479443923640997e-13 4.023592445599118483e-14 4.937343274772393575e-13 2.360159230016684685e-13 4.704720423120623044e-13
8.000000000000000000e+00 3.882551895046535669e-12 1.648456084766606494e-12 8.298303206702443738e-14 1.334216345592705436e-14 5.141565352769400036e-15 4.485790486795800194e-12 2.541253992334535225e-12 4.106224605213043102e-14 3.155481524861766121e-14 5.198353431954945007e-12 2.400861666018113934e-13 4.221080739191081572e-14 5.130844289575017531e-13 2.443686898659719706e-13 4.880131227400916192e-13
9.000000000000000000e+00 3.895394403918129733e-12 1.688535444098956509e-12 8.286063139079643530e-14 1.440534595174785900e-14 5.317449905265934943e-15 4.657874916790004056e-12 2.538733379085087554e-12 4.409943298400182259e-14 3.314828600709519999e-14 5.222482258437392360e-12 2.488584562169420371e-13 4.414637446015711536e-14 5.329593347785856844e-13 2.530263064677038212e-13 5.064050849771231146e-13
1.000000000000000000e+01 3.906031443044609912e-12 1.730011195745617554e-12 8.237498961408839109e-14 1.541478275116041389e-14 5.492006138673100242e-15 4.830444140509544116e-12 2.524292046211363668e-12 4.703508815293833331e-14 3.471096569069755426e-14 5.214609217369935466e-12 2.580994677320497249e-13 4.607782901253114120e-14 5.532327080947801848e-13 2.618965504092812349e-13 5.253640612034697343e-13
1.100000000000000000e+01 3.915112895462850447e-12 1.772121789702753444e-12 8.160366003784392759e-14 1.637850877768292836e-14 5.663695736933614130e-15 5.002224978955076564e-12 2.500120786570967629e-12 4.987869921798988328e-14 3.626513995704596583e-14 5.181241883572731560e-12 2.677373156813153220e-13 4.803565705566269029e-14 5.737888967570490035e-13 2.709286177617489833e-13 5.447015130482164310e-13
1.200000000000000000e+01 3.923635796364627268e-12 1.814126189190870148e-12 8.062093557482358319e-14 1.730276545336407698e-14 5.832648417353740962e-15 5.171575675516848124e-12 2.468433837438317699e-12 5.264136860358355840e-14 3.782753893455329996e-14 5.128356085172423550e-12 2.777047260845892524e-13 5.004311596447681845e-14 5.945363394993684593e-13 2.800928149211725254e-13 5.642916430227558225e-13
1.300000000000000000e+01 3.932459729559927063e-12 1.855340226468959452e-12 7.949187864967908358e-14 1.819241251059991498e-14 5.999736083734483165e-15 5.336744438582206165e-12 2.431230850077671792e-12 5.533368451613283526e-14 3.940987835860195787e-14 5.061086913916735853e-12 2.879424115091721865e-13 5.211623504199764735e-14 6.154071976086687101e-13 2.893701037868828922e-13 5.840498496626110163e-13
1.400000000000000000e+01 3.942165621731245007e-12 1.895164948770057357e-12 7.827035417581850702e-14 1.905128293252266287e-14 6.166071180339686870e-15 5.496064841257677832e-12 2.390207965958756580e-12 5.796504527950184413e-14 4.101973831161243459e-14 4.983667121542872810e-12 2.983995865354556413e-13 5.426482346569139779e-14 6.363528990981281362e-13 2.987468845170651734e-13 6.039186427580121728e-13
1.500000000000000000e+01 3.953055096137075545e-12 1.933103312478301257e-12 7.699923462889001020e-14 1.988246473778272733e-14 6.332750843653224370e-15 5.648082572736907529e-12 2.346748051050451884e-12 6.054359186372552521e-14 4.266147002113043313e-14 4.899489166152233513e-12 3.090334417040548512e-13 5.649374921153856862e-14 6.573392595114308613e-13 3.082124552366142972e-13 6.238584506013339947e-13
1.600000000000000000e+01 3.965200517624900883e-12 1.968765722236335307e-12 7.571160788613767315e-14 2.068851106676002481e-14 6.500740310764749316e-15 5.791622106939530284e-12 2.301947793343715823e-12 6.307635249979312109e-14 4.433700413524435841e-14 4.811217152910880627e-12 3.198082662643984319e-13 5.880416786270305711e-14 6.783423627530334246e-13 3.177578011129823117e-13 6.438416053430602027e-13
1.700000000000000000e+01 3.978506556426300955e-12 2.001866849989585956e-12 7.443232507162424961e-14 2.147159038208500968e-14 6.670832445079031954e-15 5.925807723227454608e-12 2.256658432219342488e-12 6.556943005818788886e-14 4.604652164020186471e-14 4.720909511129651366e-12 3.306944903960480233e-13 6.119458085590007013e-14 6.993454228942206352e-13 3.273750258675071520e-13 6.638483902145614251e-13
1.800000000000000000e+01 3.992767158246613599e-12 2.032216646929923683e-12 7.317954732336053145e-14 2.223359081286025414e-14 6.843646537130748525e-15 6.050053693857851716e-12 2.211528367834759424e-12 6.802816909763876235e-14 4.778898723809617259e-14 4.630133873008712115e-12 3.416677575720246164e-13 6.366169373224109683e-14 7.203365170092222793e-13 3.370570842563036340e-13 6.838644283425052919e-13
1.900000000000000000e+01 4.007712324747366827e-12 2.059708153595917355e-12 7.196613664123251289e-14 2.297619110439696684e-14 7.019645337520597983e-15 6.164036122699126688e-12 2.167042307249225235e-12 7.045728589974308047e-14 4.956256021475629211e-14 4.540066876818274125e-12 3.527080737380309302e-13 6.620108391969339678e-14 7.413069984367551464e-13 3.467976498557010614e-13 7.038789493373601974e-13
2.000000000000000000e+01 4.023043809498474144e-12 2.084304104362218404e-12 7.080083682429882129e-14 2.370090801507079944e-14 7.199158682160597189e-15 6.267655769896159464e-12 2.123554979044826578e-12 7.286096313938757098e-14 5.136490242059239594e-14 4.451577316759814925e-12 3.637990519833722448e-13 6.880770251544681100e-14 7.622504094441791810e-13 3.565910399013940153e-13 7.238836341113350883e-13
2.100000000000000000e+01 4.038460796190684441e-12 2.106023689179490123e-12 6.968924137012496200e-14 2.440912749383729510e-14 7.382407606418119891e-15 6.360998227106727079e-12 2.081319116713198965e-12 7.524291665543684211e-14 5.319340296678992577e-14 4.365293685030791130e-12 3.749272575348912203e-13 7.147623850477164359e-14 7.831617475703617945e-13 3.664321614207403579e-13 7.438718431279468447e-13
2.200000000000000000e+01 4.053677294112322075e-12 2.124930302020714273e-12 6.863456824725447025e-14 2.510212493032421162e-14 7.569526051814777352e-15 6.444295412982326363e-12 2.040508160913968322e-12 7.760644240191047604e-14 5.504533733567429669e-14 4.281658162349442530e-12 3.860816502992587390e-13 7.420137289308972131e-14 8.040369767775862418e-13 3.763164630732998626e-13 7.638381001363664779e-13
2.300000000000000000e+01 4.068433057530785993e-12 2.141120706609781028e-12 6.763826970799461475e-14 2.578107821914109452e-14 7.760579075602783356e-15 6.517890603908885758e-12 2.001234406470850625e-12 7.995445040078432625e-14 5.691797605438623891e-14 4.200969327053914134e-12 3.972531178526726455e-13 7.697794719666861609e-14 8.248727053152021449e-13 3.862398864668598602e-13 7.837777463783427973e-13
2.400000000000000000e+01 4.082499652353392479e-12 2.154715776707679958e-12 6.670050616151503529e-14 2.644707624183163375e-14 7.955577442377604146e-15 6.582208019395420545e-12 1.963563364029960701e-12 8.228949082094829503e-14 5.880865545302563953e-14 4.123415706000055704e-12 4.084340894810979147e-13 7.980106702069176020e-14 8.456659756306735882e-13 3.961988149492171089e-13 8.036867081516478370e-13
2.500000000000000000e+01 4.095683022824250741e-12 2.165852795555461741e-12 6.582051061385491574e-14 2.710112454884704868e-14 8.154488950643473736e-15 6.637727219271472793e-12 1.927525046850192291e-12 8.461377574125987761e-14 6.071482058302833039e-14 4.049102006815156543e-12 4.196182209429745646e-13 8.266615773072769444e-14 8.664141286726409233e-13 4.061900197487003492e-13 8.235613390343738318e-13
2.600000000000000000e+01 4.107823632946476790e-12 2.174679199985496593e-12 6.499686642951649617e-14 2.774414943799243213e-14 8.357247035705774534e-15 6.684962119205135163e-12 1.893122795711997806e-12 8.692919889810788632e-14 6.263404822081103788e-14 3.978069559804660632e-12 4.308001396154750070e-13 8.556898581595000514e-14 8.871147169363688852e-13 4.162106041443852927e-13 8.433983104713682811e-13
2.700000000000000000e+01 4.118795006942429260e-12 2.181347605913754940e-12 6.422771724322108516e-14 2.837700121132024708e-14 8.563757221619568369e-15 6.724444191925434014e-12 1.860340151239872464e-12 8.923735478492848102e-14 6.456405606077807885e-14 3.910312207818617964e-12 4.419752402639358443e-13 8.850565658152025721e-14 9.077654489318974573e-13 4.262579466776365127e-13 8.631945329290733175e-13
2.800000000000000000e+01 4.128501282767442801e-12 2.186011935465498594e-12 6.351092423722595783e-14 2.900045710206292730e-14 8.773901946674050097e-15 6.756709318800373204e-12 1.829146187206773719e-12 9.153955781757855162e-14 6.650270270429679595e-14 3.845788631900029193e-12 4.531395225927358958e-13 9.147259632313211865e-14 9.283641534726488741e-13 4.363296445268733659e-13 8.829470957548185539e-13
2.900000000000000000e+01 4.136874223673031790e-12 2.188824468980942438e-12 6.284418288309356360e-14 2.961522416234504296e-14 8.987544204773755612e-15 6.782287736939577944e-12 1.799499635826718582e-12 9.383686184528110599e-14 6.844798184917079049e-14 3.784431892986334523e-12 4.642894628137946070e-13 9.446652510546128840e-14 9.489087560809636745e-13 4.464234581657438425e-13 9.026532180519853123e-13
3.000000000000000000e+01 4.143870001197570313e-12 2.189933658828189521e-12 6.222510865871290456e-14 3.022194226597127647e-14 9.204530354967478851e-15 6.801696554833285401e-12 1.771352067497568887e-12 9.613008001535000999e-14 7.039801313932570347e-14 3.726156802181770572e-12 4.754219125817377039e-13 9.748442463946153310e-14 9.693972624563277759e-13 4.565372583571809383e-13 9.223102058257787798e-13
