T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 8.007226028497953474e-12 1.516765302989935929e-12 6.585318958837380423e-14 1.357655917413881635e-15 2.846163703860081998e-15 3.294284971329079493e-12 2.203553105792678791e-12 1.172755051933017991e-14 9.673763459423015108e-15 4.117785253591638870e-12 1.047577118129056020e-13 1.591559929441303487e-14 1.745187281814940482e-13 1.364641071027037628e-13 2.364571217690694239e-13
2.000000000000000000e+00 4.992362923055169958e-12 1.422493396253770166e-12 7.151758173666642932e-14 4.409937516023688704e-15 2.776840170942513994e-15 3.371186026891021339e-12 2.298278811220360376e-12 1.937773267984268510e-14 1.353677529481063148e-14 4.176428277816122684e-12 1.849253039934746566e-13 2.473137046755595755e-14 2.934223519283526551e-13 1.952584260074095483e-13 3.457996370640180029e-13
3.000000000000000000e+00 4.142846709618777640e-12 1.438257649979849215e-12 7.568255573590031796e-14 6.825315339034840014e-15 3.016639368426999681e-15 3.570640426677725910e-12 2.360287992486989803e-12 2.343062117570346226e-14 1.755009381789122065e-14 4.437374476075860934e-12 2.084111766749513927e-13 2.915412219959714147e-14 3.559257290032025070e-13 2.082967497492311884e-13 3.787933573306503943e-13
4.000000000000000000e+00 3.869047109089886439e-12 1.470037348396989555e-12 7.836788692469153256e-14 8.604167299221080357e-15 3.363060447984283466e-15 3.762393871971527696e-12 2.413238398109671580e-12 2.692887126724101722e-14 2.105122125377828904e-14 4.679160874631211264e-12 2.177502559559083153e-13 3.233734264405466589e-14 3.945346900740000879e-13 2.157451774870969140e-13 3.987496277837648537e-13
5.000000000000000000e+00 3.795475154139361557e-12 1.505535599631843386e-12 8.035360511899945994e-14 1.006971396761631573e-14 3.714384799733124554e-15 3.941283615814234439e-12 2.461570799852284080e-12 3.037565066958658121e-14 2.400107990452309169e-14 4.878915834055577112e-12 2.238357264514420568e-13 3.502560923958371981e-14 4.236383244268814631e-13 2.228810414051748528e-13 4.166665402172872027e-13
6.000000000000000000e+00 3.792389339352759143e-12 1.543272168812308537e-12 8.179487595376606489e-14 1.136248341761093255e-14 4.048679586662711540e-15 4.113797227111745770e-12 2.501046351866447067e-12 3.379362672660787507e-14 2.652478080340901282e-14 5.033174286272233044e-12 2.296510421009403570e-13 3.742971546943241808e-14 4.490688006830955221e-13 2.303778556208490194e-13 4.346497821254672765e-13
7.000000000000000000e+00 3.810586155316135530e-12 1.583051936272260318e-12 8.269949100976657816e-14 1.253916728126376255e-14 4.359516534734784293e-15 4.284461203538638663e-12 2.527561408838139882e-12 3.713977449009016483e-14 2.873916394481282919e-14 5.141071480757196518e-12 2.360347686031564392e-13 3.964215106708816419e-14 4.730873913998169746e-13 2.382411458569694314e-13 4.531044996699716777e-13
8.000000000000000000e+00 3.831962309857023328e-12 1.624635236660881521e-12 8.308817207107466696e-14 1.362950281395783249e-14 4.645125459712349599e-15 4.455550251482574306e-12 2.539536326464071920e-12 4.038714072544598255e-14 3.073513784711581084e-14 5.205073631972555220e-12 2.431667443612399753e-13 4.173005303057833047e-14 4.965335448442208399e-13 2.463979945459318689e-13 4.720434844686525246e-13
9.000000000000000000e+00 3.850875198340260790e-12 1.667604970864246305e-12 8.301788945704625926e-14 1.465298780476683825e-14 4.906582965333254689e-15 4.627701096570399715e-12 2.537568484797311745e-12 4.352836888508480367e-14 3.258195391695573540e-14 5.230383908427247018e-12 2.510179899528812453e-13 4.375000252358074939e-14 5.197005218064469981e-13 2.547899067447759975e-13 4.913866152654513404e-13
1.000000000000000000e+01 3.866511996358684496e-12 1.711408341878390700e-12 8.256725444643247669e-14 1.562352503058855195e-14 5.146748363659721142e-15 4.800407232293929758e-12 2.523479038062227066e-12 4.656733115100875106e-14 3.433177579607250086e-14 5.223493257599338427e-12 2.594995365966487359e-13 4.574806653098213195e-14 5.426818244487443117e-13 2.633787990332183697e-13 5.110426507719458356e-13
