T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 4.387495043505470186e-12 1.552444538678157215e-12 7.558224888688135719e-14 9.670537842304290264e-16 1.470074764879262840e-15 4.231872866897588856e-12 2.213990640847839353e-12 1.124956166949396409e-14 1.060637677844577124e-14 4.419846736828465989e-12 1.013829035976739463e-13 2.346555219675152685e-14 2.065498330831268925e-13 1.008739618415933066e-13 2.241043371429023623e-13
2.000000000000000000e+00 3.067893247272999611e-12 1.584349707401582473e-12 7.719604388632646339e-14 4.404626988019706391e-15 1.997505302619875745e-15 4.248555866785997830e-12 2.328123292264314213e-12 1.936540118447866792e-14 1.730655734893601658e-14 4.408885864306134572e-12 1.752755577013084744e-13 3.494221338662630188e-14 3.365045790185277247e-13 1.485926428985624446e-13 3.275607567829012163e-13
3.000000000000000000e+00 2.802882735448520019e-12 1.589098077481852700e-12 7.736628726235376417e-14 7.921875215839963442e-15 2.584317053845581239e-15 4.220714398404651136e-12 2.358561443857288137e-12 2.472559287618441607e-14 2.156776114421597148e-14 4.542316619556771953e-12 1.983045389842894199e-13 3.788877395551794777e-14 3.934204193531653132e-13 1.682941525665515390e-13 3.638433717034622293e-13
4.000000000000000000e+00 2.780363616342722611e-12 1.600542454945281485e-12 7.777873797092994330e-14 1.059958021185382483e-14 3.089864598380345146e-15 4.248407555877257868e-12 2.388459746728615748e-12 2.939472480187327608e-14 2.451003366256986719e-14 4.686094664200001707e-12 2.110283366192800516e-13 3.928466923122268191e-14 4.285675953545921394e-13 1.829175588407373980e-13 3.868509831821769560e-13
5.000000000000000000e+00 2.829421704359196234e-12 1.619241418153502901e-12 7.867131810591809143e-14 1.254475237966462578e-14 3.508220066347353154e-15 4.322466551594917197e-12 2.424538050285189673e-12 3.348264418548717774e-14 2.679256977729394822e-14 4.821053684705330364e-12 2.214663743039231898e-13 4.044886380503965053e-14 4.553571292617758260e-13 1.955633295736952709e-13 4.068803307869356884e-13
6.000000000000000000e+00 2.897671533560771841e-12 1.644048384461820667e-12 7.970877745946268903e-14 1.399375619908458324e-14 3.868189633656488148e-15 4.427974025782447897e-12 2.458068376119979646e-12 3.711176334060922818e-14 2.875654929573468112e-14 4.931816602760394942e-12 2.314500363141098791e-13 4.166503302549601479e-14 4.785256371065803876e-13 2.071612268257671421e-13 4.263277412065421203e-13
7.000000000000000000e+00 2.966410069274544305e-12 1.673778737739803659e-12 8.059144563021447597e-14 1.513108224167590830e-14 4.188887914631051031e-15 4.554600979197697410e-12 2.481844319422999603e-12 4.041541630228917473e-14 3.055803375602366634e-14 5.009258994364702256e-12 2.414348199976147651e-13 4.299650482602710671e-14 5.000451574168858840e-13 2.181888658852467563e-13 4.458380903014603042e-13
8.000000000000000000e+00 3.029643563832277410e-12 1.707356595095226664e-12 8.116044597123760127e-14 1.607976363886808019e-14 4.480810609191479321e-15 4.695694138520215934e-12 2.492692397958755059e-12 4.350012130323362711e-14 3.227002990349676353e-14 5.051287478499789593e-12 2.515014405091700385e-13 4.445594262601759098e-14 5.207941892322689153e-13 2.289134353493717525e-13 4.655648376993383632e-13
9.000000000000000000e+00 3.086448656290040582e-12 1.743792954040995266e-12 8.136932277720212822e-14 1.691728117692311039e-14 4.750296324610299331e-15 4.846617866476380978e-12 2.490449384779071169e-12 4.643986963261445098e-14 3.393092814803741392e-14 5.060556741607161901e-12 2.616346831657695274e-13 4.604346328054452223e-14 5.411833249138202638e-13 2.394830395376144319e-13 4.855097500681967352e-13
1.000000000000000000e+01 3.137748039001272340e-12 1.782154377642338737e-12 8.123718390483726520e-14 1.769079942803045526e-14 5.001870052048716887e-15 5.003716296884334046e-12 2.476571902904649269e-12 4.928197882164056521e-14 3.556403805256113386e-14 5.042007221387096272e-12 2.718069687437250566e-13 4.775531702794137799e-14 5.614155477133376544e-13 2.499779524978722319e-13 5.056321048827722713e-13
