R,theta_1,E
2.5,30.0,3407.382689
2.5,60.0,2577.580577
2.5,90.0,1897.291628
2.5,120.0,2577.580575
2.5,150.0,3407.382691
2.6,30.0,2327.195144
2.6,60.0,1803.037701
2.6,90.0,1290.577013
2.6,120.0,1803.037695
2.6,150.0,2327.195135
2.7,0.0,746.639318
2.7,30.0,1651.299704
2.7,60.0,1243.157589
2.7,90.0,854.193771
2.7,120.0,1243.157571
2.7,150.0,1651.299695
2.7,180.0,746.639315
2.8,0.0,717.256714
2.8,30.0,1185.926607
2.8,60.0,840.194892
2.8,90.0,543.811991
2.8,120.0,840.194894
2.8,150.0,1185.92659
2.8,180.0,717.256716
2.9,0.0,627.59144
2.9,30.0,848.953864
2.9,60.0,551.893524
2.9,90.0,326.034786
2.9,120.0,551.893529
2.9,150.0,848.953855
2.9,180.0,627.59144
3.0,0.0,513.147396
3.0,30.0,599.321107
3.0,60.0,347.383248
3.0,90.0,175.770979
3.0,120.0,347.383246
3.0,150.0,599.321108
3.0,180.0,513.147397
3.1,0.0,397.559828
3.1,30.0,413.503063
3.1,60.0,204.054475
3.1,90.0,74.243637
3.1,120.0,204.054469
3.1,150.0,413.503071
3.1,180.0,397.559826
3.2,0.0,293.671126
3.2,30.0,275.985242
3.2,60.0,105.266797
3.2,90.0,7.486223
3.2,120.0,105.26681
3.2,150.0,275.985239
3.2,180.0,293.671118
3.3,0.0,206.851889
3.3,30.0,175.565709
3.3,60.0,38.676066
3.3,90.0,-34.788891
3.3,120.0,38.67607
3.3,150.0,175.565711
3.3,180.0,206.851887
3.4,0.0,138.055934
3.4,30.0,103.585665
3.4,60.0,-4.861282
3.4,90.0,-60.066873
3.4,120.0,-4.861291
3.4,150.0,103.585672
3.4,180.0,138.055936
3.5,0.0,85.887985
3.5,30.0,53.201603
3.5,60.0,-32.100373
3.5,90.0,-73.728002
3.5,120.0,-32.100377
3.5,150.0,53.20159
3.5,180.0,85.887989
3.6,0.0,47.902306
3.6,30.0,18.970712
3.6,60.0,-48.000643
3.6,90.0,-79.605977
3.6,120.0,-48.000647
3.6,150.0,18.970704
3.6,180.0,47.902314
3.7,0.0,21.358504
3.7,30.0,-3.405003
3.7,60.0,-56.167123
3.7,90.0,-80.418188
3.7,120.0,-56.167129
3.7,150.0,-3.405007
3.7,180.0,21.358496
3.8,0.0,3.636184
3.8,30.0,-17.268264
3.8,60.0,-59.190003
3.8,90.0,-78.076612
3.8,120.0,-59.190002
3.8,150.0,-17.26826
3.8,180.0,3.636182
3.9,0.0,-7.556504
3.9,30.0,-25.16737
3.9,60.0,-58.90783
3.9,90.0,-74.262834
3.9,120.0,-58.907839
3.9,150.0,-25.167379
3.9,180.0,-7.556509
4.0,0.0,-14.100688
4.0,30.0,-29.004052
4.0,60.0,-56.607428
4.0,90.0,-69.124458
4.0,120.0,-56.607421
4.0,150.0,-29.004051
4.0,180.0,-14.100695
4.1,0.0,-17.461909
4.1,30.0,-30.168748
4.1,60.0,-53.171264
4.1,90.0,-63.598695
4.1,120.0,-53.171263
4.1,150.0,-30.168752
4.1,180.0,-17.461911
4.2,0.0,-18.731505
4.2,30.0,-29.658524
4.2,60.0,-49.186286
4.2,90.0,-58.037181
4.2,120.0,-49.18629
4.2,150.0,-29.658529
4.2,180.0,-18.731512
4.3,0.0,-18.691198
4.3,30.0,-28.171689
4.3,60.0,-45.026917
4.3,90.0,-52.648145
4.3,120.0,-45.026917
4.3,150.0,-28.171695
4.3,180.0,-18.691201
4.4,0.0,-17.881672
4.4,30.0,-26.180634
4.4,60.0,-41.251874
4.4,90.0,-47.549938
4.4,120.0,-41.251867
4.4,150.0,-26.180626
4.4,180.0,-17.881679
4.5,0.0,-16.971835
4.5,30.0,-24.338086
4.5,60.0,-37.289617
4.5,90.0,-42.805807
4.5,120.0,-37.289618
4.5,150.0,-24.338093
4.5,180.0,-16.971829
4.6,0.0,-15.518856
4.6,30.0,-22.08131
4.6,60.0,-33.585479
4.6,90.0,-38.444977
4.6,120.0,-33.585485
4.6,150.0,-22.08131
4.6,180.0,-15.518859
4.7,0.0,-14.046925
4.7,30.0,-19.918317
4.7,60.0,-30.175471
4.7,90.0,-34.475523
4.7,120.0,-30.175474
4.7,150.0,-19.918318
4.7,180.0,-14.046919
4.8,0.0,-12.635855
4.8,30.0,-17.903612
4.8,60.0,-27.07252
4.8,90.0,-30.8924
4.8,120.0,-27.072519
4.8,150.0,-17.903605
4.8,180.0,-12.63586
4.9,0.0,-11.327654
4.9,30.0,-16.061709
4.9,60.0,-24.274971
4.9,90.0,-27.682592
4.9,120.0,-24.274972
4.9,150.0,-16.0617
4.9,180.0,-11.327654
5.0,0.0,-10.140618
5.0,30.0,-14.399357
5.0,60.0,-21.771782
5.0,90.0,-24.827276
5.0,120.0,-21.77179
5.0,150.0,-14.399362
5.0,180.0,-10.140626
5.1,0.0,-9.078617
5.1,30.0,-12.912341
5.1,60.0,-19.54615
5.1,90.0,-22.302974
5.1,120.0,-19.546138
5.1,150.0,-12.912354
5.1,180.0,-9.078612
5.2,0.0,-8.137054
5.2,30.0,-11.590009
5.2,60.0,-17.57777
5.2,90.0,-20.082079
5.2,120.0,-17.577768
5.2,150.0,-11.590019
5.2,180.0,-8.137051
5.3,0.0,-7.306564
5.3,30.0,-10.418423
5.3,60.0,-15.835933
5.3,90.0,-18.133734
5.3,120.0,-15.835924
5.3,150.0,-10.418419
5.3,180.0,-7.306566
5.4,0.0,-6.576128
5.4,30.0,-9.375847
5.4,60.0,-14.318036
5.4,90.0,-16.425494
5.4,120.0,-14.318043
5.4,150.0,-9.37584
5.4,180.0,-6.576133
5.5,0.0,-5.932442
5.5,30.0,-8.467069
5.5,60.0,-12.978702
5.5,90.0,-14.925401
5.5,120.0,-12.978703
5.5,150.0,-8.46706
5.5,180.0,-5.932439
5.6,0.0,-5.365366
5.6,30.0,-7.659607
5.6,60.0,-11.801608
5.6,90.0,-13.603882
5.6,120.0,-11.80161
5.6,150.0,-7.659597
5.6,180.0,-5.365377
5.7,0.0,-4.864615
5.7,30.0,-6.947687
5.7,60.0,-10.764423
5.7,90.0,-12.434991
5.7,120.0,-10.764419
5.7,150.0,-6.947685
5.7,180.0,-4.864623
5.8,0.0,-4.421356
5.8,30.0,-6.319962
5.8,60.0,-9.847255
5.8,90.0,-11.397003
5.8,120.0,-9.847249
5.8,150.0,-6.319959
5.8,180.0,-4.421353
5.9,0.0,-4.028073
5.9,30.0,-5.765904
5.9,60.0,-9.032916
5.9,90.0,-10.471907
5.9,120.0,-9.032919
5.9,150.0,-5.765897
5.9,180.0,-4.028073
6.0,0.0,-3.678427
6.0,30.0,-5.275786
6.0,60.0,-8.306976
6.0,90.0,-9.645044
6.0,120.0,-8.306982
6.0,150.0,-5.275791
6.0,180.0,-3.678425
6.2,0.0,-3.088898
6.2,30.0,-4.453595
6.2,60.0,-7.074344
6.2,90.0,-8.238099
6.2,120.0,-7.074336
6.2,150.0,-4.453598
6.2,180.0,-3.088889
6.4,0.0,-2.617241
6.4,30.0,-3.796544
6.4,60.0,-6.074646
6.4,90.0,-7.094527
6.4,120.0,-6.074651
6.4,150.0,-3.796545
6.4,180.0,-2.617249
6.6,0.0,-2.23657
6.6,30.0,-3.264065
6.6,60.0,-5.253157
6.6,90.0,-6.14977
6.6,120.0,-5.253153
6.6,150.0,-3.264074
6.6,180.0,-2.236568
6.8,0.0,-1.926607
6.8,30.0,-2.827764
6.8,60.0,-4.568433
6.8,90.0,-5.355403
6.8,120.0,-4.568429
6.8,150.0,-2.827763
6.8,180.0,-1.926602
7.0,0.0,-1.672433
7.0,30.0,-2.466858
7.0,60.0,-3.990625
7.0,90.0,-4.679315
7.0,120.0,-3.990611
7.0,150.0,-2.466859
7.0,180.0,-1.67243
7.2,0.0,-1.463081
7.2,30.0,-2.165796
7.2,60.0,-3.499506
7.2,90.0,-4.10196
7.2,120.0,-3.499497
7.2,150.0,-2.165799
7.2,180.0,-1.463075
7.4,0.0,-1.290257
7.4,30.0,-1.912871
7.4,60.0,-3.081635
7.4,90.0,-3.610647
7.4,120.0,-3.081636
7.4,150.0,-1.912878
7.4,180.0,-1.290258
7.6,0.0,-1.147495
7.6,30.0,-1.699495
7.6,60.0,-2.727174
7.6,90.0,-3.194773
7.6,120.0,-2.72717
7.6,150.0,-1.699502
7.6,180.0,-1.147485
7.8,0.0,-1.029566
7.8,30.0,-1.519293
7.8,60.0,-2.427381
7.8,90.0,-2.843691
7.8,120.0,-2.427372
7.8,150.0,-1.519298
7.8,180.0,-1.029568
8.0,0.0,-0.932168
8.0,30.0,-1.367156
8.0,60.0,-2.173949
8.0,90.0,-2.546602
8.0,120.0,-2.173954
8.0,150.0,-1.367155
8.0,180.0,-0.932162
8.2,0.0,-0.851632
8.2,30.0,-1.238761
8.2,60.0,-1.958951
8.2,90.0,-2.293593
8.2,120.0,-1.958935
8.2,150.0,-1.238768
8.2,180.0,-0.851623
8.4,0.0,-0.784848
8.4,30.0,-1.130255
8.4,60.0,-1.775329
8.4,90.0,-2.076379
8.4,120.0,-1.775332
8.4,150.0,-1.130249
8.4,180.0,-0.784842
8.6,0.0,-0.729145
8.6,30.0,-1.038141
8.6,60.0,-1.617399
8.6,90.0,-1.888421
8.6,120.0,-1.617398
8.6,150.0,-1.038136
8.6,180.0,-0.729138
8.8,0.0,-0.682207
8.8,30.0,-0.959395
