R,phi,E
2.9,0.0,78.431674
2.9,30.0,78.431674
2.9,60.0,78.431674
2.9,90.0,78.431674
3.0,0.0,43.870058
3.0,30.0,43.870058
3.0,60.0,43.870058
3.0,90.0,43.870058
3.1,0.0,-1.991957
3.1,30.0,-1.991957
3.1,60.0,-1.991957
3.1,90.0,-1.991957
3.2,0.0,-44.772911
3.2,30.0,-44.772911
3.2,60.0,-44.772911
3.2,90.0,-44.772911
3.3,0.0,-78.329027
3.3,30.0,-78.329027
3.3,60.0,-78.329027
3.3,90.0,-78.329027
3.4,0.0,-101.319678
3.4,30.0,-101.319678
3.4,60.0,-101.319678
3.4,90.0,-101.319678
3.5,0.0,-114.719355
3.5,30.0,-114.719355
3.5,60.0,-114.719355
3.5,90.0,-114.719355
3.6,0.0,-120.368964
3.6,30.0,-120.368964
3.6,60.0,-120.368964
3.6,90.0,-120.368964
3.7,0.0,-120.3836
3.7,30.0,-120.3836
3.7,60.0,-120.3836
3.7,90.0,-120.3836
3.8,0.0,-116.514424
3.8,30.0,-116.514424
3.8,60.0,-116.514424
3.8,90.0,-116.514424
3.9,0.0,-110.205091
3.9,30.0,-110.205091
3.9,60.0,-110.205091
3.9,90.0,-110.205091
4.0,0.0,-102.539222
4.0,30.0,-102.539222
4.0,60.0,-102.539222
4.0,90.0,-102.539222
4.1,0.0,-94.289415
4.1,30.0,-94.289415
4.1,60.0,-94.289415
4.1,90.0,-94.289415
4.2,0.0,-85.980167
4.2,30.0,-85.980167
4.2,60.0,-85.980167
4.2,90.0,-85.980167
4.3,0.0,-77.948138
4.3,30.0,-77.948139
4.3,60.0,-77.948138
4.3,90.0,-77.948138
4.4,0.0,-70.39284
4.4,30.0,-70.39284
4.4,60.0,-70.39284
4.4,90.0,-70.39284
4.5,0.0,-63.417257
4.5,30.0,-63.417257
4.5,60.0,-63.417257
4.5,90.0,-63.417257
4.6,0.0,-57.0594
4.6,30.0,-57.0594
4.6,60.0,-57.0594
4.6,90.0,-57.0594
4.7,0.0,-51.315424
4.7,30.0,-51.315424
4.7,60.0,-51.315424
4.7,90.0,-51.315424
4.8,0.0,-46.156413
4.8,30.0,-46.156413
4.8,60.0,-46.156413
4.8,90.0,-46.156413
4.9,0.0,-41.539994
4.9,30.0,-41.539994
4.9,60.0,-41.539994
4.9,90.0,-41.539994
5.0,0.0,-37.417601
5.0,30.0,-37.417601
5.0,60.0,-37.417601
5.0,90.0,-37.417601
5.1,0.0,-33.739462
5.1,30.0,-33.739461
5.1,60.0,-33.739461
5.1,90.0,-33.739461
5.2,0.0,-30.457326
5.2,30.0,-30.457326
5.2,60.0,-30.457326
5.2,90.0,-30.457326
5.3,0.0,-27.52634
5.3,30.0,-27.52634
5.3,60.0,-27.52634
5.3,90.0,-27.52634
5.4,0.0,-24.905955
5.4,30.0,-24.905955
5.4,60.0,-24.905955
5.4,90.0,-24.905955
5.5,0.0,-22.56049
5.5,30.0,-22.56049
5.5,60.0,-22.56049
5.5,90.0,-22.56049
5.6,0.0,-20.458902
5.6,30.0,-20.458902
5.6,60.0,-20.458902
5.6,90.0,-20.458902
5.7,0.0,-18.57438
5.7,30.0,-18.57438
5.7,60.0,-18.57438
5.7,90.0,-18.57438
5.8,0.0,-16.883592
5.8,30.0,-16.883592
5.8,60.0,-16.883592
5.8,90.0,-16.883592
5.9,0.0,-15.365986
5.9,30.0,-15.365986
5.9,60.0,-15.365986
5.9,90.0,-15.365986
6.0,0.0,-14.003226
6.0,30.0,-14.003226
6.0,60.0,-14.003226
6.0,90.0,-14.003225
6.2,0.0,-11.678099
6.2,30.0,-11.678099
6.2,60.0,-11.678099
6.2,90.0,-11.678099
6.4,0.0,-9.796015
6.4,30.0,-9.796015
6.4,60.0,-9.796015
6.4,90.0,-9.796015
6.6,0.0,-8.268652
6.6,30.0,-8.268652
6.6,60.0,-8.268652
6.6,90.0,-8.268652
6.8,0.0,-7.02773
6.8,30.0,-7.02773
6.8,60.0,-7.02773
6.8,90.0,-7.02773
7.0,0.0,-6.019281
7.0,30.0,-6.019281
7.0,60.0,-6.019281
7.0,90.0,-6.019281
7.2,0.0,-5.198388
7.2,30.0,-5.198388
7.2,60.0,-5.198388
7.2,90.0,-5.198388
7.4,0.0,-4.526722
7.4,30.0,-4.526722
7.4,60.0,-4.526722
7.4,90.0,-4.526722
7.6,0.0,-3.97237
7.6,30.0,-3.97237
7.6,60.0,-3.97237
7.6,90.0,-3.97237
7.8,0.0,-3.510124
7.8,30.0,-3.510124
7.8,60.0,-3.510124
7.8,90.0,-3.510124
8.0,0.0,-3.121059
8.0,30.0,-3.121059
8.0,60.0,-3.121059
8.0,90.0,-3.121059
8.2,0.0,-2.791242
8.2,30.0,-2.791242
8.2,60.0,-2.791242
8.2,90.0,-2.791242
8.4,0.0,-2.510124
8.4,30.0,-2.510124
8.4,60.0,-2.510124
8.4,90.0,-2.510124
8.6,0.0,-2.269383
8.6,30.0,-2.269383
8.6,60.0,-2.269383
8.6,90.0,-2.269383
8.8,0.0,-2.062155
8.8,30.0,-2.062155
8.8,60.0,-2.062155
8.8,90.0,-2.062155
9.0,0.0,-1.882685
9.0,30.0,-1.882685
9.0,60.0,-1.882685
9.0,90.0,-1.882685
9.5,0.0,-1.526809
9.5,30.0,-1.526809
9.5,60.0,-1.526809
9.5,90.0,-1.526809
10.0,0.0,-1.266075
10.0,30.0,-1.266075
10.0,60.0,-1.266075
10.0,90.0,-1.266075
10.5,0.0,-1.071147
10.5,30.0,-1.071147
10.5,60.0,-1.071147
10.5,90.0,-1.071147
11.0,0.0,-0.92325
11.0,30.0,-0.92325
11.0,60.0,-0.92325
11.0,90.0,-0.92325
11.5,0.0,-0.802428
11.5,30.0,-0.802428
11.5,60.0,-0.802428
11.5,90.0,-0.802428
12.0,0.0,-0.714646
12.0,30.0,-0.714646
12.0,60.0,-0.714646
12.0,90.0,-0.714646
12.5,0.0,-0.643974
12.5,30.0,-0.643974
12.5,60.0,-0.643974
12.5,90.0,-0.643974
13.0,0.0,-0.586037
13.0,30.0,-0.586037
13.0,60.0,-0.586037
13.0,90.0,-0.586037
13.5,0.0,-0.537814
13.5,30.0,-0.537814
13.5,60.0,-0.537814
13.5,90.0,-0.537814
14.0,0.0,-0.497113
14.0,30.0,-0.497113
14.0,60.0,-0.497113
14.0,90.0,-0.497113
14.5,0.0,-0.462349
14.5,30.0,-0.462349
14.5,60.0,-0.462349
14.5,90.0,-0.462349
15.0,0.0,-0.432316
15.0,30.0,-0.432316
15.0,60.0,-0.432316
15.0,90.0,-0.432316
16.0,0.0,-0.383025
16.0,30.0,-0.383025
16.0,60.0,-0.383025
16.0,90.0,-0.383025
17.0,0.0,-0.344213
17.0,30.0,-0.344213
17.0,60.0,-0.344213
17.0,90.0,-0.344213
18.0,0.0,-0.312712
18.0,30.0,-0.312712
18.0,60.0,-0.312712
18.0,90.0,-0.312712
19.0,0.0,-0.286542
19.0,30.0,-0.286542
19.0,60.0,-0.286542
19.0,90.0,-0.286542
20.0,0.0,-0.264357
20.0,30.0,-0.264357
20.0,60.0,-0.264357
20.0,90.0,-0.264357
21.0,0.0,-0.244402
21.0,30.0,-0.244402
21.0,60.0,-0.244402
21.0,90.0,-0.244402
22.0,0.0,-0.228257
22.0,30.0,-0.228257
22.0,60.0,-0.228257
22.0,90.0,-0.228257
23.0,0.0,-0.21359
23.0,30.0,-0.21359
23.0,60.0,-0.21359
23.0,90.0,-0.21359
24.0,0.0,-0.200507
24.0,30.0,-0.200507
24.0,60.0,-0.200507
24.0,90.0,-0.200507
25.0,0.0,-0.188741
25.0,30.0,-0.188741
25.0,60.0,-0.188741
25.0,90.0,-0.188742
50.0,0.0,-0.059902
50.0,30.0,-0.059902
50.0,60.0,-0.059902
50.0,90.0,-0.059902
100.0,0.0,4e-06
100.0,30.0,4e-06
100.0,60.0,4e-06
100.0,90.0,4e-06
