T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 7.059973175167481690e-11 1.504890665735957094e-11 5.678268683856795525e-12 1.690532654342505539e-12 1.579474809207511257e-12 1.079259279130745985e-10 4.340642309146770480e-11 9.926947444289014558e-12 6.503398515555234694e-12 1.111705184527742566e-10 2.350809445194435103e-11 1.326907213368467239e-11 5.079309652550676742e-11 2.684552721583735774e-11 5.363173504188786377e-11
2.000000000000000000e+00 6.973758481244984183e-11 1.415511736828501329e-11 5.472051288572561065e-12 1.459543372674454397e-12 1.550967141367598840e-12 1.065568731572155008e-10 4.141025068505458630e-11 9.355336557006956523e-12 6.659174243047854941e-12 1.106336744426934910e-10 2.318085315312289835e-11 1.333030484210008005e-11 5.206899906064455092e-11 2.571032039376778385e-11 5.146655229729630318e-11
3.000000000000000000e+00 6.911501146103782417e-11 1.414902440967990173e-11 5.658164718804015028e-12 1.483002901879832060e-12 1.583749072632962156e-12 1.081096953915612462e-10 4.171951505134442245e-11 9.478228168180167117e-12 6.880707244283081852e-12 1.131506642988412142e-10 2.383899221571664979e-11 1.352242364253297814e-11 5.398989256705681011e-11 2.599464613816564401e-11 5.220660446294267801e-11
4.000000000000000000e+00 6.850592147207773550e-11 1.444196744293494603e-11 5.849253082724037773e-12 1.566056138979955045e-12 1.622401018538766037e-12 1.099208843821320071e-10 4.204546177787501593e-11 9.798835547362706812e-12 7.095949968118277211e-12 1.148224112714140759e-10 2.467472231012719427e-11 1.381751471413644603e-11 5.591448569345901632e-11 2.660997918708891265e-11 5.360424290216673929e-11
5.000000000000000000e+00 6.796128691177364307e-11 1.479166109801428249e-11 5.965557380039897550e-12 1.666672780607113649e-12 1.662431071667765335e-12 1.113632434842137027e-10 4.201029821581231653e-11 1.017769871126462656e-11 7.288950974483888688e-12 1.151120560883330810e-10 2.549423852650601214e-11 1.417285979185140758e-11 5.769810455035329467e-11 2.732391203670002184e-11 5.515877287447137028e-11
6.000000000000000000e+00 6.745063866823894707e-11 1.509809148298479948e-11 6.013522442282712460e-12 1.769164339441652993e-12 1.702149262402722016e-12 1.122539156648951999e-10 4.167089400890198432e-11 1.056915512802822076e-11 7.458997735316118308e-12 1.143578205781058300e-10 2.624206557413646762e-11 1.455694737462511491e-11 5.930361234117306937e-11 2.805521053060136163e-11 5.669304862507079973e-11
7.000000000000000000e+00 6.692763142197109770e-11 1.532980009259371361e-11 6.014008303964931097e-12 1.866585925621525354e-12 1.740209812953148569e-12 1.125891060554012196e-10 4.114734324128739476e-11 1.095489772664444394e-11 7.609583690966987872e-12 1.129810515337842372e-10 2.690954086488809967e-11 1.494837232617517543e-11 6.073747245060121318e-11 2.876468276834159245e-11 5.813754724095891916e-11
8.000000000000000000e+00 6.636042851243288906e-11 1.548552212871564568e-11 5.985087554571555520e-12 1.956068317241626665e-12 1.775692253076661903e-12 1.124450154556989126e-10 4.053521187672203410e-11 1.132610598536698332e-11 7.744250924497747457e-12 1.112955990355728169e-10 2.750401757240517196e-11 1.533283069545552082e-11 6.202122386176190403e-11 2.943122570927822193e-11 5.946612439371941267e-11
9.000000000000000000e+00 6.573580889087988597e-11 1.557542225356392864e-11 5.939537204296456429e-12 2.036769146113667918e-12 1.808011250131362180e-12 1.119234998697407709e-10 3.989680174932784749e-11 1.167813119892497775e-11 7.865318330564530107e-12 1.095016119590535611e-10 2.803664941133343639e-11 1.570028503194063048e-11 6.317745163260341197e-11 3.004293899395934944e-11 6.066894241374503320e-11
1.000000000000000000e+01 6.505420402725909843e-11 1.561255505683901443e-11 5.885692440772492434e-12 2.108811786414244667e-12 1.836794168371237385e-12 1.111239243824875559e-10 3.926907622457153616e-11 1.200848359640640370e-11 7.973843697320043054e-12 1.077164686139987662e-10 2.851761545530336551e-11 1.604334364999334041e-11 6.422439217163482125e-11 3.059283809274549804e-11 6.174147345730349492e-11
