R,theta2,E
2.5,0,75627.677135
2.5,30,51042.174027
2.5,60,32731.42785
2.5,90,27962.578544
2.6,0,65099.904945
2.6,30,46095.029336
2.6,60,36914.217995
2.6,90,34877.541408
2.7,0,61231.318532
2.7,30,43000.261263
2.7,60,41209.226047
2.7,90,41908.219458
2.8,0,60923.133533
2.8,30,36441.898565
2.8,60,37526.964863
2.8,90,48390.902054
2.9,0,62376.954976
2.9,30,28291.688128
2.9,60,28990.699555
2.9,90,54218.288905
3.0,0,21532.735044
3.0,30,21671.330383
3.0,60,22142.940339
3.0,90,59162.590994
3.1,0,16268.504984
3.1,30,16393.238846
3.1,60,16793.274072
3.1,90,16988.986396
3.2,0,12180.320232
3.2,30,12344.943175
3.2,60,12641.939967
3.2,90,12759.718894
3.3,0,9077.099779
3.3,30,9222.347988
3.3,60,9449.404797
3.3,90,9528.911506
3.4,0,6699.004449
3.4,30,6825.513366
3.4,60,7013.343287
3.4,90,7075.672685
3.5,0,4888.508221
3.5,30,5001.202733
3.5,60,5167.533649
3.5,90,5223.425113
3.6,0,3521.599419
3.6,30,3623.993298
3.6,60,3778.376239
3.6,90,3832.729836
3.7,0,2498.219044
3.7,30,2592.711372
3.7,60,2739.860806
3.7,90,2794.507306
3.8,0,1738.832143
3.8,30,1826.927332
3.8,60,1968.750274
3.8,90,2024.039698
3.9,0,1180.804258
3.9,30,1263.332821
3.9,60,1400.234627
3.9,90,1455.857227
4.0,0,775.200123
4.0,30,852.567184
4.0,60,984.217657
4.0,90,1039.555293
4.1,0,484.11947
4.1,30,556.479356
4.1,60,682.213372
4.1,90,736.501022
4.2,0,278.418279
4.2,30,345.785005
4.2,60,464.825837
4.2,90,517.274572
4.3,0,135.791665
4.3,30,198.127999
4.3,60,309.714511
4.3,90,359.657106
4.4,0,39.246326
4.4,30,96.536766
4.4,60,200.116272
4.4,90,247.018287
4.5,0,-24.078618
4.5,30,28.219828
4.5,60,123.489233
4.5,90,167.015468
4.6,0,-63.819016
4.6,30,-16.371212
4.6,60,70.568167
4.6,90,110.563448
4.7,0,-87.100958
4.7,30,-44.277771
4.7,60,34.555688
4.7,90,70.993281
4.8,0,-99.117311
4.8,30,-60.625234
4.8,60,10.500468
4.8,90,43.482659
4.9,0,-103.59839
4.9,30,-69.102968
4.9,60,-5.178034
4.9,90,24.539378
5.0,0,-103.190239
5.0,30,-72.342491
5.0,60,-15.046674
5.0,90,11.656381
5.1,0,-99.746978
5.1,30,-72.201234
5.1,60,-20.928292
5.1,90,3.040969
5.2,0,-94.547454
5.2,30,-69.968558
5.2,60,-24.105022
5.2,90,-2.586339
5.3,0,-88.453247
5.3,30,-66.518888
5.3,60,-25.45989
5.3,90,-6.137303
5.4,0,-82.026553
5.4,30,-62.431039
5.4,60,-25.643319
5.4,90,-8.259766
5.5,0,-75.620677
5.5,30,-58.080234
5.5,60,-25.070036
5.5,90,-9.412151
5.6,0,-69.448093
5.6,30,-53.70681
5.6,60,-24.036662
5.6,90,-9.916084
5.7,0,-63.629044
5.7,30,-49.461973
5.7,60,-22.745253
5.7,90,-9.995248
5.8,0,-58.223966
5.8,30,-45.437092
5.8,60,-21.331439
5.8,90,-9.803329
5.9,0,-53.25468
5.9,30,-41.682508
5.9,60,-19.884469
5.9,90,-9.444526
6.0,0,-48.718487
6.0,30,-38.220264
6.0,60,-18.461537
6.0,90,-8.988903
6.2,0,-40.868672
6.2,30,-32.171698
6.2,60,-15.813788
6.2,90,-7.958781
6.4,0,-34.465033
6.4,30,-27.186679
6.4,60,-13.516655
6.4,90,-6.931001
6.6,0,-29.263797
6.6,30,-23.121541
6.6,60,-11.580788
6.6,90,-6.003238
6.8,0,-25.015926
6.8,30,-19.791392
6.8,60,-9.971309
6.8,90,-5.212791
7.0,0,-21.539155
7.0,30,-17.051975
7.0,60,-8.642825
7.0,90,-4.563136
7.2,0,-18.661502
7.2,30,-14.790465
7.2,60,-7.552428
7.2,90,-4.04124
7.4,0,-16.263294
7.4,30,-12.916743
7.4,60,-6.661299
7.4,90,-3.629093
7.6,0,-14.251518
7.6,30,-11.356306
7.6,60,-5.934383
7.6,90,-3.308756
7.8,0,-12.553651
7.8,30,-10.048599
7.8,60,-5.340549
7.8,90,-3.062452
8.0,0,-11.114686
8.0,30,-8.946496
8.0,60,-4.852968
8.0,90,-2.872824
8.2,0,-9.893113
8.2,30,-8.014323
8.2,60,-4.449058
8.2,90,-2.723926
8.4,0,-8.855865
8.4,30,-7.223847
8.4,60,-4.110774
8.4,90,-2.603015
8.6,0,-7.974256
8.6,30,-6.551559
8.6,60,-3.824147
8.6,90,-2.501416
8.8,0,-7.222336
8.8,30,-5.976874
8.8,60,-3.578623
8.8,90,-2.413692
9.0,0,-6.576896
9.0,30,-5.482202
9.0,60,-3.366143
9.0,90,-2.336767
9.5,0,-5.310187
9.5,30,-4.506577
9.5,60,-2.942377
9.5,90,-2.178753
10.0,0,-4.391349
10.0,30,-3.793262
10.0,60,-2.62344
10.0,90,-2.050449
10.5,0,-3.710873
10.5,30,-3.258978
10.5,60,-2.37234
10.5,90,-1.937108
11.0,0,-3.199988
11.0,30,-2.852533
11.0,60,-2.170031
11.0,90,-1.8348
11.5,0,-2.809711
11.5,30,-2.538153
11.5,60,-2.004937
11.5,90,-1.74323
12.0,0,-2.505312
12.0,30,-2.290054
12.0,60,-1.868047
12.0,90,-1.661286
12.5,0,-2.262694
12.5,30,-2.090016
12.5,60,-1.752214
12.5,90,-1.587147
13.0,0,-2.065315
13.0,30,-1.925262
13.0,60,-1.652108
13.0,90,-1.519069
13.5,0,-1.901778
13.5,30,-1.787027
13.5,60,-1.564157
13.5,90,-1.455972
14.0,0,-1.764022
14.0,30,-1.669194
14.0,60,-1.485764
14.0,90,-1.397124
14.5,0,-1.64639
14.5,30,-1.56728
14.5,60,-1.415116
14.5,90,-1.342048
15.0,0,-1.544568
15.0,30,-1.478121
15.0,60,-1.350952
15.0,90,-1.29033
16.0,0,-1.376814
16.0,30,-1.328815
16.0,60,-1.238375
16.0,90,-1.195937
17.0,0,-1.243655
17.0,30,-1.208042
17.0,60,-1.142223
17.0,90,-1.11205
18.0,0,-1.13474
18.0,30,-1.107669
18.0,60,-1.058814
18.0,90,-1.0371
19.0,0,-1.043526
19.0,30,-1.022412
19.0,60,-0.985562
19.0,90,-0.969813
20.0,0,-0.964444
20.0,30,-0.9479
20.0,60,-0.920066
20.0,90,-0.908215
21.0,0,-0.895511
21.0,30,-0.882317
21.0,60,-0.861177
21.0,90,-0.853473
22.0,0,-0.836302
22.0,30,-0.825372
22.0,60,-0.808734
22.0,90,-0.803013
23.0,0,-0.783595
23.0,30,-0.774566
23.0,60,-0.761722
23.0,90,-0.757894
24.0,0,-0.736916
24.0,30,-0.729122
24.0,60,-0.71877
24.0,90,-0.716214
25.0,0,-0.694701
25.0,30,-0.687891
25.0,60,-0.679441
25.0,90,-0.67783
50.0,0,-0.222775
50.0,30,-0.220026
50.0,60,-0.219768
50.0,90,-0.222235
100.0,0,-7e-06
100.0,30,0.002607
100.0,60,0.002603
100.0,90,0.0
