R	0	30	60	90
2.5	75627.677085	75627.677084	75627.677085	75627.677084
2.6	65099.904928	65099.904928	65099.904928	65099.904928
2.7	61231.318522	61231.318522	61231.318522	61231.318522
2.8	60923.133597	60923.133597	60923.133597	60923.133597
2.9	62376.955042	62376.955042	62376.955042	62376.955042
3.0	21532.73502	21532.73502	21532.73502	21532.73502
3.1	16268.504973	16268.504973	16268.504973	16268.504973
3.2	12180.320185	12180.320185	12180.320185	12180.320185
3.3	9077.099719	9077.09972	9077.09972	9077.09972
3.4	6699.004428	6699.004429	6699.004429	6699.004428
3.5	4888.508174	4888.508174	4888.508174	4888.508174
3.6	3521.59942	3521.59942	3521.59942	3521.59942
3.7	2498.219034	2498.219034	2498.219035	2498.219034
3.8	1738.832121	1738.832121	1738.832121	1738.832121
3.9	1180.804208	1180.804208	1180.804208	1180.804208
4.0	775.200101	775.200101	775.200101	775.200101
4.1	484.119541	484.119542	484.119541	484.119542
4.2	278.418266	278.418266	278.418266	278.418266
4.3	135.79167	135.79167	135.79167	135.79167
4.4	39.246333	39.246333	39.246333	39.246333
4.5	-24.078607	-24.078607	-24.078607	-24.078607
4.6	-63.819039	-63.819039	-63.819039	-63.819039
4.7	-87.100984	-87.100984	-87.100984	-87.100984
4.8	-99.117298	-99.117298	-99.117298	-99.117298
4.9	-103.598369	-103.598369	-103.598369	-103.598369
5.0	-103.190209	-103.190209	-103.190209	-103.190209
5.1	-99.746958	-99.746958	-99.746958	-99.746958
5.2	-94.547449	-94.547449	-94.547449	-94.547449
5.3	-88.453246	-88.453246	-88.453246	-88.453246
5.4	-82.026569	-82.026569	-82.026569	-82.026569
5.5	-75.620653	-75.620653	-75.620653	-75.620653
5.6	-69.448093	-69.448093	-69.448093	-69.448093
5.7	-63.62901	-63.62901	-63.62901	-63.62901
5.8	-58.223983	-58.223983	-58.223983	-58.223983
5.9	-53.254696	-53.254696	-53.254696	-53.254696
6.0	-48.718492	-48.718492	-48.718492	-48.718492
6.2	-40.86866	-40.86866	-40.86866	-40.86866
6.4	-34.46502	-34.46502	-34.46502	-34.46502
6.6	-29.263796	-29.263795	-29.263795	-29.263795
6.8	-25.015919	-25.015919	-25.015919	-25.015919
7.0	-21.539138	-21.539138	-21.539138	-21.539138
7.2	-18.661496	-18.661496	-18.661496	-18.661496
7.4	-16.263314	-16.263314	-16.263314	-16.263314
7.6	-14.251545	-14.251545	-14.251545	-14.251545
7.8	-12.553659	-12.553659	-12.553659	-12.553659
8.0	-11.11468	-11.11468	-11.11468	-11.11468
8.2	-9.893126	-9.893126	-9.893126	-9.893126
8.4	-8.855863	-8.855863	-8.855863	-8.855863
8.6	-7.974249	-7.974249	-7.974249	-7.974249
8.8	-7.222338	-7.222338	-7.222338	-7.222338
9.0	-6.576906	-6.576906	-6.576906	-6.576906
9.5	-5.310189	-5.310189	-5.310189	-5.310189
10.0	-4.391349	-4.391349	-4.391349	-4.391349
10.5	-3.710869	-3.710869	-3.710869	-3.710869
11.0	-3.199991	-3.199991	-3.199991	-3.199991
11.5	-2.809689	-2.809689	-2.809689	-2.809689
12.0	-2.505332	-2.505332	-2.505332	-2.505332
12.5	-2.262703	-2.262703	-2.262703	-2.262703
13.0	-2.065321	-2.065321	-2.065321	-2.065321
13.5	-1.901777	-1.901777	-1.901777	-1.901777
14.0	-1.764026	-1.764026	-1.764025	-1.764026
14.5	-1.646367	-1.646367	-1.646367	-1.646367
15.0	-1.544565	-1.544565	-1.544565	-1.544565
16.0	-1.376804	-1.376804	-1.376804	-1.376804
17.0	-1.243647	-1.243647	-1.243647	-1.243647
18.0	-1.134734	-1.134734	-1.134734	-1.134734
19.0	-1.043514	-1.043514	-1.043514	-1.043514
20.0	-0.964435	-0.964435	-0.964435	-0.964435
21.0	-0.895513	-0.895513	-0.895513	-0.895513
22.0	-0.836305	-0.836305	-0.836305	-0.836306
23.0	-0.7836	-0.7836	-0.7836	-0.7836
24.0	-0.736924	-0.736924	-0.736924	-0.736924
25.0	-0.6947	-0.6947	-0.6947	-0.6947
50.0	-0.222772	-0.222772	-0.222772	-0.222772
100.0	0.0	0.0	0.0	0.0
