R	0	30	60	90
2.5	-20129.604022	-20647.182529	-20879.684945	-20583.185479
2.6	-21038.886693	-21499.430688	-21715.995004	-21474.441416
2.7	-21741.366727	-22144.336175	-22343.960705	-22152.897594
2.8	-22280.455148	-22627.649239	-22809.399879	-22663.664144
2.9	-22691.091973	-22985.946954	-23151.124672	-23042.993143
3.0		-3060.823566	-3054.590631	-23321.748852
3.1	-3255.380526	-3333.583012	-3323.827717	-3223.949301
3.2	-3460.414293	-3526.97032	-3513.206311	-3426.705935
3.3	-3605.611347	-3662.323241	-3649.140818	-3573.63291
3.4	238.804629	-3754.818511	-3741.171314	107.221464
3.5	144.993404	99.618112	47.635194	37.542392
3.6	78.766087	45.382793	2.646909	-10.052193
3.7	33.382036	8.952707	-26.660067	-40.185958
3.8	2.951529	-14.702201	-44.720197	-58.639798
3.9	-16.692736	-29.307263	-54.927943	-68.905024
4.0	-28.700889	-37.53542	-59.697301	-73.386144
4.1	-35.163441	-41.417873	-60.781423	-73.946424
4.2	-38.081285	-42.325618	-59.448567	-72.016164
4.3	-38.524086	-41.394325	-56.624432	-68.607431
4.4	-37.416894	-39.317443	-52.963002	-64.145791
4.5	-35.409565	-36.577943	-48.715153	-59.259407
4.6	-32.87363	-33.514088	-44.39893	-54.25493
4.7	-30.122634	-30.38098	-40.102657	-49.316741
4.8	-27.334745	-27.466322	-35.991031	-44.577112
4.9	-42.119342	-24.87267	-32.086258	-40.090301
5.0	-38.39416	-21.492898	-29.068941	-35.932749
5.1	-34.848601	-18.891518	-25.204076	-32.113061
5.2	-31.515427	-22.93099	-22.288397	-28.634571
5.3	-28.427236	-20.620098	-19.80278	-25.486266
5.4	-25.593904	-18.474274	-17.538896	-17.463106
5.5	-23.014524	-16.505894	-12.899983	-15.469429
5.6	-20.681536	-14.718213	-11.353793	-13.659898
5.7	-18.583248	-13.105803	-10.134506	-12.026026
5.8	-16.702504	-11.65817	-8.711821	-10.538881
5.9	-14.995858	-10.361011	-7.596778	-9.218004
6.0	-13.508718	-9.196965	-6.577832	-8.030301
6.2	-10.930603	-7.195383	-4.838789	-6.005603
6.4	-8.845083	-5.594315	-3.43372	-4.372574
6.6	-7.123214	-4.261428	-2.298439	-3.05497
6.8	-5.682751	-3.142902	-1.377536	-1.986346
7.0	-4.463201	-2.221124	-0.627653	-1.12817
7.2	-3.428866	-1.440372	-0.010914	-0.427231
7.4	-2.513533	-0.773788	0.502498	0.15394
7.6	-1.726429	-0.199389	0.935876	0.64179
7.8	-1.040435	0.299164	1.30626	1.056145
8.0	-0.442353	0.733136	1.637725	1.41196
8.2	0.080362	1.112841	1.916246	1.719645
8.4	0.538146	1.447146	2.160649	1.987445
8.6	0.941734	1.742762	2.375907	2.221948
8.8	1.298946	2.005733	2.566872	2.428606
9.0	1.616873	2.240476	2.737667	2.612083
9.5	2.269295	2.727799	3.094643	2.993834
10.0	2.764547	3.105962	3.378749	3.296135
10.5	3.147838	3.406399	3.61123	3.543207
11.0	3.451147	3.650139	3.805609	3.749279
11.5	3.696824	3.852543	3.971213	3.924321
12.0	3.899851	4.024106	4.114836	4.075894
12.5	4.070912	4.170477	4.241747	4.209131
13.0	4.217896	4.299039	4.355605	4.327675
13.5	4.346117	4.412703	4.45841	4.434511
14.0	4.459323	4.515025	4.552136	4.531377
14.5	4.560978	4.607446	4.637797	4.628279
15.0	4.652418	4.691869	4.716544	4.7013
16.0	4.81123	4.840426	4.857558	4.845834
17.0	4.945577	4.968182	4.980519	4.970489
18.0	5.061779	5.079979	5.087593	5.079737
19.0	5.162465	5.175541	5.182783	5.176271
20.0	5.252392	5.261809	5.267734	5.262109
21.0	5.331994	5.339942	5.344057	5.33855
22.0	5.404058	5.410091	5.41251	5.407914
23.0	5.468169	5.487726	5.475502	5.471684
24.0	5.526307	5.545049	5.533013	5.528899
25.0	5.579631	5.597193	5.585493	5.579806
50.0	6.198254	6.19824	6.200456	6.19568
100.0	6.479003	6.499555	6.474224	6.490318
