R	phi	theta2	theta1	E
2.50	0	0	0	-141.890815273458
2.50	0	0	30	-152.289116081607
2.50	0	0	60	-152.353316567979
2.50	0	0	90	-152.253562628001
2.50	0	0	120	-152.353316568082
2.50	0	0	150	-152.289116080787
2.50	0	0	180	-141.890815276331
2.50	0	30	0	-148.513973493618
2.50	0	30	30	-152.329266185694
2.50	0	30	60	-152.355674829512
2.50	0	30	90	-152.254657910111
2.50	0	30	120	-152.351738510904
2.50	0	30	150	-152.231096010926
2.50	0	30	180	-148.513973494565
2.50	0	60	0	-151.291538718011
2.50	0	60	30	-152.334275601464
2.50	0	60	60	-152.35673418862
2.50	0	60	90	-152.256585020462
2.50	0	60	120	-152.352726298995
2.50	0	60	150	-152.241763211873
2.50	0	60	180	-151.291538719074
2.50	0	90	0	-151.827285160433
2.50	0	90	30	-152.30224247845
2.50	0	90	60	-152.355383237457
2.50	0	90	90	-152.257431488281
2.50	0	90	120	-152.355383238116
2.50	0	90	150	-152.302242477577
2.50	0	90	180	-151.827285160648
2.50	30	0	0	-141.890815273456
2.50	30	0	30	-152.289121218127
2.50	30	0	60	-152.353328197174
2.50	30	0	90	-152.25353301013
2.50	30	0	120	-152.353328196699
2.50	30	0	150	-152.289121219083
2.50	30	0	180	-141.890815276332
2.50	30	30	0	-148.513973493619
2.50	30	30	30	-152.3269690544
2.50	30	30	60	-152.355627898526
2.50	30	30	90	-152.254556545691
2.50	30	30	120	-152.352285853548
2.50	30	30	150	-152.244596286687
2.50	30	30	180	-148.513973494564
2.50	30	60	0	-151.29153871801
2.50	30	60	30	-152.335363563726
2.50	30	60	60	-152.357012792069
2.50	30	60	90	-152.256361563082
2.50	30	60	120	-152.353733264365
2.50	30	60	150	-152.262414769775
2.50	30	60	180	-151.291538719075
2.50	30	90	0	-151.827285160434
2.50	30	90	30	-152.311664918544
2.50	30	90	60	-152.356160331212
2.50	30	90	90	-152.257154862824
2.50	30	90	120	-152.356160331854
2.50	30	90	150	-152.311664917158
2.50	30	90	180	-151.827285160648
2.50	60	0	0	-141.890815273456
2.50	60	0	30	-152.289118221426
2.50	60	0	60	-152.353323152096
2.50	60	0	90	-152.253576451914
2.50	60	0	120	-152.35332315188
2.50	60	0	150	-152.28911822103
2.50	60	0	180	-141.890815276331
2.50	60	30	0	-148.513973493619
2.50	60	30	30	-152.318813744516
2.50	60	30	60	-152.355339249483
2.50	60	30	90	-152.25445910077
2.50	60	30	120	-152.353482194336
2.50	60	30	150	-152.274327297377
2.50	60	30	180	-148.513973494565
2.50	60	60	0	-151.291538718011
2.50	60	60	30	-152.334038752437
2.50	60	60	60	-152.357367536855
2.50	60	60	90	-152.256026615299
2.50	60	60	120	-152.355660582329
2.50	60	60	150	-152.297471115625
2.50	60	60	180	-151.291538719075
2.50	60	90	0	-151.827285160433
2.50	60	90	30	-152.326560281278
2.50	60	90	60	-152.357527919115
2.50	60	90	90	-152.256717234442
2.50	60	90	120	-152.357527919686
2.50	60	90	150	-152.326560280928
2.50	60	90	180	-151.827285160648
2.50	90	0	0	-141.890815273456
2.50	90	0	30	-152.289118946702
2.50	90	0	60	-152.353325386624
2.50	90	0	90	-152.253562627781
2.50	90	0	120	-152.353325386993
2.50	90	0	150	-152.289118947485
2.50	90	0	180	-141.890815276332
2.50	90	30	0	-148.513973493619
2.50	90	30	30	-152.301788134573
2.50	90	30	60	-152.35463410875
2.50	90	30	90	-152.254375476459
2.50	90	30	120	-152.354634108363
2.50	90	30	150	-152.301788134023
2.50	90	30	180	-148.513973494562
2.50	90	60	0	-151.291538718012
2.50	90	60	30	-152.323297056213
2.50	90	60	60	-152.357043428673
2.50	90	60	90	-152.255828226277
2.50	90	60	120	-152.357043428887
2.50	90	60	150	-152.323297056027
2.50	90	60	180	-151.291538719074
2.50	90	90	0	-151.827285160433
2.50	90	90	30	-152.332352673286
2.50	90	90	60	-152.358154454997
2.50	90	90	90	-152.256469478454
2.50	90	90	120	-152.358154455033
2.50	90	90	150	-152.332352673098
2.50	90	90	180	-151.827285160648
2.60	0	0	0	-147.644586374012
2.60	0	0	30	-152.297594645379
2.60	0	0	60	-152.357459565257
2.60	0	0	90	-152.256124667255
2.60	0	0	120	-152.357459565351
2.60	0	0	150	-152.297594645144
2.60	0	0	180	-147.644586373204
2.60	0	30	0	-150.089804308864
2.60	0	30	30	-152.329684890555
2.60	0	30	60	-152.359557958396
2.60	0	30	90	-152.256971487336
2.60	0	30	120	-152.356114483028
2.60	0	30	150	-152.265050429635
2.60	0	30	180	-150.089804308795
2.60	0	60	0	-151.72367239182
2.60	0	60	30	-152.338954806737
2.60	0	60	60	-152.360544698165
2.60	0	60	90	-152.258455424079
2.60	0	60	120	-152.357105979797
2.60	0	60	150	-152.283322908246
2.60	0	60	180	-151.723672390734
2.60	0	90	0	-152.077857899446
2.60	0	90	30	-152.32359252774
2.60	0	90	60	-152.359444098879
2.60	0	90	90	-152.259103346966
2.60	0	90	120	-152.35944409864
2.60	0	90	150	-152.323592528561
2.60	0	90	180	-152.077857899488
2.60	30	0	0	-147.644586374012
2.60	30	0	30	-152.297599432193
2.60	30	0	60	-152.357470918286
2.60	30	0	90	-152.256095080745
2.60	30	0	120	-152.35747091747
2.60	30	0	150	-152.297599431664
2.60	30	0	180	-147.644586373204
2.60	30	30	0	-150.089804308864
2.60	30	30	30	-152.327648160159
2.60	30	30	60	-152.359500079704
2.60	30	30	90	-152.256880182465
2.60	30	30	120	-152.356575808489
2.60	30	30	150	-152.272776690272
2.60	30	30	180	-150.089804308795
2.60	30	60	0	-151.72367239182
2.60	30	60	30	-152.338414934908
2.60	30	60	60	-152.360732556514
2.60	30	60	90	-152.258256843945
2.60	30	60	120	-152.357916632181
2.60	30	60	150	-152.293770212373
2.60	30	60	180	-151.723672390734
2.60	30	90	0	-152.077857899447
2.60	30	90	30	-152.326995723432
2.60	30	90	60	-152.360034079204
2.60	30	90	90	-152.258858088983
2.60	30	90	120	-152.360034079016
2.60	30	90	150	-152.326995723402
2.60	30	90	180	-152.077857899489
2.60	60	0	0	-147.644586374012
2.60	60	0	30	-152.297597079816
2.60	60	0	60	-152.357466026715
2.60	60	0	90	-152.256138454617
2.60	60	0	120	-152.357466027401
2.60	60	0	150	-152.297597079107
2.60	60	0	180	-147.644586373204
2.60	60	30	0	-150.089804308863
2.60	60	30	30	-152.32094370575
2.60	60	30	60	-152.359210488813
2.60	60	30	90	-152.256801414083
2.60	60	30	120	-152.35758423437
2.60	60	30	150	-152.290300459772
2.60	60	30	180	-150.089804308794
2.60	60	60	0	-151.723672391821
2.60	60	60	30	-152.335119305585
2.60	60	60	60	-152.360933600285
2.60	60	60	90	-152.257970581043
2.60	60	60	120	-152.359461220542
2.60	60	60	150	-152.311282586176
2.60	60	60	180	-151.723672390733
2.60	60	90	0	-152.077857899447
2.60	60	90	30	-152.332065900006
2.60	60	90	60	-152.361060424533
2.60	60	90	90	-152.258480953395
2.60	60	90	120	-152.361060425018
2.60	60	90	150	-152.332065899986
2.60	60	90	180	-152.077857899488
2.60	90	0	0	-147.644586374012
2.60	90	0	30	-152.297597898404
2.60	90	0	60	-152.357468221697
2.60	90	0	90	-152.256124667181
2.60	90	0	120	-152.357468222302
2.60	90	0	150	-152.297597898539
2.60	90	0	180	-147.644586373204
2.60	90	30	0	-150.089804308863
2.60	90	30	30	-152.3083317005
2.60	90	30	60	-152.35857439943
2.60	90	30	90	-152.256725830931
2.60	90	30	120	-152.358574400003
2.60	90	30	150	-152.308331699397
2.60	90	30	180	-150.089804308794
2.60	90	60	0	-151.723672391821
2.60	90	60	30	-152.326494011624
2.60	90	60	60	-152.360600956339
2.60	90	60	90	-152.257795021625
2.60	90	60	120	-152.360600956602
2.60	90	60	150	-152.326494011566
2.60	90	60	180	-151.723672390733
2.60	90	90	0	-152.077857899447
2.60	90	90	30	-152.334095986098
2.60	90	90	60	-152.361530622529
2.60	90	90	90	-152.258262329679
2.60	90	90	120	-152.361530621772
2.60	90	90	150	-152.334095985705
2.60	90	90	180	-152.077857899488
2.70	0	0	0	-149.883973833825
2.70	0	0	30	-152.306533557034
2.70	0	0	60	-152.360660300261
2.70	0	0	90	-152.257990961592
2.70	0	0	120	-152.360660300524
2.70	0	0	150	-152.306533556288
2.70	0	0	180	-149.883973833836
2.70	0	30	0	-151.042120159468
2.70	0	30	30	-152.329927433058
2.70	0	30	60	-152.362496364422
2.70	0	30	90	-152.258641490936
2.70	0	30	120	-152.359553347266
2.70	0	30	150	-152.291673438806
2.70	0	30	180	-151.042120159159
2.70	0	60	0	-151.993018863306
2.70	0	60	30	-152.340510662745
2.70	0	60	60	-152.363405920838
2.70	0	60	90	-152.259775151212
2.70	0	60	120	-152.360520487791
2.70	0	60	150	-152.310489833898
2.70	0	60	180	-151.993018864027
2.70	0	90	0	-152.219641483941
2.70	0	90	30	-152.335248814936
2.70	0	90	60	-152.362535373125
2.70	0	90	90	-152.260266320121
2.70	0	90	120	-152.362535372595
2.70	0	90	150	-152.335248813977
2.70	0	90	180	-152.219641482685
2.70	30	0	0	-149.883973833825
2.70	30	0	30	-152.306537776378
2.70	30	0	60	-152.360671476619
2.70	30	0	90	-152.257961397299
2.70	30	0	120	-152.360671476165
2.70	30	0	150	-152.306537775913
2.70	30	0	180	-149.883973833836
2.70	30	30	0	-151.042120159468
2.70	30	30	30	-152.328295657837
2.70	30	30	60	-152.36243549642
2.70	30	30	90	-152.258559085164
2.70	30	30	120	-152.359936988927
2.70	30	30	150	-152.295596507838
2.70	30	30	180	-151.04212015916
2.70	30	60	0	-151.993018863307
2.70	30	60	30	-152.339258437185
2.70	30	60	60	-152.363527846283
2.70	30	60	90	-152.259599428236
2.70	30	60	120	-152.361163409891
2.70	30	60	150	-152.314744600785
2.70	30	60	180	-151.993018864028
2.70	30	90	0	-152.21964148394
2.70	30	90	30	-152.335490300795
2.70	30	90	60	-152.362976246182
2.70	30	90	90	-152.26004999786
2.70	30	90	120	-152.362976246939
2.70	30	90	150	-152.335490300923
