T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 5.779118833050285304e-11 1.343359365555378515e-11 7.946251367950854848e-12 3.597774784760902336e-12 3.332932999958881421e-12 1.000098640066074909e-10 4.158034112059906548e-11 2.035339334521327249e-11 1.992990178892947750e-11 1.033220885821311883e-10 5.041023336853485336e-11 2.687682694493211374e-11 1.041987109021465742e-10 4.415281500198569918e-11 9.085924248511078363e-11
2.000000000000000000e+00 5.094820763188947514e-11 1.285001999299242454e-11 8.165319624531487378e-12 3.841176608196991166e-12 2.979733484553206489e-12 9.900925192634402260e-11 4.197668571843341266e-11 2.141383820580182476e-11 1.927480356946635867e-11 1.023480590105961043e-10 5.315824188366289550e-11 2.878408693207229349e-11 1.004744411701591311e-10 4.664268348475447458e-11 9.339960724224056090e-11
3.000000000000000000e+00 4.759359073207261858e-11 1.258655249344375410e-11 8.214663446328218396e-12 3.829109471028673697e-12 2.745570030451571791e-12 9.741917956898631320e-11 4.184362204413635872e-11 2.254828604830496797e-11 1.941517075526233079e-11 1.030109236274727150e-10 5.454746315357913871e-11 3.048010677005992432e-11 1.003144943076080715e-10 4.920880411402129466e-11 9.750213510576386639e-11
4.000000000000000000e+00 4.556730092212253839e-11 1.263133650122414024e-11 8.273337695345577730e-12 3.829794484398366888e-12 2.650911354868592459e-12 9.577778706937788672e-11 4.176414285399042775e-11 2.350783711589163567e-11 1.954048775679718219e-11 1.038802034226431794e-10 5.550228437970049277e-11 3.202864865988149806e-11 1.009652280772710636e-10 5.140583563573317503e-11 1.006409818286838632e-10
5.000000000000000000e+00 4.416222420210522354e-11 1.287137439889596756e-11 8.360125868766843385e-12 3.879049218698233629e-12 2.653035693659609829e-12 9.434530115870062106e-11 4.185828945027895156e-11 2.426258155104820372e-11 1.958215844156034947e-11 1.047151831591319394e-10 5.631604429851102328e-11 3.337735240791561633e-11 1.018841648650828047e-10 5.315388522144735123e-11 1.028278328448878846e-10
6.000000000000000000e+00 4.307242775606800349e-11 1.319022931052502999e-11 8.458052030586312417e-12 3.955341033757782584e-12 2.708080466672680059e-12 9.314988731422867530e-11 4.207729473584985651e-11 2.483257837461791310e-11 1.955772472504662170e-11 1.054079699714201396e-10 5.699822031203678373e-11 3.447007629899298552e-11 1.027709230232378628e-10 5.442422950178896542e-11 1.041914383419647700e-10
7.000000000000000000e+00 4.214733365418527055e-11 1.350920251070118435e-11 8.549056616666172692e-12 4.038113588273941460e-12 2.784161342442073053e-12 9.213103755943523140e-11 4.233605203614283117e-11 2.524659598204700729e-11 1.948713664994754692e-11 1.058933757566548563e-10 5.751546350020648554e-11 3.530251055619511781e-11 1.034544999705506273e-10 5.525384689384778998e-11 1.048704394591007725e-10
8.000000000000000000e+00 4.130907887214253332e-11 1.378749585328530815e-11 8.621687051989278601e-12 4.116529053784176704e-12 2.862345349230047884e-12 9.121528437760253513e-11 4.256967766999994229e-11 2.553283362094397605e-11 1.938643041384706934e-11 1.061439011205219644e-10 5.785228805488374557e-11 3.590579993336333873e-11 1.038674864624598479e-10 5.571678039428893041e-11 1.050102741896706639e-10
9.000000000000000000e+00 4.051798592918694185e-11 1.400957811877452228e-11 8.671129316604864036e-12 4.186795361773442234e-12 2.933154333166392246e-12 9.034629639134005028e-11 4.274305219980765806e-11 2.571680065083230122e-11 1.926814363751542240e-11 1.061627126357494475e-10 5.801549693577341474e-11 3.632378197760879202e-11 1.040084417576008771e-10 5.589506604620909162e-11 1.047474744307544486e-10
1.000000000000000000e+01 3.975508347917121319e-11 1.417389085807031332e-11 8.697103910999623218e-12 4.248779252480156035e-12 2.992852622204412274e-12 8.948981667241547191e-11 4.284379256409258987e-11 2.582062980092703631e-11 1.914177506651326508e-11 1.059724942285689917e-10 5.802557169965543896e-11 3.659951881790396413e-11 1.039093870445240382e-10 5.586303887931212362e-11 1.041983878891109971e-10
1.100000000000000000e+01 3.901243520222379730e-11 1.428551075764677566e-11 8.701798738506497473e-12 4.303825393405643071e-12 3.040789867111726121e-12 8.862923484156731811e-11 4.287315588427184476e-11 2.586288361888245474e-11 1.901419307119854159e-11 1.056053113333186562e-10 5.790840809294792878e-11 3.676970312014451616e-11 1.036146210598121538e-10 5.568173060072615392e-11 1.034557032020013879e-10
