R,phi,E
2.5,0,6150.070862
2.5,30,6129.963483
2.5,60,6100.278606
2.5,90,6116.505876
2.6,0,4684.947636
2.6,30,4670.195078
2.6,60,4649.571702
2.6,90,4665.323115
2.7,0,3534.233826
2.7,30,3523.510353
2.7,60,3509.487959
2.7,90,3524.169302
2.8,0,2637.914515
2.8,30,2630.172635
2.8,60,2620.807378
2.8,90,2633.898022
2.9,0,1945.532638
2.9,30,1939.957226
2.9,60,1933.761228
2.9,90,1944.89807
3.0,0,1415.253947
3.0,30,1411.225982
3.0,60,1407.091185
3.0,90,1416.087457
3.1,0,1012.763092
3.1,30,1009.821611
3.1,60,1006.960259
3.1,90,1013.794341
3.2,0,710.179318
3.2,30,707.98992
3.2,60,705.87136
3.2,90,710.66434
3.3,0,485.049185
3.3,30,483.378857
3.3,60,481.670114
3.3,90,484.644681
3.4,0,319.449937
3.4,30,318.140199
3.4,60,316.65516
3.4,90,318.095664
3.5,0,199.202703
3.5,30,198.149808
3.5,60,196.794481
3.5,90,197.005067
3.6,0,113.190118
3.6,30,112.325804
3.6,60,111.063739
3.6,90,110.33592
3.7,0,52.776163
3.7,30,52.05556
3.7,60,50.875167
3.7,90,49.465993
3.8,0,11.307992
3.8,30,10.699806
3.8,60,9.602468
3.8,90,7.721565
3.9,0,-16.295104
3.9,30,-16.815172
3.9,60,-17.826944
3.9,90,-20.012395
4.0,0,-33.877936
4.0,30,-34.328672
4.0,60,-35.255089
4.0,90,-37.618058
4.1,0,-44.324251
4.1,30,-44.719826
4.1,60,-45.565628
4.1,90,-48.01126
4.2,0,-49.773289
4.2,30,-50.130166
4.2,60,-50.903354
4.2,90,-53.364862
4.3,0,-51.793195
4.3,30,-52.124137
4.3,60,-52.840085
4.3,90,-55.275213
4.4,0,-51.518532
4.4,30,-51.835813
4.4,60,-52.512693
4.4,90,-54.900052
4.5,0,-49.763198
4.5,30,-50.076759
4.5,60,-50.731247
4.5,90,-53.063763
4.6,0,-47.098438
4.6,30,-47.418331
4.6,60,-48.065344
4.6,90,-50.344217
4.7,0,-43.929375
4.7,30,-44.260295
4.7,60,-44.910122
4.7,90,-47.137424
4.8,0,-40.532242
4.8,30,-40.877684
4.8,60,-41.536485
4.8,90,-43.711941
4.9,0,-37.096826
4.9,30,-37.45815
4.9,60,-38.130267
4.9,90,-40.251563
5.0,0,-33.751628
5.0,30,-34.128387
5.0,60,-34.811706
5.0,90,-36.879361
5.1,0,-30.575759
5.1,30,-30.967838
5.1,60,-31.662005
5.1,90,-33.672789
5.2,0,-27.621897
5.2,30,-28.027939
5.2,60,-28.72894
5.2,90,-30.680841
5.3,0,-24.914746
5.3,30,-25.33376
5.3,60,-26.040911
5.3,90,-27.931684
5.4,0,-22.46709
5.4,30,-22.898161
5.4,60,-23.606472
5.4,90,-25.436456
5.5,0,-20.277542
5.5,30,-20.718573
5.5,60,-21.427589
5.5,90,-23.196813
5.6,0,-18.336959
5.6,30,-18.786659
5.6,60,-19.493914
5.6,90,-21.201771
5.7,0,-16.628419
5.7,30,-17.086434
5.7,60,-17.791032
5.7,90,-19.437662
5.8,0,-15.131744
5.8,30,-15.597582
5.8,60,-16.29635
5.8,90,-17.882029
5.9,0,-13.826198
5.9,30,-14.297411
5.9,60,-14.99034
5.9,90,-16.516239
6.0,0,-12.686598
6.0,30,-13.16235
6.0,60,-13.848214
6.0,90,-15.315144
6.2,0,-10.825678
6.2,30,-11.308284
6.2,60,-11.973528
6.2,90,-13.323462
6.4,0,-9.400766
6.4,30,-9.886073
6.4,60,-10.524408
6.4,90,-11.75773
6.6,0,-8.3017
6.6,30,-8.785564
6.6,60,-9.39122
6.6,90,-10.510741
6.8,0,-7.448607
6.8,30,-7.928412
6.8,60,-8.495031
6.8,90,-9.503306
7.0,0,-6.77966
7.0,30,-7.251712
7.0,60,-7.776907
7.0,90,-8.676055
7.2,0,-6.24598
7.2,30,-6.710138
7.2,60,-7.190196
7.2,90,-7.983409
7.4,0,-5.813163
7.4,30,-6.265249
7.4,60,-6.700941
7.4,90,-7.392006
7.6,0,-5.455179
7.6,30,-5.895702
7.6,60,-6.287051
7.6,90,-6.879512
7.8,0,-5.154057
7.8,30,-5.584735
7.8,60,-5.930834
7.8,90,-6.431663
8.0,0,-4.898296
8.0,30,-5.317984
8.0,60,-5.621905
8.0,90,-6.037256
8.2,0,-4.67967
8.2,30,-5.087912
8.2,60,-5.352977
8.2,90,-5.690599
8.4,0,-4.489078
8.4,30,-4.887975
8.4,60,-5.115769
8.4,90,-5.381884
8.6,0,-4.322792
8.6,30,-4.711008
8.6,60,-4.905706
8.6,90,-5.107432
8.8,0,-4.175587
8.8,30,-4.55492
8.8,60,-4.71836
8.8,90,-4.862367
9.0,0,-4.043964
9.0,30,-4.415447
9.0,60,-4.550206
9.0,90,-4.640121
9.5,0,-3.769083
9.5,30,-4.123775
9.5,60,-4.196696
9.5,90,-4.176921
10.0,0,-3.550742
10.0,30,-3.889527
10.0,60,-3.915113
10.0,90,-3.809678
10.5,0,-3.369147
10.5,30,-3.696208
10.5,60,-3.684033
10.5,90,-3.512188
11.0,0,-3.212922
11.0,30,-3.530702
11.0,60,-3.488862
11.0,90,-3.266577
11.5,0,-3.075781
11.5,30,-3.387263
11.5,60,-3.321078
11.5,90,-3.057274
12.0,0,-2.95274
12.0,30,-3.258136
12.0,60,-3.173786
12.0,90,-2.879033
12.5,0,-2.841747
12.5,30,-3.14253
12.5,60,-3.042837
12.5,90,-2.722336
13.0,0,-2.73914
13.0,30,-3.035422
13.0,60,-2.924206
13.0,90,-2.583188
13.5,0,-2.644179
13.5,30,-2.936817
13.5,60,-2.815147
13.5,90,-2.458423
14.0,0,-2.554566
14.0,30,-2.845284
14.0,60,-2.715258
14.0,90,-2.344584
14.5,0,-2.47078
14.5,30,-2.759329
14.5,60,-2.622578
14.5,90,-2.24
15.0,0,-2.391829
15.0,30,-2.67773
15.0,60,-2.535858
15.0,90,-2.14495
16.0,0,-2.246073
16.0,30,-2.5297
16.0,60,-2.379953
16.0,90,-1.974757
17.0,0,-2.115373
17.0,30,-2.398287
17.0,60,-2.240237
17.0,90,-1.827207
18.0,0,-1.999042
18.0,30,-2.279786
18.0,60,-2.118639
18.0,90,-1.696591
19.0,0,-1.892537
19.0,30,-2.172603
19.0,60,-2.008045
19.0,90,-1.582093
20.0,0,-1.796467
20.0,30,-2.074884
20.0,60,-1.909192
20.0,90,-1.478857
21.0,0,-1.707885
21.0,30,-1.986782
21.0,60,-1.818139
21.0,90,-1.385868
22.0,0,-1.6293
22.0,30,-1.90663
22.0,60,-1.737486
22.0,90,-1.303104
23.0,0,-1.556679
23.0,30,-1.83369
23.0,60,-1.663244
23.0,90,-1.227069
24.0,0,-1.489385
24.0,30,-1.766807
24.0,60,-1.595371
24.0,90,-1.158513
25.0,0,-1.428633
25.0,30,-1.706043
25.0,60,-1.533229
25.0,90,-1.095067
50.0,0,-0.693468
50.0,30,-0.969887
50.0,60,-0.79507
50.0,90,-0.352465
100.0,0,-0.332985
100.0,30,-0.609347
100.0,60,-0.434846
100.0,90,0.008253
