R	0	30	60	90	120	150	180
2.5	968322.299467	22297.59476	6150.070862	1658.796134	6369.315434	34420.860609	968322.299158
2.6	871408.320147	18714.568205	4684.947636	1127.406959	4866.476954	30228.053768	871408.320832
2.7	1024550.13659	15832.43596	3534.233826	740.894919	3684.459517	26876.474597	1024550.13545
2.8	1395906.222667	13636.137253	2637.914515	464.039392	2760.886883	23977.395472	1395906.222447
2.9	1700664.694904	11962.572896	1945.532638	269.214252	2044.229679	21313.922231	1700664.696063
3.0	1451541.224115	10665.219907	1415.253947	134.98943	1492.248011	18855.034659	1451541.224271
3.1	948553.355405	9697.293798	1012.763092	44.922	1070.541314	16561.855169	948553.355755
3.2	566995.850687	8884.409031	710.179318	-13.453172	751.264999	14437.034011	566995.850984
3.3	332286.596504	8123.121396	485.049185	-49.46812	512.006611	12487.129238	332286.596378
3.4	196324.04126	7359.449915	319.449937	-70.012002	334.809783	10698.527581	196324.041423
3.5	119947.918453	6574.676279	199.202703	-80.095276	205.347879	9035.603743	119947.917862
3.6	78446.616822	5775.406089	113.190118	-83.312193	112.253559	7569.00658	78446.617758
3.7	57094.929163	4982.652653	52.776163	-82.190198	46.573574	6290.903553	57094.928802
3.8	47174.734025	4221.843868	11.307992	-78.477671	1.321958	5163.687186	47174.733284
3.9	43186.961265	3515.548036	-16.295104	-73.343755	-28.887038	4178.397469	43186.962219
4.0	40776.275683	2879.645448	-33.877936	-67.552637	-48.163964	3330.548773	40776.276017
4.1	34394.734351	2322.44146	-44.324251	-61.585632	-59.608682	2613.357613	34394.735466
4.2	26622.489346	1845.610098	-49.773289	-55.740505	-65.541201	2015.819524	26622.488517
4.3	20354.927132	1446.358151	-51.793195	-50.191402	-67.680322	1525.716016	20354.927282
4.4	15378.291252	1117.206802	-51.518532	-45.040479	-67.286084	1129.812975	15378.29124
4.5	11566.614755	850.650248	-49.763198	-40.334345	-65.265025	814.895957	11566.615037
4.6	8624.375638	638.072367	-47.098438	-36.088908	-62.258966	568.1902	8624.375941
4.7	6367.485888	470.89647	-43.929375	-32.299669	-58.710888	377.99377	6367.485505
4.8	4651.388678	341.175724	-40.532242	-28.948019	-54.919319	233.901412	4651.388163
4.9	3357.308963	241.831339	-37.096826	-26.00574	-51.084888	126.857227	3357.308894
5.0	2389.526121	166.738449	-33.751628	-23.440068	-47.336398	49.120908	2389.525768
5.1	1671.993372	110.727257	-30.575759	-21.214898	-43.75941	-5.812047	1671.993477
5.2	1144.902972	69.528324	-27.621897	-19.288864	-40.401708	-43.310651	1144.902677
5.3	761.65477	39.676957	-24.914746	-17.623397	-37.289223	-67.720329	761.654526
5.4	486.248747	18.412568	-22.46709	-16.182242	-34.433023	-82.489947	486.249079
5.5	291.057662	3.565119	-20.277542	-14.932978	-31.83196	-90.311165	291.057185
5.6	154.998222	-6.546789	-18.336959	-13.846293	-29.47942	-93.236997	154.998312
5.7	62.078711	-13.207165	-16.628419	-12.898708	-27.3617	-92.822312	62.078763
5.8	0.259622	-17.389177	-15.131744	-12.069804	-25.462429	-90.216709	0.259349
5.9	-39.435254	-19.81183	-13.826198	-11.342155	-23.762815	-86.259404	-39.435729
6.0	-63.623894	-21.011869	-12.686598	-10.701139	-22.241487	-81.54336	-63.623905
6.2	-83.400764	-21.169657	-10.825678	-9.626968	-19.653595	-71.333524	-83.401056
6.4	-83.425192	-19.816462	-9.400766	-8.757211	-17.550029	-61.446508	-83.424542
6.6	-75.742024	-17.933544	-8.3017	-8.029045	-15.813109	-52.607376	-75.741987
6.8	-65.901991	-15.98991	-7.448607	-7.399412	-14.355202	-45.016479	-65.901914
7.0	-56.269334	-14.196034	-6.77966	-6.848389	-13.11082	-38.629444	-56.268991
7.2	-47.731859	-12.62928	-6.24598	-6.365545	-12.031757	-33.312547	-47.731609
7.4	-40.495772	-11.299214	-5.813163	-5.945127	-11.082117	-28.90612	-40.495554
7.6	-34.469475	-10.180947	-5.455179	-5.580237	-10.239613	-25.245976	-34.469725
7.8	-29.477984	-9.236684	-5.154057	-5.263134	-9.489829	-22.190195	-29.477876
8.0	-25.350413	-8.436875	-4.898296	-4.987862	-8.823764	-19.62088	-25.349869
8.2	-21.942602	-7.754379	-4.67967	-4.745405	-8.231195	-17.447588	-21.942345
8.4	-19.127963	-7.170279	-4.489078	-4.53139	-7.704655	-15.598102	-19.128048
8.6	-16.799042	-6.665424	-4.322792	-4.34014	-7.23521	-14.015427	-16.799253
8.8	-14.862546	-6.226627	-4.175587	-4.168519	-6.815434	-12.653761	-14.86235
9.0	-13.239739	-5.841785	-4.043964	-4.014483	-6.438956	-11.477706	-13.239593
9.5	-10.195497	-5.062513	-3.769083	-3.689096	-5.656919	-9.170183	-10.195319
10.0	-8.146908	-4.479357	-3.550742	-3.428273	-5.049315	-7.523615	-8.146759
10.5	-6.71252	-4.027731	-3.369147	-3.213372	-4.56923	-6.319368	-6.712735
11.0	-5.666236	-3.665551	-3.212922	-3.029562	-4.181864	-5.415542	-5.666065
11.5	-4.88043	-3.366726	-3.075781	-2.870307	-3.865089	-4.723624	-4.880604
12.0	-4.278648	-3.118797	-2.95274	-2.728684	-3.601004	-4.183263	-4.278832
12.5	-3.811725	-2.910165	-2.841747	-2.60028	-3.37675	-3.757194	-3.81169
13.0	-3.442376	-2.732917	-2.73914	-2.483128	-3.184021	-3.413271	-3.442579
13.5	-3.14502	-2.578375	-2.644179	-2.376005	-3.016919	-3.130938	-3.144697
14.0	-2.900624	-2.443343	-2.554566	-2.275779	-2.867532	-2.89513	-2.900682
