T	3->1	5->1	7->1	9->1	11->1	5->3	7->3	9->3	11->3	7->5	9->5	11->5	9->7	11->7	11->9	
1.000000000000000000e+00 1.338352920512801796e-10 3.270105033639017250e-11 1.380400964033010482e-11 9.252239240373650619e-12 4.971052275183630065e-12 1.147384871942011038e-10 4.254564191030845317e-11 2.369151223502741697e-11 1.359128939461372902e-11 1.117327006097836982e-10 5.530979194114380880e-11 3.031469067266480202e-11 1.006625744773828798e-10 6.017780402233398458e-11 1.086530054005838254e-10
2.000000000000000000e+00 1.248538809669332208e-10 3.692448884731646298e-11 1.707967977090593827e-11 1.109822323937481434e-11 5.804039178280307407e-12 1.228180022194452964e-10 4.863906725924309296e-11 2.742951447026255980e-11 1.597575644296827387e-11 1.200723421334661605e-10 6.029141696400905153e-11 3.413949868395404285e-11 1.078788602755408489e-10 6.445890316733139649e-11 1.146346759498395032e-10
3.000000000000000000e+00 1.195044020534842277e-10 3.930077140867391482e-11 1.896637200416457937e-11 1.227688499909652666e-11 6.555630542332158427e-12 1.282257421592525504e-10 5.320702153658776164e-11 3.024153068814294620e-11 1.843358941050413928e-11 1.272436210609264868e-10 6.463818215222022543e-11 3.778595909498622219e-11 1.148166362269175307e-10 6.800467351098564119e-11 1.207741275720207239e-10
4.000000000000000000e+00 1.165416197511040133e-10 4.080659555022233718e-11 2.031022908952298718e-11 1.315949299025240614e-11 7.209860683021848667e-12 1.321943777618315584e-10 5.666857492443938515e-11 3.236052014088165531e-11 2.051551857001979695e-11 1.329554442863519941e-10 6.807218660860566985e-11 4.074799458512651767e-11 1.208702226608317001e-10 7.083130369711509354e-11 1.263204293977253620e-10
5.000000000000000000e+00 1.149034163726033192e-10 4.186697993620211985e-11 2.136701996678891325e-11 1.389797695146487585e-11 7.744428744844565768e-12 1.352684725614405805e-10 5.939097633938616541e-11 3.403147794145971513e-11 2.218853067362310835e-11 1.375159615400923252e-10 7.081603427562126430e-11 4.309365095274179919e-11 1.260480113805389761e-10 7.308698320083330033e-11 1.311277839518333286e-10
6.000000000000000000e+00 1.139849446846014560e-10 4.264209658036950104e-11 2.222476281606792030e-11 1.452660757046121096e-11 8.162175516193381728e-12 1.376645522861917581e-10 6.155312906627789838e-11 3.535889836043959466e-11 2.350080980954167558e-11 1.411261614706059614e-10 7.299894598178126197e-11 4.491106146650571089e-11 1.303605893749833316e-10 7.483550104866031249e-11 1.351048757929275873e-10
7.000000000000000000e+00 1.134282801173230251e-10 4.319700698132977850e-11 2.291888797505309338e-11 1.505140642341484643e-11 8.475746334914598542e-12 1.394779406469028723e-10 6.324751656835673148e-11 3.639413762554723460e-11 2.450826837470129168e-11 1.439067798041901669e-10 7.468778351259233147e-11 4.627432840496317725e-11 1.338283313023769756e-10 7.612131060772006862e-11 1.382348579809857513e-10
8.000000000000000000e+00 1.130191993202816682e-10 4.356659301055254560e-11 2.347026599735347686e-11 1.547781749379477998e-11 8.701147474109427478e-12 1.407711578110988106e-10 6.453866696651869217e-11 3.717671844198963329e-11 2.526531362889489501e-11 1.459575338194611531e-10 7.593794854275325638e-11 4.725621805762389070e-11 1.365087326185104934e-10 7.700053228054076287e-11 1.405751167252853695e-10
9.000000000000000000e+00 1.126350857642875870e-10 4.377778508304171238e-11 2.389710691098525577e-11 1.581532705188655556e-11 8.854746913320345309e-12 1.416051917490275920e-10 6.548417817844908014e-11 3.774486326602299075e-11 2.582205407641276486e-11 1.473789075832909148e-10 7.680846068686184919e-11 4.792781233577021394e-11 1.384910554763181777e-10 7.753932555348799245e-11 1.422275832918332397e-10
1.000000000000000000e+01 1.122119674120666113e-10 4.385552623202973231e-11 2.421738535392059963e-11 1.607602499750019925e-11 8.951609693345213116e-12 1.420447638313849369e-10 6.613887647979931704e-11 3.813556902894183943e-11 2.622219803945171687e-11 1.482720752569666150e-10 7.736053501023814066e-11 4.835405502283597638e-11 1.398793099067505483e-10 7.780479589526596608e-11 1.433092075116398582e-10
1.100000000000000000e+01 1.117219446685029570e-10 4.382335470526461499e-11 2.444846144539894258e-11 1.627256466635467069e-11 9.004712726063662448e-12 1.421550328953588338e-10 6.655379842232993541e-11 3.838279388918575218e-11 2.650211815443072702e-11 1.487330979554796447e-10 7.765292185011092271e-11 4.859077868399596551e-11 1.407775515181676935e-10 7.785820151869153095e-11 1.439329295827676812e-10
1.200000000000000000e+01 1.111580272414795331e-10 4.370274417379485603e-11 2.460629631110388570e-11 1.641679026777269612e-11 9.024742440056868151e-12 1.419973472154153066e-10 6.677460769481222030e-11 3.851618800866818371e-11 2.669099313699514088e-11 1.488481268181898563e-10 7.773845083109736911e-11 4.868387517484622720e-11 1.412809331117763907e-10 7.775172333679782678e-11 1.441982803923880316e-10
1.300000000000000000e+01 1.105243814980184978e-10 4.351252280519363045e-11 2.470492872337992507e-11 1.651905928801052562e-11 9.020220644200970830e-12 1.416263790421287642e-10 6.684070907122858805e-11 3.856065707173053564e-11 2.681158585492646971e-11 1.486910353406337926e-10 7.766240032674065472e-11 4.866986288245305648e-11 1.414716264353569683e-10 7.752774836657459615e-11 1.441882175146834804e-10
1.400000000000000000e+01 1.098303443184788324e-10 4.326864332649125235e-11 2.475628153983172813e-11 1.658803444574787695e-11 8.997780228656151419e-12 1.410888458042859331e-10 6.678512303992790981e-11 3.853651700185447042e-11 2.688127171041785109e-11 1.483230476338572776e-10 7.746223067537835677e-11 4.857710481164555053e-11 1.414178929780261601e-10 7.721952207006371135e-11 1.439693513456020457e-10
1.500000000000000000e+01 1.090869338795886065e-10 4.298425149941032846e-11 2.477020885650441345e-11 1.663073990701397362e-11 8.962484592109786089e-12 1.404234003327118071e-10 6.663488209902334941e-11 3.845996825948240590e-11 2.691308073345533791e-11 1.477935944328475181e-10 7.716811603255560735e-11 4.842720801863929216e-11 1.411748872085310683e-10 7.685239572263018321e-11 1.435937401566356502e-10
1.600000000000000000e+01 1.083049493152293007e-10 4.266993817781733879e-11 2.475468267968534609e-11 1.665274363668932066e-11 8.918135427584594071e-12 1.396612210543773149e-10 6.641170583357199349e-11 3.834369741214605717e-11 2.691663696734774950e-11 1.471417698583388280e-10 7.680385410535146525e-11 4.823636241858848677e-11 1.407862570877967081e-10 7.644522824504747742e-11 1.431012255216704280e-10
1.700000000000000000e+01 1.074940440697220491e-10 4.233407731497368378e-11 2.471604288998893014e-11 1.665838408897062725e-11 8.867544216384856580e-12 1.388269432535858651e-10 6.613277942308793296e-11 3.819749128233284119e-11 2.689895227437293480e-11 1.463979781480658877e-10 7.638789049760546828e-11 4.801651549276808358e-11 1.402859911302913447e-10 7.601171950957122132e-11 1.425217782362686532e-10
1.800000000000000000e+01 1.066623716953433663e-10 4.198318423393764013e-11 2.465926156156743966e-11 1.665099703868396318e-11 8.812759711204717090e-12 1.379396969672315667e-10 6.581152707889113546e-11 3.802880356789611648e-11 2.686507054857867699e-11 1.455855347462076490e-10 7.593431090361845666e-11 4.777635331655154193e-11 1.397002166441593685e-10 7.556157811190293367e-11 1.418776111741547898e-10
1.900000000000000000e+01 1.058165501784986242e-10 4.162225583481279838e-11 2.458819365065413684e-11 1.663312117557511467e-11 8.755252256233221086e-12 1.370141147292233613e-10 6.545832143951591038e-11 3.784324775776667447e-11 2.681857622461109148e-11 1.447221042114273566e-10 7.545372955704813254e-11 4.752209411325971638e-11 1.390488091640620767e-10 7.510149463982002994e-11 1.411849707782977122e-10
2.000000000000000000e+01 1.049617887243561850e-10 4.125507359916487179e-11 2.450580017763004756e-11 1.660667413524924915e-11 8.696059623819880434e-12 1.360612390459355279e-10 6.508110248830270614e-11 3.764500967988533796e-11 2.676198746761071572e-11 1.438209295832552223e-10 7.495404715514993810e-11 4.725811575163179445e-11 1.383467621261597752e-10 7.463592578057564788e-11 1.404555984010379478e-10
2.100000000000000000e+01 1.041020842466599811e-10 4.088446235837166011e-11 2.441433880312324988e-11 1.657309768883615923e-11 8.635900335976284218e-12 1.350893013323338725e-10 6.468589927638729543e-11 3.743718338047473583e-11 2.669705519498193325e-11 1.428918486241138380e-10 7.444107637646171420e-11 4.698744329425308984e-11 1.376053137852379858e-10 7.416771008251582572e-11 1.396978899958165112e-10
2.200000000000000000e+01 1.032404348716883858e-10 4.051250480277034019e-11 2.431552177431358589e-11 1.653347432003832986e-11 8.575260442501662892e-12 1.341043684463946565e-10 6.427725873853004138e-11 3.722203888218353063e-11 2.662498724372037039e-11 1.419421132778727942e-10 7.391904569890017623e-11 4.671212229920389682e-11 1.368328519287263695e-10 7.369854148135580416e-11 1.389177970965629304e-10
2.300000000000000000e+01 1.023790425262945459e-10 4.014071536662994678e-11 2.421064388491743080e-11 1.648861890439339236e-11 8.514459143925980820e-12 1.331108659614172092e-10 6.385859132058863931e-11 3.700123204185379630e-11 2.654661419749359601e-11 1.409770377248490936e-10 7.339099754567906091e-11 4.643350093162382862e-11 1.360356265346168317e-10 7.322932674704420850e-11 1.381195145778679374e-10
2.400000000000000000e+01 1.015194915589743419e-10 3.977017871115176966e-11 2.410068426820933619e-11 1.643914958574528744e-11 8.453697851563643773e-12 1.321119932470135309e-10 6.343244518519813007e-11 3.677596667496614391e-11 2.646251044364776176e-11 1.400005027101795340e-10 7.285909802436989485e-11 4.615244052610308684e-11 1.352183024793268551e-10 7.276045057169396765e-11 1.373059975055231578e-10
2.500000000000000000e+01 1.006628989535878694e-10 3.940165840939993370e-11 2.398638614184409503e-11 1.638554175754789816e-11 8.393096460565928771e-12 1.311100472047567036e-10 6.300072087432342348e-11 3.654711820491943985e-11 2.637308131772928527e-11 1.390153425594018414e-10 7.232487462861126459e-11 4.586947078742744003e-11 1.343843824783428981e-10 7.229196862834981470e-11 1.364793438292298415e-10
2.600000000000000000e+01 9.981003640808625657e-11 3.903568116830992537e-11 2.386831844259098297e-11 1.632816861167250343e-11 8.332719864989459408e-12 1.301066709978182089e-10 6.256483740455440064e-11 3.631532683924621816e-11 2.627862485659912872e-11 1.380236383714854675e-10 7.178939639729367726e-11 4.558490266556995330e-11 1.335365268023247750e-10 7.182374539483902725e-11 1.356410735240399872e-10
2.700000000000000000e+01 9.896142689727098227e-11 3.867260134467016976e-11 2.374692287480085344e-11 1.626733118748447925e-11 8.272597101391887338e-12 1.291030424847097544e-10 6.212585941661404261e-11 3.608106695456225986e-11 2.617937474864653831e-11 1.370269373845473746e-10 7.125340883032726159e-11 4.529890922172395204e-11 1.326767921587407260e-10 7.135555025721870318e-11 1.347923289456576468e-10
2.800000000000000000e+01 9.811741929409071154e-11 3.831264982443220052e-11 2.362254939548048850e-11 1.620328033024443069e-11 8.212734975421338186e-12 1.281000150033970414e-10 6.168459352340954031e-11 3.584469813385059936e-11 2.607552951383502850e-11 1.360264150331604553e-10 7.071743369685485658e-11 4.501158253825983748e-11 1.318068080955487707e-10 7.088712255272373291e-11 1.339340160181585674e-10
