T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 3.080604861969539171e-11 9.767138713084435804e-13 6.818511235120278018e-13 2.819344367582909614e-14 1.212158056304860576e-14 1.389850232927071162e-11 3.291171991423392706e-12 1.011222360506328326e-13 9.020516708858609518e-14 1.443756644389881093e-11 2.254510683451901065e-13 1.470072943014079157e-13 5.104204750433040275e-13 1.995260009485511893e-13 3.272334045351883081e-13
2.000000000000000000e+00 3.175431080723574371e-11 1.105050871420894222e-12 6.371120468389771210e-13 4.081069245231882672e-14 1.524971861650946866e-14 1.471244520401326671e-11 3.210370140801621400e-12 1.259966057526825247e-13 1.176690100375056346e-13 1.336282777522035099e-11 3.525701067446632878e-13 1.999469621710114889e-13 7.828299325579688102e-13 2.823340828916054102e-13 5.134423331290582086e-13
3.000000000000000000e+00 3.301714758706080864e-11 1.185734627047770507e-12 6.339102082831205733e-13 4.167478129468549584e-14 1.618242803428047929e-14 1.508704841261663561e-11 3.271842385467320458e-12 1.365332745626225180e-13 1.192957491346425857e-13 1.302792947767221535e-11 3.907276922741085695e-13 2.123734907315904093e-13 8.835320180644079562e-13 3.246515651774917849e-13 6.397970478062640784e-13
4.000000000000000000e+00 3.406966816708260030e-11 1.244480840569012984e-12 6.334830459978728899e-13 4.140521508093565257e-14 1.666770196329308751e-14 1.549393924438497571e-11 3.353801046056699064e-12 1.461612926533115542e-13 1.186834792228176033e-13 1.305136162392807688e-11 4.055043806669468652e-13 2.179714574596521476e-13 9.489390315731047441e-13 3.535743969613949262e-13 7.360986318588134947e-13
5.000000000000000000e+00 3.485306761868142951e-11 1.291073819324262117e-12 6.341771768748204233e-13 4.139847386092909441e-14 1.707987660491327025e-14 1.594229225374502347e-11 3.432786794341937720e-12 1.561712802624153771e-13 1.188066913092814849e-13 1.320301058170792973e-11 4.138897161832685614e-13 2.224341414452674744e-13 1.002820134245249914e-12 3.762453020643266590e-13 8.124618176600246453e-13
6.000000000000000000e+00 3.536659245918138053e-11 1.331695183362762179e-12 6.347725019678570829e-13 4.164420445529182264e-14 1.750535489941514431e-14 1.641663456750339450e-11 3.495734277842393456e-12 1.664092865552484037e-13 1.197877811762393032e-13 1.336623555060931350e-11 4.210138866585022692e-13 2.269274637694388791e-13 1.051397034335512170e-12 3.955000071176483284e-13 8.755772299202161959e-13
7.000000000000000000e+00 3.564219807796760317e-11 1.369874711823464802e-12 6.340195209463473738e-13 4.202622986499343803e-14 1.795255226137661256e-14 1.690532857613059616e-11 3.536044654003651307e-12 1.766365102154972127e-13 1.214299349191134960e-13 1.348284026529095190e-11 4.285930388384458141e-13 2.317862471385438318e-13 1.097065968361147952e-12 4.128067366315710950e-13 9.299647842872278196e-13
8.000000000000000000e+00 3.572668849765200931e-11 1.407372342967098420e-12 6.312232604498774576e-13 4.247043232777560524e-14 1.841534509300062084e-14 1.740017469848895433e-11 3.552454039913073843e-12 1.867001372359881527e-13 1.235533045838596844e-13 1.353031800413942515e-11 4.371766623921243724e-13 2.371189064716131952e-13 1.140951396700305148e-12 4.290237038030341427e-13 9.786098088562816197e-13
9.000000000000000000e+00 3.566745639523787912e-11 1.444896133423938915e-12 6.262373580109243971e-13 4.293912439079159931e-14 1.888910857835908890e-14 1.789461966841292264e-11 3.546982750258811677e-12 1.965240287705773930e-13 1.260245836690940900e-13 1.350647178701913798e-11 4.468740237680742130e-13 2.429398671481115281e-13 1.183634941629131025e-12 4.446686862852873022e-13 1.023447863633536953e-12
1.000000000000000000e+01 3.550549332825730548e-11 1.482548389781909044e-12 6.192578577391157451e-13 4.341517322079350020e-14 1.937269088869749311e-14 1.838271974487431405e-11 3.523139228148420086e-12 2.060802262036145554e-13 1.287488814011474833e-13 1.341900958917276877e-11 4.576218832473339132e-13 2.492189126822156111e-13 1.225435700820844298e-12 4.600496491101918020e-13 1.065721999513700770e-12
