      R        PHI    THETA2   THETA1       E_CP
    2.5000   0.0000   0.0000   0.0000   -76.966637060278
    2.5000   0.0000   0.0000   60.0000   -76.961791826132
    2.5000   0.0000   0.0000   90.0000   -76.961831584297
    2.5000   0.0000   0.0000   120.0000   -76.961791826132
    2.5000   0.0000   0.0000   180.0000   -76.966637060278
    2.5000   0.0000   30.0000   60.0000   -76.962782887519
    2.5000   0.0000   30.0000   90.0000   -76.961600615673
    2.5000   0.0000   30.0000   120.0000   -76.960767182613
    2.5000   0.0000   60.0000   0.0000   -76.969949144089
    2.5000   0.0000   60.0000   60.0000   -76.962750635581
    2.5000   0.0000   60.0000   90.0000   -76.961258627239
    2.5000   0.0000   60.0000   120.0000   -76.960861700963
    2.5000   0.0000   60.0000   180.0000   -76.969949144089
    2.5000   0.0000   90.0000   0.0000   -76.965629855223
    2.5000   0.0000   90.0000   60.0000   -76.961861789438
    2.5000   0.0000   90.0000   90.0000   -76.961141816970
    2.5000   0.0000   90.0000   120.0000   -76.961861789437
    2.5000   0.0000   90.0000   180.0000   -76.965629855226
    2.5000   30.0000   0.0000   0.0000   -76.966637060279
    2.5000   30.0000   0.0000   60.0000   -76.961791879515
    2.5000   30.0000   0.0000   90.0000   -76.961831581872
    2.5000   30.0000   0.0000   120.0000   -76.961791879514
    2.5000   30.0000   0.0000   180.0000   -76.966637060279
    2.5000   30.0000   30.0000   60.0000   -76.962684852357
    2.5000   30.0000   30.0000   90.0000   -76.961661839958
    2.5000   30.0000   30.0000   120.0000   -76.960947339087
    2.5000   30.0000   60.0000   0.0000   -76.969949144089
    2.5000   30.0000   60.0000   60.0000   -76.962759953851
    2.5000   30.0000   60.0000   90.0000   -76.961421386272
    2.5000   30.0000   60.0000   120.0000   -76.961123793281
    2.5000   30.0000   60.0000   180.0000   -76.969949144089
    2.5000   30.0000   90.0000   0.0000   -76.965629855224
    2.5000   30.0000   90.0000   60.0000   -76.962062936325
    2.5000   30.0000   90.0000   90.0000   -76.961329123327
    2.5000   30.0000   90.0000   120.0000   -76.962062936325
    2.5000   30.0000   90.0000   180.0000   -76.965629855224
    2.5000   60.0000   0.0000   0.0000   -76.966637060279
    2.5000   60.0000   0.0000   60.0000   -76.961791882015
    2.5000   60.0000   0.0000   90.0000   -76.961831581872
    2.5000   60.0000   0.0000   120.0000   -76.961791879515
    2.5000   60.0000   0.0000   180.0000   -76.966637060279
    2.5000   60.0000   30.0000   60.0000   -76.962420423030
    2.5000   60.0000   30.0000   90.0000   -76.961794194754
    2.5000   60.0000   30.0000   120.0000   -76.961412246648
    2.5000   60.0000   60.0000   0.0000   -76.969949144089
    2.5000   60.0000   60.0000   60.0000   -76.962691266725
    2.5000   60.0000   60.0000   90.0000   -76.961722045562
    2.5000   60.0000   60.0000   120.0000   -76.961732692145
    2.5000   60.0000   60.0000   180.0000   -76.969949144089
    2.5000   60.0000   90.0000   0.0000   -76.965629855223
    2.5000   60.0000   90.0000   60.0000   -76.962392311384
    2.5000   60.0000   90.0000   90.0000   -76.961695408990
    2.5000   60.0000   90.0000   120.0000   -76.962392304390
    2.5000   60.0000   90.0000   180.0000   -76.965629855223
    2.5000   90.0000   0.0000   0.0000   -76.966637060280
    2.5000   90.0000   0.0000   60.0000   -76.961791826132
    2.5000   90.0000   0.0000   90.0000   -76.961831584302
    2.5000   90.0000   0.0000   120.0000   -76.961791826132
    2.5000   90.0000   0.0000   180.0000   -76.966637060281
    2.5000   90.0000   30.0000   60.0000   -76.961963970392
    2.5000   90.0000   30.0000   90.0000   -76.961852384118
    2.5000   90.0000   30.0000   120.0000   -76.961963970392
    2.5000   90.0000   60.0000   0.0000   -76.969949144089
    2.5000   90.0000   60.0000   60.0000   -76.962331463405
    2.5000   90.0000   60.0000   90.0000   -76.961872382932
    2.5000   90.0000   60.0000   120.0000   -76.962331463404
    2.5000   90.0000   60.0000   180.0000   -76.969949144089
    2.5000   90.0000   90.0000   0.0000   -76.965629855223
    2.5000   90.0000   90.0000   60.0000   -76.962515214634
    2.5000   90.0000   90.0000   90.0000   -76.961882022224
    2.5000   90.0000   90.0000   120.0000   -76.962515214633
    2.5000   90.0000   90.0000   180.0000   -76.965629855224
    2.6000   0.0000   0.0000   0.0000   -76.965498390658
    2.6000   0.0000   0.0000   30.0000   -76.967138393844
    2.6000   0.0000   0.0000   60.0000   -76.963126588030
    2.6000   0.0000   0.0000   90.0000   -76.963720907378
    2.6000   0.0000   0.0000   120.0000   -76.963126588029
    2.6000   0.0000   0.0000   150.0000   -76.967138393843
    2.6000   0.0000   0.0000   180.0000   -76.965498390656
    2.6000   0.0000   30.0000   0.0000   -76.966499097822
    2.6000   0.0000   30.0000   30.0000   -76.969548335323
    2.6000   0.0000   30.0000   60.0000   -76.963954103054
    2.6000   0.0000   30.0000   90.0000   -76.963493224871
    2.6000   0.0000   30.0000   120.0000   -76.962293539643
    2.6000   0.0000   30.0000   150.0000   -76.966812572817
    2.6000   0.0000   30.0000   180.0000   -76.966499097823
    2.6000   0.0000   60.0000   0.0000   -76.967762190353
    2.6000   0.0000   60.0000   30.0000   -76.971592478882
    2.6000   0.0000   60.0000   60.0000   -76.963971043736
    2.6000   0.0000   60.0000   90.0000   -76.963136868145
    2.6000   0.0000   60.0000   120.0000   -76.962397319721
    2.6000   0.0000   60.0000   150.0000   -76.968672587604
    2.6000   0.0000   60.0000   180.0000   -76.967762190354
    2.6000   0.0000   90.0000   0.0000   -76.965950597611
    2.6000   0.0000   90.0000   30.0000   -76.971071990144
    2.6000   0.0000   90.0000   60.0000   -76.963227740999
    2.6000   0.0000   90.0000   90.0000   -76.962996033380
    2.6000   0.0000   90.0000   120.0000   -76.963227741000
    2.6000   0.0000   90.0000   150.0000   -76.971071990143
    2.6000   0.0000   90.0000   180.0000   -76.965950597610
    2.6000   30.0000   0.0000   0.0000   -76.965498390657
    2.6000   30.0000   0.0000   30.0000   -76.967138413253
    2.6000   30.0000   0.0000   60.0000   -76.963126996380
    2.6000   30.0000   0.0000   90.0000   -76.963720904148
    2.6000   30.0000   0.0000   120.0000   -76.963126996381
    2.6000   30.0000   0.0000   150.0000   -76.967138413255
    2.6000   30.0000   0.0000   180.0000   -76.965498390656
    2.6000   30.0000   30.0000   0.0000   -76.966499097823
    2.6000   30.0000   30.0000   30.0000   -76.969324085615
    2.6000   30.0000   30.0000   60.0000   -76.963889396506
