T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 3.560995231583460402e-11 1.761256488435587622e-12 6.902468186314478056e-13 2.423590453325551853e-14 2.314699990343427287e-14 1.521926904466285286e-11 3.349124956430539039e-12 1.626618516849725050e-13 7.408797451798722607e-14 1.247357040325384374e-11 3.097884110324124900e-13 1.809620906079963378e-13 6.630702887852539752e-13 3.471901649105303216e-13 6.868547717859413395e-13
2.000000000000000000e+00 3.396139901741507741e-11 1.811959862446658369e-12 7.358264197783952838e-13 2.936468140423884337e-14 3.017542661237709543e-14 1.468002151874684411e-11 3.506716407676580778e-12 2.178634912251499662e-13 1.003318169590293993e-13 1.251791848272268943e-11 3.689660134861622245e-13 1.996046472386379771e-13 8.223303803506163839e-13 3.934143507230041955e-13 8.209868789001771182e-13
3.000000000000000000e+00 3.398454116200497680e-11 1.854376517528865564e-12 7.383967152425301291e-13 3.274545496669075565e-14 3.333815180383123675e-14 1.481962051568649249e-11 3.587897564710176004e-12 2.314781287834426531e-13 1.148625434130716827e-13 1.271812911117510823e-11 3.858018735436755817e-13 2.135052281583752917e-13 8.948850912161724431e-13 4.120148986699437387e-13 8.811989120479762891e-13
4.000000000000000000e+00 3.444334927134708139e-11 1.908918203302553007e-12 7.373505979338964241e-13 3.538291273840109806e-14 3.427621356643487748e-14 1.515481857099706080e-11 3.652902759552677823e-12 2.381802300516587241e-13 1.235274051967170309e-13 1.296283139058778889e-11 4.000518431899000239e-13 2.245548326458128580e-13 9.524291634603802515e-13 4.273444887530162516e-13 9.184142815529651674e-13
5.000000000000000000e+00 3.492851736926317003e-11 1.968367583097573774e-12 7.368760307256430380e-13 3.720843895607454313e-14 3.441977821533663820e-14 1.556940119298664352e-11 3.711279091192424186e-12 2.439828662457573218e-13 1.292436781635603191e-13 1.321571556614336913e-11 4.157006516712353838e-13 2.336907466616329048e-13 1.003929040468012485e-12 4.421890430955960920e-13 9.469268200198911361e-13
6.000000000000000000e+00 3.528479155654171428e-11 2.028788346203636543e-12 7.354842939008593534e-13 3.849143503738217046e-14 3.439101479900365548e-14 1.602218484027628133e-11 3.756475179987831447e-12 2.498451921519936277e-13 1.334982356833746094e-13 1.342905746550329962e-11 4.325063052464805561e-13 2.419316233493240191e-13 1.051951639267000679e-12 4.569020426113836354e-13 9.730302922338148057e-13
7.000000000000000000e+00 3.547509902136470318e-11 2.088966067612142069e-12 7.319212486746126949e-13 3.946169504919000942e-14 3.439749041361113334e-14 1.649453575911575540e-11 3.782391663634288532e-12 2.558397033534767653e-13 1.370320549701687516e-13 1.357120694192484490e-11 4.499387093481894440e-13 2.498381309678381668e-13 1.097721091632285070e-12 4.715376350344968809e-13 9.993169966675921456e-13
8.000000000000000000e+00 3.551318175526346509e-11 2.148598608224887812e-12 7.257329156066708058e-13 4.026217554955849488e-14 3.449572420849874998e-14 1.697617404118492591e-11 3.787002869053382383e-12 2.619299159766127260e-13 1.402333510253266083e-13 1.363122925167638757e-11 4.676544698324458902e-13 2.576808878171127195e-13 1.141941470452031061e-12 4.861336032358152717e-13 1.026730838424884746e-12
9.000000000000000000e+00 3.542935300394979591e-11 2.207518411179353808e-12 7.170281375233328753e-13 4.097591747629807999e-14 3.469327791285296275e-14 1.745990773073955865e-11 3.771534001689384400e-12 2.680983271630099329e-13 1.433150102501472290e-13 1.361260618527076230e-11 4.854715006351803075e-13 2.655793178261315723e-13 1.185048390488207292e-12 5.007257519641226923e-13 1.055513214791808344e-12
1.000000000000000000e+01 3.525521560603483226e-11 2.265442231065528589e-12 7.061981886119815871e-13 4.165104772088296752e-14 3.498298679535281872e-14 1.793954596795557029e-11 3.738912770244444809e-12 2.743488467847549971e-13 1.463954910227907822e-13 1.352611919157131680e-11 5.033028021606437095e-13 2.735760303871933815e-13 1.227320949509334684e-12 5.153398136253896198e-13 1.085619064377077623e-12
1.100000000000000000e+01 3.501797272978247803e-11 2.321943519458758390e-12 6.937272676157634737e-13 4.231581461663371197e-14 3.535387516335294144e-14 1.840923745941755322e-11 3.692615124188577506e-12 2.806932492885985174e-13 1.495389993827595235e-13 1.338496377554681658e-11 5.211104219970799527e-13 2.816755231405370691e-13 1.268940967364836786e-12 5.299893966372640325e-13 1.116897343376703344e-12
1.200000000000000000e+01 3.473905600378029832e-11 2.376507345876288989e-12 6.800889522202564472e-13 4.298685708919147227e-14 3.579461362279707733e-14 1.886345045838700377e-11 3.636011467618815783e-12 2.871417935118498365e-13 1.527773961747812799e-13 1.320205958984012521e-11 5.388788998804748179e-13 2.898645690122074197e-13 1.310027141176998149e-12 5.446780310328725936e-13 1.149168543646889803e-12
1.300000000000000000e+01 3.443447771257003772e-11 2.428601793067249643e-12 6.656993185500596733e-13 4.367376440336709413e-14 3.629462844417031213e-14 1.929717686492391928e-11 3.572067277568083375e-12 2.936990991690999384e-13 1.561230503963064157e-13 1.298882862791546765e-11 5.566012558135855767e-13 2.981229117224841627e-13 1.350655903905602004e-12 5.594022192635204167e-13 1.182256919408256328e-12
1.400000000000000000e+01 3.411574027325381360e-11 2.477737256617179873e-12 6.509020295204317241e-13 4.438169762721347327e-14 3.684444315750725538e-14 1.970614721653985883e-11 3.503249078430609930e-12 3.003633342121138806e-13 1.595767359560777844e-13 1.275480456611371172e-11 5.742722494113336879e-13 3.064287276825078100e-13 1.390874818917748699e-12 5.741541024753600723e-13 1.216002637281220398e-12
1.500000000000000000e+01 3.379081737861779527e-11 2.523505016290693256e-12 6.359694654590551289e-13 4.511298159008269567e-14 3.743574279431431881e-14 2.008696917577361856e-11 3.431534542697273344e-12 3.071270316887841029e-13 1.631325932327197367e-13 1.250765889298063399e-11 5.918856079579006754e-13 3.147612667596454106e-13 1.430711578207057964e-12 5.889233985741989387e-13 1.250265096059815505e-12
1.600000000000000000e+01 3.346502663385085447e-11 2.565596078565816535e-12 6.211107978468352576e-13 4.586812096042651674e-14 3.806132487661035194e-14 2.043717258555855634e-11 3.358467746738205348e-12 3.139785074231173363e-13 1.667812601938490218e-13 1.225340709785529872e-11 6.094332829014062507e-13 3.231019969644687397e-13 1.470180269736715455e-12 6.036986847087822106e-13 1.284922521056224564e-12
1.700000000000000000e+01 3.314174395901435094e-11 2.603804917884754220e-12 6.064822226977363615e-13 4.664647189212847108e-14 3.871500195872001502e-14 2.075517658298885832e-11 3.285228341242598449e-12 3.209033379941795628e-13 1.705118288761062168e-13 1.199667087771648427e-11 6.269056429101270431e-13 3.314349761124328437e-13 1.509285849949960169e-12 6.184682009482075366e-13 1.319870159021053031e-12
1.800000000000000000e+01 3.282296236275210901e-11 2.638023264860159512e-12 5.921970454903614030e-13 4.744669426887952040e-14 3.939148666565773927e-14 2.104020414734455225e-11 3.212699526856211027e-12 3.278856540279313980e-13 1.743130391047284728e-13 1.174093678536306089e-11 6.442920176980132936e-13 3.397468390080333416e-13 1.548027374363113456e-12 6.332203378242098614e-13 1.355018112710299096e-12
1.900000000000000000e+01 3.250971611472201868e-11 2.668228288330947407e-12 5.783346425789455791e-13 4.826705748794460426e-14 4.008627560303365400e-14 2.129216820288940278e-11 3.141528458214540991e-12 3.349091655432850232e-13 1.781739768461832779e-13 1.148878628312412392e-11 6.615812987631059222e-13 3.480266053161612452e-13 1.586400334215337457e-12 6.479439262839905077e-13 1.390289252190684351e-12
2.000000000000000000e+01 3.220239548214169323e-11 2.694468356329680342e-12 5.649480019437941525e-13 4.910564570427801468e-14 4.079554063755498729e-14 2.151154795418334194e-11 3.072177147312520394e-12 3.419579171086918598e-13 1.820844536173553676e-13 1.124208962695104118e-11 6.787624654809198566e-13 3.562654145448257475e-13 1.624398333177065135e-12 6.626284071763270378e-13 1.425617360902968117e-12
2.100000000000000000e+01 3.190097565967533812e-11 2.716848478149530176e-12 5.520698666296549923e-13 4.996049319971664948e-14 4.151603134923508813e-14 2.169926809173939070e-11 3.004964038975477823e-12 3.490168061993625367e-13 1.860351839243120820e-13 1.100216420389382959e-11 6.958249910332294962e-13 3.644562422710238815e-13 1.662014270668123540e-12 6.772639271327203468e-13 1.460945549670623795e-12
2.200000000000000000e+01 3.160518005646822530e-11 2.735516677852520366e-12 5.397176375357308257e-13 5.082967111721864572e-14 4.224498969704657994e-14 2.185658838080279977e-11 2.940097303953918905e-12 3.560719096963351393e-13 1.900178380848728305e-13 1.076990132733532872e-11 7.127591251793588324e-13 3.725936243860798205e-13 1.699241155203789997e-12 6.918413881395109836e-13 1.496224920454541232e-12
2.300000000000000000e+01 3.131459430651173281e-11 2.750651943557367799e-12 5.278972319486323019e-13 5.171134053705791146e-14 4.298007644802680713e-14 2.198500734626179464e-11 2.877701153825565338e-12 3.631106631450433918e-13 1.940250211789957087e-13 1.054586648538095771e-11 7.295560694545816070e-13 3.806734019195344343e-13 1.736072641416572772e-12 7.063524664048923002e-13 1.531413444455265584e-12
2.400000000000000000e+01 3.102874388102422830e-11 2.762453997738404694e-12 5.166060902172204780e-13 5.260378251165983923e-14 4.371930822846398878e-14 2.208618120591242266e-11 2.817836454027963270e-12 3.701219319143151378e-13 1.980502109908400177e-13 1.033037792177505126e-11 7.462080663862865711e-13 3.886924916155754979e-13 1.772503362570793910e-12 7.207896095450013456e-13 1.566475017082851966e-12
2.500000000000000000e+01 3.074714522029537106e-11 2.771134889869463834e-12 5.058355010032188446e-13 5.350541256863613027e-14 4.446100383296282091e-14 2.216185762510734575e-11 2.760516765887156160e-12 3.770960062988031467e-13 2.020876758453620222e-13 1.012356786298137774e-11 7.627084241821716054e-13 3.966486835882091456e-13 1.808529113737529508e-12 7.351460175935411985e-13 1.601378656234425558e-12
2.600000000000000000e+01 3.046933789586064109e-11 2.776912276938377636e-12 4.955723883582881800e-13 5.441478495996957063e-14 4.520373845186693702e-14 2.221382299316109048e-11 2.705720769013196659e-12 3.840245456190419188e-13 2.061323853042651351e-13 9.925430012450342964e-12 7.790514955761057624e-13 4.045404653788186269e-13 1.844146927836388805e-12 7.494156115369597612e-13 1.636097816031193055e-12
2.700000000000000000e+01 3.019490341250430964e-11 2.780004192528292268e-12 4.858006773888619610e-13 5.533059033400056173e-14 4.594630461385562110e-14 2.224386152290085569e-11 2.653401840580753244e-12 3.909004902388955877e-13 2.101799214756895901e-13 9.735856261684361486e-12 7.952326259457348561e-13 4.123668707206192715e-13 1.879355076587665109e-12 7.635929921808512948e-13 1.670609793847887384e-12
2.800000000000000000e+01 2.992347478725202339e-11 2.780625084385915842e-12 4.765023318794077784e-13 5.625164936405053548e-14 4.668767881205016825e-14 2.225372437327401931e-11 2.603495413526825723e-12 3.977179553702416968e-13 2.142263953203607161e-13 9.554664976801110706e-12 8.112480823284332952e-13 4.201273508371620967e-13 1.914153020458518334e-12 7.776733917015049819e-13 1.704895213427769287e-12
2.900000000000000000e+01 2.965473991988997310e-11 2.778982905221117979e-12 4.676581376299617506e-13 5.717690405806164365e-14 4.742699295002081945e-14 2.224510706680705173e-11 2.555924606004272339e-12 4.044721165477324958e-13 2.182683701949285556e-13 9.381622724858123704e-12 8.270949719337839509e-13 4.278216659337352085e-13 1.948541325490111836e-12 7.916526199806728545e-13 1.738937570936281041e-12
3.000000000000000000e+01 2.938844092437705430e-11 2.775277059817591593e-12 4.592482893054971881e-13 5.810540790520914638e-14 4.816350989217531626e-14 2.221963363614250694e-11 2.510604508757820778e-12 4.111590936029713914e-13 2.223027935449646697e-13 9.216460902504196210e-12 8.427711562907460300e-13 4.354497945526093089e-13 1.982521560111354434e-12 8.055270076355764886e-13 1.772722834001984421e-12
