T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 5.859559125279863741e-12 1.019433926798322027e-12 5.264996508572425776e-13 1.201448605545702817e-14 2.656493000206284439e-14 9.800417326313514777e-12 4.909272307081897784e-12 7.223340087778873307e-14 7.828657808683152056e-14 9.372258785434579688e-12 1.788359246816261578e-13 6.285692343005858332e-13 3.027507676348426337e-13 2.709950300500033862e-13 3.961168645665059734e-13
2.000000000000000000e+00 5.700279310320663862e-12 8.892077307695796269e-13 4.457578864129987493e-13 2.423415748758468362e-14 2.069448775391477229e-14 9.008823614041729400e-12 3.651580161596578790e-12 1.341668762359887923e-13 8.576753257792357561e-14 8.510734803482175894e-12 2.511079419920105246e-13 4.661514111215621705e-13 3.948980613075549839e-13 3.034615431422898657e-13 5.809793304857622906e-13
3.000000000000000000e+00 5.983555837549284720e-12 8.466159238686649668e-13 4.287348291479153471e-13 3.244701201345409048e-14 1.845355655019971578e-14 8.563526669217485747e-12 3.295111583271101914e-12 1.654995242768924108e-13 8.909252116122738807e-14 8.419904904146200916e-12 2.809462638807131700e-13 3.780185521237090379e-13 4.498728318047682862e-13 3.095886605126665008e-13 6.629505963034026049e-13
4.000000000000000000e+00 6.285161966872810509e-12 8.346201773588335843e-13 4.285970165306516539e-13 3.767934504273472961e-14 1.803397377679136582e-14 8.348636397677428906e-12 3.132115319650345415e-12 1.855459867889693568e-13 9.162193964029969422e-14 8.505687966343929223e-12 2.961486492480361600e-13 3.325626694518026442e-13 4.928537716687840566e-13 3.138881980121102112e-13 7.183156193540056354e-13
5.000000000000000000e+00 6.562638008132900015e-12 8.445934471278368717e-13 4.332215635683397979e-13 4.095315634041414065e-14 1.837705592132535221e-14 8.273081858118203757e-12 3.048277139291531011e-12 1.991416509160358510e-13 9.369252360410912235e-14 8.644462474418983489e-12 3.068649245252387006e-13 3.068191244174090296e-13 5.310529957274313511e-13 3.205426512351920242e-13 7.654491671099716173e-13
6.000000000000000000e+00 6.795959393970143040e-12 8.688654604266531330e-13 4.379269798208606153e-13 4.300705306567983167e-14 1.906489495805681663e-14 8.286290748976364653e-12 2.999397797811215743e-12 2.084544841491400594e-13 9.552936235958529172e-14 8.775448391574668283e-12 3.167417113768542758e-13 2.914634538914163874e-13 5.678538822669934888e-13 3.296071331140972578e-13 8.087472511633280424e-13
7.000000000000000000e+00 6.979496851202316811e-12 9.014959889722994506e-13 4.407994340398517265e-13 4.432412336872263371e-14 1.991465313469680576e-14 8.359210981711984252e-12 2.962789039154547815e-12 2.150183770846682867e-13 9.729130448375579817e-14 8.866899360473839414e-12 3.268781633375556770e-13 2.821746020501061377e-13 6.046578588136017944e-13 3.402522084496457637e-13 8.498967725833325683e-13
8.000000000000000000e+00 7.117278098525268088e-12 9.384607498368742181e-13 4.412657279901426552e-13 4.520809791377648610e-14 2.083292065134291025e-14 8.473487081993766846e-12 2.927135771075662081e-12 2.199225627583617671e-13 9.909336950461523987e-14 8.907259672772685710e-12 3.375054733517624114e-13 2.767126517673702873e-13 6.418800669738164637e-13 3.517210988609376307e-13 8.897949974016088505e-13
9.000000000000000000e+00 7.217309294688868440e-12 9.771515749059294421e-13 4.394074306892627993e-13 4.584778151702511423e-14 2.176831335060755296e-14 8.616281771654236914e-12 2.887595997438144143e-12 2.238937850735682967e-13 1.010125043753075119e-13 8.897052799752767853e-12 3.485904763987217268e-13 2.738197699612710109e-13 6.795084881930931760e-13 3.635162667575325535e-13 9.289376160317420493e-13
1.000000000000000000e+01 7.288136500692695991e-12 1.015884057534764395e-12 4.355806611082139183e-13 4.636025817583565852e-14 2.269371807936206894e-14 8.777856312769718043e-12 2.842792938308659043e-12 2.273936686063072578e-13 1.030926697915018962e-13 8.842662804745153297e-12 3.600370457704686264e-13 2.727434647558421810e-13 7.173824239839057598e-13 3.753599581570202747e-13 9.675773208009721852e-13
1.100000000000000000e+01 7.337319627191759090e-12 1.053559786415818132e-12 4.302159226592939202e-13 4.681794415937138564e-14 2.359697758748503407e-14 8.950437476721813739e-12 2.793033059978728467e-12 2.307046390034066377e-13 1.053519958618436540e-13 8.752493416238058217e-12 3.717480231243797015e-13 2.730082398133328701e-13 7.553167521704883015e-13 3.871190564548793504e-13 1.005823813604550094e-12
1.200000000000000000e+01 7.370963025261837052e-12 1.089458781840475275e-12 4.237235583163242000e-13 4.726522758931408181e-14 2.447474180778326483e-14 9.127688434877694238e-12 2.739319857394576642e-12 2.339934545194733548e-13 1.077904773155652479e-13 8.634939038931244006e-12 3.836406831560432035e-13 2.742984366047658684e-13 7.931494516253441629e-13 3.987448940523764920e-13 1.043708694946495608e-12
1.300000000000000000e+01 7.393728496517899385e-12 1.123115271199234396e-12 4.164564604271883304e-13 4.772872463259816683e-14 2.532828677946010696e-14 9.304452749449974545e-12 2.682844194127644809e-12 2.373541997347613807e-13 1.103967448777373016e-13 8.497474481069962708e-12 3.956478066868529750e-13 2.763949114383079839e-13 8.307541663640034327e-13 4.102338454274638761e-13 1.081225049563231671e-12
1.400000000000000000e+01 7.409032170546877644e-12 1.154241755004971142e-12 4.087013051348503332e-13 4.822367359703920610e-14 2.616084307831578389e-14 9.476608034291800618e-12 2.624742209142501406e-12 2.408360639984148702e-13 1.131532932471596476e-13 8.346355506682163926e-12 4.077151418253282042e-13 2.791393136719846885e-13 8.680386320380414213e-13 4.216037688318460435e-13 1.118350049358460451e-12
1.500000000000000000e+01 7.419287151131459440e-12 1.182680087906325430e-12 4.006825953484511545e-13 4.875798457569976645e-14 2.697604612768977598e-14 9.640953654981316907e-12 2.565995926083831010e-12 2.444608592097134119e-13 1.160401468066851881e-13 8.186620097610159054e-12 4.197986173604109877e-13 2.824131616222535935e-13 9.049385916090468263e-13 4.328807042615096809e-13 1.155057016197549259e-12
1.600000000000000000e+01 7.426133844103880610e-12 1.208367805033326952e-12 3.925714714388231331e-13 4.933484828564690073e-14 2.777715065891878845e-14 9.795103137359546034e-12 2.507406116256144255e-12 2.482339367143217454e-13 1.190372189082516072e-13 8.022218805505870702e-12 4.318621459883838724e-13 2.861251501292459012e-13 9.414112326418440963e-13 4.440917466629665355e-13 1.191321334281518170e-12
1.700000000000000000e+01 7.430637090553448643e-12 1.231313485813604837e-12 3.844954480388958551e-13 4.995444355542265609e-14 2.856671965714829833e-14 9.937374370159766171e-12 2.449599217197557823e-12 2.521509578347531866e-13 1.221256898942443090e-13 7.856185947713181199e-12 4.438760586320549596e-13 2.902031866232485169e-13 9.774295662707401386e-13 4.552614953887581621e-13 1.227122956908410540e-12
1.800000000000000000e+01 7.433445751486155145e-12 1.251577929207479448e-12 3.765474137970742483e-13 5.061506912598016604e-14 2.934657975246266729e-14 1.006667976694018713e-11 2.393048304050555648e-12 2.562020875938437034e-13 1.252887016292218776e-13 7.690809758880444933e-12 4.558160132428900709e-13 2.945892241648861648e-13 1.012978047260185432e-12 4.664105200781863253e-13 1.262447125381191215e-12
1.900000000000000000e+01 7.434917284645403784e-12 1.269259423273746013e-12 3.687933079170295759e-13 5.131389986297370849e-14 3.011790731295371141e-14 1.018242089337580907e-11 2.338098060537446542e-12 2.603745914877375192e-13 1.285116060095542550e-13 7.527784002259121479e-12 4.676622145973263521e-13 2.992357957166174539e-13 1.048049315398009070e-12 4.775549328245376285e-13 1.297284211206869427e-12
2.000000000000000000e+01 7.435212334528621753e-12 1.284482126101298302e-12 3.612783887346632720e-13 5.204749309607973664e-14 3.088136392784463857e-14 1.028439150737783797e-11 2.284989006027575629e-12 2.646544405021931906e-13 1.317819421362759724e-13 7.368335717636162770e-12 4.793988227400676287e-13 3.041036118872025514e-13 1.082641825404521372e-12 4.887065427552249100e-13 1.331629174350884534e-12
2.100000000000000000e+01 7.434364842346708294e-12 1.297386926382237817e-12 3.540322206084814461e-13 5.281212604569473645e-14 3.163723687552890391e-14 1.037269150529118192e-11 2.233878997732584847e-12 2.690272971984652529e-13 1.350892633782702097e-13 7.213329443233894837e-12 4.910134706300757397e-13 3.091598419531344759e-13 1.116758138797036886e-12 4.998732938696725496e-13 1.365480892658802627e-12
2.200000000000000000e+01 7.432332804984296029e-12 1.308124324342417218e-12 3.470725755712076702e-13 5.360401777343171620e-14 3.238556327516205986e-14 1.044765282597250412e-11 2.184861415478327257e-12 2.734791131515025810e-13 1.384248942654174591e-13 7.063350565677571621e-12 5.024968442871011602e-13 3.143768462240332601e-13 1.150403694090786434e-12 5.110598168636278828e-13 1.398841487092906954e-12
2.300000000000000000e+01 7.429034107231628368e-12 1.316848967165963262e-12 3.404084519119806031e-13 5.441947171220435390e-14 3.312623006218050016e-14 1.050977725963812281e-11 2.137980095468315855e-12 2.779964808350856344e-13 1.417816671501280676e-13 6.918771126647355489e-12 5.138423006583399174e-13 3.197312150269138706e-13 1.183585918143075688e-12 5.222680008598436562e-13 1.431715698114800276e-12
2.400000000000000000e+01 7.424371074636170599e-12 1.323715533200080499e-12 3.340423911326544594e-13 5.525496353889313723e-14 3.385904912311932758e-14 1.055968538795222866e-11 2.093241358914215316e-12 2.825668295935899731e-13 1.451536677585805310e-13 6.779801335751766109e-12 5.250455118629895470e-13 3.252030219428567248e-13 1.216313580259528706e-12 5.334975347014667298e-13 1.464110333079020833e-12
