	0	1	2	3	4
7280	3.1000000000	90.0000000000	0.0000000000	180.0000000000	384.1690430946
4121	3.1000000000	0.0000000000	60.0000000000	90.0000000000	107.8307722487
7279	3.0000000000	90.0000000000	0.0000000000	180.0000000000	487.4249571059
1748	3.0000000000	0.0000000000	60.0000000000	30.0000000000	110.0047465938
225	3.4000000000	90.0000000000	0.0000000000	0.0000000000	139.0813623005
6207	3.4000000000	0.0000000000	30.0000000000	150.0000000000	102.2547401014
223	3.2000000000	90.0000000000	0.0000000000	0.0000000000	287.8334009809
5021	3.2000000000	0.0000000000	30.0000000000	120.0000000000	104.3029144398
7282	3.3000000000	90.0000000000	0.0000000000	180.0000000000	205.2860694569
5918	3.3000000000	0.0000000000	0.0000000000	150.0000000000	130.9834619635
7278	2.9000000000	90.0000000000	0.0000000000	180.0000000000	581.3364457452
1747	2.9000000000	0.0000000000	60.0000000000	30.0000000000	163.9564713511
219	2.8000000000	90.0000000000	0.0000000000	0.0000000000	637.5854988084
874	2.8000000000	0.0000000000	90.0000000000	0.0000000000	253.9215730607
4941	2.7000000000	90.0000000000	0.0000000000	120.0000000000	738.8344419870
7923	2.7000000000	0.0000000000	90.0000000000	180.0000000000	327.4549259255
4940	2.6000000000	90.0000000000	0.0000000000	120.0000000000	1011.4624094945
872	2.6000000000	0.0000000000	90.0000000000	0.0000000000	391.6649365894
4939	2.5000000000	90.0000000000	0.0000000000	120.0000000000	1304.4087829764
7921	2.5000000000	0.0000000000	90.0000000000	180.0000000000	462.0597526443
5619	3.1000000000	0.0000000000	90.0000000000	120.0000000000	145.0630382130
6060	3.1000000000	60.0000000000	0.0000000000	150.0000000000	297.2313239508
5618	3.0000000000	0.0000000000	90.0000000000	120.0000000000	233.7913222487
2470	3.0000000000	60.0000000000	0.0000000000	60.0000000000	192.0991055271
7139	3.4000000000	30.0000000000	0.0000000000	180.0000000000	139.0813614209
6493	3.2000000000	0.0000000000	60.0000000000	150.0000000000	142.8168929279
6061	3.2000000000	60.0000000000	0.0000000000	150.0000000000	204.5842363362
6206	3.3000000000	0.0000000000	30.0000000000	150.0000000000	160.2859451573
1320	3.3000000000	60.0000000000	0.0000000000	30.0000000000	130.9796154499
5617	2.9000000000	0.0000000000	90.0000000000	120.0000000000	356.6339783425
3669	2.9000000000	60.0000000000	0.0000000000	90.0000000000	182.0068229882
5616	2.8000000000	0.0000000000	90.0000000000	120.0000000000	519.8685289400
3668	2.8000000000	60.0000000000	0.0000000000	90.0000000000	343.6562299219
4417	2.7000000000	0.0000000000	90.0000000000	90.0000000000	732.8624536836
3667	2.7000000000	60.0000000000	0.0000000000	90.0000000000	570.1972204996
4416	2.6000000000	0.0000000000	90.0000000000	90.0000000000	1040.1168409500
3666	2.6000000000	60.0000000000	0.0000000000	90.0000000000	881.0251224398
4415	2.5000000000	0.0000000000	90.0000000000	90.0000000000	1447.0703014737
3590	2.5000000000	30.0000000000	0.0000000000	90.0000000000	1295.6834301339
729	3.1000000000	60.0000000000	60.0000000000	0.0000000000	116.3184531638
655	3.0000000000	30.0000000000	60.0000000000	0.0000000000	188.3260783140
7283	3.4000000000	90.0000000000	0.0000000000	180.0000000000	139.0813620790
152	3.4000000000	60.0000000000	0.0000000000	0.0000000000	139.0813620790
7209	3.2000000000	60.0000000000	0.0000000000	180.0000000000	287.8334009809
511	3.2000000000	90.0000000000	30.0000000000	0.0000000000	207.7940172455
7210	3.3000000000	60.0000000000	0.0000000000	180.0000000000	205.2860694569
512	3.3000000000	90.0000000000	30.0000000000	0.0000000000	136.8133127881
7206	2.9000000000	60.0000000000	0.0000000000	180.0000000000	581.3364457452
1100	2.9000000000	90.0000000000	90.0000000000	0.0000000000	173.6964975467
7205	2.8000000000	60.0000000000	0.0000000000	180.0000000000	637.5854985870
8073	2.7000000000	60.0000000000	90.0000000000	180.0000000000	327.4549261439
948	2.7000000000	30.0000000000	90.0000000000	0.0000000000	327.4549257041
8072	2.6000000000	60.0000000000	90.0000000000	180.0000000000	391.6649368077
1022	2.6000000000	60.0000000000	90.0000000000	0.0000000000	391.6649363711
8071	2.5000000000	60.0000000000	90.0000000000	180.0000000000	462.0597535207
1021	2.5000000000	60.0000000000	90.0000000000	0.0000000000	462.0597533024
8146	2.5000000000	90.0000000000	90.0000000000	180.0000000000	462.0597530840
7211	3.4000000000	60.0000000000	0.0000000000	180.0000000000	139.0813620790
7067	3.4000000000	0.0000000000	0.0000000000	180.0000000000	139.0813620790
80	3.4000000000	30.0000000000	0.0000000000	0.0000000000	139.0813623005
7996	2.5000000000	30.0000000000	90.0000000000	180.0000000000	462.0597530840
2615	2.5000000000	0.0000000000	30.0000000000	60.0000000000	1086.8943901946
2990	2.5000000000	30.0000000000	60.0000000000	60.0000000000	1091.9266688987
3221	3.1000000000	0.0000000000	90.0000000000	60.0000000000	145.0630375518
5321	3.2000000000	0.0000000000	60.0000000000	120.0000000000	129.6816958219
5838	2.5000000000	90.0000000000	90.0000000000	120.0000000000	1145.6432775106
4421	3.1000000000	0.0000000000	90.0000000000	90.0000000000	139.1509087611
4640	2.5000000000	90.0000000000	90.0000000000	90.0000000000	1284.6140454446
6705	2.8000000000	90.0000000000	60.0000000000	150.0000000000	283.7254164198
1176	3.3000000000	0.0000000000	0.0000000000	30.0000000000	130.9834621850
1960	2.8000000000	90.0000000000	60.0000000000	30.0000000000	283.7254164198
