T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 4.185635513898193729e-11 1.591258099269031984e-12 5.725523797597899808e-13 9.305502862376090581e-15 3.155090944920229977e-15 1.275975534315734941e-11 3.653417514887183244e-12 5.425886294370534293e-14 3.386601766548121309e-14 1.015009214629232613e-11 1.314114981308477024e-13 9.071199047602426150e-14 3.047299627945206092e-13 1.007576679037586112e-13 2.949235171062605344e-13
2.000000000000000000e+00 4.115502890905040881e-11 1.532341197885348507e-12 5.697234272025469819e-13 1.893976796298463953e-14 5.678423026962768693e-15 1.325539890808772897e-11 3.110794136428427382e-12 1.002858989250995703e-13 4.963255507721478431e-14 9.567865714892273431e-12 2.187189626147987324e-13 1.154548901194369423e-13 5.001686578892569092e-13 1.374759155765698230e-13 4.377642004878414245e-13
3.000000000000000000e+00 4.206659122765329398e-11 1.558088205651978157e-12 5.737933242183433235e-13 2.183496255264514336e-14 7.282160600330096357e-15 1.380308787990096585e-11 2.947008525448248626e-12 1.138011193017178004e-13 5.565086370857159274e-14 9.539143566151496443e-12 2.495466868804188386e-13 1.221381494005145986e-13 5.989946198802529407e-13 1.575590064955618167e-13 5.011913107217222909e-13
4.000000000000000000e+00 4.321097917561653314e-11 1.604852174017257144e-12 5.770621297966269881e-13 2.248324065744038258e-14 8.340424542717404858e-15 1.438672599341407050e-11 2.912774450671673547e-12 1.186292169364828170e-13 5.882559292511714989e-14 9.734651614723695391e-12 2.634363315156500724e-13 1.258704937455746343e-13 6.667252091140831713e-13 1.726173338012756522e-13 5.465940660481315809e-13
5.000000000000000000e+00 4.422549072846418638e-11 1.658085334904694161e-12 5.785467853549548286e-13 2.250737085319604331e-14 9.104757172453337473e-15 1.498398409277834054e-11 2.923026797530456408e-12 1.214630650017672167e-13 6.123563606067437465e-14 1.000140704988514044e-11 2.723715625302133705e-13 1.291549298327670856e-13 7.207281951419520768e-13 1.853807607472126625e-13 5.856981308971007895e-13
6.000000000000000000e+00 4.497456858911078265e-11 1.713584138616401224e-12 5.775896958570626649e-13 2.243858449164640106e-14 9.723810532717596270e-15 1.558622244990918462e-11 2.942397171876865343e-12 1.240921803545158989e-13 6.348847221593964140e-14 1.025536901549744767e-11 2.800729635199339212e-13 1.325317217173997034e-13 7.674257743917237469e-13 1.969682485408795693e-13 6.216759404757443985e-13
7.000000000000000000e+00 4.544051235287060789e-11 1.770008497075590176e-12 5.738995582718697907e-13 2.244764943369791519e-14 1.026855291432141026e-14 1.618951165416675622e-11 2.955085730294281500e-12 1.270220975230305249e-13 6.574537358455559027e-14 1.045344886893205487e-11 2.877773596931658561e-13 1.361133069886830183e-13 8.098491422870271216e-13 2.079407852443849930e-13 6.558294524346443007e-13
8.000000000000000000e+00 4.565906397303762446e-11 1.826762085765798253e-12 5.676102279381450010e-13 2.257778410491601538e-14 1.077205653267123132e-14 1.679051875377143137e-11 2.955092284569233851e-12 1.303716663414094772e-13 6.803936750996857326e-14 1.058010351625240481e-11 2.958937305587994665e-13 1.399058244778239062e-13 8.496468858633456504e-13 2.185971376493323145e-13 6.888387249640575203e-13
9.000000000000000000e+00 4.568180070467403564e-11 1.883366527610087941e-12 5.591199344934208275e-13 2.282642584867336985e-14 1.125129552312658516e-14 1.738531139163809133e-11 2.941458319032065265e-12 1.341301160839264541e-13 7.037169809025645826e-14 1.063592672870255738e-11 3.045261431025890609e-13 1.438896756663554716e-13 8.877851803296816391e-13 2.290974658211512151e-13 7.210974340479194979e-13
1.000000000000000000e+01 4.555858906640664308e-11 1.939296194028513540e-12 5.489251217061649606e-13 2.317655702710579418e-14 1.171631094959071637e-14 1.796919377854108049e-11 2.915576592873935189e-12 1.382450236121113160e-13 7.273881764623483410e-14 1.062931568494575606e-11 3.136609898082793697e-13 1.480421517804966481e-13 9.248529953581765909e-13 2.395259539940029902e-13 7.528450969391870395e-13
