   ENERGY (CM-1)    JTOTL  JSTEP  JTOTU      F    I         SIG(F,I)
   121.7560000          0      1      6      1    1          1137.43      
   121.8060000          0      1      7      1    1          1770.17      
   121.8560000          0      1      7      1    1          1624.80      
   121.9060000          0      1      7      1    1          793.749      
   121.9560000          0      1      8      1    1          1243.95      
   122.0060000          0      1      8      1    1          1206.78      
   122.0560000          0      1      8      1    1          845.914      
   122.1060000          0      1      9      1    1          1151.58      
   122.1560000          0      1      9      1    1          724.997      
   122.2060000          0      1      9      1    1          978.107      
   122.2560000          0      1      9      1    1          660.718      
   122.3060000          0      1      9      1    1          592.895      
   122.3560000          0      1      9      1    1          506.163      
   122.4060000          0      1     10      1    1          637.363      
   122.4560000          0      1     10      1    1          459.894      
   122.5060000          0      1     10      1    1          362.622      
   122.5560000          0      1     10      1    1          459.552      
   122.6060000          0      1     10      1    1          291.861      
   122.6560000          0      1     10      1    1          434.781      
   122.7060000          0      1     10      1    1          399.361      
   122.7560000          0      1     10      1    1          298.618      
   122.8060000          0      1     11      1    1          345.650      
   122.8560000          0      1     11      1    1          348.064      
   122.9060000          0      1     11      1    1          372.995      
   122.9560000          0      1     11      1    1          266.682      
   123.0060000          0      1     11      1    1          301.393      
   123.0560000          0      1     11      1    1          326.363      
   123.1060000          0      1     11      1    1          276.348      
   123.1560000          0      1     11      1    1          275.671      
   123.2060000          0      1     11      1    1          231.331      
   123.2560000          0      1     11      1    1          267.805      
   123.3060000          0      1     11      1    1          211.973      
   123.3560000          0      1     11      1    1          269.514      
   123.4060000          0      1     11      1    1          336.488      
   123.4560000          0      1     12      1    1          184.586      
   123.5060000          0      1     12      1    1          219.602      
   123.5560000          0      1     12      1    1          171.301      
   123.6060000          0      1     12      1    1          239.023      
   123.6560000          0      1     12      1    1          243.352      
   123.7060000          0      1     12      1    1          257.480      
   123.7560000          0      1     12      1    1          327.126      
   123.8060000          0      1     12      1    1          211.126      
   123.8560000          0      1     12      1    1          211.814      
   123.9060000          0      1     12      1    1          223.018      
   123.9560000          0      1     12      1    1          169.727      
   124.0060000          0      1     12      1    1          259.302      
   124.0560000          0      1     12      1    1          136.196      
   124.1060000          0      1     12      1    1          152.046      
   124.1560000          0      1     12      1    1          174.991      
   124.2060000          0      1     12      1    1          174.013      
   124.2560000          0      1     12      1    1          186.508      
   124.3060000          0      1     12      1    1          194.094      
   124.3560000          0      1     12      1    1          191.419      
   124.4060000          0      1     12      1    1          213.834      
   124.4560000          0      1     12      1    1          342.360      
   124.5060000          0      1     12      1    1          168.055      
   124.5560000          0      1     12      1    1          196.247      
   124.6060000          0      1     13      1    1          182.092      
   124.6560000          0      1     13      1    1          170.625      
   124.7060000          0      1     13      1    1          189.478      
   124.7560000          0      1     13      1    1          431.308      
   124.8060000          0      1     13      1    1          137.224      
   124.8560000          0      1     13      1    1          157.401      
   124.9060000          0      1     13      1    1          157.106      
   124.9560000          0      1     13      1    1          162.985      
   125.0060000          0      1     13      1    1          167.715      
   125.0560000          0      1     13      1    1          157.290      
   125.1060000          0      1     13      1    1          161.692      
   125.1560000          0      1     13      1    1          164.506      
   125.2060000          0      1     13      1    1          198.222      
   125.2560000          0      1     13      1    1          194.766      
   125.3060000          0      1     13      1    1          139.421      
   125.3560000          0      1     13      1    1          150.914      
