   ENERGY (CM-1)    JTOTL  JSTEP  JTOTU      F    I         SIG(F,I)
  5.0000000000E-02      0      1      6      1    1          2428.95      
  0.1000000000          0      1      7      1    1          904.325      
  0.1500000000          0      1      7      1    1          1046.81      
  0.2000000000          0      1      8      1    1          746.010      
  0.2500000000          0      1      8      1    1          627.887      
  0.3000000000          0      1      8      1    1          548.330      
  0.3500000000          0      1      9      1    1          489.084      
  0.4000000000          0      1      9      1    1          425.679      
  0.4500000000          0      1      9      1    1          402.063      
  0.5000000000          0      1      9      1    1          375.570      
  0.5500000000          0      1      9      1    1          336.589      
  0.6000000000          0      1     10      1    1          365.483      
  0.6500000000          0      1     10      1    1          303.045      
  0.7000000000          0      1     10      1    1          279.462      
  0.7500000000          0      1     10      1    1          291.724      
  0.8000000000          0      1     10      1    1          252.096      
  0.8500000000          0      1     10      1    1          237.651      
  0.9000000000          0      1     11      1    1          233.058      
  0.9500000000          0      1     11      1    1          213.017      
   1.000000000          0      1     11      1    1          210.354      
   1.050000000          0      1     11      1    1          204.492      
   1.100000000          0      1     11      1    1          202.892      
   1.150000000          0      1     11      1    1          182.782      
   1.200000000          0      1     11      1    1          183.787      
   1.250000000          0      1     11      1    1          168.501      
   1.300000000          0      1     11      1    1          327.075      
   1.350000000          0      1     11      1    1          161.169      
   1.400000000          0      1     12      1    1          165.573      
   1.450000000          0      1     12      1    1          164.561      
   1.500000000          0      1     12      1    1          157.767      
   1.550000000          0      1     12      1    1          126.176      
   1.600000000          0      1     12      1    1          145.441      
   1.650000000          0      1     12      1    1          147.710      
   1.700000000          0      1     12      1    1          146.381      
   1.750000000          0      1     12      1    1          143.191      
   1.800000000          0      1     12      1    1          149.236      
   1.850000000          0      1     12      1    1          154.413      
   1.900000000          0      1     12      1    1          130.998      
   1.950000000          0      1     12      1    1          132.683      
   2.000000000          0      1     12      1    1          132.219      
   2.050000000          0      1     12      1    1          131.404      
   2.100000000          0      1     13      1    1          132.381      
   2.150000000          0      1     13      1    1          131.803      
   2.200000000          0      1     13      1    1          120.552      
   2.250000000          0      1     13      1    1          123.297      
   2.300000000          0      1     13      1    1          123.207      
   2.350000000          0      1     13      1    1          122.337      
   2.400000000          0      1     13      1    1          122.183      
   2.450000000          0      1     13      1    1          122.232      
   2.500000000          0      1     13      1    1          181.989      
   2.550000000          0      1     13      1    1          113.278      
   2.600000000          0      1     13      1    1          114.072      
   2.650000000          0      1     13      1    1          112.600      
   2.700000000          0      1     13      1    1          113.526      
   2.750000000          0      1     13      1    1          96.1492      
