	0	1	2	3	4
768	3.2000000000	90.0000000000	0.0000000000	0.0000000000	410.4024810000
701	3.2000000000	0.0000000000	60.0000000000	90.0000000000	102.0872240000
992	3.4000000000	90.0000000000	0.0000000000	0.0000000000	221.7080280000
927	3.4000000000	0.0000000000	60.0000000000	150.0000000000	105.6219340000
1216	3.6000000000	90.0000000000	0.0000000000	0.0000000000	107.2199590000
1138	3.6000000000	0.0000000000	0.0000000000	180.0000000000	107.2199560000
880	3.3000000000	90.0000000000	0.0000000000	0.0000000000	305.8909230000
807	3.3000000000	0.0000000000	30.0000000000	120.0000000000	120.8540860000
1104	3.5000000000	90.0000000000	0.0000000000	0.0000000000	156.3469640000
1032	3.5000000000	0.0000000000	30.0000000000	150.0000000000	125.8702780000
662	3.1000000000	90.0000000000	0.0000000000	180.0000000000	534.4003740000
581	3.1000000000	0.0000000000	30.0000000000	60.0000000000	124.2470740000
545	3.0000000000	90.0000000000	0.0000000000	30.0000000000	686.9835760000
463	3.0000000000	0.0000000000	0.0000000000	90.0000000000	146.0938660000
437	2.9000000000	90.0000000000	0.0000000000	150.0000000000	945.1970780000
362	2.9000000000	0.0000000000	60.0000000000	0.0000000000	259.3007250000
323	2.8000000000	90.0000000000	0.0000000000	30.0000000000	1285.7660840000
258	2.8000000000	0.0000000000	60.0000000000	0.0000000000	286.0817030000
225	2.7000000000	90.0000000000	0.0000000000	150.0000000000	1744.5895830000
161	2.7000000000	0.0000000000	30.0000000000	180.0000000000	746.6393150000
131	2.6000000000	90.0000000000	0.0000000000	150.0000000000	2394.8287640000
64	2.6000000000	0.0000000000	0.0000000000	90.0000000000	1290.9784000000
50	2.5000000000	90.0000000000	0.0000000000	150.0000000000	3418.1229120000
3	2.5000000000	0.0000000000	0.0000000000	90.0000000000	1917.5434010000
709	3.2000000000	0.0000000000	90.0000000000	120.0000000000	157.8465930000
714	3.2000000000	30.0000000000	0.0000000000	60.0000000000	103.3299920000
913	3.4000000000	0.0000000000	0.0000000000	150.0000000000	150.8676320000
1222	3.6000000000	90.0000000000	0.0000000000	180.0000000000	107.2199560000
815	3.3000000000	0.0000000000	60.0000000000	150.0000000000	177.5082280000
797	3.3000000000	0.0000000000	0.0000000000	30.0000000000	231.9211280000
1110	3.5000000000	90.0000000000	0.0000000000	180.0000000000	156.3469600000
595	3.1000000000	0.0000000000	90.0000000000	60.0000000000	255.2136050000
604	3.1000000000	30.0000000000	0.0000000000	120.0000000000	205.6114320000
486	3.0000000000	0.0000000000	90.0000000000	150.0000000000	398.2517270000
374	2.9000000000	0.0000000000	90.0000000000	150.0000000000	638.0460650000
351	2.9000000000	0.0000000000	0.0000000000	90.0000000000	299.1267180000
269	2.8000000000	0.0000000000	90.0000000000	150.0000000000	986.2891400000
247	2.8000000000	0.0000000000	0.0000000000	90.0000000000	522.2034840000
171	2.7000000000	0.0000000000	90.0000000000	150.0000000000	1503.3841500000
151	2.7000000000	0.0000000000	0.0000000000	90.0000000000	841.2732010000
81	2.6000000000	0.0000000000	90.0000000000	150.0000000000	2303.2469130000
132	2.6000000000	90.0000000000	0.0000000000	180.0000000000	960.2456380000
13	2.5000000000	0.0000000000	90.0000000000	60.0000000000	2558.9856810000
690	3.2000000000	0.0000000000	0.0000000000	180.0000000000	410.4024800000
