T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 3.524800696883804570e-11 1.513780890725410807e-12 1.095448746197864140e-12 1.800155832661491669e-14 1.496075796201273061e-14 1.587515716484508931e-11 4.781474555332476387e-12 9.739294800002384393e-14 1.001671017265511193e-13 1.243858058911674352e-11 4.077240924789886664e-13 2.394824628747490806e-13 5.461543778807287317e-13 3.230456812005275945e-13 5.640718199615646158e-13
2.000000000000000000e+00 3.579956792792442952e-11 1.395875047083588428e-12 7.433156583121825968e-13 2.168334248534282532e-14 1.414740280393744832e-14 1.469990160717196581e-11 3.824303677147889039e-12 1.212565546591003618e-13 9.700047721169285538e-14 1.128257873741656932e-11 4.208159873961878984e-13 2.305862067507513948e-13 7.578959547068332961e-13 3.269592496276428332e-13 6.236081726168351626e-13
3.000000000000000000e+00 3.621930973801450446e-11 1.348307473451547472e-12 6.559967483394110639e-13 2.540760242040947096e-14 1.386848694271113785e-14 1.437554446755968054e-11 3.473752807236840628e-12 1.349639452456766333e-13 9.296998775199432031e-14 1.077264536189912305e-11 4.037676120470183878e-13 2.177980983142737458e-13 8.091224466859357020e-13 3.221155032339214950e-13 6.412576867032077877e-13
4.000000000000000000e+00 3.667762602373900680e-11 1.339446473540666897e-12 6.286527382075822485e-13 2.825173723417876102e-14 1.390799133681881700e-14 1.439710749005317172e-11 3.364224619861229121e-12 1.445546026038746557e-13 9.183339705415889738e-14 1.060917462374489273e-11 3.961953430552323598e-13 2.106105485387671592e-13 8.333208763954213086e-13 3.207323543613661041e-13 6.588301390624554303e-13
5.000000000000000000e+00 3.705531964463660319e-11 1.349551118001361438e-12 6.218608978677312908e-13 3.030223663443274564e-14 1.411472055422727665e-14 1.458391388334541028e-11 3.343574046831592479e-12 1.516051827627744426e-13 9.230988770374815393e-14 1.059096339687575769e-11 3.953616441356634522e-13 2.073330462222387075e-13 8.545509926366700244e-13 3.222568610614485391e-13 6.795801412672660614e-13
6.000000000000000000e+00 3.727721367576928539e-11 1.369010659893168793e-12 6.220625128113692945e-13 3.191933539291005044e-14 1.445323219061748676e-14 1.485890123274788972e-11 3.350409347424096652e-12 1.574638305939568239e-13 9.362314779776553335e-14 1.061372481600701364e-11 3.985050430649700040e-13 2.067202815817117823e-13 8.770754680220244592e-13 3.259942897164158187e-13 7.026806092708860510e-13
7.000000000000000000e+00 3.733087283445785798e-11 1.393638339675000695e-12 6.233250846283683098e-13 3.333954610948118302e-14 1.488985256490163288e-14 1.518429129011853116e-11 3.358010570707037306e-12 1.629348637086885626e-13 9.542100422610128794e-14 1.062374574365798061e-11 4.040805222068438987e-13 2.080442216492529785e-13 9.012739870549455641e-13 3.314364608187056519e-13 7.272310318628110939e-13
8.000000000000000000e+00 3.723795386430111135e-11 1.421412196331164345e-12 6.230997511337940066e-13 3.468508652241410643e-14 1.538919264529978984e-14 1.553912907056132391e-11 3.355511873226196377e-12 1.684235447454777927e-13 9.755029313321966398e-14 1.059787446871551722e-11 4.112473862568447734e-13 2.108425358126082615e-13 9.268236362195657733e-13 3.382192234149363595e-13 7.526629752781346813e-13
9.000000000000000000e+00 3.703113450776411688e-11 1.451128251727583973e-12 6.205299049704340164e-13 3.601266596940691607e-14 1.592213407170181505e-14 1.591008429908961024e-11 3.339775847733408557e-12 1.741067065522508257e-13 9.994052986464110590e-14 1.053040099310747737e-11 4.195293903793695474e-13 2.147927607725923411e-13 9.533751737066628886e-13 3.460746170541696815e-13 7.786563249665580886e-13
1.000000000000000000e+01 3.674239440451021504e-11 1.481906907349376676e-12 6.155784252950964693e-13 3.734604607429983487e-14 1.646856291767439840e-14 1.628742589695866031e-11 3.311280363607015056e-12 1.800421400142868912e-13 1.025539279118749239e-13 1.042435914317203979e-11 4.286383340173710844e-13 2.196564088680538669e-13 9.806685038294296601e-13 3.547998793817180695e-13 8.050350986350268514e-13
1.100000000000000000e+01 3.639857757854125270e-11 1.513020304001154938e-12 6.085618894822055196e-13 3.869348571392598632e-14 1.701643150850437969e-14 1.666329875061848551e-11 3.271982044439357022e-12 1.862298223754016123e-13 1.053656279000566385e-13 1.028636638978848468e-11 4.383854859797238063e-13 2.252518280168740236e-13 1.008525248262049942e-12 3.642379496699467051e-13 8.317000422539793450e-13
1.200000000000000000e+01 3.602050330952551965e-11 1.543838971765206642e-12 5.999116610589208798e-13 4.005636307743381672e-14 1.755964255605030699e-14 1.703107124310140534e-11 3.224245697371720503e-12 1.926444707493489608e-13 1.083562542801913879e-13 1.012387516035754598e-11 4.486371056567354426e-13 2.314387056570782917e-13 1.036823006758400166e-12 3.742646448252169771e-13 8.585909567357922347e-13
1.300000000000000000e+01 3.562351798118059791e-11 1.573821369577830316e-12 5.900595849526000414e-13 4.143325450089979772e-14 1.809598887814307767e-14 1.738514763961171288e-11 3.170345965965915250e-12 1.992522263804931861e-13 1.115091486983985128e-13 9.943867931343450340e-12 4.592919148737934326e-13 2.381078142821957502e-13 1.065474188639368892e-12 3.847799220299209803e-13 8.856669064875007325e-13
1.400000000000000000e+01 3.521848850195536334e-11 1.602515543852802206e-12 5.793894309223192392e-13 4.282179880237951253e-14 1.862554693872001525e-14 1.772094028621689422e-11 3.112266066094723958e-12 2.060187911432308482e-13 1.148092825326834209e-13 9.752341982770913482e-12 4.702695077750222591e-13 2.451735932292364990e-13 1.094412088685456418e-12 3.957018314344990077e-13 9.128962225289997871e-13
1.500000000000000000e+01 3.481281573012072928e-11 1.629560720921351921e-12 5.682214170637789798e-13 4.421951458113583558e-14 1.914955715165729739e-14 1.803486155463327271e-11 3.051643573192786616e-12 2.129130450507197418e-13 1.182427606138785226e-13 9.554193649142360109e-12 4.815042036675725439e-13 2.525685672888144123e-13 1.123582555692954246e-12 4.069622995380279881e-13 9.402516469563456187e-13
1.600000000000000000e+01 3.441131518091318590e-11 1.654684988042781564e-12 5.568123357628606983e-13 4.562413250226251898e-14 1.966970311896730805e-14 1.832428480173891408e-11 2.989783891532761185e-12 2.199083336858867740e-13 1.217965496985281578e-13 9.353286236048190863e-12 4.929415922360428177e-13 2.602390953340618709e-13 1.152939282264211402e-12 4.185041596004586801e-13 9.677081068410316959e-13
1.700000000000000000e+01 3.401692827740137070e-11 1.677698892543038047e-12 5.453622483835561979e-13 4.703370708681302338e-14 2.018768233396525300e-14 1.858746711781112972e-11 2.927700805433502454e-12 2.269826047865333176e-13 1.254583147977612158e-13 9.152588837922295913e-12 5.045364011166183293e-13 2.681421289268731198e-13 1.182441250902466441e-12 4.302790216512105374e-13 9.952418000650404454e-13
