   ENERGY (CM-1)    JTOTL  JSTEP  JTOTU      F    I         SIG(F,I)
   121.7560000          0      1      5      1    1          1966.51      
   121.8060000          0      1      5      1    1          1117.67      
   121.8560000          0      1      5      1    1          463.861      
   121.9060000          0      1      6      1    1          662.809      
   121.9560000          0      1      6      1    1          740.531      
   122.0060000          0      1      6      1    1          670.023      
   122.0560000          0      1      6      1    1          597.230      
   122.1060000          0      1      6      1    1          499.616      
   122.1560000          0      1      6      1    1          491.514      
   122.2060000          0      1      6      1    1          487.355      
   122.2560000          0      1      6      1    1          366.941      
   122.3060000          0      1      6      1    1          476.831      
   122.3560000          0      1      6      1    1          434.545      
   122.4060000          0      1      6      1    1          318.874      
   122.4560000          0      1      6      1    1          337.262      
   122.5060000          0      1      6      1    1          303.347      
   122.5560000          0      1      6      1    1          259.698      
   122.6060000          0      1      6      1    1          319.924      
   122.6560000          0      1      6      1    1          460.045      
   122.7060000          0      1      7      1    1          276.195      
   122.7560000          0      1      7      1    1          249.852      
   122.8060000          0      1      7      1    1          338.722      
   122.8560000          0      1      7      1    1          395.275      
   122.9060000          0      1      7      1    1          232.450      
   122.9560000          0      1      7      1    1          188.637      
   123.0060000          0      1      7      1    1          205.454      
   123.0560000          0      1      7      1    1          439.932      
   123.1060000          0      1      7      1    1          200.065      
   123.1560000          0      1      7      1    1          215.157      
   123.2060000          0      1      7      1    1          179.997      
   123.2560000          0      1      7      1    1          293.183      
   123.3060000          0      1      7      1    1          213.779      
   123.3560000          0      1      7      1    1          150.797      
   123.4060000          0      1      7      1    1          167.278      
   123.4560000          0      1      7      1    1          144.389      
   123.5060000          0      1      7      1    1          144.007      
   123.5560000          0      1      7      1    1          178.064      
   123.6060000          0      1      7      1    1          202.867      
   123.6560000          0      1      7      1    1          155.198      
   123.7060000          0      1      7      1    1          171.419      
   123.7560000          0      1      7      1    1          149.992      
   123.8060000          0      1      7      1    1          181.329      
   123.8560000          0      1      7      1    1          218.204      
   123.9060000          0      1      7      1    1          153.959      
   123.9560000          0      1      7      1    1          189.344      
   124.0060000          0      1      7      1    1          126.720      
   124.0560000          0      1      7      1    1          148.661      
   124.1060000          0      1      7      1    1          175.791      
   124.1560000          0      1      7      1    1          125.108      
   124.2060000          0      1      7      1    1          163.443      
   124.2560000          0      1      7      1    1          153.640      
