T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 4.876196408359917122e-12 6.385486968620684320e-13 1.077233289207357052e-12 4.232417875569316026e-15 4.645452750632449390e-16 3.137117279101312845e-12 2.438515490655474937e-12 7.779208504197615888e-14 2.059667241899149007e-14 5.166214600474858102e-12 1.390555129429330791e-13 1.596811561743729457e-13 2.548229685257206760e-13 9.311533577106042836e-14 3.036032884814545106e-13
2.000000000000000000e+00 4.331974287967284970e-12 6.450912486652041772e-13 8.456412616474384542e-13 8.566768124077981455e-15 8.273539375223179644e-16 4.250227930901537619e-12 2.272710185505216414e-12 1.173887405215355004e-13 4.409806075101745385e-14 5.244006744696336551e-12 2.268953228353917272e-13 2.071836408869759740e-13 4.377404602814527006e-13 1.433920273533535214e-13 3.674415235192125788e-13
3.000000000000000000e+00 4.237635077165549645e-12 5.841918275780978077e-13 7.504843601890520903e-13 1.041565434283716147e-14 1.288070044536464776e-15 4.417616705170152696e-12 2.211455527778669508e-12 1.294040457446185882e-13 5.357523807482544755e-14 5.300651143162189715e-12 2.479154681889113113e-13 2.096787472918117413e-13 4.947410768947510837e-13 1.852845466418780402e-13 3.783429727209073681e-13
4.000000000000000000e+00 4.236619444132565437e-12 5.416474476399286674e-13 7.047521695243386357e-13 1.157602659233431072e-14 1.719238173899771396e-15 4.440314858246294048e-12 2.190572756232709785e-12 1.364050053400169789e-13 5.728761746047942339e-14 5.373739268789651621e-12 2.567152345585850389e-13 2.104479775066854921e-13 5.235181487729597716e-13 2.185436498134776457e-13 3.895122148897999530e-13
5.000000000000000000e+00 4.272649566458968125e-12 5.163938905179054634e-13 6.798558584887828305e-13 1.246115549352278612e-14 2.131750243543001453e-15 4.473806412148943263e-12 2.189108642533223351e-12 1.416585044098345872e-13 5.932470012262539157e-14 5.457184588203414723e-12 2.637166962240036302e-13 2.130887732989063807e-13 5.466921004933795772e-13 2.420261450156887503e-13 4.041822964943910604e-13
6.000000000000000000e+00 4.317742629037508998e-12 5.028557831255481578e-13 6.639869050764680126e-13 1.317217896776095201e-14 2.555398698735048825e-15 4.543667243117406750e-12 2.191702151043313123e-12 1.463616609638594844e-13 6.095891832276506993e-14 5.530922017553512504e-12 2.707554386380982775e-13 2.173516482896193473e-13 5.690413905349247182e-13 2.583058848118653472e-13 4.216416200388591063e-13
7.000000000000000000e+00 4.359096950006792465e-12 4.970327383047131659e-13 6.515735884069429272e-13 1.375695392280691118e-14 3.006268133096830249e-15 4.648059567543258436e-12 2.189881146001198299e-12 1.510943778298826101e-13 6.253872047763040798e-14 5.580961061319884168e-12 2.780198316447312692e-13 2.227631910354441533e-13 5.914452897540448287e-13 2.700619429238114323e-13 4.410045597220380074e-13
8.000000000000000000e+00 4.392903331815140555e-12 4.962958397038286051e-13 6.400084086550093598e-13 1.425306188293892672e-14 3.487505943925627539e-15 4.779900882637012415e-12 2.180199459234699718e-12 1.560979334475458065e-13 6.414692972513439951e-14 5.601788814217662580e-12 2.854457011201124620e-13 2.289758112809653982e-13 6.139885060260486626e-13 2.791853184080280338e-13 4.615904707593394671e-13
9.000000000000000000e+00 4.419554385069803332e-12 4.989041807802224157e-13 6.282015961074153696e-13 1.469242566614759657e-14 3.994491466278172868e-15 4.931878292642813710e-12 2.162154262646211108e-12 1.614427333484721717e-13 6.579878922314975887e-14 5.593841826862183655e-12 2.929779106237649292e-13 2.357563256406056897e-13 6.366234230581777859e-13 2.868695629731800950e-13 4.829338686100748615e-13
1.000000000000000000e+01 4.440919987754684808e-12 5.036763514239448187e-13 6.158225511530078365e-13 1.510078367954521631e-14 4.519180720908393124e-15 5.097460984713437468e-12 2.136685270854583911e-12 1.671235657836279497e-13 6.749740489136213692e-14 5.560657608086640942e-12 3.005948106543635938e-13 2.429471358655089349e-13 6.592987192165530848e-13 2.938424214647609996e-13 5.047326039169938309e-13
