   ENERGY (CM-1)    JTOTL  JSTEP  JTOTU      F    I         SIG(F,I)
  5.0000000000E-02      0      1      5      1    1          2120.18      
  0.1000000000          0      1      5      1    1          1017.12      
  0.1500000000          0      1      6      1    1          615.114      
  0.2000000000          0      1      6      1    1          621.711      
  0.2500000000          0      1      6      1    1          337.175      
  0.3000000000          0      1      6      1    1          303.855      
  0.3500000000          0      1      6      1    1          258.907      
  0.4000000000          0      1      6      1    1          299.801      
  0.4500000000          0      1      6      1    1          226.538      
  0.5000000000          0      1      6      1    1          249.080      
  0.5500000000          0      1      6      1    1          202.913      
  0.6000000000          0      1      6      1    1          208.662      
  0.6500000000          0      1      6      1    1          209.572      
  0.7000000000          0      1      6      1    1          173.638      
  0.7500000000          0      1      7      1    1          205.128      
  0.8000000000          0      1      7      1    1          268.719      
  0.8500000000          0      1      7      1    1          434.407      
  0.9000000000          0      1      7      1    1          198.790      
  0.9500000000          0      1      7      1    1          274.870      
   1.000000000          0      1      7      1    1          149.032      
   1.050000000          0      1      7      1    1          94.8202      
   1.100000000          0      1      7      1    1          158.689      
   1.150000000          0      1      7      1    1          165.804      
   1.200000000          0      1      7      1    1          133.197      
   1.250000000          0      1      7      1    1          136.886      
   1.300000000          0      1      7      1    1          125.994      
   1.350000000          0      1      7      1    1          133.737      
   1.400000000          0      1      7      1    1          114.614      
   1.450000000          0      1      7      1    1          129.883      
   1.500000000          0      1      7      1    1          110.326      
   1.550000000          0      1      7      1    1          111.570      
   1.600000000          0      1      7      1    1          132.195      
   1.650000000          0      1      7      1    1          135.173      
   1.700000000          0      1      7      1    1          104.624      
   1.750000000          0      1      7      1    1          106.556      
   1.800000000          0      1      7      1    1          108.202      
   1.850000000          0      1      7      1    1          112.529      
   1.900000000          0      1      7      1    1          108.493      
   1.950000000          0      1      7      1    1          115.231      
   2.000000000          0      1      7      1    1          75.7734      
   2.050000000          0      1      7      1    1          93.5910      
   2.100000000          0      1      7      1    1          96.7721      
   2.150000000          0      1      8      1    1          99.7333      
   2.200000000          0      1      8      1    1          102.995      
   2.250000000          0      1      8      1    1          95.4556      
   2.300000000          0      1      8      1    1          91.4961      
   2.350000000          0      1      8      1    1          93.0937      
   2.400000000          0      1      8      1    1          93.8493      
   2.450000000          0      1      8      1    1          95.0511      
   2.500000000          0      1      8      1    1          96.8631      
   2.550000000          0      1      8      1    1          110.453      
   2.600000000          0      1      8      1    1          88.1147      
   2.650000000          0      1      8      1    1          256.762      
   2.700000000          0      1      8      1    1          70.3429      
   2.750000000          0      1      8      1    1          85.4923      
   2.800000000          0      1      8      1    1          107.691      
   2.850000000          0      1      8      1    1          88.4363      
   2.900000000          0      1      8      1    1          88.0051      
   2.950000000          0      1      8      1    1          92.7737      
   3.000000000          0      1      8      1    1          146.020      
   3.050000000          0      1      8      1    1          85.1787      
   3.100000000          0      1      8      1    1          80.8829      
   3.150000000          0      1      8      1    1          84.4177      
   3.200000000          0      1      8      1    1          91.3940      
   3.250000000          0      1      8      1    1          85.8498      
   3.300000000          0      1      8      1    1          86.7798      
   3.350000000          0      1      8      1    1          100.637      
   3.400000000          0      1      8      1    1          74.1167      
   3.450000000          0      1      8      1    1          77.3034      
   3.500000000          0      1      8      1    1          77.8261      
   3.550000000          0      1      8      1    1          78.8282      
   3.600000000          0      1      8      1    1          80.4171      
   3.650000000          0      1      8      1    1          80.0129      
   3.700000000          0      1      8      1    1          79.3441      
   3.750000000          0      1      8      1    1          81.3447      
   3.800000000          0      1      8      1    1          82.2970      
   3.850000000          0      1      8      1    1          83.6516      
   3.900000000          0      1      8      1    1          74.2461      
   3.950000000          0      1      8      1    1          95.0084      
   4.000000000          0      1      8      1    1          67.6866      
   4.050000000          0      1      8      1    1          76.7655      
   4.100000000          0      1      8      1    1          77.2963      
   4.150000000          0      1      8      1    1          70.1365      
   4.200000000          0      1      8      1    1          79.3322      
   4.250000000          0      1      9      1    1          82.2186      
   4.300000000          0      1      9      1    1          199.035      
   4.350000000          0      1      9      1    1          66.1971      
   4.400000000          0      1      9      1    1          73.0328      
   4.450000000          0      1      9      1    1          73.6803      
   4.500000000          0      1      9      1    1          73.2275      
   4.550000000          0      1      9      1    1          73.9465      
   4.600000000          0      1      9      1    1          74.5045      
   4.650000000          0      1      9      1    1          74.6337      
   4.700000000          0      1      9      1    1          74.8837      
   4.750000000          0      1      9      1    1          75.2605      
   4.800000000          0      1      9      1    1          84.0810      
   4.850000000          0      1      9      1    1          117.988      
   4.900000000          0      1      9      1    1          66.8281      
   4.950000000          0      1      9      1    1          71.6898      
   5.000000000          0      1      9      1    1          60.5715      
   5.050000000          0      1      9      1    1          71.3437      
   5.100000000          0      1      9      1    1          71.5963      
   5.150000000          0      1      9      1    1          72.2724      
   5.200000000          0      1      9      1    1          131.650      
   5.250000000          0      1      9      1    1          72.9056      
   5.300000000          0      1      9      1    1          74.0843      
   5.350000000          0      1      9      1    1          63.3159      
   5.400000000          0      1      9      1    1          68.5797      
   5.450000000          0      1      9      1    1          69.5725      
   5.500000000          0      1      9      1    1          70.0888      
   5.550000000          0      1      9      1    1          70.3443      
   5.600000000          0      1      9      1    1          70.5553      
   5.650000000          0      1      9      1    1          68.0194      
   5.700000000          0      1      9      1    1          69.6280      
   5.750000000          0      1      9      1    1          70.6285      
   5.800000000          0      1      9      1    1          70.8837      
   5.850000000          0      1      9      1    1          71.2675      
   5.900000000          0      1      9      1    1          71.9962      
   5.950000000          0      1      9      1    1          71.5274      
   6.000000000          0      1      9      1    1          51.3122      
   6.050000000          0      1      9      1    1          65.9497      
   6.100000000          0      1      9      1    1          67.9506      
   6.150000000          0      1      9      1    1          65.3700      
   6.200000000          0      1      9      1    1          63.9401      
   6.250000000          0      1      9      1    1          67.7421      
   6.300000000          0      1      9      1    1          68.0989      
   6.350000000          0      1      9      1    1          68.3114      
   6.400000000          0      1      9      1    1          68.1275      
   6.450000000          0      1      9      1    1          68.4750      
   6.500000000          0      1      9      1    1          69.8142      
   6.550000000          0      1      9      1    1          63.2361      
   6.600000000          0      1      9      1    1          65.7952      
   6.650000000          0      1      9      1    1          66.6892      
   6.700000000          0      1      9      1    1          67.0562      
   6.750000000          0      1      9      1    1          67.2706      
   6.800000000          0      1      9      1    1          66.9296      
   6.850000000          0      1      9      1    1          65.6037      
   6.900000000          0      1      9      1    1          72.9269      
   6.950000000          0      1      9      1    1          66.7247      
   7.000000000          0      1      9      1    1          67.1580      
   7.050000000          0      1      9      1    1          67.3864      
   7.100000000          0      1      9      1    1          67.6536      
   7.150000000          0      1      9      1    1          67.0616      
   7.200000000          0      1     10      1    1          129.389      
   7.250000000          0      1     10      1    1          99.4391      
   7.300000000          0      1     10      1    1          63.2891      
   7.350000000          0      1     10      1    1          64.6869      
   7.400000000          0      1     10      1    1          65.1575      
   7.450000000          0      1     10      1    1          65.7744      
   7.500000000          0      1     10      1    1          65.4225      
   7.550000000          0      1     10      1    1          65.3329      
   7.600000000          0      1     10      1    1          66.1591      
   7.650000000          0      1     10      1    1          65.3746      
   7.700000000          0      1     10      1    1          65.5070      
   7.750000000          0      1     10      1    1          65.2620      
   7.800000000          0      1     10      1    1          65.3313      
   7.850000000          0      1     10      1    1          65.7200      
   7.900000000          0      1     10      1    1          65.6455      
   7.950000000          0      1     10      1    1          56.1461      
   8.000000000          0      1     10      1    1          63.1372      
   8.050000000          0      1     10      1    1          64.2112      
   8.100000000          0      1     10      1    1          64.5186      
   8.150000000          0      1     10      1    1          64.6751      
   8.200000000          0      1     10      1    1          64.7269      
   8.250000000          0      1     10      1    1          47.3161      
   8.300000000          0      1     10      1    1          63.7217      
   8.350000000          0      1     10      1    1          63.6443      
   8.400000000          0      1     10      1    1          64.1226      
   8.450000000          0      1     10      1    1          64.4934      
   8.500000000          0      1     10      1    1          64.4166      
   8.550000000          0      1     10      1    1          59.3619      
   8.600000000          0      1     10      1    1          89.7328      
   8.650000000          0      1     10      1    1          61.5930      
   8.700000000          0      1     10      1    1          62.5703      
   8.750000000          0      1     10      1    1          63.0848      
   8.800000000          0      1     10      1    1          63.2628      
   8.850000000          0      1     10      1    1          65.7124      
   8.900000000          0      1     10      1    1          65.5724      
   8.950000000          0      1     10      1    1          69.6426      
   9.000000000          0      1     10      1    1          63.7285      
   9.050000000          0      1     10      1    1          78.0373      
   9.100000000          0      1     10      1    1          63.2042      
   9.150000000          0      1     10      1    1          63.3567      
   9.200000000          0      1     10      1    1          63.3875      
   9.250000000          0      1     10      1    1          63.3985      
   9.300000000          0      1     10      1    1          63.3318      
   9.350000000          0      1     10      1    1          63.2963      
   9.400000000          0      1     10      1    1          62.9085      
   9.450000000          0      1     10      1    1          101.707      
   9.500000000          0      1     10      1    1          58.6399      
   9.550000000          0      1     10      1    1          61.8494      
   9.600000000          0      1     10      1    1          46.2486      
   9.650000000          0      1     10      1    1          45.1335      
   9.700000000          0      1     10      1    1          62.4147      
   9.750000000          0      1     10      1    1          62.4573      
   9.800000000          0      1     10      1    1          61.6502      
   9.850000000          0      1     10      1    1          62.2789      
   9.900000000          0      1     10      1    1          57.3564      
   9.950000000          0      1     10      1    1          56.3704      
   10.00000000          0      1     10      1    1          61.9418      
   10.05000000          0      1     10      1    1          53.3692      
   10.10000000          0      1     10      1    1          65.7680      
   10.15000000          0      1     10      1    1          60.1054      
   10.20000000          0      1     10      1    1          61.4053      
   10.25000000          0      1     10      1    1          61.3630      
   10.30000000          0      1     10      1    1          61.8798      
   10.35000000          0      1     10      1    1          61.7108      
   10.40000000          0      1     10      1    1          62.2697      
   10.45000000          0      1     10      1    1          61.8637      
   10.50000000          0      1     10      1    1          61.6784      
   10.55000000          0      1     10      1    1          61.6336      
   10.60000000          0      1     10      1    1          61.8078      
   10.65000000          0      1     10      1    1          61.7066      
   10.70000000          0      1     10      1    1          61.7335      
   10.75000000          0      1     10      1    1          61.9383      
   10.80000000          0      1     10      1    1          62.6178      
   10.85000000          0      1     10      1    1          59.0086      
   10.90000000          0      1     10      1    1          60.0413      
   10.95000000          0      1     10      1    1          60.1040      
   10.95000000          0      1     10      2    1         0.290963      
   10.95000000          0      1     10      1    2          21.6738      
   10.95000000          0      1     10      2    2          2097.09      
   11.00000000          0      1     10      1    1          56.3126      
   11.00000000          0      1     10      2    1          1.01603      
   11.00000000          0      1     10      1    2          28.1520      
   11.00000000          0      1     10      2    2          915.549      
   11.05000000          0      1     10      1    1          55.5763      
   11.05000000          0      1     10      2    1          1.41675      
   11.05000000          0      1     10      1    2          24.1964      
   11.05000000          0      1     10      2    2          430.246      
   11.10000000          0      1     10      1    1          69.3424      
   11.10000000          0      1     10      2    1          2.89815      
   11.10000000          0      1     10      1    2          35.8634      
   11.10000000          0      1     10      2    2          374.102      
   11.15000000          0      1     10      1    1          49.1342      
   11.15000000          0      1     10      2    1         6.374619E-02  
   11.15000000          0      1     10      1    2         0.619677      
   11.15000000          0      1     10      2    2          388.760      
   11.20000000          0      1     11      1    1          60.2497      
   11.20000000          0      1     11      2    1         9.369612E-03  
   11.20000000          0      1     11      1    2         7.511787E-02  
   11.20000000          0      1     11      2    2          367.790      
   11.25000000          0      1     11      1    1          60.5920      
   11.25000000          0      1     11      2    1         5.476654E-02  
   11.25000000          0      1     11      1    2         0.374088      
