      R        PHI    THETA2    THETA1       E_CP
    2.5000   0.0000   0.0000   60.0000   -76.969452482824
    2.5000   0.0000   0.0000   90.0000   -76.969739265461
    2.5000   0.0000   0.0000   120.0000   -76.969452482824
    2.5000   0.0000   0.0000   180.0000   -76.973514207718
    2.5000   0.0000   30.0000   60.0000   -76.970430037568
    2.5000   0.0000   30.0000   90.0000   -76.969544001106
    2.5000   0.0000   30.0000   120.0000   -76.968477687422
    2.5000   0.0000   30.0000   150.0000   -76.978622980609
    2.5000   0.0000   60.0000   0.0000   -76.976725149656
    2.5000   0.0000   60.0000   60.0000   -76.970436564866
    2.5000   0.0000   60.0000   90.0000   -76.969220487432
    2.5000   0.0000   60.0000   120.0000   -76.968583984592
    2.5000   0.0000   60.0000   180.0000   -76.976725149656
    2.5000   0.0000   90.0000   0.0000   -76.972577592805
    2.5000   0.0000   90.0000   60.0000   -76.969570510822
    2.5000   0.0000   90.0000   90.0000   -76.969098552899
    2.5000   0.0000   90.0000   120.0000   -76.969570510822
    2.5000   0.0000   90.0000   180.0000   -76.972577592805
    2.5000   30.0000   0.0000   0.0000   -76.973514207718
    2.5000   30.0000   0.0000   60.0000   -76.969452484372
    2.5000   30.0000   0.0000   90.0000   -76.969742470165
    2.5000   30.0000   0.0000   120.0000   -76.969452484372
    2.5000   30.0000   0.0000   180.0000   -76.973514207719
    2.5000   30.0000   30.0000   60.0000   -76.970337128071
    2.5000   30.0000   30.0000   90.0000   -76.969601263216
    2.5000   30.0000   30.0000   120.0000   -76.968660924481
    2.5000   30.0000   60.0000   0.0000   -76.976725149656
    2.5000   30.0000   60.0000   60.0000   -76.970434748125
    2.5000   30.0000   60.0000   90.0000   -76.969375826359
    2.5000   30.0000   60.0000   120.0000   -76.968842107167
    2.5000   30.0000   60.0000   180.0000   -76.976725149654
    2.5000   30.0000   90.0000   0.0000   -76.972577592805
    2.5000   30.0000   90.0000   60.0000   -76.969731043627
    2.5000   30.0000   90.0000   90.0000   -76.969291836316
    2.5000   30.0000   90.0000   120.0000   -76.969731043627
    2.5000   30.0000   90.0000   180.0000   -76.972577592805
    2.5000   60.0000   0.0000   0.0000   -76.973514207718
    2.5000   60.0000   0.0000   60.0000   -76.969452482279
    2.5000   60.0000   0.0000   90.0000   -76.969742470165
