T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 8.185682111695719851e-12 6.302513485281309912e-13 3.445884887094412352e-13 8.929469571084415930e-15 2.298022944658815922e-14 8.849814441359641266e-12 3.218882018343240262e-12 1.822969992297435910e-13 1.044312314798186776e-13 1.139389343221914770e-11 3.150195647552790661e-13 3.933085102432881317e-13 1.452331695527942635e-12 4.418801754019869387e-13 1.097831213813211697e-12
2.000000000000000000e+00 6.933926315193670056e-12 8.315471562764962350e-13 3.978453810935508592e-13 1.472104682850633155e-14 1.621123446887336910e-14 8.054690762379605153e-12 3.276033436269345980e-12 2.953194254875262066e-13 1.066452820658475286e-13 9.956602872918378832e-12 4.461341675431215462e-13 3.634253101627293538e-13 1.577306429800509391e-12 4.208379070609808731e-13 1.145331729315776591e-12
3.000000000000000000e+00 6.615294947248054321e-12 9.992068534976041141e-13 5.027758478020086806e-13 1.792081112695405501e-14 1.303176355906230660e-14 8.003114233849898977e-12 3.388044630488693154e-12 3.135785736664829171e-13 9.962769307699094943e-14 9.601144451655749990e-12 5.245084958478709858e-13 3.539104782351938234e-13 1.527714728409233439e-12 4.169286618394190931e-13 1.138147562548170910e-12
4.000000000000000000e+00 6.603321878293975422e-12 1.114875693232701853e-12 5.765277869098764094e-13 2.009770486584581023e-14 1.271447973713407772e-14 8.176395429863352230e-12 3.534551397355081631e-12 3.116562716017278544e-13 9.770359702124575851e-14 9.547031522883781223e-12 5.688738017996208361e-13 3.521735679465130260e-13 1.465911961471345052e-12 4.228627281688778190e-13 1.135811500839677625e-12
5.000000000000000000e+00 6.675300462461922939e-12 1.198775455648072088e-12 6.253722861189352282e-13 2.221748878170590211e-14 1.366751140225418270e-14 8.432249674638135095e-12 3.675829866722796630e-12 3.054429961796046701e-13 9.925179042454940129e-14 9.606315570411268539e-12 5.939458304380102740e-13 3.526718438173868006e-13 1.414961624836261849e-12 4.336095072702788431e-13 1.136865127437439736e-12
6.000000000000000000e+00 6.756116387329947770e-12 1.265176956868401647e-12 6.567295980829871614e-13 2.445567914785648268e-14 1.510145424100423897e-14 8.715173548017706031e-12 3.791000905080272728e-12 2.992187840933394139e-13 1.025178822284776492e-13 9.687201526444543543e-12 6.088093309840928618e-13 3.545546005051863406e-13 1.378321132501482034e-12 4.472416977909079923e-13 1.140516731556543323e-12
7.000000000000000000e+00 6.823268834695827836e-12 1.321654966625202186e-12 6.751399680770007959e-13 2.674531489659041442e-14 1.668963111080275865e-14 9.002695660648800000e-12 3.871738973590216083e-12 2.943155186429517923e-13 1.065743957190914764e-13 9.742257545864495512e-12 6.185315000286660172e-13 3.577139079308141225e-13 1.354649342501303125e-12 4.627608516615125460e-13 1.146755853813548072e-12
8.000000000000000000e+00 6.873175792446581658e-12 1.372044894101569003e-12 6.837543953880008826e-13 2.900117498622484712e-14 1.830405424289511057e-14 9.286389248095748589e-12 3.917624304620970660e-12 2.910969342786844900e-13 1.109853604398104317e-13 9.752408806550229768e-12 6.258861933017470656e-13 3.620604102654573123e-13 1.341670701108291236e-12 4.795967047744816585e-13 1.155641984993098743e-12
9.000000000000000000e+00 6.908442194533308788e-12 1.418287020340641563e-12 6.850160433851349752e-13 3.117058299743648960e-14 1.989630133564907795e-14 9.563379270302254272e-12 3.932392678727924799e-12 2.895805188776606263e-13 1.155567256791629599e-13 9.714780916296944453e-12 6.323782933545230528e-13 3.674590088606210026e-13 1.337244447183737194e-12 4.974092984467305025e-13 1.167144356207715746e-12
1.000000000000000000e+01 6.933032048628650429e-12 1.461343188176703750e-12 6.808747035461509456e-13 3.323145426792629853e-14 2.144955966173098789e-14 9.832538893885335708e-12 3.921391851239126224e-12 2.896589038256413887e-13 1.202090164309121268e-13 9.634319942624209060e-12 6.388130208144194612e-13 3.737554175291443184e-13 1.339597586361410007e-12 5.159808847945043591e-13 1.181145169109934142e-12
1.100000000000000000e+01 6.950569581654921771e-12 1.501647099252384540e-12 6.728723358932737313e-13 3.518093218863560424e-14 2.295975437651388561e-14 1.009295653215016926e-11 3.890136897821268113e-12 2.911812595738852862e-13 1.249155447647164163e-13 9.518882281538775528e-12 6.456095605022307475e-13 3.807981642586498006e-13 1.347318188415146830e-12 5.351568463567802431e-13 1.197469476422837134e-12
1.200000000000000000e+01 6.963867187759966028e-12 1.539343923757857070e-12 6.622060290718681459e-13 3.702605304960718204e-14 2.442799312034721693e-14 1.034348267530948813e-11 3.843620336541122709e-12 2.939840391798456315e-13 1.296725204647187342e-13 9.376701258178869209e-12 6.529734515518385555e-13 3.884491139284426886e-13 1.359293729423434241e-12 5.548164829150581699e-13 1.215910898481120024e-12
1.300000000000000000e+01 6.974908213604584589e-12 1.574430535647068873e-12 6.497882753166493376e-13 3.877794208116517713e-14 2.585740679081390055e-14 1.058274052873097402e-11 3.786061293595626070e-12 2.979036103549872728e-13 1.344847337989273745e-13 9.215246030344725408e-12 6.609914028439710372e-13 3.965871104590805015e-13 1.374647826104906867e-12 5.748600560277775733e-13 1.236249652403792220e-12
1.400000000000000000e+01 6.984976701061258290e-12 1.606841719759283162e-12 6.363034267479833716e-13 4.044867139183174917e-14 2.725175857659659803e-14 1.080928827256239213e-11 3.720880240789219012e-12 3.027824340076981230e-13 1.393589240743297721e-13 9.040819481412687752e-12 6.696837298859523745e-13 4.051083525514584754e-13 1.392687791471719153e-12 5.952033880145105465e-13 1.258264560357157059e-12
1.500000000000000000e+01 6.994816110915727846e-12 1.636502470718346097e-12 6.222572286615480300e-13 4.204974037700236715e-14 2.861481287847455946e-14 1.102178891827992555e-11 3.650774617769998419e-12 3.084727099049993129e-13 1.443009307943040432e-13 8.858515729422604406e-12 6.790336995164652730e-13 4.139253760842140533e-13 1.412863697211089494e-12 6.157753475995885751e-13 1.281740897572484066e-12
1.600000000000000000e+01 7.004775176996617309e-12 1.663357476315331526e-12 6.080180501316741414e-13 4.359144310984078344e-14 2.995005665975211505e-14 1.121913397314716990e-11 3.577829157200134902e-12 3.148386886210812053e-13 1.493146666812759060e-13 8.672333358276829369e-12 6.890042507774075256e-13 4.229654944826463872e-13 1.434736918772283028e-12 6.365161488558500744e-13 1.306475384651538802e-12
1.700000000000000000e+01 7.014928733207061824e-12 1.687385259133326474e-12 5.938499692903075918e-13 4.508268443942657852e-14 3.126059318564367620e-14 1.140051131900454102e-11 3.503628771113952522e-12 3.217580070101377293e-13 1.544019287629360931e-13 8.485341250188674915e-12 6.995477380473277908e-13 4.321690673017528398e-13 1.457955982272972892e-12 6.573757582216776296e-13 1.332279175566548222e-12
1.800000000000000000e+01 7.025172503628253145e-12 1.708602433427226008e-12 5.799386732399532172e-13 4.653100664780007378e-14 3.254912056227133068e-14 1.156542606096173575e-11 3.429360209947021304e-12 3.291222109007717764e-13 1.595625622535935722e-13 8.299848337390081782e-12 7.106117397335597458e-13 4.414877621683858883e-13 1.482237944794799773e-12 6.783122970062899591e-13 1.358979414490123242e-12
1.900000000000000000e+01 7.035294716636894123e-12 1.727062038196654176e-12 5.664113970960663465e-13 4.794270514429305449e-14 3.381794972886892143e-14 1.171368821626761233e-11 3.355897996197370677e-12 3.368366174176359167e-13 1.647947460672394883e-13 8.117556715808746398e-12 7.221425846088500460e-13 4.508828910641423777e-13 1.507353974246402623e-12 6.992905163856463287e-13 1.386419770669140135e-12
