T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 8.513516935837589624e-12 6.788362399846674054e-13 3.112108330990190466e-13 5.861427913328907678e-15 9.429982243896370811e-15 9.758356801495991886e-12 3.190458794045197687e-12 1.940630735029540891e-13 7.447631118043896013e-14 1.005926460834231269e-11 1.860388917436921555e-13 1.877982438904081670e-13 8.215644892002449605e-13 2.047464227611652095e-13 6.172196466495944620e-13
2.000000000000000000e+00 7.106758400301083027e-12 8.228997155309725207e-13 3.808399440088643034e-13 1.407619918353529867e-14 8.085748973778330047e-15 8.452643033517173773e-12 3.285414830549505647e-12 3.242250594568007594e-13 9.394201268419353304e-14 9.529895958716006658e-12 3.825589274383221283e-13 2.561625530068916449e-13 1.273852295498523480e-12 2.744124534200769344e-13 8.674935014902165355e-13
3.000000000000000000e+00 6.747572228377881865e-12 9.628981413199352168e-13 4.897255778424099263e-13 1.852029734748236432e-14 7.760310587324454356e-15 8.190504458792319251e-12 3.398855138646637058e-12 3.408889406921982454e-13 9.196188204620593932e-14 9.422276795161766359e-12 5.041529572873310550e-13 2.942781894162618319e-13 1.404442850317884187e-12 3.169674093601075989e-13 9.759355725460496137e-13
4.000000000000000000e+00 6.714991500759373920e-12 1.065006469773181527e-12 5.662074416094337907e-13 2.112952358908317598e-14 8.886247269288995804e-15 8.262638410865263224e-12 3.539670820299493333e-12 3.367937230433574253e-13 9.137711860053943485e-14 9.461174369960974707e-12 5.718118263241300727e-13 3.149190161896848843e-13 1.419810747601981204e-12 3.466251399778263188e-13 1.036460607889057934e-12
5.000000000000000000e+00 6.770357235768658736e-12 1.142509871755813263e-12 6.173515569877994454e-13 2.333881977389194714e-14 1.063399925151294270e-14 8.462711750005157555e-12 3.675044507967392586e-12 3.290339673914116639e-13 9.329368244478310876e-14 9.562345803445374406e-12 6.093258503062100218e-13 3.273288033976105333e-13 1.400997449857223426e-12 3.708794646904537021e-13 1.072251953349426476e-12
6.000000000000000000e+00 6.836267029706579541e-12 1.206522651702154238e-12 6.505738675364772056e-13 2.553785233834365656e-14 1.254840514666875163e-14 8.712092730240509316e-12 3.785862978906982733e-12 3.216524948572692725e-13 9.674518295049806374e-14 9.665183175665012454e-12 6.306189224944098230e-13 3.363119226147839185e-13 1.377040289966064232e-12 3.929716209335379719e-13 1.095205876356873853e-12
7.000000000000000000e+00 6.890063400298625298e-12 1.262900745936503745e-12 6.704342350374588043e-13 2.775774657019470674e-14 1.445505481481628099e-14 8.978549096816393698e-12 3.863839725189143314e-12 3.157986094790839308e-13 1.010063225954379759e-13 9.733427572509827969e-12 6.433307211489358144e-13 3.441105976498289515e-13 1.357477589550496938e-12 4.142402303226929630e-13 1.112102846268562313e-12
8.000000000000000000e+00 6.928162492251739895e-12 1.314468946029556437e-12 6.801456103119996176e-13 2.995527675641047234e-14 1.629839992828885967e-14 9.248766218161429509e-12 3.908180020785872256e-12 3.117356491372903601e-13 1.056716234592809506e-13 9.752456597056923575e-12 6.516626600662663080e-13 3.517181805771396646e-13 1.344805348275157921e-12 4.352716312864425009e-13 1.126750199387892137e-12
9.000000000000000000e+00 6.953084745433295388e-12 1.362563860381529473e-12 6.822219282909987481e-13 3.209158679909697858e-14 1.806597451257737854e-14 9.517089736765289579e-12 3.922241000376312883e-12 3.094251029398135527e-13 1.105357430887788272e-13 9.721321439446118937e-12 6.579414450929059614e-13 3.595427032712970656e-13 1.339051329815956590e-12 4.563396557733874125e-13 1.141229545270525496e-12
1.000000000000000000e+01 6.968655279369493146e-12 1.407789139184697619e-12 6.786762185958965450e-13 3.414521593678912612e-14 1.975967799915430681e-14 9.780691405732798661e-12 3.911080517506755242e-12 3.087286137992838447e-13 1.155032329969808765e-13 9.645870428714824729e-12 6.634599955845953974e-13 3.677216910689323845e-13 1.339454282863100301e-12 4.775688490315537573e-13 1.156631593120213642e-12
1.100000000000000000e+01 6.978344382672578023e-12 1.450369420213035194e-12 6.711017773502996701e-13 3.610871578888204794e-14 2.138575731617073775e-14 1.003757800096524968e-11 3.880011259846987080e-12 3.094796519216986986e-13 1.205350255770491674e-13 9.534422012738954657e-12 6.689342226411446109e-13 3.762701010107538497e-13 1.345078831162921562e-12 4.990021558128814207e-13 1.173479759457451617e-12
1.200000000000000000e+01 6.984816647893569024e-12 1.490331037753676629e-12 6.607356604819863578e-13 3.798324496752456768e-14 2.295143674366694681e-14 1.028589941232968166e-11 3.833889763231945587e-12 3.115084332802606970e-13 1.256189743376066376e-13 9.395470736717997032e-12 6.747536894735752275e-13 3.851502854427559683e-13 1.355033059161118258e-12 5.206358959493827188e-13 1.191973404085073827e-12
1.300000000000000000e+01 6.989922113106352242e-12 1.527606248440389170e-12 6.485209314441988036e-13 3.977447337683345848e-14 2.446377792593980282e-14 1.052382069824691982e-11 3.776845434686058176e-12 3.146506766389223848e-13 1.307544355906950712e-13 9.236649369198483824e-12 6.811206831942410962e-13 3.943053328078436202e-13 1.368535947721573642e-12 5.424413376767914015e-13 1.212128555058240926e-12
1.400000000000000000e+01 6.994827947530113837e-12 1.562097503093830327e-12 6.351651914842549236e-13 4.149002566853750101e-14 2.592928092709400187e-14 1.074959890648902787e-11 3.712240231819703557e-12 3.187511858605937690e-13 1.359446172575905453e-13 9.064373452385073565e-12 6.881284913402839917e-13 4.036749208306541333e-13 1.384928298946320195e-12 5.643786277319205620e-13 1.233860272734118156e-12
1.500000000000000000e+01 7.000176404182402193e-12 1.593716423747119200e-12 6.211918714484424580e-13 4.313803266822982975e-14 2.735375052123052353e-14 1.096169860866957664e-11 3.642733885570557592e-12 3.236658282111779301e-13 1.411930439456252536e-13 8.883820912879841627e-12 6.958062942613447601e-13 4.132026405230934144e-13 1.403663389252735371e-12 5.864053558280475839e-13 1.257031364823793007e-12
1.600000000000000000e+01 7.006228963909370292e-12 1.622405218730307828e-12 6.069828383451596000e-13 4.472636663008593071e-14 2.874227392358078482e-14 1.115888046595278079e-11 3.570387241961314741e-12 3.292628435424789215e-13 1.465021105792143852e-13 8.699056277321794362e-12 7.041454978718804807e-13 4.228390699647379145e-13 1.424291564994179441e-12 6.084812781320898819e-13 1.281481359325056330e-12
1.700000000000000000e+01 7.012985282621243606e-12 1.648145957359533634e-12 5.928125205563296268e-13 4.626226927365987282e-14 3.009925223329735944e-14 1.134024621120598347e-11 3.496770494231920691e-12 3.354236282045818257e-13 1.518726415918476889e-13 8.513202255777641909e-12 7.131155590012838544e-13 4.325426966144158266e-13 1.446444313026344868e-12 6.305704647931904014e-13 1.307043678146395882e-12
1.800000000000000000e+01 7.020276230787546762e-12 1.670961911519106646e-12 5.788745825866042713e-13 4.775219721051458865e-14 3.142845747334629744e-14 1.150524445766385635e-11 3.423061737617251186e-12 3.420429945313031746e-13 1.573038991898937461e-13 8.328612693697430542e-12 7.226737170118233416e-13 4.422797514745681539e-13 1.469819832150994562e-12 6.526418774810875607e-13 1.333555638730257415e-12
1.900000000000000000e+01 7.027833978764494754e-12 1.690914163655172964e-12 5.653024391601283845e-13 4.920178525057807096e-14 3.273309897945132232e-14 1.165364845125950127e-11 3.350130825741453576e-12 3.490289426263689674e-13 1.627937671382496186e-13 8.147027604158584795e-12 7.327710883708551213e-13 4.520235135371688066e-13 1.494170694713986997e-12 6.746691026411866633e-13 1.360864039988629850e-12
