	0	1	2	3	4
3902	3.0000000000	30.0000000000	30.0000000000	90.0000000000	100.2933350579
4127	3.1000000000	0.0000000000	60.0000000000	90.0000000000	100.4140976811
3379	3.1000000000	60.0000000000	90.0000000000	60.0000000000	100.9094837446
5773	3.1000000000	60.0000000000	90.0000000000	120.0000000000	100.9099395938
5400	3.2000000000	30.0000000000	60.0000000000	120.0000000000	103.0939195688
6361	3.3000000000	60.0000000000	30.0000000000	150.0000000000	104.1172814811
3827	3.0000000000	0.0000000000	30.0000000000	90.0000000000	104.9480436546
732	3.1000000000	60.0000000000	60.0000000000	0.0000000000	105.0022872488
7879	3.1000000000	90.0000000000	60.0000000000	180.0000000000	105.0022872488
805	3.1000000000	90.0000000000	60.0000000000	0.0000000000	105.0022874671
659	3.1000000000	30.0000000000	60.0000000000	0.0000000000	105.0022874671
7734	3.1000000000	30.0000000000	60.0000000000	180.0000000000	105.0022874671
7661	3.1000000000	0.0000000000	60.0000000000	180.0000000000	105.0022876885
7806	3.1000000000	60.0000000000	60.0000000000	180.0000000000	105.0022876885
588	3.1000000000	0.0000000000	60.0000000000	0.0000000000	105.0022876885
6718	3.1000000000	90.0000000000	60.0000000000	150.0000000000	106.0364308567
1970	3.1000000000	90.0000000000	60.0000000000	30.0000000000	106.0364308567
1753	3.0000000000	0.0000000000	60.0000000000	30.0000000000	110.3916700492
6576	3.2000000000	30.0000000000	60.0000000000	150.0000000000	111.2445335377
2630	3.0000000000	0.0000000000	30.0000000000	60.0000000000	111.7352349147
1397	3.3000000000	90.0000000000	0.0000000000	30.0000000000	115.0424013246
6142	3.3000000000	90.0000000000	0.0000000000	150.0000000000	115.0424015461
5923	3.3000000000	0.0000000000	0.0000000000	150.0000000000	115.0424015461
1178	3.3000000000	0.0000000000	0.0000000000	30.0000000000	115.0424015461
1251	3.3000000000	30.0000000000	0.0000000000	30.0000000000	115.0425068939
6069	3.3000000000	60.0000000000	0.0000000000	150.0000000000	115.0425068939
5996	3.3000000000	30.0000000000	0.0000000000	150.0000000000	115.0425071122
1324	3.3000000000	60.0000000000	0.0000000000	30.0000000000	115.0425071122
2256	3.0000000000	90.0000000000	90.0000000000	30.0000000000	117.3482946273
7003	3.0000000000	90.0000000000	90.0000000000	150.0000000000	117.3482946273
1825	3.0000000000	30.0000000000	60.0000000000	30.0000000000	117.8267161812
7444	3.3000000000	30.0000000000	30.0000000000	180.0000000000	118.1563240601
7590	3.3000000000	90.0000000000	30.0000000000	180.0000000000	118.1563240601
7517	3.3000000000	60.0000000000	30.0000000000	180.0000000000	118.1563240601
371	3.3000000000	30.0000000000	30.0000000000	0.0000000000	118.1563242784
298	3.3000000000	0.0000000000	30.0000000000	0.0000000000	118.1563242784
444	3.3000000000	60.0000000000	30.0000000000	0.0000000000	118.1563242784
517	3.3000000000	90.0000000000	30.0000000000	0.0000000000	118.1563242784
7371	3.3000000000	0.0000000000	30.0000000000	180.0000000000	118.1563242784
5325	3.2000000000	0.0000000000	60.0000000000	120.0000000000	118.3038485412
2704	3.0000000000	30.0000000000	30.0000000000	60.0000000000	119.0945390346
4502	3.1000000000	30.0000000000	90.0000000000	90.0000000000	121.5177340642
7	3.4000000000	0.0000000000	0.0000000000	0.0000000000	122.2980592100
7299	3.4000000000	90.0000000000	0.0000000000	180.0000000000	122.2980592100
7226	3.4000000000	60.0000000000	0.0000000000	180.0000000000	122.2980594283
7153	3.4000000000	30.0000000000	0.0000000000	180.0000000000	122.2980594283
80	3.4000000000	30.0000000000	0.0000000000	0.0000000000	122.2980596497
153	3.4000000000	60.0000000000	0.0000000000	0.0000000000	122.2980596497
226	3.4000000000	90.0000000000	0.0000000000	0.0000000000	122.2980596497
7080	3.4000000000	0.0000000000	0.0000000000	180.0000000000	122.2980596497
2184	3.0000000000	60.0000000000	90.0000000000	30.0000000000	122.4563181943
6933	3.0000000000	60.0000000000	90.0000000000	150.0000000000	122.4563186341
3304	3.1000000000	30.0000000000	90.0000000000	60.0000000000	123.3305813371
5698	3.1000000000	30.0000000000	90.0000000000	120.0000000000	123.3305813371
6504	3.2000000000	0.0000000000	60.0000000000	150.0000000000	124.7117246507
5174	3.1000000000	60.0000000000	30.0000000000	120.0000000000	128.0996702349
5474	3.1000000000	60.0000000000	60.0000000000	120.0000000000	132.5426569192
2112	3.0000000000	30.0000000000	90.0000000000	30.0000000000	132.8781010685
6861	3.0000000000	30.0000000000	90.0000000000	150.0000000000	132.8781012900
4427	3.1000000000	0.0000000000	90.0000000000	90.0000000000	133.1895827578
6433	3.2000000000	90.0000000000	30.0000000000	150.0000000000	133.3634575800
1683	3.2000000000	90.0000000000	30.0000000000	30.0000000000	133.3634577983
3229	3.1000000000	0.0000000000	90.0000000000	60.0000000000	134.2928786508
5623	3.1000000000	0.0000000000	90.0000000000	120.0000000000	134.2928786508
6288	3.3000000000	30.0000000000	30.0000000000	150.0000000000	135.1353778864
2929	3.0000000000	0.0000000000	60.0000000000	60.0000000000	135.6094924709
3004	3.0000000000	30.0000000000	60.0000000000	60.0000000000	135.9644814889
4351	3.0000000000	90.0000000000	60.0000000000	90.0000000000	136.4826553827
2040	3.0000000000	0.0000000000	90.0000000000	30.0000000000	138.4678936162
6789	3.0000000000	0.0000000000	90.0000000000	150.0000000000	138.4678938345
1466	3.1000000000	0.0000000000	30.0000000000	30.0000000000	141.3861997046
1897	3.0000000000	60.0000000000	60.0000000000	30.0000000000	141.9848099563
2779	3.0000000000	60.0000000000	30.0000000000	60.0000000000	142.0583545881
3079	3.0000000000	60.0000000000	60.0000000000	60.0000000000	144.4966176449
6215	3.3000000000	0.0000000000	30.0000000000	150.0000000000	145.4009400355
4276	3.0000000000	60.0000000000	60.0000000000	90.0000000000	147.3917362443
6647	3.1000000000	60.0000000000	60.0000000000	150.0000000000	150.8711421725
1538	3.1000000000	30.0000000000	30.0000000000	30.0000000000	151.0008260013
4650	3.0000000000	90.0000000000	90.0000000000	90.0000000000	158.4213984355
5099	3.1000000000	30.0000000000	30.0000000000	120.0000000000	161.6858006561
4201	3.0000000000	30.0000000000	60.0000000000	90.0000000000	169.6853300471
5847	3.0000000000	90.0000000000	90.0000000000	120.0000000000	170.1465131846
3453	3.0000000000	90.0000000000	90.0000000000	60.0000000000	170.1465131846
3752	2.9000000000	90.0000000000	0.0000000000	90.0000000000	171.6509404455
3527	2.9000000000	0.0000000000	0.0000000000	90.0000000000	171.6509406639
3602	2.9000000000	30.0000000000	0.0000000000	90.0000000000	171.7257600053
3677	2.9000000000	60.0000000000	0.0000000000	90.0000000000	171.7257602237
4576	3.0000000000	60.0000000000	90.0000000000	90.0000000000	172.4097812209
6360	3.2000000000	60.0000000000	30.0000000000	150.0000000000	173.2679307553
5025	3.1000000000	0.0000000000	30.0000000000	120.0000000000	173.6980628402
3153	3.0000000000	90.0000000000	60.0000000000	60.0000000000	173.9110416812
5548	3.0000000000	90.0000000000	60.0000000000	120.0000000000	173.9110416812
5399	3.1000000000	30.0000000000	60.0000000000	120.0000000000	175.4286742899
1610	3.1000000000	60.0000000000	30.0000000000	30.0000000000	178.6518960442
5248	3.0000000000	90.0000000000	30.0000000000	120.0000000000	180.3511046238
2854	3.0000000000	90.0000000000	30.0000000000	60.0000000000	180.3511046238
4126	3.0000000000	0.0000000000	60.0000000000	90.0000000000	180.4194463883
1752	2.9000000000	0.0000000000	60.0000000000	30.0000000000	180.9880415062
6717	3.0000000000	90.0000000000	60.0000000000	150.0000000000	182.9938388071
1969	3.0000000000	90.0000000000	60.0000000000	30.0000000000	182.9938388071
3378	3.0000000000	60.0000000000	90.0000000000	60.0000000000	183.2390226925
5772	3.0000000000	60.0000000000	90.0000000000	120.0000000000	183.2396545612
5922	3.2000000000	0.0000000000	0.0000000000	150.0000000000	183.6801201714
1177	3.2000000000	0.0000000000	0.0000000000	30.0000000000	183.6801201714
1396	3.2000000000	90.0000000000	0.0000000000	30.0000000000	183.6801201714
6141	3.2000000000	90.0000000000	0.0000000000	150.0000000000	183.6801203897
1250	3.2000000000	30.0000000000	0.0000000000	30.0000000000	183.6802132275
1323	3.2000000000	60.0000000000	0.0000000000	30.0000000000	183.6802132275
5995	3.2000000000	30.0000000000	0.0000000000	150.0000000000	183.6802132275
6068	3.2000000000	60.0000000000	0.0000000000	150.0000000000	183.6802132275
2480	3.0000000000	60.0000000000	0.0000000000	60.0000000000	184.2365452024
4724	3.0000000000	0.0000000000	0.0000000000	120.0000000000	184.2365765881
4949	3.0000000000	90.0000000000	0.0000000000	120.0000000000	184.2365765881
2555	3.0000000000	90.0000000000	0.0000000000	60.0000000000	184.2365765881
2330	3.0000000000	0.0000000000	0.0000000000	60.0000000000	184.2365765881
4799	3.0000000000	30.0000000000	0.0000000000	120.0000000000	184.2366832521
4874	3.0000000000	60.0000000000	0.0000000000	120.0000000000	184.2366832521
2405	3.0000000000	30.0000000000	0.0000000000	60.0000000000	184.2366832521
6	3.3000000000	0.0000000000	0.0000000000	0.0000000000	185.4131947867
79	3.3000000000	30.0000000000	0.0000000000	0.0000000000	185.4131950050
152	3.3000000000	60.0000000000	0.0000000000	0.0000000000	185.4131950050
7225	3.3000000000	60.0000000000	0.0000000000	180.0000000000	185.4131950050
225	3.3000000000	90.0000000000	0.0000000000	0.0000000000	185.4131950050
7298	3.3000000000	90.0000000000	0.0000000000	180.0000000000	185.4131950050
7152	3.3000000000	30.0000000000	0.0000000000	180.0000000000	185.4131952233
7079	3.3000000000	0.0000000000	0.0000000000	180.0000000000	185.4131952233
7733	3.0000000000	30.0000000000	60.0000000000	180.0000000000	186.1473900955
7878	3.0000000000	90.0000000000	60.0000000000	180.0000000000	186.1473900955
804	3.0000000000	90.0000000000	60.0000000000	0.0000000000	186.1473900955
731	3.0000000000	60.0000000000	60.0000000000	0.0000000000	186.1473900955
658	3.0000000000	30.0000000000	60.0000000000	0.0000000000	186.1473900955
587	3.0000000000	0.0000000000	60.0000000000	0.0000000000	186.1473903170
7805	3.0000000000	60.0000000000	60.0000000000	180.0000000000	186.1473903170
7660	3.0000000000	0.0000000000	60.0000000000	180.0000000000	186.1473903170
7516	3.2000000000	60.0000000000	30.0000000000	180.0000000000	186.4935340720
7589	3.2000000000	90.0000000000	30.0000000000	180.0000000000	186.4935340720
7443	3.2000000000	30.0000000000	30.0000000000	180.0000000000	186.4935340720
