R	0	30	60	90
1.0	705307.460017	262927.297556	115904.94876	111017.427906
1.1	389973.127343	179360.691756	96403.608334	83316.150446
1.2	243698.295875	134554.877843	77078.422385	61283.217892
1.3	176697.400683	109060.224666	59548.839854	44550.84009
1.4	148257.694545	90474.337618	44909.099275	32108.285741
1.5	138480.700157	73468.191116	33264.774619	22976.962452
1.6	133875.521881	57619.602831	24292.162218	16338.891553
1.7	79943.744138	43751.08128	17533.107398	11549.079241
1.8	57375.062918	32376.828296	12527.455788	8114.34968
1.9	40700.282142	23503.273311	8869.956397	5664.958393
2.0	28630.377537	16816.506405	6226.872328	3927.454249
2.1	20003.084338	11895.51968	4334.67539	2701.51055
2.2	13890.833593	8334.246769	2990.944082	1841.332465
2.3	9591.12515	5789.132489	2043.641598	1241.349646
2.4	6584.647786	3987.874366	1380.411308	825.487171
2.5	4493.186414	2723.215957	919.360236	539.217078
2.6	3044.902328	1841.526016	601.387486	343.686812
2.7	2046.474827	1230.956068	384.146408	211.383618
2.8	1361.379672	811.095996	237.428261	122.932747
2.9	893.666755	524.604431	139.718277	64.754992
3.0	576.221299	330.866342	75.737965	27.346706
3.1	362.336151	201.248765	34.702394	4.067434
3.2	219.64546	115.671774	9.07681	-9.72882
3.3	125.779407	60.132857	-6.333294	-17.274496
3.4	65.274371	24.927732	-15.066728	-20.80847
3.5	27.386939	3.35137	-19.509285	-21.861235
3.6	4.591297	-9.222942	-21.254529	-21.458207
3.7	-8.395274	-15.977568	-21.356902	-20.267171
3.8	-15.233175	-19.077633	-20.504902	-18.705747
3.9	-18.38666	-19.969742	-19.139116	-17.021164
4.0	-19.447784	-19.596159	-17.533238	-15.34894
4.1	-19.389862	-18.549743	-15.851457	-13.756151
4.2	-18.761823	-17.185313	-14.188863	-12.271112
4.3	-17.837469	-15.70072	-12.59935	-10.902932
4.4	-16.731596	-14.197207	-11.11332	-9.652463
4.5	-15.487444	-12.723684	-9.747958	-8.517623
4.6	-14.132752	-11.30598	-8.51235	-7.495487
4.7	-12.704901	-9.962711	-7.40998	-6.582218
4.8	-11.253475	-8.710992	-6.439485	-5.772923
4.9	-9.83254	-7.566549	-5.595365	-5.061427
5.0	-8.491505	-6.541534	-4.868632	-4.440123
5.1	-7.268825	-5.642499	-4.247579	-3.900456
5.2	-6.189101	-4.869396	-3.719162	-3.433269
5.3	-5.262813	-4.215827	-3.269893	-3.029353
5.4	-4.487958	-3.670306	-2.886993	-2.680004
5.5	-3.852941	-3.218189	-2.559093	-2.37725
5.6	-3.3398	-2.843673	-2.276484	-2.11406
5.7	-2.927649	-2.531584	-2.031394	-1.884408
5.8	-2.595519	-2.268614	-1.817539	-1.683306
5.9	-2.324488	-2.043767	-1.629999	-1.506564
6.0	-2.098794	-1.848623	-1.464865	-1.350686
6.2	-1.738199	-1.524262	-1.189908	-1.090675
6.4	-1.453176	-1.263922	-0.973175	-0.885577
6.6	-1.216559	-1.050848	-0.800523	-0.722657
6.8	-1.01674	-0.874626	-0.661446	-0.592429
7.0	-0.847667	-0.728012	-0.548208	-0.487713
7.2	-0.705011	-0.605602	-0.455235	-0.402953
7.4	-0.585135	-0.503272	-0.378455	-0.33389
7.6	-0.484769	-0.417819	-0.314866	-0.277232
7.8	-0.401058	-0.346576	-0.26197	-0.230491
8.0	-0.331414	-0.287217	-0.217923	-0.191689
8.2	-0.273546	-0.237841	-0.181163	-0.159373
8.4	-0.225544	-0.196743	-0.150422	-0.13231
8.6	-0.185749	-0.162559	-0.1247	-0.109658
8.8	-0.152779	-0.134137	-0.103151	-0.090618
9.0	-0.125512	-0.110491	-0.085081	-0.074587
9.5	-0.076228	-0.067369	-0.051613	-0.044749
10.0	-0.045413	-0.039951	-0.029834	-0.025227
10.5	-0.025769	-0.022258	-0.01553	-0.012377
11.0	-0.012927	-0.010594	-0.006022	-0.003841
11.5	-0.004351	-0.002739	0.000365	0.001827
12.0	0.001447	0.002549	0.004639	0.005598
12.5	0.005371	0.006093	0.007514	0.008065
13.0	0.008006	0.00848	0.009388	0.009675
13.5	0.009741	0.010036	0.010565	0.010693
14.0	0.010843	0.010998	0.011288	0.011259
14.5	0.011498	0.011592	0.011688	0.011549
15.0	0.011859	0.011856	0.01181	0.011617
16.0	0.011943	0.011874	0.011652	0.01136
17.0	0.011584	0.011451	0.011159	0.010828
18.0	0.011019	0.01087	0.010553	0.01021
19.0	0.010361	0.010204	0.00987	0.009542
20.0	0.009679	0.009547	0.009213	0.008864
21.0	0.009038	0.008895	0.00858	0.008256
22.0	0.008415	0.008272	0.007973	0.00768
23.0	0.007837	0.007709	0.007419	0.007146
24.0	0.007304	0.007202	0.006913	0.006652
25.0	0.006821	0.006717	0.006471	0.006213
50.0	0.001755	0.001726	0.001668	0.001588
100.0	7.5e-05	5.1e-05	2.4e-05	2.6e-05
