T	1->0	2->0	3->0	4->0	5->0	6->0	7->0	8->0	9->0	10->0	2->1	3->1	4->1	5->1	6->1	7->1	8->1	9->1	10->1	3->2	4->2	5->2	6->2	7->2	8->2	9->2	10->2	4->3	5->3	6->3	7->3	8->3	9->3	10->3	5->4	6->4	7->4	8->4	9->4	10->4	6->5	7->5	8->5	9->5	10->5	7->6	8->6	9->6	10->6	8->7	9->7	10->7	9->8	10->8	10->9	
1.000000000000000000e+00 1.345046363539680858e-11 1.612099099183928985e-11 2.148656935214614779e-13 1.659584169423531880e-12 5.007191093806102544e-14 3.770463957780563562e-13 4.358208293727886793e-14 1.126522189038517960e-14 1.959389387067807748e-15 2.496575525842303520e-15 1.226118178425537182e-11 3.741727025417369922e-11 1.516054712706034597e-13 3.487446863598135835e-12 1.604486541079398154e-13 9.388772575096199390e-13 1.027221032685676131e-14 2.359304132944557932e-14 3.623586964362195636e-15 1.883606084754987457e-12 3.186859456846829374e-11 1.799400030230141088e-13 5.559405045777498646e-12 2.753282251987681937e-13 1.355278907916098699e-13 1.377421963467253208e-14 2.874099431491118773e-14 4.022975890898678784e-13 3.140693215327823246e-11 3.141354282287991496e-13 7.259232846831660749e-12 3.645966713752739122e-14 1.589267413556871436e-13 1.514002940088219905e-14 2.498988967749559732e-13 3.442937755253041199e-11 5.137652046940939679e-13 7.803322688656728734e-13 4.344587670233032159e-14 1.496637443148951968e-13 3.669776275161072331e-13 3.495595470469532494e-11 7.159953992181284011e-14 7.334889498817133112e-13 4.418751158875650962e-14 6.060470874663386993e-13 3.133426551927248771e-12 8.882320972204132275e-14 5.863489828633124258e-13 8.494852697037263149e-14 2.590008574622765425e-12 9.340003159144293443e-14 1.043116672944862272e-13 1.892513994548516930e-12 1.078749123930164079e-13
2.000000000000000000e+00 1.666268217389283035e-11 1.597893888720870594e-11 3.106341860684634343e-13 1.532026758564996646e-12 5.654348725618218912e-14 4.022077031871884892e-13 4.836766195149935279e-14 1.327534347872583526e-14 2.566266040317339918e-15 3.831354734767052689e-15 1.414300798658591128e-11 3.947616552664087879e-11 1.772519225477903105e-13 3.734568357285377257e-12 1.758427770943298005e-13 1.027789643020916427e-12 1.228632154697149529e-14 3.078775710095275198e-14 5.604143465121726516e-15 4.054714102754935269e-12 3.133428507897074740e-11 1.994264123155794044e-13 6.080457297372055857e-12 3.030119363935620171e-13 1.620853563827121670e-13 1.805581555479243573e-14 4.455262499154229806e-14 7.781672979805386621e-13 3.570774981738074354e-11 3.299465771584727418e-13 8.141871749655487475e-12 4.336570843492673322e-14 2.105991051697448021e-13 2.344269466599716975e-14 4.094776485667829616e-13 3.964364613040167882e-11 5.496151442151416302e-13 9.525689272452703323e-13 5.691816284271544364e-14 2.350350375052118731e-13 4.423289395930363358e-13 4.102912018036869264e-11 8.421528515957843579e-14 9.929749701267352982e-13 6.860809313907152646e-14 6.731515468493197363e-13 3.948816865345453583e-12 1.170128732472931563e-13 9.372169320891466249e-13 1.011373258279621472e-13 3.651739628669874164e-12 1.466759671540639919e-13 1.389286099753784572e-13 3.147533056955850388e-12 1.712073679868849704e-13
3.000000000000000000e+00 2.118198615930469551e-11 1.622352521453709432e-11 3.920697741157739002e-13 1.550800567469114801e-12 6.315907276396792194e-14 4.264077470421639016e-13 5.245526665599157204e-14 1.445883263110868979e-14 2.901997690005537649e-15 4.503740756465038507e-15 1.622580569454239868e-11 4.147444496468196671e-11 2.156236342937813266e-13 3.972959125493672503e-12 1.907542353358055879e-13 1.099941322956782920e-12 1.353915997445643904e-14 3.462345159027557780e-14 6.634304628700674796e-15 5.638444851792170734e-12 3.289002797487784525e-11 2.230552352128025287e-13 6.546222043867385045e-12 3.260053499676036741e-13 1.782310034205048590e-13 2.040176053489702478e-14 5.268297690558204896e-14 1.102447276690371102e-12 3.935100944848765983e-11 3.463720748935756246e-13 8.857470378108816197e-12 4.750714725651901890e-14 2.391145277376249342e-13 2.773507946859101350e-14 5.439692411974978607e-13 4.401365686985248443e-11 5.760341277166413488e-13 1.063693226346837373e-12 6.411469632644336951e-14 2.802062166145375886e-13 4.985769102520098789e-13 4.583308286632585620e-11 9.110611695534141147e-14 1.143496129858263281e-12 8.111337948615456495e-14 7.155955709541796226e-13 4.516850050574273485e-12 1.316644134684962353e-13 1.130721502213696989e-12 1.099209011419619148e-13 4.293062996064221736e-12 1.741483682403774906e-13 1.568912908079133308e-13 3.864184593102004788e-12 2.040495174905747788e-13
4.000000000000000000e+00 2.526466782589305858e-11 1.654005571067113240e-11 4.456049553155548759e-13 1.589673931154062274e-12 6.855710202784782939e-14 4.459960535661488013e-13 5.531340162069061574e-14 1.528620326869631662e-14 3.132187857643022959e-15 4.925749382511778219e-15 1.792989133915582698e-11 4.241431210810611478e-11 2.497534821573943737e-13 4.156527329971088436e-12 2.025654134931157662e-13 1.147432881148127069e-12 1.443558525447865131e-14 3.713531331271542306e-14 7.301628376217329701e-15 6.727182707576627425e-12 3.419352759521374661e-11 2.447311931176698897e-13 6.891635150425628382e-12 3.413401838147833907e-13 1.892564386536429678e-13 2.197931799349435673e-14 5.778120720982008580e-14 1.382302525879254339e-12 4.189796674422080853e-11 3.604303462016573698e-13 9.324801691612375040e-12 5.033159565357311711e-14 2.576934642998659148e-13 3.046723655584592855e-14 6.674727172308460874e-13 4.710945527788504682e-11 5.902779124998950794e-13 1.139191201614798527e-12 6.874968256225807734e-14 3.086574009693013218e-13 5.520968867575836512e-13 4.895401166133524072e-11 9.530521973174217150e-14 1.242150666723230487e-12 8.882670106346341112e-14 7.400682262555372653e-13 4.905280623960650219e-12 1.404490317433977040e-13 1.254146341439564766e-12 1.153504486720563570e-13 4.711127407020067444e-12 1.905321649427573797e-13 1.674896729581839382e-13 4.318987559391431190e-12 2.233585991136305293e-13
5.000000000000000000e+00 2.854189828512131129e-11 1.686869913354349629e-11 4.775127643213942861e-13 1.630875564973942799e-12 7.294348264298205248e-14 4.622064663305601077e-13 5.688554854935820746e-14 1.591509272465645337e-14 3.306090529314544510e-15 5.225549045379712729e-15 1.919380110107857313e-11 4.248930550694819098e-11 2.785954562651754590e-13 4.298602923085036040e-12 2.118363365965638920e-13 1.170530166382365899e-12 1.511561301990470930e-14 3.895334010286063250e-14 7.787891885875175775e-15 7.446577506736682635e-12 3.510273015883931776e-11 2.644818335722814957e-13 7.145837364736668775e-12 3.489645617746424408e-13 1.972389161251721509e-13 2.313995021490567118e-14 6.134478216762798604e-14 1.629991035127271589e-12 4.362865178644449302e-11 3.732896141155979343e-13 9.558785667744522413e-12 5.236601693454265655e-14 2.707761617266134301e-13 3.240732901224406054e-14 7.863033569943014072e-13 4.925277637399650916e-11 5.934900931913971999e-13 1.192162808722893646e-12 7.198509260553252560e-14 3.283019227983362424e-13 6.100402856579484021e-13 5.059051262790012530e-11 9.803702372426397996e-14 1.310591261331991990e-12 9.405553292835726344e-14 7.513358752155902572e-13 5.173546466562464006e-12 1.460302703694198755e-13 1.338959682680379254e-12 1.193885330677045004e-13 4.994843986356331956e-12 2.009688277704053126e-13 1.743189720261391060e-13 4.625155009359047795e-12 2.354810226476996888e-13
6.000000000000000000e+00 3.103520374041164123e-11 1.718057647169677365e-11 4.952660249662360429e-13 1.671538879231752537e-12 7.664576097145159703e-14 4.762512139902906861e-13 5.734868267680356754e-14 1.643226624549009144e-14 3.447004970048161630e-15 5.458837923619765326e-15 2.007264311249750570e-11 4.203102985673308297e-11 3.033119877578438022e-13 4.413989895869847013e-12 2.193701170840906552e-13 1.173064645577696263e-12 1.566121466021593833e-14 4.037853990757490905e-14 8.171956231518252206e-15 7.913414123338776428e-12 3.571577581188332667e-11 2.829049355416228982e-13 7.338074634121336667e-12 3.501098460095980007e-13 2.033911470827837262e-13 2.405252200885987929e-14 6.404512322672864893e-14 1.854326955199376715e-12 4.481537768844653969e-11 3.857139788991381643e-13 9.603173441998102885e-12 5.392521904098062316e-14 2.806000656609885397e-13 3.389381977103041627e-14 9.022977970718022851e-13 5.074400371538040080e-11 5.880123183750266300e-13 1.230959508692577870e-12 7.439871748292273694e-14 3.428309066415146030e-13 6.722017038512710170e-13 5.106491912055841288e-11 1.000216441389454728e-13 1.360526959007869558e-12 9.785187703612797775e-14 7.523389294016094785e-13 5.364038975682872377e-12 1.498166093294034089e-13 1.400688794763019049e-12 1.230859456824496279e-13 5.195284875665096065e-12 2.079680219812896446e-13 1.793466252755366526e-13 4.841570841873658133e-12 2.436746146341059347e-13
7.000000000000000000e+00 3.285611701178812934e-11 1.745972499639986431e-11 5.042992037114792598e-13 1.711503880257688355e-12 7.989757072548840292e-14 4.886960296411147848e-13 5.697155310604615541e-14 1.688858613862928483e-14 3.567962431784905927e-15 5.654209988850976001e-15 2.064073492138792467e-11 4.129313198479577301e-11 3.250542735682876920e-13 4.512312989446714130e-12 2.256527455712405681e-13 1.160238208952845252e-12 1.612380805468022256e-14 4.157603356308294316e-14 8.494626754985363017e-15 8.214219760044112853e-12 3.612694562997266649e-11 3.004342000758359270e-13 7.485993546235314151e-12 3.464465739521955607e-13 2.084369353349920388e-13 2.481241660225561603e-14 6.623280209850918796e-14 2.061091732291549684e-12 4.564104791598830030e-11 3.977391154096067668e-13 9.508709064257801256e-12 5.520167552929947308e-14 2.884203583602816314e-13 3.510429805343074745e-14 1.016114358913898902e-12 5.177667272752384326e-11 5.764207663109637762e-13 1.260704403640473560e-12 7.631926850304337412e-14 3.542142775950196745e-13 7.359995407292434692e-13 5.070401543534220411e-11 1.016531110439248380e-13 1.398711656739603026e-12 1.007806127511793968e-13 7.456971451078403109e-13 5.503627111829371392e-12 1.526045280218352091e-13 1.447877651221680074e-12 1.268723332540122233e-13 5.342406747276349702e-12 2.129225873177710556e-13 1.836077494887900382e-13 5.001228747972741647e-12 2.497460394748686262e-13
8.000000000000000000e+00 3.412668904931112265e-11 1.770138858578928382e-11 5.081113454996182731e-13 1.751110055655747500e-12 8.284422560343697228e-14 4.996554834382919016e-13 5.601336867373346440e-14 1.731426749293409327e-14 3.676878258487758595e-15 5.827864975903181732e-15 2.096820070894998907e-11 4.043734752062107804e-11 3.446612754718100046e-13 4.599164204732221489e-12 2.309036491653102821e-13 1.136949813357173998e-12 1.653602369703437620e-14 4.264252662217013558e-14 8.779451462537588076e-15 8.407103841739840838e-12 3.640279733540445547e-11 3.173208520466925664e-13 7.598658789582782584e-12 3.395267086951016995e-13 2.128129373768832316e-13 2.547750612001164676e-14 6.810787781175769712e-14 2.253922231822675988e-12 4.622026328390968584e-11 4.090586208778428975e-13 9.320437863552203016e-12 5.631148963209944950e-14 2.949812083972412772e-13 3.614183979239067416e-14 1.127920097589306062e-12 5.246556399708529899e-11 5.609405087703797651e-13 1.284547968706520161e-12 7.794175511495700146e-14 3.635891567187427012e-13 7.986550173881630438e-13 4.978233585809717825e-11 1.031311145005972083e-13 1.429204299001293175e-12 1.031709755394282604e-13 7.337653786495994896e-13 5.609129589811234028e-12 1.548409570008609037e-13 1.485539499683123246e-12 1.308614503625301179e-13 5.454286705335046652e-12 2.166431804806248098e-13 1.875934164754463184e-13 5.123578532755588294e-12 2.546889654439428734e-13
9.000000000000000000e+00 3.495758780795210549e-11 1.790791794979543872e-11 5.088669577013664292e-13 1.790673958139546025e-12 8.556808912643991825e-14 5.090551915038720341e-13 5.468357849843652471e-14 1.772728803543222057e-14 3.778761111542961139e-15 5.989559588023588992e-15 2.111428180327118449e-11 3.955870784334347641e-11 3.626932370650773230e-13 4.677533168635136373e-12 2.352066811933780301e-13 1.107120546422608385e-12 1.691859523624753630e-14 4.363667477518445211e-14 9.040975034942410534e-15 8.529683442797841838e-12 3.658757176072600776e-11 3.336672307054845299e-13 7.680637691646263575e-12 3.305790197547859735e-13 2.167850199603778175e-13 2.608409897601340441e-14 6.979123783032788653e-14 2.435036868932300936e-12 4.662371140988529285e-11 4.193152550902153971e-13 9.073408795264561359e-12 5.732428919363443506e-14 3.007396270206581710e-13 3.706984917298661517e-14 1.237461955878002559e-12 5.288006390253566136e-11 5.432654247443897311e-13 1.304455140572566927e-12 7.938363390066113229e-14 3.716480362768552526e-13 8.579417363612495423e-13 4.850787901302552841e-11 1.045517605351594440e-13 1.454527427594595769e-12 1.052228831140435609e-13 7.184777046457090238e-13 5.691220083750975638e-12 1.567731869578563599e-13 1.516759658061496355e-12 1.350434600253586658e-13 5.542184285311035105e-12 2.196101841299706048e-13 1.915100621549228511e-13 5.220589340028901657e-12 2.590348480993978306e-13
1.000000000000000000e+01 3.544260969242612752e-11 1.808483200538094694e-11 5.078882649196731065e-13 1.830348462725931472e-12 8.810955193658345422e-14 5.168002373158648851e-13 5.313716134151914847e-14 1.813831197063356095e-14 3.876844526026593680e-15 6.145391020724560920e-15 2.112629075113819898e-11 3.870971993891371461e-11 3.795071496296169421e-13 4.748803414569248112e-12 2.386011453591904862e-13 1.073632373787580311e-12 1.728473595817728249e-14 4.459471173776450359e-14 9.288554201283155496e-15 8.606069504053696351e-12 3.671007661657319111e-11 3.494661877389539145e-13 7.734695153266301754e-12 3.204996021956220615e-13 2.205162659798600723e-13 2.665538752372267631e-14 7.135864567490480658e-14 2.605734905681519972e-12 4.689492556806258146e-11 4.282373906512933364e-13 8.792991045981082286e-12 5.828205309368490174e-14 3.059827054605389263e-13 3.792864767589707719e-14 1.344145221066890234e-12 5.306620310134492416e-11 5.245948018818726819e-13 1.321670925455981385e-12 8.071635009459517293e-14 3.788285760406664146e-13 9.123583123495686401e-13 4.702913003940960499e-11 1.059598373001912686e-13 1.476290458942103554e-12 1.070604635757253667e-13 7.013088468441386590e-13 5.756805425302409405e-12 1.585372872863579868e-13 1.543507242525228016e-12 1.393757533754475904e-13 5.613317573250356666e-12 2.221112178149149755e-13 1.954306802305761263e-13 5.299896743844662908e-12 2.630605881156804433e-13
