R,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1.0,1048316.1533795239,-6676632.189353001,5326764.185008772,-10306449.315438561,4411274.846065877,-6700252.396805907,3212965.1606170814,-3805034.0129433023,3332840.3970397683,-3827864.406722906,3425581.7711902726,-3317064.0242874827,2567045.0965551287,-2009663.2800205625,996692.5437804356,-223289.61182173036,-870568.548620123,2421733.218772672,-1127941.2632849102
1.1,719043.7351746882,-4178443.759371084,3449353.0449050325,-6460875.247304915,2876064.6431989544,-4239271.331737916,2087070.739731092,-2419653.4691195074,2113378.6557569024,-2398173.3244703272,2148184.7963954215,-2074916.213464454,1605390.3593453586,-1256614.6060201582,622890.576546039,-135829.7491171631,-553813.5548354187,1525610.9148663464,-711645.4744642396
1.2,491835.2462910866,-2604926.6682812558,2230647.8788456544,-4034484.7328326465,1871431.7030008344,-2673084.6668171682,1352098.3124053592,-1533546.2299716396,1335378.8865866605,-1495969.7895838262,1341142.4145028663,-1291882.0923433052,999287.5097307444,-782042.7970537866,387408.5340644711,-81977.11673248062,-351048.3127835517,957132.5980587902,-447202.3594449302
1.3,335479.80518215947,-1617426.1627865068,1440614.3308879074,-2509061.8996561095,1215164.01181687,-1679455.9399810187,873419.9400817379,-968466.4717204211,840581.4427630586,-928838.6493841148,833265.4199798641,-800292.4331550675,618853.6141516608,-484206.44495071145,239688.70056420125,-49039.035935217544,-221654.23444162507,597806.6309062387,-279809.5439265071
1.4,228176.78378382162,-1000071.1473485393,929174.5723570867,-1553728.9011253663,787272.0380541511,-1051161.6585956898,562442.8532574751,-609260.6163601995,526958.1739715108,-573821.47532909,515013.6218986864,-493044.65308300656,381133.82542229583,-298128.0526624175,147447.65049687208,-29042.835392780107,-139359.7875333023,371570.7285418226,-174251.67854284367
1.5,154740.86039612428,-615677.4541857842,598543.0612804942,-957852.1849735357,508846.2264040132,-655276.9996212997,360963.8883927492,-381707.4941156667,328893.0118040127,-352583.4166921803,316506.526920332,-301940.2184590173,233313.39875105012,-182441.21497327712,90137.16051157008,-17004.743378954605,-87212.39375703187,229734.2336706709,-107960.70622690355
1.6,104623.74260877156,-377349.65597203077,385091.8023213831,-587772.0221659242,328067.4908622746,-406766.5185331362,230813.75957017136,-238087.6794514662,204297.6655880813,-215381.98077748722,193309.90643360803,-183701.19778748212,141881.94469100196,-110901.42227959148,54723.92720819062,-9825.920830471201,-54300.30755790203,141221.42980509138,-66515.67011060946
1.7,70518.27634843107,-230237.47832061496,247476.08924611032,-358962.3914396269,210959.67167056107,-251387.84283952718,147010.4189308637,-147802.86660263813,126251.45325889616,-130742.30738001477,117269.71116894299,-110965.47405322733,85656.38255354611,-66920.12245405214,32972.453064869864,-5590.898660374324,-33619.14079499574,86263.06159783446,-40730.491378725914
1.8,47376.43799024236,-139846.45209347733,158868.79281043372,-218164.1852687867,135283.01665741592,-154647.7539591528,93238.04914074347,-91289.66470534643,77587.60470478152,-78824.46278188095,70615.64367252226,-66503.0335552146,51300.14733136024,-40054.52818843521,19700.299935892086,-3123.4451912151776,-20685.955311073092,52326.68571734414,-24773.54367184285
1.9,31720.50062703371,-84569.13634057237,101887.97071883634,-131950.14810709402,86506.39205026873,-94684.25608258118,58865.782877078476,-56078.935263293875,47395.15699458523,-47174.125089291636,42178.22513737908,-39511.518557565454,30453.611361091695,-23759.73101327299,11660.912301083528,-1706.5828594835118,-12640.79762896511,31497.747633488143,-14956.350980553692
