R	Gamma	E
1.00	0	-93.011264966585
1.00	10	-93.451443205801
1.00	20	-94.316687961827
1.00	30	-95.026897584033
1.00	40	-95.440084376989
1.00	50	-95.632441304767
1.00	60	-95.696780790546
1.00	70	-95.694467424562
1.00	80	-95.688832622276
1.00	90	-95.719049977291
1.00	100	-95.772160185307
1.00	110	-95.804356585179
1.00	120	-95.787370003375
1.00	130	-95.690506891267
1.00	140	-95.465417230076
1.00	150	-95.048634973896
1.00	160	-94.407368049309
1.00	170	-93.675683612018
1.00	180	-93.129171684593
1.10	0	-94.448034108316
1.10	10	-94.64369074964
1.10	20	-95.048988552146
1.10	30	-95.407655110415
1.10	40	-95.630491822734
1.10	50	-95.741062616605
1.10	60	-95.785635448101
1.10	70	-95.802916795388
1.10	80	-95.82038408588
1.10	90	-95.84526630237
1.10	100	-95.87315454859
1.10	110	-95.890070041482
1.10	120	-95.876578554469
1.10	130	-95.808834414624
1.10	140	-95.654557213533
1.10	150	-95.375728552487
1.10	160	-94.953760101001
1.10	170	-94.464286631031
1.10	180	-94.071982178273
1.20	0	-95.114511374791
1.20	10	-95.210884992496
1.20	20	-95.417052158878
1.20	30	-95.611805449056
1.20	40	-95.746046918536
1.20	50	-95.826437445714
1.20	60	-95.873687486696
1.20	70	-95.904286017199
1.20	80	-95.927113270057
1.20	90	-95.945655744039
1.20	100	-95.959640747494
1.20	110	-95.963929427153
1.20	120	-95.946897616526
1.20	130	-95.889910977651
1.20	140	-95.767102934077
1.20	150	-95.547784565773
1.20	160	-95.207078070781
1.20	170	-94.763926100598
1.20	180	-94.403091845834
1.30	0	-95.419789959152
1.30	10	-95.475512447221
1.30	20	-95.599444369777
1.30	30	-95.727967652685
1.30	40	-95.830563805977
1.30	50	-95.903730422877
1.30	60	-95.953558152965
1.30	70	-95.986767192817
1.30	80	-96.008415551368
1.30	90	-96.021894077778
1.30	100	-96.028382589026
1.30	110	-96.025468575435
1.30	120	-96.005157684838
1.30	130	-95.952043407908
1.30	140	-95.842164301474
1.30	150	-95.643342615801
1.30	160	-95.314467224379
1.30	170	-94.785504946473
1.30	180	-94.259687742871
1.40	0	-95.549370813332
1.40	10	-95.597538489451
1.40	20	-95.70224321196
1.40	30	-95.812651197151
1.40	40	-95.904864921759
1.40	50	-95.973233893549
1.40	60	-96.02026172859
1.40	70	-96.050661307954
1.40	80	-96.068957971241
1.40	90	-96.078586534896
1.40	100	-96.081088121963
1.40	110	-96.074942202699
1.40	120	-96.053794898524
1.40	130	-96.00408610213
1.40	140	-95.902330712829
1.40	150	-95.712469880655
1.40	160	-95.374334474431
1.40	170	-94.684730484912
1.40	180	-93.515754434964
1.50	0	-95.593918083894
1.50	10	-95.68235207842
1.50	20	-95.789055939827
1.50	30	-95.890136913047
1.50	40	-95.972361299968
1.50	50	-96.03260699236
1.50	60	-96.073317183095
1.50	70	-96.098836348691
1.50	80	-96.113402535652
1.50	90	-96.120191911047
1.50	100	-96.120658632839
1.50	110	-96.113632620122
1.50	120	-96.09377750158
1.50	130	-96.049043513642
1.50	140	-95.957003207053
1.50	150	-95.780641393255
1.50	160	-95.456306895767
1.50	170	-94.590568588417
1.50	180	-90.136693955208
1.60	0	-95.614900823018
1.60	10	-95.786733709774
1.60	20	-95.877109916761
1.60	30	-95.962348404877
1.60	40	-96.031144183476
1.60	50	-96.081024413979
1.60	60	-96.114199419131
1.60	70	-96.134523133051
1.60	80	-96.145699539601
1.60	90	-96.150437191817
1.60	100	-96.149950898712
1.60	110	-96.143273459534
1.60	120	-96.125929086583
1.60	130	-96.087479017019
1.60	140	-96.007691189011
1.60	150	-95.852497905807
1.60	160	-95.565691673087
1.60	170	-94.615124814753
1.70	0	-95.860632118313
1.70	10	-95.893664157315
1.70	20	-95.959342028447
1.70	30	-96.025538047555
1.70	40	-96.079783507571
1.70	50	-96.119087405119
1.70	60	-96.144995943288
1.70	70	-96.160623539619
1.70	80	-96.168985021336
1.70	90	-96.17226118563
1.70	100	-96.171408161137
1.70	110	-96.165622267684
1.70	120	-96.151229365329
1.70	130	-96.11949362273
1.70	140	-96.05312581213
1.70	150	-95.923121881569
1.70	160	-95.683520272191
1.70	170	-94.879628593715
1.80	0	-95.963462610865
1.80	10	-95.983512992441
1.80	20	-96.028654110202
1.80	30	-96.077362964807
1.80	40	-96.11830810168
1.80	50	-96.148174805461
1.80	60	-96.167803373439
1.80	70	-96.179522718076
1.80	80	-96.18566269683
1.80	90	-96.187910967249
1.80	100	-96.186993215831
1.80	110	-96.182255919683
1.80	120	-96.170758539978
1.80	130	-96.145421923163
1.80	140	-96.092090953461
1.80	150	-95.987288231259
1.80	160	-95.796028232874
1.80	170	-95.244038004495
1.80	180	-93.331945210462
1.90	0	-96.039438513204
1.90	10	-96.052291378092
1.90	20	-96.082988438467
1.90	30	-96.117793861985
1.90	40	-96.1478102058
1.90	50	-96.169925756808
1.90	60	-96.184468169234
1.90	70	-96.193092956594
1.90	80	-96.197537997544
1.90	90	-96.199071216711
1.90	100	-96.198230786913
1.90	110	-96.194499944728
1.90	120	-96.185581781022
1.90	130	-96.165895767146
1.90	140	-96.124219716299
1.90	150	-96.042195578256
1.90	160	-95.894876415529
1.90	170	-95.550601211583
1.90	180	-94.903402758441
2.00	0	-96.094433052915
2.00	10	-96.102899226707
2.00	20	-96.123773942044
2.00	30	-96.148261018117
2.00	40	-96.169845915276
2.00	50	-96.185918332898
2.00	60	-96.196510948074
2.00	70	-96.20276586983
2.00	80	-96.205947817797
