T	1->0	2->0	3->0	4->0	5->0	6->0	7->0	8->0	9->0	10->0	2->1	3->1	4->1	5->1	6->1	7->1	8->1	9->1	10->1	3->2	4->2	5->2	6->2	7->2	8->2	9->2	10->2	4->3	5->3	6->3	7->3	8->3	9->3	10->3	5->4	6->4	7->4	8->4	9->4	10->4	6->5	7->5	8->5	9->5	10->5	7->6	8->6	9->6	10->6	8->7	9->7	10->7	9->8	10->8	10->9	
1.000000000000000000e+00 1.582409277564899898e-11 1.712913162456513430e-11 5.959659976710686660e-14 1.864917135714110250e-12 1.027641737898759912e-14 3.889780447141591837e-13 1.711039389019110553e-14 1.047014565579580598e-14 9.973787263177762470e-16 2.158997075941350787e-15 8.418233430371351152e-12 4.237145897774384644e-11 2.195840263765008032e-14 3.837325382546566965e-12 5.262876585194963365e-14 9.493784353883264867e-13 5.010961159475195558e-15 2.160121312672064373e-14 2.101243674058309454e-15 1.253298714420470020e-12 3.606247961429176753e-11 4.706941770009628124e-14 6.053735742404443088e-12 1.281627896254354845e-13 1.378244379485581492e-13 8.064841595342887093e-15 2.621796684474908868e-14 2.307363904299088374e-13 3.493275587883923393e-11 1.596650690760686208e-13 7.818749611637124766e-12 2.231007111824692847e-14 1.589980435405377757e-13 1.023883114307302951e-14 1.001262598798636183e-13 3.758863330676379027e-11 3.615860855996683503e-13 8.379921699386961901e-13 3.139566356575739285e-14 1.488615675543639466e-13 1.663158329219262508e-13 3.761140580535899015e-11 5.956568659202842092e-14 7.755187660220098442e-13 3.587522947657837723e-14 3.611246271285043674e-13 3.353530543584857773e-12 7.842207647224437430e-14 6.152227261772405152e-13 5.990677836639937837e-14 2.726212406456839105e-12 8.428527691912365576e-14 7.958697999507357563e-14 2.017987089497380567e-12 8.702106025507948917e-14
2.000000000000000000e+00 1.995863477643907705e-11 1.673861512207695337e-11 1.127185666634473103e-13 1.683997871489692947e-12 1.222795438414717848e-14 4.106493788479531458e-13 1.873190453653679069e-14 1.210705031174603566e-14 1.287432355912928676e-15 3.278563392787958243e-15 1.238806249014679565e-11 4.442580616933256751e-11 4.665938410901959001e-14 4.069459700929895743e-12 5.635340792777905792e-14 1.029021828801316214e-12 5.819681080223460368e-15 2.788908079563980468e-14 3.201863845103717090e-15 3.203092671414263896e-12 3.538091201163730161e-11 5.598652175325299073e-14 6.573865432906193832e-12 1.361260998768058436e-13 1.620044590558289889e-13 1.035335296718643012e-14 4.025489397422742958e-14 5.898995159939846157e-13 3.972847959570804024e-11 1.588896142483226328e-13 8.719517228658036624e-12 2.552000662404867411e-14 2.089101756434374296e-13 1.557852967122434644e-14 2.343487754718109732e-13 4.332296925830376113e-11 3.736444737153880741e-13 1.009368425525202405e-12 4.025397381699862379e-14 2.320110033356874170e-13 2.038155000250464840e-13 4.420977683975755286e-11 6.805683383578299379e-14 1.044308253624228866e-12 5.485248902688683558e-14 3.808056896760069008e-13 4.196333472623393515e-12 1.018496187982852266e-13 9.800200975288590655e-13 6.857816024782242010e-14 3.811994665936702056e-12 1.309506283376347145e-13 1.039826341701887457e-13 3.354539084437084932e-12 1.365548335430028654e-13
3.000000000000000000e+00 2.471651828151876524e-11 1.690247014498094315e-11 1.567919986799708248e-13 1.675300889705150874e-12 1.435870438356135160e-14 4.310323301938040192e-13 2.020420063675597943e-14 1.303940983954020556e-14 1.441064155572698850e-15 3.816983497337643465e-15 1.489318720243944395e-11 4.615554891989161743e-11 7.153682188986769221e-14 4.281940737722205280e-12 6.077262508920291770e-14 1.090718868006849078e-12 6.321621952419491621e-15 3.105041725512012052e-14 3.746792608505551739e-15 4.705431531943979442e-12 3.671226628122220656e-11 6.869538484665523878e-14 7.007272899304396385e-12 1.433264491263318538e-13 1.761619697484744291e-13 1.151937345362458574e-14 4.714412323581218119e-14 9.036365798904154916e-13 4.329191419830504862e-11 1.622606093354725208e-13 9.394731621808798210e-12 2.730410563697381306e-14 2.348304391629887837e-13 1.816202770157586269e-14 3.597214624684115780e-13 4.758925109859148391e-11 3.822065000692153810e-13 1.114763510061776896e-12 4.453069092144893164e-14 2.739513014610815208e-13 2.437211141069409473e-13 4.887880961551138251e-11 7.227882506133289963e-14 1.189923425893924153e-12 6.390837406245755576e-14 3.952715962738016612e-13 4.743559709293855893e-12 1.130052951368873325e-13 1.170068026750872313e-12 7.265232614279338730e-14 4.433361320944812035e-12 1.535256623527574317e-13 1.152804414493062724e-13 4.060803208184129881e-12 1.603015169164378013e-13
4.000000000000000000e+00 2.867631519038537640e-11 1.720609378882362510e-11 1.849588314854982127e-13 1.694953831999015026e-12 1.631192625969910229e-14 4.472553722997738131e-13 2.130950952026350746e-14 1.367500336427732860e-14 1.546586666647101300e-15 4.143324105721290724e-15 1.656492547667114030e-11 4.678412265430827883e-11 9.194130918360845649e-14 4.439764935121858242e-12 6.499690453854185008e-14 1.129189496757350895e-12 6.697847098285803963e-15 3.304223614194542110e-14 4.091769418463171093e-15 5.749218864631189411e-12 3.776970256927021964e-11 8.195841338774522914e-14 7.314177595739765864e-12 1.484653360835315135e-13 1.854860158256767706e-13 1.228834239103448456e-14 5.130640341140352259e-14 1.168242897009242603e-12 4.560070276589353526e-11 1.678855381770594011e-13 9.806275550586740807e-12 2.851796387506809382e-14 2.509701547079953165e-13 1.973573772730674871e-14 4.752695460534644451e-13 5.039579420388808217e-11 3.858159530963216141e-13 1.183123411578644049e-12 4.711867559910559335e-14 2.993055061678192173e-13 2.883945778822459802e-13 5.166477170685473341e-11 7.466745337984898031e-14 1.280379404190828885e-12 6.917110675122098132e-14 4.054672222177399439e-13 5.096445094381211866e-12 1.192260621257838360e-13 1.285299322436330396e-12 7.498562683366262223e-14 4.820692573214625970e-12 1.662488521005545755e-13 1.212929778792277306e-13 4.480733597832097435e-12 1.732081570772957454e-13
5.000000000000000000e+00 3.165522615491350051e-11 1.755210691231139257e-11 2.012158259275119441e-13 1.721782856586886059e-12 1.811385193986072378e-14 4.607361817788692444e-13 2.198107010529427393e-14 1.415787919261347701e-14 1.629302975123268121e-15 4.371717566689125944e-15 1.766951742441200438e-11 4.656848054986776481e-11 1.083252162480371742e-13 4.559843393663622054e-12 6.904817935494554048e-14 1.145573419058975677e-12 7.007832682748708943e-15 3.446430658908212084e-14 4.344807078564898940e-15 6.437795920533719025e-12 3.846222506720479992e-11 9.518025708934760011e-14 7.534070556488591669e-12 1.511178502666956332e-13 1.921206432127606176e-13 1.286800491923357977e-14 5.415818105390300352e-14 1.397003726553463299e-12 4.708376071756767165e-11 1.755024918315100291e-13 9.986794959271772701e-12 2.944597710014177903e-14 2.620516074827855739e-13 2.083595054457705891e-14 5.847429719525110133e-13 5.223796969411932709e-11 3.844614552558794483e-13 1.229525589858234967e-12 4.888488904828215522e-14 3.163520980760974089e-13 3.392082186690416738e-13 5.295355698542752712e-11 7.617027885671303342e-14 1.340852156806214863e-12 7.259560502645915563e-14 4.115046522162276163e-13 5.329817835010911317e-12 1.229628523949785957e-13 1.361636774671266791e-12 7.686382473465885890e-14 5.074726958996778216e-12 1.739958050422499840e-13 1.248833104302359947e-13 4.750275668890365395e-12 1.807163250230637538e-13
6.000000000000000000e+00 3.378212992800747959e-11 1.789105408907199751e-11 2.100022037343609436e-13 1.751502844855738717e-12 1.982407601709686170e-14 4.726217192721597228e-13 2.225067473453682728e-14 1.456356409130642662e-14 1.700302887789514232e-15 4.550306438234045947e-15 1.836786264431511639e-11 4.585199029264448761e-11 1.217758297789974929e-13 4.657569436076684288e-12 7.301495763749819384e-14 1.143543340847319938e-12 7.283665800079188472e-15 3.558864322980278103e-14 4.550727569582232021e-15 6.879332783539384430e-12 3.889696045803605738e-11 1.082298343365731864e-13 7.698524573762796714e-12 1.514671910406445543e-13 1.972522550038984842e-13 1.334974482688581201e-14 5.631419648967415835e-14 1.599519652920782653e-12 4.805362614404011773e-11 1.847070667566819822e-13 9.984630840424526657e-12 3.024019246160942690e-14 2.703238569228554461e-13 2.168789335656038429e-14 6.901458108896819507e-13 5.346456601653228493e-11 3.789280056475199334e-13 1.262903566206548299e-12 5.022461971792037420e-14 3.288163690693555629e-13 3.946524460797414591e-13 5.311953546174155239e-11 7.730366649832879065e-14 1.384018614258455928e-12 7.503270283643925474e-14 4.134467089308439858e-13 5.490283702606106052e-12 1.254127699031421549e-13 1.415918469571720144e-12 7.892232347468529684e-14 5.249684182820270413e-12 1.790159522887787789e-13 1.275069025745273405e-13 4.934289277294088046e-12 1.854532353396214944e-13
7.000000000000000000e+00 3.522580579479472015e-11 1.819772833121484593e-11 2.144443069551305069e-13 1.783061372179159483e-12 2.148500713071849426e-14 4.833768895691833426e-13 2.220206033549721750e-14 1.493371777419444012e-14 1.765399564707702709e-15 4.702866857408507133e-15 1.877152563458955127e-11 4.488772102642879768e-11 1.332053449908038949e-13 4.742222160525526339e-12 7.689172763766322914e-14 1.127848750076813869e-12 7.544225201345831412e-15 3.655637251668758014e-14 4.731617224885075456e-15 7.156752446568340633e-12 3.916454278345297144e-11 1.210658813849350273e-13 7.824841495843451415e-12 1.500159242954486318e-13 2.015482934138160922e-13 1.378154799253209169e-14 5.808294714081632568e-14 1.781946441038500399e-12 4.870015583078595307e-11 1.948693863763939658e-13 9.850823183384408954e-12 3.098528271655799750e-14 2.769803844766468021e-13 2.240389756047678112e-14 7.923928711993692972e-13 5.427722753592001873e-11 3.703744835634216473e-13 1.288421003012286696e-12 5.134690485106422751e-14 3.386074144604810383e-13 4.521866358006276010e-13 5.249817513418602688e-11 7.833302044164384542e-14 1.416776152385763922e-12 7.691740100943734780e-14 4.119052820453142782e-13 5.605267496278135343e-12 1.272148563642359413e-13 1.456967621644901963e-12 8.138329274712003119e-14 5.375902328248097415e-12 1.824968785934456692e-13 1.298879464601138324e-13 5.066822467289124341e-12 1.888136036365540727e-13
8.000000000000000000e+00 3.613651500717596825e-11 1.846403353869246411e-11 2.165077753069615618e-13 1.816161702604273327e-12 2.312111943677086474e-14 4.930279794024519306e-13 2.192649133473943846e-14 1.529172498970088979e-14 1.827952651233473136e-15 4.842329569780741650e-15 1.896214186090573547e-11 4.383394494938230586e-11 1.432804246157907001e-13 4.818778150305165763e-12 8.060549521444559571e-14 1.102939776410123846e-12 7.800722960032999367e-15 3.744600384875053816e-14 4.899658462878405044e-15 7.326907027990606303e-12 3.932513742522785748e-11 1.336656504580523376e-13 7.920999522471586347e-12 1.473101045000771151e-13 2.053902495110589766e-13 1.419079205010985521e-14 5.963344867209284775e-14 1.948316551336080412e-12 4.913485485319877728e-11 2.053261572914726676e-13 9.629545414380374268e-12 3.172665299674872317e-14 2.826938715313293702e-13 2.304615606246387577e-14 8.917641729697761801e-13 5.478654636145758618e-11 3.599127803647471263e-13 1.309097663775059140e-12 5.236786135786599426e-14 3.467837846282129164e-13 5.093020435072727039e-13 5.135994297170304010e-11 7.938091385350818715e-14 1.443070717998337221e-12 7.849226127639169830e-14 4.077591272787114576e-13 5.691064426903878072e-12 1.287119950138346911e-13 1.489741031273583595e-12 8.426314397254174698e-14 5.471016841406300705e-12 1.851042979837335721e-13 1.323430049519214926e-13 5.166963825914745652e-12 1.915419053953520580e-13
9.000000000000000000e+00 3.663722920662386093e-11 1.869161346528129398e-11 2.173769029102520517e-13 1.850660749392443657e-12 2.474201354014972348e-14 5.014287589965148933e-13 2.150191125769227235e-14 1.565073896382484354e-14 1.889998540098879584e-15 4.976181518224543948e-15 1.900017729670630694e-11 4.278188818962931773e-11 1.524647473402278056e-13 4.889579019585406265e-12 8.406665466503150136e-14 1.072375725859752542e-12 8.059718887607938009e-15 3.830295451125058247e-14 5.062078076328298153e-15 7.427183249650919807e-12 3.941688843214377166e-11 1.459944995812888021e-13 7.990403169412508635e-12 1.438123583150168347e-13 2.089987167674770666e-13 1.459360736314140957e-14 6.106386405825064324e-14 2.101348664936021219e-12 4.942272637079278826e-11 2.155166276917320917e-13 9.354796145420039770e-12 3.248719856223481306e-14 2.878586059887929834e-13 2.365122799319232475e-14 9.881076452520169828e-13 5.505474968442288860e-11 3.484298571312414685e-13 1.326733188414378055e-12 5.335244528726335423e-14 3.539655315110008283e-13 5.639757996013149844e-13 4.990588939154250230e-11 8.049601709821177081e-14 1.465249272039257275e-12 7.989853656343575179e-14 4.018693429090927614e-13 5.757589223252791652e-12 1.300847906734009972e-13 1.517170782015060008e-12 8.750214613461893487e-14 5.545662575811079562e-12 1.872207213073207955e-13 1.349810406803372332e-13 5.245979911188960914e-12 1.940242749167147508e-13
1.000000000000000000e+01 3.682567207382248308e-11 1.888630053492511228e-11 2.177482638879435990e-13 1.886379913257454533e-12 2.634590911127808004e-14 5.084258440888083214e-13 2.098794518118771358e-14 1.601806577397970579e-14 1.952793986832305366e-15 5.108928389099965189e-15 1.893025621849447126e-11 4.178058934142358080e-11 1.610678267612110043e-13 4.955416834964361938e-12 8.720148557335051878e-14 1.038769072859788806e-12 8.324967441920265461e-15 3.915397809493886013e-14 5.223349395922556337e-15 7.481845307240018052e-12 3.946356043072420754e-11 1.579960320013094493e-13 8.034801524449981969e-12 1.398728715254494781e-13 2.125017055440457039e-13 1.499954605316988970e-14 6.243338354860958867e-14 2.242897377233545340e-12 4.960151295998019707e-11 2.250351489066269417e-13 9.050998089381724632e-12 3.327742406009612540e-14 2.927111976472564116e-13 2.424126170869584990e-14 1.080991043450211670e-12 5.512086387389808039e-11 3.365673858473125284e-13 1.342417924844398424e-12 5.433648363820426296e-14 3.605299458042315590e-13 6.147997117503520211e-13 4.827774439050196036e-11 8.169195381399471927e-14 1.484748314901803873e-12 8.122003052398078859e-14 3.949515903237017921e-13 5.811020975259195277e-12 1.314256811747469432e-13 1.541059838440406418e-12 9.102599162177403175e-14 5.606457153411846885e-12 1.890679811705168410e-13 1.378172122887969888e-13 5.310797285257237900e-12 1.964521521215383000e-13
