R,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1.0,-199497.5356365446,-909292.0498713697,-717287.0012617066,-305363.8637707839,-1329734.781134146,1027996.8700383509,-987120.3645270858,978536.105202214,471114.44530936447,-414990.7202931235,1627391.9735698807,-617983.2713978658,1289375.3818269793,-218770.95540096975,153935.31984172834,132493.42156474316,-721703.4238408596,-3641.332341401591,-608613.6429655567
1.1,-72094.70162892957,-595871.4631103975,-338566.8099844728,-237344.43276591256,-749312.890263698,605834.599240755,-574882.5424587593,593248.4824922627,305442.4133536778,-257735.48767122068,1016080.8493496231,-387385.2348374277,804267.7596434093,-137738.6875360895,97260.14461114701,83208.05932938661,-454170.929751288,4895.720862828758,-383125.1602588496
1.2,-7530.956097708452,-391127.2791872021,-132203.17044209182,-181514.76789188114,-408321.46584056556,350474.0493738806,-328259.1625340462,356019.4827522665,197774.08779497823,-159478.51307598702,631365.6525581373,-241720.01873188518,499194.4197605029,-86341.72336814959,61178.35034881927,52042.23365287355,-284615.1497613772,7898.07435808268,-240177.1655759427
1.3,21830.055093552543,-257227.58567468927,-25768.06549310188,-137011.73745807298,-211833.129517536,197901.21066779044,-182669.87196409373,211091.33962976164,127890.99068677773,-98317.4468514081,390278.93437377736,-150076.74191895875,308173.25001615676,-53865.599188696724,38294.42457553648,32406.370559696752,-177550.24432968957,8162.440628814277,-149886.66840085178
1.4,32249.767476244786,-169535.29788953313,24232.51654547236,-102295.93573100802,-101454.59262942895,108113.80003302304,-98123.47112702708,123349.04748709477,82591.72360747724,-60395.07338981545,239892.52140982248,-92673.20472022277,189130.19275266238,-33429.821715640195,23841.34003475238,20083.50124932443,-110214.20481207278,7226.394613435153,-93081.84749505341
1.5,33095.882276464305,-112005.73774081309,43515.918101069146,-75664.43561079945,-41589.118046756914,56278.99409765932,-50037.10553769779,70788.38575009456,53266.84961337266,-36974.48231925421,146551.54864180513,-56888.178569371434,115325.17928542302,-20628.54963307029,14754.827584440893,12382.770002880266,-68047.84230247611,5897.568000710689,-57497.297302485014
1.6,29612.73024197506,-74187.4107681115,46989.17688429326,-55507.71207138746,-10768.707444277565,27098.280496095867,-23427.62826471784,39697.98698406125,34308.51594643067,-22567.242867206918,88931.77670769407,-34695.99946750147,69824.60063877919,-12649.274609766035,9071.086882627385,7592.450910553223,-41767.1095413051,4570.551518503269,-35309.84080193328
1.7,24618.655310931976,-49268.844528028414,43066.99571753203,-40420.9293386858,3786.3158312503447,11230.83406053998,-9253.548600077143,21587.995751452727,22068.596130601138,-13738.901365467484,53573.552371763144,-21011.697906226105,41946.75949097884,-7702.636084784627,5535.716343820933,4627.294433476266,-25471.313417610367,3413.824800195653,-21545.999648601737
1.8,19534.837696469676,-32807.3799897165,36325.23590973089,-29235.785974191862,9561.719703128072,3033.8074371177213,-2123.306538915195,11239.505998526152,14176.917866655858,-8349.041817532454,32016.6177281471,-12626.162108509578,24982.263883566276,-4654.380321425598,3350.34176273637,2801.711110532144,-15423.531294522816,2477.931509613838,-13055.165928778715
1.9,15000.706684383824,-21902.185725189738,29114.866371798515,-21011.88823266457,10852.774393588077,-857.9926291305604,1132.0420739298922,5470.941193588499,9095.633842771324,-5069.395362926715,18967.264208562487,-7522.816673906104,14736.351148505173,-2788.391016612436,2008.8471318978168,1684.2675671485913,-9266.345941765243,1756.5274293727352,-7849.172006937521
