R	Gamma	E
1.00	0	707829.644436
1.00	10	610979.347791
1.00	20	420796.289404
1.00	30	264767.650784
1.00	40	174078.877384
1.00	50	132035.935522
1.00	60	118276.571528
1.00	70	119482.693971
1.00	80	124601.450153
1.00	90	114657.995419
1.00	100	101719.594735
1.00	110	94338.082435
1.00	120	97923.464935
1.00	130	119155.586877
1.00	140	168654.621647
1.00	150	260349.618404
1.00	160	401402.801852
1.00	170	562413.818825
1.00	180	682640.373314
1.10	0	392251.899082
1.10	10	349151.828906
1.10	20	259979.437707
1.10	30	181166.149275
1.10	40	132348.118504
1.10	50	108404.694215
1.10	60	99262.145059
1.10	70	96387.257418
1.10	80	90726.324251
1.10	90	84750.740986
1.10	100	79462.550314
1.10	110	75565.919228
1.10	120	78365.084652
1.10	130	93175.324849
1.10	140	127102.625443
1.10	150	188518.611121
1.10	160	281508.28466
1.10	170	389663.919307
1.10	180	475192.792269
1.20	0	245845.324235
1.20	10	224572.768472
1.20	20	179163.224542
1.20	30	136418.710819
1.20	40	107203.514771
1.20	50	90030.771182
1.20	60	80064.200441
1.20	70	72835.255927
1.20	80	65897.262144
1.20	90	61821.771192
1.20	100	59767.807624
1.20	110	59100.989809
1.20	120	62832.080192
1.20	130	75325.386686
1.20	140	102349.339014
1.20	150	150697.43836
1.20	160	225942.572593
1.20	170	324509.731157
1.20	180	402673.418551
1.30	0	178855.314815
1.30	10	166512.793539
1.30	20	139243.487779
1.30	30	111192.053744
1.30	40	88962.579239
1.30	50	73051.351329
1.30	60	61771.697987
1.30	70	53461.962872
1.30	80	47654.679122
1.30	90	44759.695458
1.30	100	44034.711139
1.30	110	45136.369499
1.30	120	49782.230424
1.30	130	61539.305895
1.30	140	85791.442243
1.30	150	129658.588221
1.30	160	202296.071212
1.30	170	320759.139783
1.30	180	435275.39371
1.40	0	150646.297104
1.40	10	140090.935665
1.40	20	117116.149569
1.40	30	92872.092754
1.40	40	72519.035899
1.40	50	57167.579564
1.40	60	46210.937261
1.40	70	38764.085588
1.40	80	34236.437379
1.40	90	32180.336047
1.40	100	32057.581551
1.40	110	33824.686188
1.40	120	38743.063131
1.40	130	49850.394588
1.40	140	72406.062835
1.40	150	114394.05174
1.40	160	189105.899208
1.40	170	338204.386408
1.40	180	594198.852613
1.50	0	141532.653952
1.50	10	122426.884209
1.50	20	98016.272127
1.50	30	75430.616905
1.50	40	57033.105665
1.50	50	43380.113519
1.50	60	33943.980095
1.50	70	27886.74181
1.50	80	24440.158682
1.50	90	22990.275327
1.50	100	23140.950965
1.50	110	24990.745233
1.50	120	29612.048325
1.50	130	39653.214974
1.50	140	60102.309646
1.50	150	99142.99748
1.50	160	170615.048472
1.50	170	358438.274473
1.50	180	1336105.280564
1.60	0	141539.609699
1.60	10	97074.523039
1.60	20	77524.032629
1.60	30	58750.820196
1.60	40	43452.309947
1.60	50	32224.37617
1.60	60	24637.792304
1.60	70	19924.388236
1.60	80	17342.722608
1.60	90	16328.425568
1.60	100	16586.100772
1.60	110	18260.416347
1.60	120	22275.920855
1.60	130	30909.935086
1.60	140	48629.414852
1.60	150	82899.686675
1.60	160	145525.531559
1.60	170	353040.399793
1.70	0	79999.870946
1.70	10	72918.140114
1.70	20	58771.61753
1.70	30	44332.974496
1.70	40	32359.389274
1.70	50	23579.210542
1.70	60	17716.102668
1.70	70	14142.374179
1.70	80	12235.107928
1.70	90	11531.096024
1.70	100	11809.948024
1.70	110	13218.053284
1.70	120	16530.21797
1.70	130	23647.310493
1.70	140	38363.96674
1.70	150	66986.852301
1.70	160	119202.126131
1.70	170	294983.6232
1.80	0	57494.598967
1.80	10	53140.609298
1.80	20	43340.6862
1.80	30	32709.860262
1.80	40	23694.027088
1.80	50	17048.860002
1.80	60	12633.172968
1.80	70	9973.403079
1.80	80	8581.501244
1.80	90	8096.360568
1.80	100	8354.80857
1.80	110	9486.480963
1.80	120	12119.998693
1.80	130	17794.941506
1.80	140	29605.728102
1.80	150	52638.991436
1.80	160	94327.648101
1.80	170	214994.768456
1.80	180	634622.486796
1.90	0	40858.237172
1.90	10	38051.089056
1.90	20	31349.661504
1.90	30	23730.15859
1.90	40	17116.878736
1.90	50	12201.542134
1.90	60	8938.133536
1.90	70	6987.387932
1.90	80	5982.335684
1.90	90	5650.15859
1.90	100	5871.107934
1.90	110	6752.211283
1.90	120	8789.077668
1.90	130	13196.212158
1.90	140	22420.657565
1.90	150	40433.498653
1.90	160	72551.38771
1.90	170	147714.229448
1.90	180	289644.001014
2.00	0	28801.798311
2.00	10	26945.778352
2.00	20	22370.082194
2.00	30	16991.968893
2.00	40	12227.080301
2.00	50	8652.116549
2.00	60	6275.486317
2.00	70	4861.953673
2.00	80	4142.938781
2.00	90	3916.815508
2.00	100	4096.311519
2.00	110	4765.79735
2.00	120	6306.809745
2.00	130	9656.308826
2.00	140	16703.424166
2.00	150	30471.078022
2.00	160	54566.177777
2.00	170	100523.360198
2.00	180	157291.062858
2.10	0	20170.81593
2.10	10	18927.132942
2.10	20	15800.883063
2.10	30	12039.421059
2.10	40	8649.246021
2.10	50	6082.384093
2.10	60	4371.932708
2.10	70	3358.047828
2.10	80	2847.940553
2.10	90	2694.861929
2.10	100	2835.499038
2.10	110	3334.03905
2.10	120	4478.517895
2.10	130	6978.230901
2.10	140	12263.172223
2.10	150	22588.231361
2.10	160	40318.615471
2.10	170	68935.329944
2.10	180	94777.267068
2.20	0	14044.569995
2.20	10	13205.206623
2.20	20	11068.693648
2.20	30	8454.059364
2.20	40	6064.34008
2.20	50	4239.857252
2.20	60	3020.846617
2.20	70	2300.11392
2.20	80	1941.028271
2.20	90	1837.996365
2.20	100	1945.133262
2.20	110	2309.94861
2.20	120	3146.154342
2.20	130	4982.179078
2.20	140	8882.472743
2.20	150	16501.174238
2.20	160	29359.322877
2.20	170	47692.805297
2.20	180	60859.560378
2.30	0	9725.627133
2.30	10	9157.05542
2.30	20	7697.402764
